# SEDust -- size-integrated scattering matrix,
# randomly oriented DH21 astrodust spheroids.
#   P = 0.20, f_Fe = 0.00, axis ratio b/a = 1.4 (oblate)
#   size distribution: data/release/size_distribution.dat,
#     astrodust column, C_sca-weighted average over sizes.
#
# Randomly oriented particles with a plane of symmetry have
# six independent scattering-matrix elements:
#     [ F11  F12   0    0  ]
#     [ F12  F22   0    0  ]
#     [  0    0   F33  F34 ]
#     [  0    0  -F34  F44 ]
# Theta is the scattering angle in degrees, 0 = forward.
#
# Normalization (Mishchenko/Hovenier, as produced by MATR):
#   (1/2) * integral_{-1}^{+1} F11 d(cos Theta) = 1,
#   so F11 = 1 everywhere for isotropic scattering.
#   F22, F33, F44, F12, F34 are NOT divided by F11.
#   Degree of linear polarization for unpolarized incident
#   light is -F12/F11.  Multiply F_ij by C_sca (given per
#   block, in um^2 per H) to recover absolute units.
#
# Blocks are separated by a "# lambda =" line; each block
# has 181 rows at Theta = 0, 1, ..., 180 degrees.
#
#
# lambda [um]   =   3.6000000E-01
# m =   1.5779682E+00  + i   5.7513181E-02
# Cext/H [um^2] =   3.8237541E-14
# Csca/H [um^2] =   2.8539133E-14
# albedo        =   7.4636422E-01
# g = a1(2)/3   =   7.1120467E-01
# g (Csca-wtd single-size, cross-check) =   7.1120467E-01
# Lmax          = 122
# alpha_1(0) (exactly 1 by construction) =   1.00000000165071E+00
# (1/2)int F11 dcos on this 1-deg grid   =   1.0003496E+00
#   (differs from 1 only by trapezoid error on the
#    forward peak; alpha_1(0) is the exact statement)
# van der Mee & Hovenier test: SATISFIED
# size bins: small-x limit 44, large-x limit 10, T-matrix failures redirected 0
#   Theta[deg]          F11            F22            F33            F44            F12            F34
      0.00   1.563970E+01   1.562672E+01   1.562672E+01   1.561373E+01   0.000000E+00   0.000000E+00
      1.00   1.560090E+01   1.558792E+01   1.558791E+01   1.557495E+01   2.130919E-05   3.725338E-03
      2.00   1.548545E+01   1.547248E+01   1.547247E+01   1.545958E+01   8.406097E-05   1.474736E-02
      3.00   1.529621E+01   1.528326E+01   1.528320E+01   1.527044E+01   1.848159E-04   3.261573E-02
      4.00   1.503774E+01   1.502482E+01   1.502464E+01   1.501204E+01   3.181229E-04   5.661720E-02
      5.00   1.471605E+01   1.470317E+01   1.470275E+01   1.469037E+01   4.769030E-04   8.582665E-02
      6.00   1.433829E+01   1.432545E+01   1.432462E+01   1.431248E+01   6.529161E-04   1.191696E-01
      7.00   1.391234E+01   1.389955E+01   1.389808E+01   1.388623E+01   8.372580E-04   1.554894E-01
      8.00   1.344650E+01   1.343377E+01   1.343140E+01   1.341986E+01   1.020836E-03   1.936125E-01
      9.00   1.294914E+01   1.293649E+01   1.293291E+01   1.292170E+01   1.194783E-03   2.324067E-01
     10.00   1.242842E+01   1.241584E+01   1.241072E+01   1.239987E+01   1.350784E-03   2.708287E-01
     11.00   1.189201E+01   1.187952E+01   1.187252E+01   1.186204E+01   1.481307E-03   3.079582E-01
     12.00   1.134698E+01   1.133459E+01   1.132537E+01   1.131528E+01   1.579743E-03   3.430203E-01
     13.00   1.079965E+01   1.078736E+01   1.077560E+01   1.076590E+01   1.640473E-03   3.753956E-01
     14.00   1.025552E+01   1.024334E+01   1.022874E+01   1.021944E+01   1.658884E-03   4.046194E-01
     15.00   9.719292E+00   9.707225E+00   9.689531E+00   9.680625E+00   1.631354E-03   4.303747E-01
     16.00   9.194840E+00   9.182895E+00   9.161880E+00   9.153366E+00   1.555232E-03   4.524782E-01
     17.00   8.685290E+00   8.673470E+00   8.648957E+00   8.640831E+00   1.428814E-03   4.708637E-01
     18.00   8.193064E+00   8.181376E+00   8.153233E+00   8.145488E+00   1.251325E-03   4.855638E-01
     19.00   7.719962E+00   7.708410E+00   7.676552E+00   7.669180E+00   1.022910E-03   4.966907E-01
     20.00   7.267232E+00   7.255819E+00   7.220208E+00   7.213198E+00   7.446020E-04   5.044188E-01
     21.00   6.835651E+00   6.824380E+00   6.785018E+00   6.778361E+00   4.182929E-04   5.089677E-01
     22.00   6.425598E+00   6.414472E+00   6.371400E+00   6.365083E+00   4.666192E-05   5.105884E-01
     23.00   6.037122E+00   6.026142E+00   5.979435E+00   5.973449E+00  -3.669181E-04   5.095502E-01
     24.00   5.670005E+00   5.659172E+00   5.608936E+00   5.603268E+00  -8.185072E-04   5.061308E-01
     25.00   5.323818E+00   5.313134E+00   5.259498E+00   5.254137E+00  -1.303749E-03   5.006077E-01
     26.00   4.997970E+00   4.987434E+00   4.930549E+00   4.925484E+00  -1.818032E-03   4.932521E-01
     27.00   4.691748E+00   4.681360E+00   4.621391E+00   4.616612E+00  -2.356655E-03   4.843233E-01
     28.00   4.404353E+00   4.394112E+00   4.331236E+00   4.326731E+00  -2.914970E-03   4.740661E-01
     29.00   4.134927E+00   4.124832E+00   4.059235E+00   4.054993E+00  -3.488509E-03   4.627075E-01
     30.00   3.882580E+00   3.872629E+00   3.804499E+00   3.800511E+00  -4.073068E-03   4.504562E-01
     31.00   3.646407E+00   3.636599E+00   3.566126E+00   3.562382E+00  -4.664762E-03   4.375015E-01
     32.00   3.425504E+00   3.415836E+00   3.343210E+00   3.339701E+00  -5.260043E-03   4.240132E-01
     33.00   3.218982E+00   3.209451E+00   3.134857E+00   3.131573E+00  -5.855693E-03   4.101427E-01
     34.00   3.025969E+00   3.016573E+00   2.940191E+00   2.937124E+00  -6.448799E-03   3.960232E-01
     35.00   2.845627E+00   2.836361E+00   2.758366E+00   2.755507E+00  -7.036720E-03   3.817710E-01
     36.00   2.677148E+00   2.668010E+00   2.588567E+00   2.585909E+00  -7.617053E-03   3.674867E-01
