# model = dl07_MW
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  9.120000E-02 -  3.981000E+04 um, 1129 points.
#   The grid is the T-matrix Q table's own: no EUV extension was requested,
#   but that grid by itself already covers the ionizing band.
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 9.120000000000E-002  2.501650976092E-001  6.549980762931E-001  2.325385593676E-021  1.743655279655E-021  5.817303140210E-022  9.962685348303E+004
 9.226000000000E-002  2.537804759031E-001  6.525571442239E-001  2.300269227895E-021  1.716505808534E-021  5.837634193605E-022  9.807562004084E+004
 9.332000000000E-002  2.573476873567E-001  6.500464425371E-001  2.276365538577E-021  1.690548131645E-021  5.858174069313E-022  9.659248188712E+004
 9.441000000000E-002  2.606477146841E-001  6.482676437857E-001  2.250239973745E-021  1.663720067098E-021  5.865199066473E-022  9.505961258255E+004
 9.550000000000E-002  2.639331578825E-001  6.464256459482E-001  2.225055624000E-021  1.637789666693E-021  5.872659573065E-022  9.357803291942E+004
 9.661000000000E-002  2.668084439478E-001  6.457104018762E-001  2.197297804704E-021  1.611040196541E-021  5.862576081629E-022  9.204965424579E+004
 9.772000000000E-002  2.697043359307E-001  6.448576819041E-001  2.170631394575E-021  1.585202695751E-021  5.854286988241E-022  9.057338256776E+004
 9.886000000000E-002  2.719570825857E-001  6.455166839890E-001  2.142083338958E-021  1.559528603439E-021  5.825547355184E-022  8.910644752454E+004
 1.000000000000E-001  2.743770671273E-001  6.457101774810E-001  2.115288716187E-021  1.534902002112E-021  5.803867140748E-022  8.769936274647E+004
 1.012000000000E-001  2.781599463354E-001  6.457845880070E-001  2.080080656454E-021  1.501485532681E-021  5.785951237725E-022  8.579005318123E+004
 1.023000000000E-001  2.814638081847E-001  6.455191547531E-001  2.051719960529E-021  1.474235047110E-021  5.774849134191E-022  8.423304809828E+004
 1.035000000000E-001  2.850059114633E-001  6.464447310555E-001  2.017014795440E-021  1.442153655231E-021  5.748611402094E-022  8.240002056950E+004
 1.047000000000E-001  2.888991363375E-001  6.471572941297E-001  1.982653650567E-021  1.409866723262E-021  5.727869273052E-022  8.055524914124E+004
 1.059000000000E-001  2.919729799563E-001  6.489105190402E-001  1.948256179258E-021  1.379418016882E-021  5.688381623764E-022  7.881550800968E+004
 1.072000000000E-001  2.952421864016E-001  6.508740512785E-001  1.911873704749E-021  1.347407932035E-021  5.644657727137E-022  7.698655473536E+004
 1.084000000000E-001  2.978233821480E-001  6.534223124004E-001  1.879141883232E-021  1.319489492032E-021  5.596523912001E-022  7.539138488489E+004
 1.097000000000E-001  3.003533134409E-001  6.564307246710E-001  1.845047954158E-021  1.290881687670E-021  5.541662664887E-022  7.375682697261E+004
 1.109000000000E-001  3.032263271594E-001  6.582479895863E-001  1.815142632598E-021  1.264743598845E-021  5.503990337532E-022  7.226338066126E+004
 1.122000000000E-001  3.055075311392E-001  6.615283415452E-001  1.785862237868E-021  1.240267874623E-021  5.455943632459E-022  7.086491651560E+004
 1.135000000000E-001  3.079331579726E-001  6.647770818879E-001  1.757171142147E-021  1.216079883247E-021  5.410912588998E-022  6.948289249921E+004
 1.148000000000E-001  3.106744654875E-001  6.677619156747E-001  1.728962946058E-021  1.191818306943E-021  5.371446391141E-022  6.809666407672E+004
