# model = dl07_MW_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  6.205399E-05 -  3.981000E+04 um, 1823 points.
#   The floor is set by the D03 dielectric functions: the shorter-reaching
#   of silicate and graphite stops at  6.199200E-05 um, and a shorter floor is
#   refused because (n, k) would freeze at the boundary value there.
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 6.205399200000E-005  7.081118816318E-001  9.999996785750E-001  4.604670532750E-025  1.344048617510E-025  3.260621915240E-025  7.679461431003E+000
 6.254130556162E-005  7.065140981847E-001  9.999996738107E-001  4.692195915084E-025  1.377093349632E-025  3.315102565452E-025  7.868268400130E+000
 6.303244602461E-005  7.050141585878E-001  9.999996605007E-001  4.779483507101E-025  1.409879963858E-025  3.369603543243E-025  8.055600566630E+000
 6.352744344185E-005  7.036058889550E-001  9.999996553488E-001  4.866529366391E-025  1.442410645426E-025  3.424118720965E-025  8.241470416256E+000
 6.402632810223E-005  7.022835414170E-001  9.999996510381E-001  4.953328461688E-025  1.474687407812E-025  3.478641053876E-025  8.425889453359E+000
 6.452913053248E-005  7.010417782777E-001  9.999996470524E-001  5.039875207990E-025  1.506712129883E-025  3.533163078107E-025  8.608868413180E+000
 6.503588149909E-005  6.998757015278E-001  9.999996427221E-001  5.126165581574E-025  1.538486849023E-025  3.587678732552E-025  8.790418936676E+000
 6.554661201012E-005  6.984094834706E-001  9.999996368412E-001  5.218887198296E-025  1.573966885843E-025  3.644920312453E-025  8.993140453430E+000
 6.606135331719E-005  6.967602041900E-001  9.999996320108E-001  5.316367464301E-025  1.612134184325E-025  3.704233279975E-025  9.211216118851E+000
 6.658013691728E-005  6.952091692400E-001  9.999996272694E-001  5.413559746875E-025  1.650003372619E-025  3.763556374256E-025  9.427588478554E+000
 6.710299455477E-005  6.937502182799E-001  9.999996230882E-001  5.510458871949E-025  1.687576826712E-025  3.822882045237E-025  9.642271108166E+000
 6.762995822331E-005  6.923777079808E-001  9.999996183872E-001  5.607060268418E-025  1.724856731261E-025  3.882203537158E-025  9.855276490118E+000
 6.816106016778E-005  6.910863251405E-001  9.999996139361E-001  5.703358692025E-025  1.761845492595E-025  3.941513199429E-025  1.006661837340E+001
 6.869633288632E-005  6.898711832209E-001  9.999996082833E-001  5.799349575341E-025  1.798545421889E-025  4.000804153452E-025  1.027630996332E+001
 6.923580913224E-005  6.883694202535E-001  9.999996038225E-001  5.906172747946E-025  1.840544037525E-025  4.065628710421E-025  1.051627654245E+001
 6.977952191610E-005  6.867804160360E-001  9.999995976052E-001  6.018453809235E-025  1.885097598235E-025  4.133356211000E-025  1.077084125583E+001
 7.032750450766E-005  6.852897638540E-001  9.999995853904E-001  6.130410846306E-025  1.929303045113E-025  4.201107801193E-025  1.102341695876E+001
 7.087979043797E-005  6.838912047601E-001  9.999995761963E-001  6.242037650200E-025  1.973163001447E-025  4.268874648753E-025  1.127401863986E+001
 7.143641350139E-005  6.825789076588E-001  9.999995695319E-001  6.353328626606E-025  2.016680512660E-025  4.336648113946E-025  1.152266369971E+001
 7.199740775769E-005  6.813475952329E-001  9.999995643113E-001  6.464277997677E-025  2.059857729043E-025  4.404420268634E-025  1.176936442436E+001
 7.256280753409E-005  6.801922315162E-001  9.999995590855E-001  6.574880171865E-025  2.102697755813E-025  4.472182416053E-025  1.201413855604E+001
