# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.120000E-002  3.548134E-004  6.509760E-002  6.509673E-002  8.753273E-007  1.344638E-005  6.898433E-005
  9.120000E-002  3.981072E-004  7.305273E-002  7.305134E-002  1.387425E-006  1.899210E-005  8.684223E-005
  9.120000E-002  4.466836E-004  8.198348E-002  8.198128E-002  2.199168E-006  2.682452E-005  1.093218E-004
  9.120000E-002  5.011872E-004  9.201093E-002  9.200745E-002  3.485934E-006  3.788609E-005  1.376185E-004
  9.120000E-002  5.623413E-004  1.032718E-001  1.032663E-001  5.525799E-006  5.350735E-005  1.732368E-004
  9.120000E-002  6.309573E-004  1.159206E-001  1.159118E-001  8.759705E-006  7.556643E-005  2.180694E-004
  9.120000E-002  7.079458E-004  1.301324E-001  1.301185E-001  1.388695E-005  1.067140E-004  2.744980E-004
  9.120000E-002  7.943282E-004  1.461061E-001  1.460841E-001  2.201670E-005  1.506898E-004  3.455186E-004
  9.120000E-002  8.912509E-004  1.640680E-001  1.640331E-001  3.490857E-005  2.127689E-004  4.348997E-004
  9.120000E-002  1.000000E-003  1.842768E-001  1.842215E-001  5.535461E-005  3.003884E-004  5.473810E-004
  9.120000E-002  1.122018E-003  2.070293E-001  2.069415E-001  8.778625E-005  4.240281E-004  6.889228E-004
  9.120000E-002  1.258925E-003  2.326677E-001  2.325285E-001  1.392388E-004  5.984448E-004  8.670198E-004
  9.120000E-002  1.412538E-003  2.615891E-001  2.613682E-001  2.208854E-004  8.443984E-004  1.091096E-003
  9.120000E-002  1.584893E-003  2.942569E-001  2.939064E-001  3.504770E-004  1.191058E-003  1.373000E-003
  9.120000E-002  1.778279E-003  3.312167E-001  3.306605E-001  5.562261E-004  1.679342E-003  1.727637E-003
  9.120000E-002  1.995262E-003  3.731157E-001  3.722328E-001  8.829898E-004  2.366530E-003  2.173762E-003
  9.120000E-002  2.238721E-003  4.207291E-001  4.193270E-001  1.402113E-003  3.332580E-003  2.734998E-003
  9.120000E-002  2.511886E-003  4.749931E-001  4.727660E-001  2.227093E-003  4.688685E-003  3.441147E-003
  9.120000E-002  2.818383E-003  5.370492E-001  5.335107E-001  3.538461E-003  6.588710E-003  4.329911E-003
  9.120000E-002  3.162278E-003  6.082981E-001  6.026749E-001  5.623195E-003  9.244143E-003  5.449167E-003
  9.120000E-002  3.548134E-003  6.904669E-001  6.815302E-001  8.936747E-003  1.294305E-002  6.860091E-003
  9.120000E-002  3.981072E-003  7.856837E-001  7.714841E-001  1.419965E-002  1.807298E-002  8.641525E-003
  9.120000E-002  4.466836E-003  8.965484E-001  8.740033E-001  2.254508E-002  2.514653E-002  1.089631E-002
  9.120000E-002  5.011872E-003  1.026167E+000  9.904300E-001  3.573691E-002  3.482563E-002  1.376071E-002
  9.120000E-002  5.623413E-003  1.178079E+000  1.121606E+000  5.647256E-002  4.793615E-002  1.741890E-002
  9.120000E-002  6.309573E-003  1.355934E+000  1.267179E+000  8.875468E-002  6.545650E-002  2.212554E-002
