# DL07 PAH, cation: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.120000E-002  3.548134E-004  7.711686E-002
  9.120000E-002  3.981072E-004  8.750054E-002
  9.120000E-002  4.466836E-004  9.731325E-002
  9.120000E-002  5.011872E-004  1.085915E-001
  9.120000E-002  5.623413E-004  1.227992E-001
  9.120000E-002  6.309573E-004  1.370313E-001
  9.120000E-002  7.079458E-004  1.540455E-001
  9.120000E-002  7.943282E-004  1.729199E-001
  9.120000E-002  8.912509E-004  1.938135E-001
  9.120000E-002  1.000000E-003  2.172921E-001
  9.120000E-002  1.122018E-003  2.438473E-001
  9.120000E-002  1.258925E-003  2.736262E-001
  9.120000E-002  1.412538E-003  3.070275E-001
  9.120000E-002  1.584893E-003  3.443853E-001
  9.120000E-002  1.778279E-003  3.864362E-001
  9.120000E-002  1.995262E-003  4.335620E-001
  9.120000E-002  2.238721E-003  4.864811E-001
  9.120000E-002  2.511886E-003  5.459136E-001
  9.120000E-002  2.818383E-003  6.125561E-001
  9.120000E-002  3.162278E-003  6.873528E-001
  9.120000E-002  3.548134E-003  7.712558E-001
  9.120000E-002  3.981072E-003  8.654366E-001
  9.120000E-002  4.466836E-003  9.711242E-001
  9.120000E-002  5.011872E-003  1.088999E+000
  9.120000E-002  5.623413E-003  1.192723E+000
  9.120000E-002  6.309573E-003  1.319378E+000
  9.120000E-002  7.079458E-003  1.464981E+000
  9.120000E-002  7.943282E-003  1.621717E+000
  9.120000E-002  8.912509E-003  1.775838E+000
  9.120000E-002  1.000000E-002  1.906684E+000
  9.120000E-002  1.122018E-002  1.989664E+000
  9.120000E-002  1.258925E-002  2.006222E+000
  9.120000E-002  1.412538E-002  1.958153E+000
  9.120000E-002  1.584893E-002  1.873461E+000
  9.120000E-002  1.778279E-002  1.792834E+000
  9.120000E-002  1.995262E-002  1.743428E+000
  9.120000E-002  2.238721E-002  1.716371E+000
  9.120000E-002  2.511886E-002  1.672680E+000
  9.120000E-002  2.818383E-002  1.598072E+000
  9.120000E-002  3.162278E-002  1.529499E+000
  9.120000E-002  3.548134E-002  1.482541E+000
  9.120000E-002  3.981072E-002  1.425327E+000
  9.120000E-002  4.466836E-002  1.367317E+000
  9.120000E-002  5.011872E-002  1.320361E+000
  9.120000E-002  5.623413E-002  1.268934E+000
  9.120000E-002  6.309573E-002  1.225118E+000
  9.120000E-002  7.079458E-002  1.181141E+000
  9.120000E-002  7.943282E-002  1.141186E+000
  9.120000E-002  8.912509E-002  1.103816E+000
  9.120000E-002  1.000000E-001  1.068636E+000
  9.120000E-002  1.122018E-001  1.035900E+000
  9.120000E-002  1.258925E-001  1.005485E+000
  9.120000E-002  1.412538E-001  9.772235E-001
  9.120000E-002  1.584893E-001  9.509732E-001
  9.120000E-002  1.778279E-001  9.266493E-001
  9.120000E-002  1.995262E-001  9.041246E-001
  9.120000E-002  2.238721E-001  8.832896E-001
  9.120000E-002  2.511886E-001  8.640379E-001
  9.120000E-002  2.818383E-001  8.462715E-001
  9.120000E-002  3.162278E-001  8.298960E-001
  9.120000E-002  3.548134E-001  8.148206E-001
  9.120000E-002  3.981072E-001  8.009594E-001
  9.120000E-002  4.466836E-001  7.882306E-001
  9.120000E-002  5.011872E-001  7.765563E-001
