# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.120000E-002  3.548134E-004  4.729597E-002  4.729558E-002  3.874495E-007  8.192020E-006  9.353671E-005
  9.120000E-002  3.981072E-004  5.307286E-002  5.307225E-002  6.140890E-007  1.157068E-005  1.177528E-004
  9.120000E-002  4.466836E-004  5.955708E-002  5.955611E-002  9.733103E-007  1.634248E-005  1.482374E-004
  9.120000E-002  5.011872E-004  6.683593E-002  6.683439E-002  1.542681E-006  2.308162E-005  1.866127E-004
  9.120000E-002  5.623413E-004  7.500777E-002  7.500533E-002  2.445158E-006  3.259873E-005  2.349204E-004
  9.120000E-002  6.309573E-004  8.418357E-002  8.417970E-002  3.875653E-006  4.603811E-005  2.957301E-004
  9.120000E-002  7.079458E-004  9.448863E-002  9.448249E-002  6.143156E-006  6.501476E-005  3.722754E-004
  9.120000E-002  7.943282E-004  1.060647E-001  1.060549E-001  9.737528E-006  9.180745E-005  4.686259E-004
  9.120000E-002  8.912509E-004  1.190724E-001  1.190570E-001  1.543542E-005  1.296306E-004  5.899019E-004
  9.120000E-002  1.000000E-003  1.336943E-001  1.336698E-001  2.446827E-005  1.830166E-004  7.425461E-004
  9.120000E-002  1.122018E-003  1.501383E-001  1.500995E-001  3.878871E-005  2.583532E-004  9.346640E-004
  9.120000E-002  1.258925E-003  1.686423E-001  1.685808E-001  6.149324E-005  3.646371E-004  1.176452E-003
  9.120000E-002  1.412538E-003  1.894793E-001  1.893818E-001  9.749262E-005  5.145292E-004  1.480737E-003
  9.120000E-002  1.584893E-003  2.129644E-001  2.128099E-001  1.545754E-004  7.258272E-004  1.863654E-003
  9.120000E-002  1.778279E-003  2.394634E-001  2.392183E-001  2.450944E-004  1.023515E-003  2.345500E-003
  9.120000E-002  1.995262E-003  2.694032E-001  2.690146E-001  3.886412E-004  1.442600E-003  2.951815E-003
  9.120000E-002  2.238721E-003  3.032863E-001  3.026700E-001  6.162831E-004  2.032018E-003  3.714748E-003
  9.120000E-002  2.511886E-003  3.417077E-001  3.407304E-001  9.772683E-004  2.859954E-003  4.674793E-003
  9.120000E-002  2.818383E-003  3.853777E-001  3.838281E-001  1.549615E-003  4.021029E-003  5.883028E-003
  9.120000E-002  3.162278E-003  4.351498E-001  4.326930E-001  2.456776E-003  5.645816E-003  7.404000E-003
  9.120000E-002  3.548134E-003  4.920540E-001  4.881603E-001  3.893713E-003  7.913182E-003  9.319537E-003
  9.120000E-002  3.981072E-003  5.573356E-001  5.511683E-001  6.167330E-003  1.106574E-002  1.173385E-002
  9.120000E-002  4.466836E-003  6.324935E-001  6.227353E-001  9.758219E-003  1.542817E-002  1.478058E-002
  9.120000E-002  5.011872E-003  7.193067E-001  7.038940E-001  1.541264E-002  2.142707E-002  1.863273E-002
  9.120000E-002  5.623413E-003  8.198223E-001  7.955485E-001  2.427380E-002  2.960862E-002  2.351724E-002
  9.120000E-002  6.309573E-003  9.362531E-001  8.981976E-001  3.805552E-002  4.064662E-002  2.973682E-002
  9.120000E-002  7.079458E-003  1.070690E+000  1.011452E+000  5.923815E-002  5.532709E-002  3.770357E-002
  9.120000E-002  7.943282E-003  1.224489E+000  1.133280E+000  9.120876E-002  7.448718E-002  4.799106E-002
  9.120000E-002  8.912509E-003  1.397185E+000  1.259035E+000  1.381503E-001  9.887761E-002  6.141436E-002
  9.120000E-002  1.000000E-002  1.584927E+000  1.380604E+000  2.043230E-001  1.289163E-001  7.914729E-002
  9.120000E-002  1.122018E-002  1.778988E+000  1.486655E+000  2.923321E-001  1.643250E-001  1.028762E-001
  9.120000E-002  1.258925E-002  1.965768E+000  1.565305E+000  4.004638E-001  2.037187E-001  1.349477E-001
  9.120000E-002  1.412538E-002  2.130178E+000  1.609606E+000  5.205712E-001  2.443792E-001  1.783620E-001
  9.120000E-002  1.584893E-002  2.262319E+000  1.622962E+000  6.393567E-001  2.826112E-001  2.362763E-001
  9.120000E-002  1.778279E-002  2.363478E+000  1.618993E+000  7.444849E-001  3.149955E-001  3.105255E-001
  9.120000E-002  1.995262E-002  2.445744E+000  1.613619E+000  8.321253E-001  3.402339E-001  3.988152E-001
  9.120000E-002  2.238721E-002  2.522438E+000  1.613279E+000  9.091585E-001  3.604285E-001  4.912516E-001
  9.120000E-002  2.511886E-002  2.592850E+000  1.607690E+000  9.851608E-001  3.799528E-001  5.707992E-001
  9.120000E-002  2.818383E-002  2.640428E+000  1.581882E+000  1.058546E+000  4.008995E-001  6.257267E-001
  9.120000E-002  3.162278E-002  2.660077E+000  1.542456E+000  1.117621E+000  4.201463E-001  6.632130E-001
  9.120000E-002  3.548134E-002  2.669597E+000  1.508235E+000  1.161362E+000  4.350328E-001  6.976991E-001
  9.120000E-002  3.981072E-002  2.672174E+000  1.472901E+000  1.199273E+000  4.488004E-001  7.287148E-001
  9.120000E-002  4.466836E-002  2.658901E+000  1.429643E+000  1.229258E+000  4.623181E-001  7.507539E-001
  9.120000E-002  5.011872E-002  2.641960E+000  1.390968E+000  1.250992E+000  4.735092E-001  7.699204E-001
  9.120000E-002  5.623413E-002  2.619163E+000  1.349956E+000  1.269207E+000  4.845851E-001  7.857415E-001
  9.120000E-002  6.309573E-002  2.593856E+000  1.311332E+000  1.282525E+000  4.944470E-001  7.986149E-001
  9.120000E-002  7.079458E-002  2.566363E+000  1.272967E+000  1.293396E+000  5.039801E-001  8.094037E-001
  9.120000E-002  7.943282E-002  2.538632E+000  1.236997E+000  1.301634E+000  5.127306E-001  8.184632E-001
  9.120000E-002  8.912509E-002  2.510422E+000  1.202527E+000  1.307895E+000  5.209861E-001  8.259482E-001
  9.120000E-002  1.000000E-001  2.482446E+000  1.169910E+000  1.312535E+000  5.287267E-001  8.322488E-001
  9.120000E-002  1.122018E-001  2.455033E+000  1.139289E+000  1.315744E+000  5.359374E-001  8.375413E-001
  9.120000E-002  1.258925E-001  2.428355E+000  1.110619E+000  1.317736E+000  5.426456E-001  8.419826E-001
  9.120000E-002  1.412538E-001  2.402551E+000  1.083848E+000  1.318703E+000  5.488762E-001  8.457134E-001
  9.120000E-002  1.584893E-001  2.377722E+000  1.058912E+000  1.318809E+000  5.546525E-001  8.488483E-001
  9.120000E-002  1.778279E-001  2.353941E+000  1.035745E+000  1.318195E+000  5.599951E-001  8.514802E-001
  9.120000E-002  1.995262E-001  2.331255E+000  1.014271E+000  1.316984E+000  5.649249E-001  8.536885E-001
  9.120000E-002  2.238721E-001  2.309680E+000  9.943972E-001  1.315283E+000  5.694654E-001  8.555377E-001
  9.120000E-002  2.511886E-001  2.289221E+000  9.760364E-001  1.313185E+000  5.736382E-001  8.570823E-001
  9.120000E-002  2.818383E-001  2.269868E+000  9.590995E-001  1.310769E+000  5.774647E-001  8.583675E-001
  9.120000E-002  3.162278E-001  2.251602E+000  9.434981E-001  1.308104E+000  5.809659E-001  8.594318E-001
  9.120000E-002  3.548134E-001  2.234396E+000  9.291460E-001  1.305250E+000  5.841623E-001  8.603077E-001
  9.120000E-002  3.981072E-001  2.218216E+000  9.159599E-001  1.302256E+000  5.870736E-001  8.610227E-001
  9.120000E-002  4.466836E-001  2.203026E+000  9.038595E-001  1.299167E+000  5.897191E-001  8.616003E-001
  9.120000E-002  5.011872E-001  2.188786E+000  8.927681E-001  1.296018E+000  5.921172E-001  8.620606E-001
  9.120000E-002  5.623413E-001  2.175454E+000  8.826127E-001  1.292841E+000  5.942856E-001  8.624208E-001
  9.120000E-002  6.309573E-001  2.162986E+000  8.733242E-001  1.289662E+000  5.962415E-001  8.626957E-001
  9.120000E-002  7.079458E-001  2.151341E+000  8.648371E-001  1.286504E+000  5.980008E-001  8.628981E-001
  9.120000E-002  7.943282E-001  2.140473E+000  8.570899E-001  1.283383E+000  5.995793E-001  8.630388E-001
  9.120000E-002  8.912509E-001  2.130341E+000  8.500245E-001  1.280317E+000  6.009914E-001  8.631274E-001
  9.120000E-002  1.000000E+000  2.120902E+000  8.435867E-001  1.277315E+000  6.022510E-001  8.631721E-001
  9.120000E-002  1.122018E+000  2.112116E+000  8.377258E-001  1.274390E+000  6.033713E-001  8.631800E-001
  9.120000E-002  1.258925E+000  2.103942E+000  8.323944E-001  1.271548E+000  6.043644E-001  8.631572E-001
  9.120000E-002  1.412538E+000  2.096343E+000  8.275485E-001  1.268794E+000  6.052418E-001  8.631091E-001
  9.120000E-002  1.584893E+000  2.089282E+000  8.231471E-001  1.266135E+000  6.060143E-001  8.630401E-001
  9.120000E-002  1.778279E+000  2.082724E+000  8.191524E-001  1.263572E+000  6.066919E-001  8.629544E-001
  9.120000E-002  1.995262E+000  2.076637E+000  8.155291E-001  1.261108E+000  6.072837E-001  8.628552E-001
  9.120000E-002  2.238721E+000  2.070988E+000  8.122448E-001  1.258743E+000  6.077983E-001  8.627456E-001
  9.120000E-002  2.511886E+000  2.065747E+000  8.092697E-001  1.256477E+000  6.082436E-001  8.626280E-001
  9.120000E-002  2.818383E+000  2.060888E+000  8.065762E-001  1.254311E+000  6.086268E-001  8.625047E-001
  9.120000E-002  3.162278E+000  2.056382E+000  8.041390E-001  1.252243E+000  6.089545E-001  8.623776E-001
  9.120000E-002  3.548134E+000  2.052206E+000  8.019348E-001  1.250272E+000  6.092329E-001  8.622480E-001
  9.120000E-002  3.981072E+000  2.048337E+000  7.999424E-001  1.248394E+000  6.094673E-001  8.621176E-001
  9.120000E-002  4.466836E+000  2.044751E+000  7.981423E-001  1.246609E+000  6.096629E-001  8.619872E-001
  9.120000E-002  5.011872E+000  2.041430E+000  7.965166E-001  1.244914E+000  6.098242E-001  8.618579E-001
  9.226000E-002  3.548134E-004  4.584311E-002  4.584274E-002  3.739981E-007  8.158218E-006  9.258138E-005
  9.226000E-002  3.981072E-004  5.144269E-002  5.144210E-002  5.927709E-007  1.152294E-005  1.165500E-004
  9.226000E-002  4.466836E-004  5.772794E-002  5.772700E-002  9.395256E-007  1.627506E-005  1.467229E-004
  9.226000E-002  5.011872E-004  6.478352E-002  6.478203E-002  1.489140E-006  2.298641E-005  1.847056E-004
  9.226000E-002  5.623413E-004  7.270483E-002  7.270247E-002  2.360311E-006  3.246429E-005  2.325188E-004
  9.226000E-002  6.309573E-004  8.159948E-002  8.159574E-002  3.741198E-006  4.584830E-005  2.927056E-004
  9.226000E-002  7.079458E-004  9.158905E-002  9.158312E-002  5.930097E-006  6.474679E-005  3.684661E-004
  9.226000E-002  7.943282E-004  1.028111E-001  1.028017E-001  9.399933E-006  9.142920E-005  4.638275E-004
  9.226000E-002  8.912509E-004  1.154215E-001  1.154066E-001  1.490054E-005  1.290968E-004  5.838566E-004
  9.226000E-002  1.000000E-003  1.295975E-001  1.295739E-001  2.362088E-005  1.822634E-004  7.349284E-004
  9.226000E-002  1.122018E-003  1.455412E-001  1.455037E-001  3.744641E-005  2.572908E-004  9.250621E-004
  9.226000E-002  1.258925E-003  1.634838E-001  1.634244E-001  5.936738E-005  3.631393E-004  1.164345E-003
  9.226000E-002  1.412538E-003  1.836909E-001  1.835968E-001  9.412661E-005  5.124185E-004  1.465464E-003
  9.226000E-002  1.584893E-003  2.064695E-001  2.063203E-001  1.492475E-004  7.228547E-004  1.844376E-003
  9.226000E-002  1.778279E-003  2.321763E-001  2.319396E-001  2.366649E-004  1.019333E-003  2.321149E-003
  9.226000E-002  1.995262E-003  2.612284E-001  2.608531E-001  3.753127E-004  1.436722E-003  2.921024E-003
  9.226000E-002  2.238721E-003  2.941177E-001  2.935225E-001  5.952264E-004  2.023769E-003  3.675763E-003
  9.226000E-002  2.511886E-003  3.314286E-001  3.304845E-001  9.440416E-004  2.848401E-003  4.625349E-003
  9.226000E-002  2.818383E-003  3.738607E-001  3.723634E-001  1.497271E-003  4.004889E-003  5.820180E-003
  9.226000E-002  3.162278E-003  4.222584E-001  4.198839E-001  2.374505E-003  5.623346E-003  7.323882E-003
  9.226000E-002  3.548134E-003  4.776466E-001  4.738818E-001  3.764832E-003  7.882044E-003  9.217019E-003
  9.226000E-002  3.981072E-003  5.412732E-001  5.353068E-001  5.966380E-003  1.102286E-002  1.160204E-002
  9.226000E-002  4.466836E-003  6.146542E-001  6.052072E-001  9.447016E-003  1.536964E-002  1.461006E-002
  9.226000E-002  5.011872E-003  6.996122E-001  6.846768E-001  1.493543E-002  2.134815E-002  1.841042E-002
  9.226000E-002  5.623413E-003  7.982833E-001  7.747307E-001  2.355260E-002  2.950406E-002  2.322466E-002
  9.226000E-002  6.309573E-003  9.130435E-001  8.760546E-001  3.698890E-002  4.051165E-002  2.934736E-002
  9.226000E-002  7.079458E-003  1.046262E+000  9.885506E-001  5.771151E-002  5.515971E-002  3.717831E-002
  9.226000E-002  7.943282E-003  1.199733E+000  1.110601E+000  8.913145E-002  7.429275E-002  4.727240E-002
  9.226000E-002  8.912509E-003  1.373601E+000  1.238057E+000  1.355430E-001  9.867720E-002  6.041657E-002
  9.226000E-002  1.000000E-002  1.564717E+000  1.363244E+000  2.014726E-001  1.287598E-001  7.774355E-002
  9.226000E-002  1.122018E-002  1.764849E+000  1.474871E+000  2.899776E-001  1.643074E-001  1.008829E-001
  9.226000E-002  1.258925E-002  1.960160E+000  1.560303E+000  3.998574E-001  2.039922E-001  1.321115E-001
