# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  6.205399E-005  3.548134E-004  1.725031E-006  1.715257E-006  9.773838E-009  5.665891E-003  9.968605E-001
  6.205399E-005  3.981072E-004  1.936862E-006  1.924550E-006  1.231211E-008  6.356728E-003  9.974369E-001
  6.205399E-005  4.466836E-004  2.174888E-006  2.159381E-006  1.550783E-008  7.130401E-003  9.979085E-001
  6.205399E-005  5.011872E-004  2.442396E-006  2.422864E-006  1.953126E-008  7.996764E-003  9.982907E-001
  6.205399E-005  5.623413E-004  2.743095E-006  2.718498E-006  2.459664E-008  8.966750E-003  9.986071E-001
  6.205399E-005  6.309573E-004  3.081178E-006  3.050205E-006  3.097378E-008  1.005258E-002  9.988676E-001
  6.205399E-005  7.079458E-004  3.461387E-006  3.422385E-006  3.900238E-008  1.126785E-002  9.990781E-001
  6.205399E-005  7.943282E-004  3.889088E-006  3.839978E-006  4.911004E-008  1.262765E-002  9.992491E-001
  6.205399E-005  8.912509E-004  4.370360E-006  4.308525E-006  6.183500E-008  1.414872E-002  9.993898E-001
  6.205399E-005  1.000000E-003  4.912098E-006  4.834243E-006  7.785502E-008  1.584965E-002  9.995041E-001
  6.205399E-005  1.122018E-003  5.522132E-006  5.424109E-006  9.802324E-008  1.775098E-002  9.995971E-001
  6.205399E-005  1.258925E-003  6.209361E-006  6.085948E-006  1.234137E-007  1.987543E-002  9.996729E-001
  6.205399E-005  1.412538E-003  6.983921E-006  6.828543E-006  1.553787E-007  2.224806E-002  9.997346E-001
  6.205399E-005  1.584893E-003  7.857368E-006  7.661747E-006  1.956204E-007  2.489643E-002  9.997847E-001
  6.205399E-005  1.778279E-003  8.842899E-006  8.596617E-006  2.462818E-007  2.785080E-002  9.998255E-001
  6.205399E-005  1.995262E-003  9.955618E-006  9.645557E-006  3.100610E-007  3.114432E-002  9.998586E-001
  6.205399E-005  2.238721E-003  1.121284E-005  1.082249E-005  3.903544E-007  3.481316E-002  9.998854E-001
  6.205399E-005  2.511886E-003  1.263446E-005  1.214302E-005  4.914378E-007  3.889663E-002  9.999072E-001
  6.205399E-005  2.818383E-003  1.424338E-005  1.362468E-005  6.186944E-007  4.343735E-002  9.999249E-001
  6.205399E-005  3.162278E-003  1.606603E-005  1.528713E-005  7.789010E-007  4.848124E-002  9.999392E-001
  6.205399E-005  3.548134E-003  1.813301E-005  1.715242E-005  9.805891E-007  5.407756E-002  9.999508E-001
  6.205399E-005  3.981072E-003  2.047981E-005  1.924531E-005  1.234499E-006  6.027882E-002  9.999602E-001
  6.205399E-005  4.466836E-003  2.314772E-005  2.159357E-005  1.554152E-006  6.714062E-002  9.999678E-001
  6.205399E-005  5.011872E-003  2.618492E-005  2.422835E-005  1.956571E-006  7.472130E-002  9.999740E-001
  6.205399E-005  5.623413E-003  2.964779E-005  2.718461E-005  2.463185E-006  8.308158E-002  9.999790E-001
  6.205399E-005  6.309573E-003  3.360255E-005  3.050157E-005  3.100973E-006  9.228388E-002  9.999830E-001
  6.205399E-005  7.079458E-003  3.812715E-005  3.422326E-005  3.903898E-006  1.023915E-001  9.999863E-001
  6.205399E-005  7.943282E-003  4.331375E-005  3.839903E-005  4.914717E-006  1.134678E-001  9.999889E-001
  6.205399E-005  8.912509E-003  4.927157E-005  4.308431E-005  6.187258E-006  1.255746E-001  9.999911E-001
  6.205399E-005  1.000000E-002  5.613053E-005  4.834125E-005  7.789284E-006  1.387709E-001  9.999928E-001
  6.205399E-005  1.122018E-002  6.404570E-005  5.423959E-005  9.806105E-006  1.531111E-001  9.999942E-001
  6.205399E-005  1.258925E-002  7.320272E-005  6.085760E-005  1.234512E-005  1.686429E-001  9.999953E-001
  6.205399E-005  1.412538E-002  8.382458E-005  6.828306E-005  1.554152E-005  1.854053E-001  9.999962E-001
  6.205399E-005  1.584893E-002  9.618002E-005  7.661450E-005  1.956552E-005  2.034261E-001  9.999970E-001
  6.205399E-005  1.778279E-002  1.105938E-004  8.596243E-005  2.463140E-005  2.227195E-001  9.999975E-001
  6.205399E-005  1.995262E-002  1.274598E-004  9.645086E-005  3.100889E-005  2.432838E-001  9.999980E-001
  6.205399E-005  2.238721E-002  1.472565E-004  1.082189E-004  3.903759E-005  2.650992E-001  9.999984E-001
  6.205399E-005  2.511886E-002  1.705677E-004  1.214227E-004  4.914498E-005  2.881259E-001  9.999987E-001
  6.205399E-005  2.818383E-002  1.981067E-004  1.362374E-004  6.186924E-005  3.123027E-001  9.999990E-001
  6.205399E-005  3.162278E-002  2.307473E-004  1.528595E-004  7.788786E-005  3.375461E-001  9.999992E-001
  6.205399E-005  3.548134E-002  2.695630E-004  1.715093E-004  9.805371E-005  3.637506E-001  9.999993E-001
  6.205399E-005  3.981072E-002  3.158748E-004  1.924344E-004  1.234404E-004  3.907891E-001  9.999995E-001
  6.205399E-005  4.466836E-002  3.713116E-004  2.159121E-004  1.553996E-004  4.185152E-001  9.999996E-001
  6.205399E-005  5.011872E-002  4.378862E-004  2.422537E-004  1.956325E-004  4.467656E-001  9.999997E-001
  6.205399E-005  5.623413E-002  5.180896E-004  2.718086E-004  2.462810E-004  4.753637E-001  9.999997E-001
  6.205399E-005  6.309573E-002  6.150097E-004  3.049686E-004  3.100410E-004  5.041238E-001  9.999998E-001
  6.205399E-005  7.079458E-002  7.324796E-004  3.421733E-004  3.903063E-004  5.328563E-001  9.999998E-001
  6.205399E-005  7.943282E-002  8.752645E-004  3.839157E-004  4.913488E-004  5.613718E-001  9.999999E-001
  6.205399E-005  8.912509E-002  1.049294E-003  4.307492E-004  6.185453E-004  5.894869E-001  9.999999E-001
  6.205399E-005  1.000000E-001  1.261958E-003  4.832942E-004  7.786640E-004  6.170284E-001  9.999999E-001
  6.205399E-005  1.122018E-001  1.522470E-003  5.422470E-004  9.802233E-004  6.438374E-001  9.999999E-001
  6.205399E-005  1.258925E-001  1.842333E-003  6.083885E-004  1.233944E-003  6.697727E-001  9.999999E-001
  6.205399E-005  1.412538E-001  2.235914E-003  6.825946E-004  1.553319E-003  6.947134E-001  1.000000E+000
  6.205399E-005  1.584893E-001  2.721176E-003  7.658479E-004  1.955328E-003  7.185599E-001  1.000000E+000
  6.205399E-005  1.778279E-001  3.320586E-003  8.592503E-004  2.461336E-003  7.412353E-001  1.000000E+000
  6.205399E-005  1.995262E-001  4.062261E-003  9.640378E-004  3.098223E-003  7.626844E-001  1.000000E+000
  6.205399E-005  2.238721E-001  4.981405E-003  1.081597E-003  3.899809E-003  7.828732E-001  1.000000E+000
  6.205399E-005  2.511886E-001  6.122109E-003  1.213481E-003  4.908628E-003  8.017871E-001  1.000000E+000
  6.205399E-005  2.818383E-001  7.539609E-003  1.361435E-003  6.178174E-003  8.194290E-001  1.000000E+000
  6.205399E-005  3.162278E-001  9.303112E-003  1.527412E-003  7.775700E-003  8.358171E-001  1.000000E+000
  6.205399E-005  3.548134E-001  1.149934E-002  1.713605E-003  9.785738E-003  8.509824E-001  1.000000E+000
  6.205399E-005  3.981072E-001  1.423696E-002  1.922470E-003  1.231449E-002  8.649663E-001  1.000000E+000
  6.205399E-005  4.466836E-001  1.765210E-002  2.156762E-003  1.549534E-002  8.778184E-001  1.000000E+000
  6.205399E-005  5.011872E-001  2.191525E-002  2.419569E-003  1.949568E-002  8.895943E-001  1.000000E+000
  6.205399E-005  5.623413E-001  2.723979E-002  2.714350E-003  2.452544E-002  9.003535E-001  1.000000E+000
  6.205399E-005  6.309573E-001  3.389267E-002  3.044983E-003  3.084769E-002  9.101581E-001  1.000000E+000
  6.205399E-005  7.079458E-001  4.220746E-002  3.415812E-003  3.879165E-002  9.190709E-001  1.000000E+000
  6.205399E-005  7.943282E-001  5.260045E-002  3.831705E-003  4.876874E-002  9.271545E-001  1.000000E+000
  6.205399E-005  8.912509E-001  6.559032E-002  4.298112E-003  6.129221E-002  9.344703E-001  1.000000E+000
  6.205399E-005  1.000000E+000  8.182189E-002  4.821136E-003  7.700076E-002  9.410777E-001  1.000000E+000
  6.205399E-005  1.122018E+000  1.020945E-001  5.407611E-003  9.668689E-002  9.470333E-001  1.000000E+000
  6.205399E-005  1.258925E+000  1.273954E-001  6.065184E-003  1.213302E-001  9.523909E-001  1.000000E+000
  6.205399E-005  1.412538E+000  1.589383E-001  6.802411E-003  1.521358E-001  9.572009E-001  1.000000E+000
  6.205399E-005  1.584893E+000  1.982057E-001  7.628860E-003  1.905768E-001  9.615104E-001  1.000000E+000
  6.205399E-005  1.778279E+000  2.469943E-001  8.555231E-003  2.384391E-001  9.653626E-001  1.000000E+000
  6.205399E-005  1.995262E+000  3.074584E-001  9.593477E-003  2.978649E-001  9.687975E-001  1.000000E+000
  6.205399E-005  2.238721E+000  3.821436E-001  1.075695E-002  3.713867E-001  9.718510E-001  1.000000E+000
  6.205399E-005  2.511886E+000  4.740001E-001  1.206056E-002  4.619395E-001  9.745558E-001  1.000000E+000
  6.205399E-005  2.818383E+000  5.863523E-001  1.352093E-002  5.728314E-001  9.769406E-001  1.000000E+000
  6.205399E-005  3.162278E+000  7.227957E-001  1.515660E-002  7.076391E-001  9.790306E-001  1.000000E+000
  6.205399E-005  3.548134E+000  8.869716E-001  1.698822E-002  8.699834E-001  9.808469E-001  1.000000E+000
