# Extinction, albedo, and scattering asymmetry for the
# Hensley & Draine (2023) astrodust+PAH Milky-Way model.
#
# Astrodust grains: random-orientation T-matrix optics
#   (Draine & Hensley 2021 dielectric, P=0.20, fFe=0, b/a=1.4);
#   Cabs, Csca and <cos> from the T-matrix Q table.
# PAH: charge-resolved DL07 absorption (neutral+cation by f_ion,
#   100 A -> 100% ionized); PAH scattering is negligible and not
#   modelled, so PAH adds to extinction via absorption only.
# Size integral over the HD23 release size distribution (per H).
# Computed from the SED pipeline optics (sed_init), all components.
# Dust mass per H, M_dust/N_H =  1.184949E-26 g/H  (rho_Ad=2.74, rho_PAH=2.0 g/cm^3; K_abs = C_abs/H / this).
#
#        lambda     albedo      <cos>         C_ext/H         C_abs/H         C_sca/H           K_abs
#      (micron)                              (cm^2/H)        (cm^2/H)        (cm^2/H)        (cm^2/g)
 1.0000000E-004   0.999581   0.000004  1.3249854E-021  5.5517571E-025  1.3244302E-021  4.6852278E+001
 1.0079670E-004   0.999572   0.000004  1.3249855E-021  5.6764433E-025  1.3244178E-021  4.7904528E+001
 1.0162300E-004   0.999562   0.000004  1.3249855E-021  5.8047482E-025  1.3244050E-021  4.8987316E+001
 1.0331670E-004   0.999541   0.000004  1.3249856E-021  6.0777099E-025  1.3243778E-021  5.1290890E+001
 1.0780870E-004   0.999482   0.000000  1.3180442E-021  6.8307093E-025  1.3173611E-021  5.7645587E+001
 1.1270910E-004   0.999412   0.000007  1.3120599E-021  7.7179142E-025  1.3112881E-021  6.5132869E+001
 1.1807620E-004   0.999332   0.000007  1.3120602E-021  8.7650996E-025  1.3111837E-021  7.3970255E+001
 1.2398000E-004   0.999234   0.000000  1.3068826E-021  1.0010231E-024  1.3058816E-021  8.4478148E+001
 1.2715900E-004   0.999177   0.000000  1.3023994E-021  1.0722453E-024  1.3013271E-021  9.0488712E+001
 1.3050530E-004   0.999117   0.000000  1.3023998E-021  1.1503505E-024  1.3012494E-021  9.7080151E+001
 1.3403240E-004   0.999048   0.000015  1.2985272E-021  1.2359830E-024  1.2972912E-021  1.0430683E+002
 1.3775560E-004   0.998975   0.000015  1.2985276E-021  1.3307804E-024  1.2971969E-021  1.1230696E+002
 1.4169140E-004   0.998892   0.000000  1.2951218E-021  1.4349332E-024  1.2936869E-021  1.2109660E+002
 1.4585880E-004   0.998803   0.000000  1.2951223E-021  1.5505760E-024  1.2935717E-021  1.3085590E+002
 1.4759520E-004   0.998764   0.000000  1.2951225E-021  1.6004822E-024  1.2935220E-021  1.3506758E+002
 1.4847900E-004   0.998744   0.000000  1.2951226E-021  1.6260541E-024  1.2934966E-021  1.3722564E+002
 1.4849680E-004   0.998744   0.000000  1.2951226E-021  1.6268467E-024  1.2934958E-021  1.3729252E+002
 1.4850570E-004   0.998744   0.000000  1.2951226E-021  1.6267508E-024  1.2934958E-021  1.3728443E+002
 1.4851110E-004   0.998744   0.000000  1.2951226E-021  1.6271853E-024  1.2934954E-021  1.3732110E+002
 1.4851280E-004   0.998744   0.000000  1.2951226E-021  1.6271661E-024  1.2934954E-021  1.3731948E+002
 1.4851370E-004   0.998744   0.000000  1.2951226E-021  1.6271566E-024  1.2934954E-021  1.3731868E+002
 1.4851430E-004   0.998744   0.000000  1.2951226E-021  1.6271507E-024  1.2934955E-021  1.3731818E+002
 1.4851440E-004   0.998744   0.000000  1.2951226E-021  1.6271488E-024  1.2934955E-021  1.3731802E+002
 1.4851480E-004   0.998795   0.000000  1.2951225E-021  1.5606880E-024  1.2935618E-021  1.3170927E+002
 1.4851500E-004   0.998795   0.000000  1.2951225E-021  1.5606861E-024  1.2935618E-021  1.3170911E+002
 1.4851550E-004   0.998795   0.000000  1.2951225E-021  1.5606806E-024  1.2935618E-021  1.3170865E+002
 1.4851640E-004   0.998795   0.000000  1.2951225E-021  1.5606714E-024  1.2935618E-021  1.3170787E+002
 1.4851820E-004   0.998795   0.000000  1.2951225E-021  1.5611454E-024  1.2935613E-021  1.3174787E+002
 1.4852350E-004   0.998795   0.000000  1.2951225E-021  1.5610901E-024  1.2935614E-021  1.3174320E+002
 1.4856800E-004   0.998793   0.000000  1.2951225E-021  1.5625984E-024  1.2935599E-021  1.3187050E+002
 1.4865710E-004   0.998792   0.000000  1.2951225E-021  1.5646277E-024  1.2935579E-021  1.3204175E+002
 1.4937350E-004   0.998773   0.000019  1.2921860E-021  1.5851072E-024  1.2906009E-021  1.3377006E+002
 1.5497500E-004   0.998647   0.000019  1.2921866E-021  1.7479597E-024  1.2904387E-021  1.4751347E+002
 1.5997420E-004   0.998525   0.000011  1.2895713E-021  1.9019046E-024  1.2876694E-021  1.6050516E+002
 1.6530670E-004   0.998391   0.000011  1.2895725E-021  2.0745688E-024  1.2874979E-021  1.7507660E+002
 1.7100690E-004   0.998238   0.000009  1.2873101E-021  2.2677089E-024  1.2850424E-021  1.9137604E+002
 1.7339860E-004   0.998173   0.000009  1.2873106E-021  2.3525530E-024  1.2849580E-021  1.9853618E+002
 1.7388500E-004   0.998160   0.000009  1.2873106E-021  2.3691290E-024  1.2849415E-021  1.9993506E+002
 1.7400700E-004   0.998156   0.000009  1.2873107E-021  2.3737749E-024  1.2849369E-021  2.0032714E+002
 1.7401920E-004   0.998156   0.000009  1.2873107E-021  2.3736121E-024  1.2849371E-021  2.0031340E+002
 1.7402660E-004   0.998155   0.000009  1.2873108E-021  2.3756041E-024  1.2849352E-021  2.0048151E+002
 1.7402900E-004   0.998155   0.000009  1.2873108E-021  2.3755716E-024  1.2849352E-021  2.0047876E+002
 1.7403020E-004   0.998155   0.000009  1.2873108E-021  2.3755553E-024  1.2849352E-021  2.0047739E+002
 1.7403100E-004   0.998155   0.000009  1.2873108E-021  2.3755455E-024  1.2849352E-021  2.0047657E+002
 1.7403120E-004   0.998155   0.000009  1.2873108E-021  2.3755422E-024  1.2849352E-021  2.0047629E+002
 1.7403170E-004   0.999399   0.000009  1.2873081E-021  7.7356614E-025  1.2865345E-021  6.5282640E+001
 1.7403190E-004   0.999399   0.000009  1.2873081E-021  7.7356508E-025  1.2865345E-021  6.5282552E+001
 1.7403270E-004   0.999399   0.000009  1.2873081E-021  7.7356201E-025  1.2865345E-021  6.5282292E+001
 1.7403390E-004   0.999399   0.000009  1.2873081E-021  7.7355684E-025  1.2865345E-021  6.5281856E+001
 1.7403630E-004   0.999399   0.000009  1.2873081E-021  7.7354650E-025  1.2865345E-021  6.5280984E+001
 1.7404370E-004   0.999399   0.000009  1.2873081E-021  7.7351550E-025  1.2865346E-021  6.5278367E+001
 1.7405590E-004   0.999399   0.000009  1.2873081E-021  7.7388613E-025  1.2865342E-021  6.5309645E+001
 1.7412920E-004   0.999398   0.000009  1.2873081E-021  7.7484221E-025  1.2865333E-021  6.5390331E+001
 1.7437410E-004   0.999396   0.000009  1.2873082E-021  7.7802142E-025  1.2865302E-021  6.5658630E+001
 1.7461970E-004   0.999393   0.000009  1.2873082E-021  7.8118876E-025  1.2865270E-021  6.5925927E+001
 1.7711430E-004   0.999368   0.000009  1.2873087E-021  8.1303613E-025  1.2864956E-021  6.8613585E+001
 1.8367410E-004   0.999298   0.000000  1.2853287E-021  9.0171986E-025  1.2844270E-021  7.6097764E+001
 1.9073850E-004   0.999218   0.000004  1.2835733E-021  1.0032861E-024  1.2825700E-021  8.4669124E+001
 1.9836800E-004   0.999127   0.000004  1.2835744E-021  1.1207854E-024  1.2824536E-021  9.4585098E+001
 2.0663330E-004   0.999019   0.000002  1.2820131E-021  1.2570311E-024  1.2807561E-021  1.0608312E+002
 2.1375860E-004   0.998920   0.000000  1.2806339E-021  1.3831406E-024  1.2792507E-021  1.1672573E+002
 2.2139290E-004   0.998808   0.000000  1.2806361E-021  1.5268412E-024  1.2791092E-021  1.2885288E+002
 2.2959260E-004   0.998679   0.000006  1.2794013E-021  1.6903433E-024  1.2777109E-021  1.4265112E+002
 2.3842310E-004   0.998531   0.000000  1.2782925E-021  1.8772383E-024  1.2764152E-021  1.5842352E+002
 2.4796000E-004   0.998362   0.000000  1.2782948E-021  2.0934929E-024  1.2762013E-021  1.7667364E+002
 2.5829170E-004   0.998163   0.000002  1.2772935E-021  2.3468764E-024  1.2749466E-021  1.9805713E+002
 2.6952170E-004   0.997932   0.000005  1.2763679E-021  2.6396748E-024  1.2737282E-021  2.2276692E+002
 2.8177270E-004   0.997660   0.000000  1.2754932E-021  2.9847464E-024  1.2725085E-021  2.5188813E+002
 2.9519050E-004   0.997343   0.000000  1.2754984E-021  3.3884146E-024  1.2721100E-021  2.8595441E+002
 3.0239020E-004   0.997162   0.000003  1.2746408E-021  3.6173935E-024  1.2710234E-021  3.0527836E+002
 3.0612350E-004   0.997066   0.000003  1.2746421E-021  3.7403212E-024  1.2709018E-021  3.1565245E+002
 3.0657760E-004   0.997055   0.000003  1.2746423E-021  3.7538522E-024  1.2708884E-021  3.1679435E+002
 3.0661560E-004   0.997053   0.000003  1.2746423E-021  3.7557608E-024  1.2708866E-021  3.1695542E+002
 3.0663830E-004   0.997052   0.000003  1.2746423E-021  3.7578457E-024  1.2708845E-021  3.1713137E+002
 3.0664590E-004   0.997052   0.000003  1.2746423E-021  3.7577571E-024  1.2708846E-021  3.1712389E+002
 3.0664970E-004   0.997052   0.000003  1.2746423E-021  3.7577129E-024  1.2708846E-021  3.1712016E+002
 3.0665200E-004   0.997052   0.000003  1.2746423E-021  3.7576863E-024  1.2708846E-021  3.1711792E+002
 3.0665270E-004   0.997052   0.000003  1.2746423E-021  3.7576773E-024  1.2708846E-021  3.1711716E+002
 3.0665420E-004   0.997211   0.000003  1.2746419E-021  3.5553965E-024  1.2710865E-021  3.0004632E+002
 3.0665500E-004   0.997211   0.000003  1.2746419E-021  3.5553880E-024  1.2710865E-021  3.0004560E+002
 3.0665730E-004   0.997211   0.000003  1.2746419E-021  3.5553631E-024  1.2710866E-021  3.0004350E+002
 3.0666110E-004   0.997211   0.000003  1.2746419E-021  3.5553213E-024  1.2710866E-021  3.0003997E+002
 3.0666860E-004   0.997211   0.000003  1.2746419E-021  3.5552375E-024  1.2710867E-021  3.0003290E+002
 3.0669140E-004   0.997211   0.000003  1.2746419E-021  3.5549866E-024  1.2710869E-021  3.0001173E+002
 3.0672930E-004   0.997209   0.000003  1.2746420E-021  3.5569211E-024  1.2710850E-021  3.0017498E+002
 3.0995000E-004   0.997129   0.000003  1.2746431E-021  3.6591064E-024  1.2709840E-021  3.0879858E+002
 3.1789740E-004   0.996918   0.000002  1.2737500E-021  3.9251447E-024  1.2698248E-021  3.3125004E+002
 3.2626320E-004   0.996691   0.000002  1.2737568E-021  4.2147837E-024  1.2695420E-021  3.5569320E+002
 3.3508110E-004   0.996440   0.000000  1.2727641E-021  4.5308915E-024  1.2682332E-021  3.8237010E+002
 3.4438890E-004   0.996164   0.000000  1.2727711E-021  4.8820901E-024  1.2678890E-021  4.1200838E+002
 3.5422860E-004   0.995858   0.000002  1.2715709E-021  5.2671636E-024  1.2663037E-021  4.4450543E+002
 3.6464710E-004   0.995523   0.000002  1.2715779E-021  5.6925904E-024  1.2658853E-021  4.8040796E+002
 3.7569700E-004   0.995147   0.000003  1.2700186E-021  6.1629187E-024  1.2638556E-021  5.2009981E+002
 3.8743750E-004   0.994735   0.000003  1.2700258E-021  6.6872744E-024  1.2633386E-021  5.6435114E+002
 3.9993550E-004   0.994266   0.000007  1.2678972E-021  7.2700513E-024  1.2606271E-021  6.1353273E+002
 4.1326670E-004   0.993751   0.000007  1.2679048E-021  7.9231378E-024  1.2599817E-021  6.6864787E+002
 4.2751720E-004   0.993154   0.000000  1.2649458E-021  8.6599775E-024  1.2562858E-021  7.3083111E+002
 4.4278570E-004   0.992498   0.000000  1.2649633E-021  9.4900482E-024  1.2554732E-021  8.0088227E+002
 4.5083640E-004   0.992114   0.000002  1.2607818E-021  9.9423017E-024  1.2508395E-021  8.3904876E+002
 4.5918520E-004   0.991731   0.000002  1.2607908E-021  1.0426110E-023  1.2503647E-021  8.7987817E+002
 4.6784910E-004   0.991327   0.000002  1.2608000E-021  1.0934424E-023  1.2498656E-021  9.2277571E+002
 4.7684620E-004   0.990853   0.000009  1.2549419E-021  1.1478492E-023  1.2434634E-021  9.6869060E+002
 4.8619610E-004   0.990392   0.000009  1.2549513E-021  1.2057043E-023  1.2428942E-021  1.0175156E+003
