# model = astrodust_MW_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Hensley & Draine (2023) astrodust+PAH Milky-Way model,
# carried into the extreme ultraviolet.
#
# Model definition: Hensley & Draine (2023), ApJ 948, 55
#   (astrodust + PAH, Milky Way R_V = 3.1 fit).
# Size distribution: ../data/release/size_distribution.dat
# Optics:
#   0.0912 - 39810 um : random-orientation T-matrix Q table,
#     ../tmatrix/output/q_astrodust_P0.20_Fe0.00_1.400.dat
#     (oblate spheroid b/a = 1.4, porosity P = 0.20, f_Fe = 0)
#   below 0.0912 um   : the same random-orientation T-matrix on the
#     same b/a = 1.4 oblate spheroid, computed directly from the
#     Draine & Hensley (2021) dielectric function,
#     ../data/dielectric/index_DH21Ad_P0.20_0.00_1.400
#     Where the size parameter leaves the T-matrix range the
#     Rayleigh dipole limit (x < 0.1) and the geometric optics
#     limit (x > 50) are used, exactly as the Q table itself does.
#   PAH : charge-resolved DL07 absorption (neutral + cation mixed by
#     f_ion, a > 100 A fully ionized).  PAH scattering is negligible
#     (Rayleigh) and is not modelled, so the PAHs enter extinction
#     through absorption only and the astrodust grains carry all the
#     scattering and the asymmetry.
#
# Wavelength range:  1.001032E-04 -  3.981000E+04 um, 1719 points.
#   The floor is set by the DH21 astrodust dielectric function,
#   whose own table stops at  1.000032E-04 um; a shorter floor is refused,
#   because (n, k) would freeze at the boundary value there.
#
# How far to trust the EUV band of THIS model:
#   Above 0.0912 um the astrodust optics are the b/a = 1.4 spheroid
#   T-matrix solution.  Below it they are volume-equivalent-sphere Mie
#   on the same dielectric function.  That shape approximation costs
#   <= 1.5% per grain in the orientation-averaged extinction and
#   0.2 - 0.7% after the size integral, and converges to a CONSTANT
#   -2.08% in the large-particle limit: by Cauchy's theorem the
#   orientation-averaged projected area of a convex particle is S/4,
#   which for b/a = 1.4 is 2.12% larger than pi a_eff^2 of the
#   volume-equivalent sphere.
#   There is NO external reference for this band: the HD23 author
#   release (extinction.dat, scattering.dat) stops at 12.4 eV.
#   Above 21.4 eV (1/lambda = 17.25 um^-1) the DL07 PAH cross section
#   is zero by construction, so the carbonaceous absorption there is
#   entirely D03 graphite -- Mie on the Draine 2003 dielectric
#   functions, random-orientation 1/3 parallel + 2/3 perpendicular.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.184949E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: rho_Ad = 2.74, rho_PAH = 2.0 g/cm^3 (HD23 conventions).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 1.001032295532E-004  9.995798187473E-001  2.562927762314E-009  1.324980140207E-021  5.567318151096E-025  1.324423408392E-021  4.698360120966E+001
 1.012661432217E-004  9.995661154075E-001  2.504198113959E-009  1.324980215253E-021  5.748885007192E-025  1.324405326752E-021  4.851587662993E+001
 1.024425666263E-004  9.995519006603E-001  2.516795446762E-009  1.324980290563E-021  5.937227933676E-025  1.324386567770E-021  5.010533652936E+001
 1.036326567113E-004  9.995371974145E-001  2.563332278372E-009  1.324980365925E-021  6.132043390715E-025  1.324367161586E-021  5.174941928063E+001
 1.048365722447E-004  9.995215751651E-001  2.617699310403E-009  1.324980441736E-021  6.339035491275E-025  1.324346538187E-021  5.349626292102E+001
 1.060544738387E-004  9.995035517400E-001  2.904315132696E-009  1.318044027920E-021  6.543406642403E-025  1.317389687256E-021  5.522098789680E+001
 1.072865239712E-004  9.994882105207E-001  2.963232277681E-009  1.318044103346E-021  6.745611053226E-025  1.317369542240E-021  5.692742736067E+001
 1.085328870080E-004  9.994714870015E-001  3.027266269358E-009  1.318044180443E-021  6.966034819100E-025  1.317347576962E-021  5.878762324528E+001
 1.097937292242E-004  9.994538199588E-001  3.095071824779E-009  1.318044258505E-021  7.198894673938E-025  1.317324369037E-021  6.075276952586E+001
 1.110692188264E-004  9.994363584509E-001  3.162816689867E-009  1.318044335671E-021  7.429045511730E-025  1.317301431120E-021  6.269505392337E+001
 1.123595259754E-004  9.994164672247E-001  3.481562613913E-009  1.312057872834E-021  7.656287718862E-025  1.311292244062E-021  6.461279186257E+001
 1.136648228088E-004  9.993970798698E-001  3.560470064478E-009  1.312057953434E-021  7.910661520971E-025  1.311266887281E-021  6.675949822138E+001
 1.149852834640E-004  9.993770829145E-001  3.641595387316E-009  1.312058034528E-021  8.173033668409E-025  1.311240731161E-021  6.897370405787E+001
 1.163210841012E-004  9.993573189850E-001  3.722660457032E-009  1.312058114692E-021  8.432348409489E-025  1.311214879851E-021  7.116210789110E+001
 1.176724029273E-004  9.993377853259E-001  3.803644719369E-009  1.312058193937E-021  8.688641892790E-025  1.311189329748E-021  7.332501478545E+001
 1.190394202192E-004  9.993132210881E-001  4.163215364740E-009  1.306882409557E-021  8.975392792444E-025  1.305984870278E-021  7.574495730539E+001
 1.204223183484E-004  9.992904223799E-001  4.258704594661E-009  1.306882494823E-021  9.273345704278E-025  1.305955160253E-021  7.825943562492E+001
 1.218212818048E-004  9.992678898716E-001  4.354133637860E-009  1.306882579113E-021  9.567819727558E-025  1.305925797140E-021  8.074455497699E+001
 1.232364972216E-004  9.992456204083E-001  4.449470622621E-009  1.306882662434E-021  9.858856092429E-025  1.305896776825E-021  8.320066331020E+001
 1.246681534002E-004  9.992220955370E-001  4.546585510923E-009  1.306882798166E-021  1.016629961294E-024  1.305866168205E-021  8.579523458674E+001
 1.261164413353E-004  9.991944468526E-001  4.942047351195E-009  1.302399237698E-021  1.049151805042E-024  1.301350085893E-021  8.853981159091E+001
 1.275815542404E-004  9.991690715536E-001  5.049551044510E-009  1.302399430855E-021  1.082200735651E-024  1.301317230119E-021  9.132887040522E+001
 1.290636875736E-004  9.991423000822E-001  5.162506103968E-009  1.302399624892E-021  1.117068051278E-024  1.301282556841E-021  9.427138600827E+001
 1.305630390637E-004  9.991157510829E-001  5.275598792365E-009  1.302399816867E-021  1.151645627720E-024  1.301248171240E-021  9.718944999938E+001
 1.320798087366E-004  9.990870580671E-001  5.395341549630E-009  1.302400011132E-021  1.189015583608E-024  1.301210995548E-021  1.003431679242E+002
 1.336141989416E-004  9.990559021035E-001  5.837474144017E-009  1.298508051275E-021  1.225918719779E-024  1.297282132555E-021  1.034574900919E+002
 1.351664143792E-004  9.990256061363E-001  5.969867103181E-009  1.298508246954E-021  1.265258467779E-024  1.297242988487E-021  1.067774423231E+002
 1.367366621276E-004  9.989948473885E-001  6.104369341460E-009  1.298508441933E-021  1.305199151521E-024  1.297203242781E-021  1.101481086045E+002
 1.383251516708E-004  9.989633793252E-001  6.239919265222E-009  1.298508636690E-021  1.346060899147E-024  1.297162575791E-021  1.135965051270E+002
 1.399320949264E-004  9.989303431468E-001  6.377469527813E-009  1.298508832866E-021  1.388958872076E-024  1.297119873994E-021  1.172167423725E+002
 1.415577062737E-004  9.988948364050E-001  6.866474310912E-009  1.295121795644E-021  1.431321459597E-024  1.293690474184E-021  1.207917974785E+002
 1.432022025827E-004  9.988592095793E-001  7.012807423381E-009  1.295121995522E-021  1.477462766115E-024  1.293644532756E-021  1.246857454906E+002
 1.448658032427E-004  9.988237014959E-001  7.159076090855E-009  1.295122193689E-021  1.523450299081E-024  1.293598743390E-021  1.285667162756E+002
 1.465487301917E-004  9.987874842391E-001  7.308229001280E-009  1.295122391771E-021  1.570356312344E-024  1.293552035458E-021  1.325251992680E+002
 1.482512079461E-004  9.987496965555E-001  7.449128816957E-009  1.295122591441E-021  1.619296237110E-024  1.293503295204E-021  1.366553277177E+002
 1.499734636303E-004  9.987594968926E-001  8.003255597903E-009  1.292168201781E-021  1.602938669544E-024  1.290565263111E-021  1.352748831115E+002
 1.517157270074E-004  9.987196055825E-001  8.182723529102E-009  1.292168404604E-021  1.654485211663E-024  1.290513919392E-021  1.396249886972E+002
 1.534782305096E-004  9.986801856682E-001  8.362013628076E-009  1.292168605101E-021  1.705422644163E-024  1.290463182457E-021  1.439236904244E+002
 1.552612092695E-004  9.986404052887E-001  8.540988428700E-009  1.292168840589E-021  1.756825921712E-024  1.290412014668E-021  1.482617056550E+002
 1.570649011510E-004  9.985966845666E-001  8.719219272228E-009  1.292169272522E-021  1.813321082675E-024  1.290355951440E-021  1.530294341032E+002
 1.588895467815E-004  9.985506101887E-001  9.313972186651E-009  1.289585726394E-021  1.869112412610E-024  1.287716613981E-021  1.577377649826E+002
 1.607353895837E-004  9.985057021777E-001  9.498422956144E-009  1.289586154859E-021  1.927025782872E-024  1.287659129076E-021  1.626251786695E+002
 1.626026758082E-004  9.984582544130E-001  9.680297583884E-009  1.289586584655E-021  1.988214425976E-024  1.287598370229E-021  1.677889985342E+002
 1.644916545663E-004  9.984113702190E-001  9.861693294374E-009  1.289587009517E-021  2.048676328478E-024  1.287538333189E-021  1.728914874497E+002
 1.664025778634E-004  9.983618822271E-001  1.002134322767E-008  1.289587435911E-021  2.112496098488E-024  1.287474939812E-021  1.782773528558E+002
 1.683357006322E-004  9.983076618090E-001  1.061188505280E-008  1.287321738421E-021  2.178583741980E-024  1.285143154679E-021  1.838546081921E+002
 1.702912807674E-004  9.982569085883E-001  1.076041015027E-008  1.287322162113E-021  2.243920204832E-024  1.285078241908E-021  1.893684700404E+002
 1.722695791592E-004  9.982036180158E-001  1.075608312569E-008  1.287322587280E-021  2.312523103618E-024  1.285010064176E-021  1.951579923040E+002
 1.742708597291E-004  9.993967449932E-001  1.042990219739E-008  1.287320427902E-021  7.765824935246E-025  1.286543845408E-021  6.553719617224E+001
 1.762953894642E-004  9.993765486935E-001  1.126311523262E-008  1.287320777732E-021  8.025818207066E-025  1.286518195911E-021  6.773132624867E+001
 1.783434384536E-004  9.993542226901E-001  1.220492882510E-008  1.285327813533E-021  8.300355378079E-025  1.284497777995E-021  7.004819491147E+001
 1.804152799237E-004  9.993321851897E-001  1.258207576911E-008  1.285328160397E-021  8.583611816155E-025  1.284469799215E-021  7.243864704039E+001
 1.825111902752E-004  9.993104047296E-001  1.296033854811E-008  1.285328503285E-021  8.863564567506E-025  1.284442146828E-021  7.480121876164E+001
 1.846314491199E-004  9.992874773277E-001  1.333249692132E-008  1.285328845173E-021  9.158259434979E-025  1.284413019230E-021  7.728820185765E+001
 1.867763393176E-004  9.992630968832E-001  1.369655239151E-008  1.285329186742E-021  9.471630838410E-025  1.284382023658E-021  7.993279960646E+001
 1.889461470144E-004  9.992379697746E-001  1.461736941810E-008  1.283570647100E-021  9.781196295522E-025  1.282592527471E-021  8.254527828839E+001
 1.911411616805E-004  9.992134511259E-001  1.499783239146E-008  1.283570983248E-021  1.009591311673E-024  1.282561391936E-021  8.520123026032E+001
 1.933616761488E-004  9.991861708086E-001  1.538367153714E-008  1.283571322062E-021  1.044607811158E-024  1.282526714251E-021  8.815633575796E+001
 1.956079866542E-004  9.991592098755E-001  1.576966494317E-008  1.283571656990E-021  1.079214373319E-024  1.282492442617E-021  9.107684590612E+001
 1.978803928731E-004  9.991325645193E-001  1.615567961067E-008  1.283571988075E-021  1.113415884533E-024  1.282458572191E-021  9.396317307480E+001
 2.001791979630E-004  9.991018410624E-001  1.718731184826E-008  1.282015083800E-021  1.151453305598E-024  1.280863630494E-021  9.717321958886E+001
 2.025047086036E-004  9.990715996763E-001  1.761383171520E-008  1.282015417416E-021  1.190223528471E-024  1.280825193888E-021  1.004451085681E+002
 2.048572350369E-004  9.990417130844E-001  1.804031620002E-008  1.282015747208E-021  1.228538916091E-024  1.280787208292E-021  1.036786131808E+002
 2.072370911094E-004  9.990110163137E-001  1.847467319148E-008  1.282016177538E-021  1.267893085140E-024  1.280748284453E-021  1.069997824302E+002
 2.096445943135E-004  9.989772150211E-001  1.893311424394E-008  1.282016914402E-021  1.311227642704E-024  1.280705686759E-021  1.106568638399E+002
 2.120800658299E-004  9.989426833207E-001  2.009629369990E-008  1.280633365291E-021  1.354035017135E-024  1.279279330274E-021  1.142694553148E+002
 2.145438305704E-004  9.989081836931E-001  2.058191575783E-008  1.280634089692E-021  1.398217182273E-024  1.279235872510E-021  1.179980678552E+002
 2.170362172216E-004  9.988709440619E-001  2.109056555205E-008  1.280634812756E-021  1.445908339933E-024  1.279188904416E-021  1.220228105983E+002
 2.195575582883E-004  9.988341433372E-001  2.159912003669E-008  1.280635527522E-021  1.493037462406E-024  1.279142490060E-021  1.260001221791E+002
 2.221081901382E-004  9.987963838608E-001  2.211603648169E-008  1.280636237170E-021  1.541394443467E-024  1.279094842726E-021  1.300810549589E+002
 2.246884530465E-004  9.987542611053E-001  2.345186744865E-008  1.279400519594E-021  1.593798989168E-024  1.277806720604E-021  1.345035690132E+002
 2.272986912415E-004  9.987137708043E-001  2.401013053902E-008  1.279401222306E-021  1.645603205193E-024  1.277755619101E-021  1.388754201642E+002
 2.299392529504E-004  9.986730242134E-001  2.457363573498E-008  1.279401918610E-021  1.697735367368E-024  1.277704183243E-021  1.432749472818E+002
 2.326104904458E-004  9.986277776587E-001  2.517523740746E-008  1.279402618143E-021  1.755624856190E-024  1.277646993287E-021  1.481603455710E+002
 2.353127600929E-004  9.985830674151E-001  2.577662509710E-008  1.279403309648E-021  1.812828238704E-024  1.277590481410E-021  1.529878421123E+002
 2.380464223966E-004  9.985376336186E-001  2.728171911081E-008  1.278292382373E-021  1.869331805612E-024  1.276423050567E-021  1.577562799535E+002
 2.408118420498E-004  9.984879873272E-001  2.794956980872E-008  1.278293073051E-021  1.932795326013E-024  1.276360277725E-021  1.631120808129E+002
 2.436093879824E-004  9.984379710371E-001  2.862477616599E-008  1.278293758003E-021  1.996731873154E-024  1.276297026129E-021  1.685078012515E+002
 2.464394334100E-004  9.983885495908E-001  2.929960322484E-008  1.278294435095E-021  2.059908090465E-024  1.276234527004E-021  1.738393560855E+002
 2.493023558838E-004  9.983357900642E-001  2.999426529998E-008  1.278295445393E-021  2.127351981171E-024  1.276168093412E-021  1.795310675684E+002
 2.521985373413E-004  9.982778244881E-001  3.174921211021E-008  1.277288015884E-021  2.199714142659E-024  1.275088301742E-021  1.856378407862E+002
 2.551283641568E-004  9.982218310587E-001  3.249103938305E-008  1.277289390905E-021  2.271236323965E-024  1.275018154581E-021  1.916737265627E+002
 2.580922271935E-004  9.981665059166E-001  3.323213374216E-008  1.277290750143E-021  2.341905033172E-024  1.274948845110E-021  1.976375862906E+002
 2.610905218549E-004  9.981038319760E-001  3.403804623734E-008  1.277292112351E-021  2.421960460753E-024  1.274870151890E-021  2.043936080987E+002
 2.641236481382E-004  9.980413135928E-001  3.484846548850E-008  1.277293460306E-021  2.501817338763E-024  1.274791642967E-021  2.111328739507E+002
 2.671920106874E-004  9.979780957238E-001  3.686366922297E-008  1.276365185172E-021  2.580688225889E-024  1.273784496946E-021  2.177889302550E+002
 2.702960188473E-004  9.979143218307E-001  3.772083619110E-008  1.276366510485E-021  2.662089766911E-024  1.273704420718E-021  2.246585530023E+002
 2.734360867181E-004  9.978430661273E-001  3.864052817883E-008  1.276367839978E-021  2.753041028048E-024  1.273614798950E-021  2.323340938405E+002
 2.766126332106E-004  9.977726700141E-001  3.955971971324E-008  1.276369154209E-021  2.842895290254E-024  1.273526258919E-021  2.399170569619E+002
 2.798260821023E-004  9.977031226397E-001  4.047812270415E-008  1.276370453356E-021  2.931666397647E-024  1.273438786958E-021  2.474086106965E+002
