# model = dl07_MW
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  9.120000E-02 -  3.981000E+04 um, 1129 points.
#   The grid is the T-matrix Q table's own wavelength grid (no EUV extension was requested).
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 9.120000000000E-002  2.501651065358E-001  6.549980818105E-001  2.325385593738E-021  1.743655258944E-021  5.817303347942E-022  9.962685229967E+004
 9.226000000000E-002  2.537804740434E-001  6.525571334385E-001  2.300269195633E-021  1.716505788738E-021  5.837634068952E-022  9.807561890971E+004
 9.332000000000E-002  2.573476779230E-001  6.500464356304E-001  2.276365497530E-021  1.690548122637E-021  5.858173748934E-022  9.659248137239E+004
 9.441000000000E-002  2.606476979891E-001  6.482676255727E-001  2.250240002377E-021  1.663720125835E-021  5.865198765425E-022  9.505961593859E+004
 9.550000000000E-002  2.639331562038E-001  6.464256489121E-001  2.225055593681E-021  1.637789648112E-021  5.872659455690E-022  9.357803185774E+004
 9.661000000000E-002  2.668084392249E-001  6.457104058444E-001  2.197297790391E-021  1.611040196424E-021  5.862575939665E-022  9.204965423910E+004
 9.772000000000E-002  2.697043284161E-001  6.448576842809E-001  2.170631396037E-021  1.585202713130E-021  5.854286829071E-022  9.057338356076E+004
 9.886000000000E-002  2.719570953308E-001  6.455166867040E-001  2.142083295424E-021  1.559528544444E-021  5.825547509801E-022  8.910644415372E+004
 1.000000000000E-001  2.743770540131E-001  6.457101785726E-001  2.115288766751E-021  1.534902066542E-021  5.803867002080E-022  8.769936642780E+004
 1.012000000000E-001  2.781599362292E-001  6.457845837871E-001  2.080080643446E-021  1.501485544314E-021  5.785950991327E-022  8.579005384587E+004
 1.023000000000E-001  2.814638087977E-001  6.455191596092E-001  2.051719965677E-021  1.474235049551E-021  5.774849161256E-022  8.423304823774E+004
 1.035000000000E-001  2.850058967020E-001  6.464447266080E-001  2.017014857417E-021  1.442153729318E-021  5.748611280996E-022  8.240002480260E+004
 1.047000000000E-001  2.888991421835E-001  6.471572937401E-001  1.982653581683E-021  1.409866662688E-021  5.727869189952E-022  8.055524568021E+004
 1.059000000000E-001  2.919729794346E-001  6.489105199354E-001  1.948256194217E-021  1.379418028490E-021  5.688381657276E-022  7.881550867291E+004
 1.072000000000E-001  2.952421935293E-001  6.508740555310E-001  1.911873749573E-021  1.347407949998E-021  5.644657995750E-022  7.698655576171E+004
 1.084000000000E-001  2.978233809024E-001  6.534223044528E-001  1.879141906019E-021  1.319489510373E-021  5.596523956460E-022  7.539138593288E+004
 1.097000000000E-001  3.003533231063E-001  6.564307187528E-001  1.845047971635E-021  1.290881682064E-021  5.541662895712E-022  7.375682665232E+004
 1.109000000000E-001  3.032263261006E-001  6.582479946389E-001  1.815142643103E-021  1.264743608086E-021  5.503990350167E-022  7.226338118928E+004
 1.122000000000E-001  3.055075425124E-001  6.615283460731E-001  1.785862263882E-021  1.240267872378E-021  5.455943915043E-022  7.086491638736E+004
 1.135000000000E-001  3.079331415675E-001  6.647770771421E-001  1.757171075606E-021  1.216079866023E-021  5.410912095829E-022  6.948289151507E+004
