# model = dl07_MW_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  6.205399E-05 -  3.981000E+04 um, 1823 points.
#   The floor is set by the D03 dielectric functions: the shorter-reaching
#   of silicate and graphite stops at  6.199200E-05 um, and a shorter floor is
#   refused because (n, k) would freeze at the boundary value there.
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 6.205399200000E-005  7.081118809124E-001  9.999996615177E-001  4.604670533240E-025  1.344048620966E-025  3.260621912275E-025  7.679461450747E+000
 6.254130556162E-005  7.065140871868E-001  9.999996565511E-001  4.692195700414E-025  1.377093338234E-025  3.315102362179E-025  7.868268335005E+000
 6.303244602461E-005  7.050141578509E-001  9.999996515380E-001  4.779483757009E-025  1.409880041099E-025  3.369603715909E-025  8.055601007960E+000
 6.352744344185E-005  7.036058849064E-001  9.999996464336E-001  4.866529646398E-025  1.442410748121E-025  3.424118898277E-025  8.241471003021E+000
 6.402632810223E-005  7.022835300222E-001  9.999996412636E-001  4.953328454062E-025  1.474687461984E-025  3.478640992078E-025  8.425889762877E+000
 6.452913053248E-005  7.010417760093E-001  9.999996361045E-001  5.039875303359E-025  1.506712169827E-025  3.533163133532E-025  8.608868641407E+000
 6.503588149909E-005  6.998757049291E-001  9.999996308525E-001  5.126165619453E-025  1.538486842955E-025  3.587678776498E-025  8.790418902009E+000
 6.554661201012E-005  6.984094847310E-001  9.999996254231E-001  5.218887215855E-025  1.573966884561E-025  3.644920331295E-025  8.993140446104E+000
 6.606135331719E-005  6.967602024422E-001  9.999996201688E-001  5.316367450995E-025  1.612134189582E-025  3.704233261412E-025  9.211216148888E+000
 6.658013691728E-005  6.952091664551E-001  9.999996149742E-001  5.413559735729E-025  1.650003384298E-025  3.763556351432E-025  9.427588545281E+000
 6.710299455477E-005  6.937502285848E-001  9.999996095534E-001  5.510458978227E-025  1.687576802475E-025  3.822882175752E-025  9.642270969686E+000
 6.762995822331E-005  6.923776994822E-001  9.999996040027E-001  5.607060205676E-025  1.724856759612E-025  3.882203446065E-025  9.855276652106E+000
 6.816106016778E-005  6.910863096393E-001  9.999995983991E-001  5.703358601201E-025  1.761845552948E-025  3.941513048253E-025  1.006661871824E+001
 6.869633288632E-005  6.898711734727E-001  9.999995927587E-001  5.799349521217E-025  1.798545461637E-025  4.000804059580E-025  1.027631019043E+001
 6.923580913224E-005  6.883694241744E-001  9.999995869932E-001  5.906172920554E-025  1.840544068158E-025  4.065628852396E-025  1.051627671748E+001
 6.977952191610E-005  6.867804156388E-001  9.999995808964E-001  6.018453855604E-025  1.885097615149E-025  4.133356240455E-025  1.077084135248E+001
 7.032750450766E-005  6.852897623501E-001  9.999995747552E-001  6.130410781840E-025  1.929303034044E-025  4.201107747795E-025  1.102341689552E+001
 7.087979043797E-005  6.838911984246E-001  9.999995685156E-001  6.242037685795E-025  1.973163052245E-025  4.268874633550E-025  1.127401893011E+001
 7.143641350139E-005  6.825789284289E-001  9.999995622062E-001  6.353328611185E-025  2.016680375806E-025  4.336648235379E-025  1.152266291777E+001
 7.199740775769E-005  6.813475956677E-001  9.999995558381E-001  6.464277882125E-025  2.059857689411E-025  4.404420192714E-025  1.176936419792E+001
 7.256280753409E-005  6.801922360873E-001  9.999995494868E-001  6.574879955572E-025  2.102697656586E-025  4.472182298986E-025  1.201413798909E+001
