# model = zubko_BARE_GR_S
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Zubko, Dwek & Arendt (2004) BARE-GR-S dust model.
#
# Model definition: ZDA 2004, ApJS 152, 211, bare grains, PAH +
#   graphite + silicate; the files are the copies distributed with the
#   Camps et al. (2015) radiative-transfer benchmark.
# Optics (all three components): the DustEM/Zubko Q tables
#   ../data/zubko/PAH_28_1201_neu.dat, Gra_121_1201.dat, suvSil_121_1201.dat
#   These are the authors' own multilayer-sphere solution, so Q_sca and
#   <cos> are read from the same file as Q_abs rather than recomputed
#   from a dielectric function this model does not supply.
# Size distribution: the ZDA log-polynomial FORMULA evaluated on the
#   optics-table radii, with the coefficients read from
#   ../data/zubko/ZDA_BARE_GR_S_Config.dat
#
# Wavelength range:  1.000000E-03 -  1.000000E+04 um, 1201 points.
#   The range is the ZDA optics table itself, 1.24 keV down to 1.24e-4 eV.
#   This model has no EUV extension and needs none: its tabulated
#   optics already cover the whole ionizing band, and those tables ARE
#   the model definition, so there is no dielectric function to extend
#   them with.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.443932E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: the Density entry in the header of each component's own DustEM optics table.
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 1.000000000000E-003  5.107485873696E-001  9.998587668280E-001  6.979386209470E-023  3.414674562277E-023  3.564711647193E-023  2.364844189289E+003
 1.013520000000E-003  5.091398959731E-001  9.998551374262E-001  7.187852752351E-023  3.528230149749E-023  3.659622602602E-023  2.443487487881E+003
 1.027230000000E-003  5.077212105922E-001  9.998514966895E-001  7.393820725303E-023  3.639821115751E-023  3.753999609552E-023  2.520770181359E+003
 1.041120000000E-003  5.056856244206E-001  9.998475156631E-001  7.608427257407E-023  3.760954968886E-023  3.847472288521E-023  2.604661832962E+003
 1.055200000000E-003  5.032902806788E-001  9.998435072206E-001  7.828716629997E-023  3.888599639931E-023  3.940116990066E-023  2.693062573093E+003
 1.069470000000E-003  5.011285906058E-001  9.998394007062E-001  8.046170950396E-023  4.014004642251E-023  4.032166308145E-023  2.779912223224E+003
 1.083930000000E-003  4.988066367454E-001  9.998350146196E-001  8.266825186203E-023  4.143277918510E-023  4.123547267692E-023  2.869440859296E+003
 1.098580000000E-003  4.961709165014E-001  9.998305292577E-001  8.493471913317E-023  4.279258169807E-023  4.214213743510E-023  2.963614433168E+003
 1.113440000000E-003  4.937718235334E-001  9.998258682670E-001  8.716998385922E-023  4.412790197168E-023  4.304208188754E-023  3.056092481435E+003
 1.128500000000E-003  4.914744064258E-001  9.998212841731E-001  8.940258375012E-023  4.546350196860E-023  4.393908178152E-023  3.148589902034E+003
 1.143760000000E-003  4.883147435017E-001  9.998161722734E-001  9.188518529153E-023  4.701629460429E-023  4.486889068724E-023  3.256129070839E+003
 1.159220000000E-003  4.854303401759E-001  9.998112149044E-001  9.433246006702E-023  4.854062188706E-023  4.579183817997E-023  3.361696862190E+003
 1.174900000000E-003  4.827927418817E-001  9.998059011640E-001  9.674478199063E-023  5.003710343063E-023  4.670767856000E-023  3.465336187641E+003
 1.190780000000E-003  4.797635247423E-001  9.998003292831E-001  9.921842290224E-023  5.161704261129E-023  4.760138029095E-023  3.574755399419E+003
 1.206890000000E-003  4.766328186785E-001  9.997948386515E-001  1.017116322143E-022  5.323253025962E-023  4.847910195470E-023  3.686636532111E+003
 1.223210000000E-003  4.737528807691E-001  9.997890880505E-001  1.041673536558E-022  5.481776977929E-023  4.934958387654E-023  3.796422820624E+003
 1.239750000000E-003  4.710996472225E-001  9.997831781904E-001  1.065861199363E-022  5.637343643548E-023  5.021268350079E-023  3.904161030672E+003
 1.256510000000E-003  4.679089216420E-001  9.997768319314E-001  1.092240679712E-022  5.811715210946E-023  5.110691586177E-023  4.024922637794E+003
