# Wavelength, tau_Ad/NH, tau_PAH/NH, tau_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
1.0000e-01 8.2469e-22 6.4541e-22 1.4701e-21
1.0127e-01 8.1706e-22 6.2334e-22 1.4404e-21
1.0256e-01 8.0918e-22 6.0170e-22 1.4109e-21
1.0386e-01 8.0124e-22 5.8069e-22 1.3819e-21
1.0518e-01 7.9311e-22 5.6040e-22 1.3535e-21
1.0652e-01 7.8469e-22 5.4076e-22 1.3255e-21
1.0787e-01 7.7594e-22 5.2157e-22 1.2975e-21
1.0924e-01 7.6676e-22 5.0244e-22 1.2692e-21
1.1063e-01 7.5730e-22 4.8307e-22 1.2404e-21
1.1203e-01 7.4768e-22 4.6341e-22 1.2111e-21
1.1346e-01 7.3825e-22 4.4379e-22 1.1820e-21
1.1490e-01 7.2910e-22 4.2459e-22 1.1537e-21
1.1636e-01 7.1936e-22 4.0613e-22 1.1255e-21
1.1783e-01 7.0903e-22 3.8854e-22 1.0976e-21
1.1933e-01 6.9851e-22 3.7181e-22 1.0703e-21
1.2085e-01 6.8785e-22 3.5592e-22 1.0438e-21
1.2238e-01 6.7708e-22 3.4082e-22 1.0179e-21
1.2394e-01 6.6633e-22 3.2649e-22 9.9282e-22
1.2551e-01 6.5571e-22 3.1289e-22 9.6860e-22
1.2711e-01 6.4522e-22 3.0001e-22 9.4523e-22
1.2872e-01 6.3486e-22 2.8784e-22 9.2270e-22
1.3036e-01 6.2470e-22 2.7244e-22 8.9714e-22
1.3201e-01 6.1519e-22 2.6331e-22 8.7850e-22
1.3369e-01 6.0565e-22 2.5500e-22 8.6065e-22
1.3539e-01 5.9595e-22 2.4747e-22 8.4343e-22
1.3711e-01 5.8613e-22 2.4070e-22 8.2683e-22
1.3885e-01 5.7560e-22 2.3465e-22 8.1025e-22
1.4061e-01 5.6456e-22 2.2930e-22 7.9386e-22
1.4240e-01 5.5366e-22 2.2463e-22 7.7830e-22
1.4421e-01 5.4290e-22 2.2062e-22 7.6353e-22
1.4604e-01 5.3226e-22 2.1726e-22 7.4951e-22
1.4790e-01 5.2179e-22 2.1453e-22 7.3632e-22
1.4978e-01 5.1192e-22 2.1248e-22 7.2440e-22
1.5168e-01 5.0263e-22 2.1106e-22 7.1369e-22
1.5361e-01 4.9384e-22 2.1027e-22 7.0410e-22
1.5556e-01 4.8569e-22 2.1011e-22 6.9580e-22
1.5753e-01 4.7845e-22 2.1061e-22 6.8906e-22
1.5954e-01 4.7198e-22 2.1176e-22 6.8375e-22
1.6156e-01 4.6622e-22 2.1361e-22 6.7983e-22
1.6361e-01 4.6109e-22 2.1617e-22 6.7727e-22
1.6569e-01 4.5679e-22 2.1949e-22 6.7628e-22
1.6780e-01 4.5350e-22 2.2360e-22 6.7710e-22
1.6993e-01 4.5073e-22 2.2859e-22 6.7933e-22
1.7209e-01 4.4841e-22 2.3439e-22 6.8279e-22
1.7427e-01 4.4648e-22 2.4100e-22 6.8748e-22
1.7649e-01 4.4483e-22 2.4857e-22 6.9340e-22
1.7873e-01 4.4329e-22 2.5727e-22 7.0055e-22
1.8100e-01 4.4187e-22 2.6727e-22 7.0914e-22
1.8330e-01 4.4063e-22 2.7879e-22 7.1942e-22
1.8563e-01 4.3966e-22 2.9208e-22 7.3174e-22
1.8799e-01 4.3896e-22 3.0737e-22 7.4633e-22
1.9038e-01 4.3825e-22 3.2494e-22 7.6319e-22
1.9279e-01 4.3790e-22 3.4506e-22 7.8296e-22
1.9524e-01 4.3785e-22 3.6798e-22 8.0583e-22
