# Wavelength, p^max/NH
# [Microns] [cm^2/H]
1.0000e-01 -4.5043e-25
1.0127e-01 -3.5472e-25
1.0256e-01 -2.5847e-25
1.0386e-01 -1.5922e-25
1.0518e-01 -5.4074e-26
1.0652e-01 5.4740e-26
1.0787e-01 1.6429e-25
1.0924e-01 2.7571e-25
1.1063e-01 3.8795e-25
1.1203e-01 5.0300e-25
1.1346e-01 6.2015e-25
1.1490e-01 7.3808e-25
1.1636e-01 8.6467e-25
1.1783e-01 9.9568e-25
1.1933e-01 1.1286e-24
1.2085e-01 1.2628e-24
1.2238e-01 1.3984e-24
1.2394e-01 1.5301e-24
1.2551e-01 1.6547e-24
1.2711e-01 1.7819e-24
1.2872e-01 1.9137e-24
1.3036e-01 2.0486e-24
1.3201e-01 2.1923e-24
1.3369e-01 2.3387e-24
1.3539e-01 2.4895e-24
1.3711e-01 2.6433e-24
1.3885e-01 2.8069e-24
1.4061e-01 2.9755e-24
1.4240e-01 3.1407e-24
1.4421e-01 3.3055e-24
1.4604e-01 3.4692e-24
1.4790e-01 3.6238e-24
1.4978e-01 3.7688e-24
1.5168e-01 3.9109e-24
1.5361e-01 4.0482e-24
1.5556e-01 4.1766e-24
1.5753e-01 4.2917e-24
1.5954e-01 4.4028e-24
1.6156e-01 4.5097e-24
1.6361e-01 4.6124e-24
1.6569e-01 4.7115e-24
1.6780e-01 4.8003e-24
1.6993e-01 4.8837e-24
1.7209e-01 4.9735e-24
1.7427e-01 5.0613e-24
1.7649e-01 5.1365e-24
1.7873e-01 5.2299e-24
1.8100e-01 5.3385e-24
1.8330e-01 5.4222e-24
1.8563e-01 5.5090e-24
1.8799e-01 5.6380e-24
1.9038e-01 5.7439e-24
1.9279e-01 5.7920e-24
1.9524e-01 5.8855e-24
1.9772e-01 6.0211e-24
2.0024e-01 6.0970e-24
2.0278e-01 6.1487e-24
2.0536e-01 6.2621e-24
2.0797e-01 6.3921e-24
2.1061e-01 6.4636e-24
2.1328e-01 6.5358e-24
2.1599e-01 6.6861e-24
2.1874e-01 6.8355e-24
2.2152e-01 6.9049e-24
2.2433e-01 6.9836e-24
2.2718e-01 7.1396e-24
2.3007e-01 7.2942e-24
2.3299e-01 7.3818e-24
2.3595e-01 7.4683e-24
2.3895e-01 7.6231e-24
2.4198e-01 7.7858e-24
2.4506e-01 7.8850e-24
2.4817e-01 7.9681e-24
2.5132e-01 8.1213e-24
2.5451e-01 8.2976e-24
2.5775e-01 8.4176e-24
2.6102e-01 8.5103e-24
2.6434e-01 8.6481e-24
2.6770e-01 8.8211e-24
2.7110e-01 8.9616e-24
2.7454e-01 9.0641e-24
2.7803e-01 9.1919e-24
2.8156e-01 9.3651e-24
2.8514e-01 9.5250e-24
2.8876e-01 9.6376e-24
2.9243e-01 9.7555e-24
2.9614e-01 9.9154e-24
2.9991e-01 1.0082e-23
3.0372e-01 1.0215e-23
3.0758e-01 1.0333e-23
3.1148e-01 1.0478e-23
3.1544e-01 1.0646e-23
3.1945e-01 1.0792e-23
3.2351e-01 1.0911e-23
3.2762e-01 1.1042e-23
3.3178e-01 1.1201e-23
3.3599e-01 1.1358e-23
3.4026e-01 1.1487e-23
3.4458e-01 1.1611e-23
