# Wavelength, tau^sca_Ad/NH, tau^sca_PAH/NH, tau^sca_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
1.0000e-01 2.2781e-22 8.3263e-24 2.3613e-22
1.0127e-01 2.2703e-22 7.5208e-24 2.3455e-22
1.0256e-01 2.2627e-22 6.7651e-24 2.3304e-22
1.0386e-01 2.2558e-22 6.0979e-24 2.3168e-22
1.0518e-01 2.2493e-22 5.5445e-24 2.3047e-22
1.0652e-01 2.2427e-22 5.1171e-24 2.2939e-22
1.0787e-01 2.2358e-22 4.8067e-24 2.2839e-22
1.0924e-01 2.2283e-22 4.5732e-24 2.2740e-22
1.1063e-01 2.2205e-22 4.3514e-24 2.2640e-22
1.1203e-01 2.2127e-22 4.0852e-24 2.2536e-22
1.1346e-01 2.2058e-22 3.7607e-24 2.2434e-22
1.1490e-01 2.1999e-22 3.3995e-24 2.2338e-22
1.1636e-01 2.1936e-22 3.0377e-24 2.2240e-22
1.1783e-01 2.1870e-22 2.6987e-24 2.2140e-22
1.1933e-01 2.1802e-22 2.3922e-24 2.2041e-22
1.2085e-01 2.1733e-22 2.1201e-24 2.1945e-22
1.2238e-01 2.1663e-22 1.8807e-24 2.1851e-22
1.2394e-01 2.1588e-22 1.6705e-24 2.1755e-22
1.2551e-01 2.1506e-22 1.4861e-24 2.1655e-22
1.2711e-01 2.1429e-22 1.3238e-24 2.1561e-22
1.2872e-01 2.1360e-22 1.1808e-24 2.1479e-22
1.3036e-01 2.1301e-22 1.0544e-24 2.1407e-22
1.3201e-01 2.1267e-22 9.4237e-25 2.1361e-22
1.3369e-01 2.1234e-22 8.4278e-25 2.1319e-22
1.3539e-01 2.1203e-22 7.5407e-25 2.1279e-22
1.3711e-01 2.1175e-22 6.7492e-25 2.1243e-22
1.3885e-01 2.1150e-22 6.0421e-25 2.1210e-22
1.4061e-01 2.1126e-22 5.4096e-25 2.1180e-22
1.4240e-01 2.1106e-22 4.8438e-25 2.1155e-22
1.4421e-01 2.1095e-22 4.3378e-25 2.1138e-22
1.4604e-01 2.1095e-22 3.8855e-25 2.1134e-22
1.4790e-01 2.1101e-22 3.4819e-25 2.1136e-22
1.4978e-01 2.1126e-22 3.1231e-25 2.1157e-22
1.5168e-01 2.1174e-22 2.8053e-25 2.1202e-22
1.5361e-01 2.1254e-22 2.5256e-25 2.1280e-22
1.5556e-01 2.1368e-22 2.2815e-25 2.1391e-22
1.5753e-01 2.1514e-22 2.0709e-25 2.1535e-22
1.5954e-01 2.1707e-22 1.8919e-25 2.1726e-22
1.6156e-01 2.1952e-22 1.7429e-25 2.1969e-22
1.6361e-01 2.2256e-22 1.6223e-25 2.2273e-22
1.6569e-01 2.2604e-22 1.5279e-25 2.2619e-22
1.6780e-01 2.2951e-22 1.4575e-25 2.2965e-22
1.6993e-01 2.3323e-22 1.4093e-25 2.3337e-22
1.7209e-01 2.3721e-22 1.3809e-25 2.3735e-22
1.7427e-01 2.4132e-22 1.3707e-25 2.4146e-22
1.7649e-01 2.4558e-22 1.3795e-25 2.4572e-22
1.7873e-01 2.5059e-22 1.4097e-25 2.5073e-22
1.8100e-01 2.5638e-22 1.4649e-25 2.5652e-22
1.8330e-01 2.6236e-22 1.5490e-25 2.6251e-22
1.8563e-01 2.6848e-22 1.6660e-25 2.6864e-22
1.8799e-01 2.7454e-22 1.8196e-25 2.7472e-22
1.9038e-01 2.8032e-22 2.0135e-25 2.8052e-22
1.9279e-01 2.8399e-22 2.2509e-25 2.8422e-22
1.9524e-01 2.8687e-22 2.5344e-25 2.8713e-22
1.9772e-01 2.8912e-22 2.8635e-25 2.8940e-22
2.0024e-01 2.9078e-22 3.2368e-25 2.9110e-22
2.0278e-01 2.9196e-22 3.6495e-25 2.9232e-22
2.0536e-01 2.9251e-22 4.0925e-25 2.9292e-22
2.0797e-01 2.9333e-22 4.5512e-25 2.9378e-22
2.1061e-01 2.9473e-22 5.0057e-25 2.9523e-22
2.1328e-01 2.9610e-22 5.4310e-25 2.9664e-22
2.1599e-01 2.9731e-22 5.8003e-25 2.9789e-22
2.1874e-01 2.9838e-22 6.0883e-25 2.9899e-22
2.2152e-01 2.9940e-22 6.2679e-25 3.0002e-22
2.2433e-01 3.0034e-22 6.3362e-25 3.0097e-22
2.2718e-01 3.0112e-22 6.2972e-25 3.0175e-22
2.3007e-01 3.0178e-22 6.1623e-25 3.0240e-22
2.3299e-01 3.0240e-22 5.9492e-25 3.0299e-22
2.3595e-01 3.0296e-22 5.6777e-25 3.0352e-22
2.3895e-01 3.0342e-22 5.3672e-25 3.0395e-22
2.4198e-01 3.0381e-22 5.0346e-25 3.0431e-22
2.4506e-01 3.0416e-22 4.6935e-25 3.0463e-22
2.4817e-01 3.0446e-22 4.3541e-25 3.0489e-22
2.5132e-01 3.0460e-22 4.0232e-25 3.0500e-22
2.5451e-01 3.0464e-22 3.7061e-25 3.0501e-22
2.5775e-01 3.0466e-22 3.4064e-25 3.0500e-22
2.6102e-01 3.0465e-22 3.1256e-25 3.0496e-22
2.6434e-01 3.0456e-22 2.8646e-25 3.0485e-22
2.6770e-01 3.0440e-22 2.6232e-25 3.0466e-22
2.7110e-01 3.0420e-22 2.4012e-25 3.0444e-22
2.7454e-01 3.0397e-22 2.1977e-25 3.0419e-22
2.7803e-01 3.0369e-22 2.0119e-25 3.0389e-22
2.8156e-01 3.0331e-22 1.8427e-25 3.0349e-22
2.8514e-01 3.0290e-22 1.6889e-25 3.0307e-22
2.8876e-01 3.0244e-22 1.5495e-25 3.0260e-22
2.9243e-01 3.0192e-22 1.4232e-25 3.0206e-22
2.9614e-01 3.0132e-22 1.3088e-25 3.0145e-22
2.9991e-01 3.0066e-22 1.2053e-25 3.0078e-22
3.0372e-01 2.9996e-22 1.1117e-25 3.0007e-22
3.0758e-01 2.9922e-22 1.0269e-25 2.9932e-22
3.1148e-01 2.9840e-22 9.5022e-26 2.9850e-22
3.1544e-01 2.9754e-22 8.8072e-26 2.9762e-22
3.1945e-01 2.9660e-22 8.1771e-26 2.9668e-22
3.2351e-01 2.9562e-22 7.6054e-26 2.9570e-22
3.2762e-01 2.9459e-22 7.0868e-26 2.9466e-22
3.3178e-01 2.9347e-22 6.6154e-26 2.9354e-22
3.3599e-01 2.9230e-22 6.1861e-26 2.9236e-22
3.4026e-01 2.9107e-22 5.7946e-26 2.9113e-22
3.4458e-01 2.8980e-22 5.4369e-26 2.8986e-22
3.4896e-01 2.8845e-22 5.1097e-26 2.8850e-22
3.5339e-01 2.8704e-22 4.8097e-26 2.8709e-22
3.5788e-01 2.8561e-22 4.5341e-26 2.8566e-22
3.6243e-01 2.8410e-22 4.2804e-26 2.8415e-22
3.6704e-01 2.8256e-22 4.0463e-26 2.8260e-22
3.7170e-01 2.8093e-22 3.8298e-26 2.8097e-22
3.7642e-01 2.7924e-22 3.6292e-26 2.7928e-22
3.8120e-01 2.7750e-22 3.4424e-26 2.7754e-22
3.8605e-01 2.7572e-22 3.2681e-26 2.7575e-22
3.9095e-01 2.7386e-22 3.1051e-26 2.7389e-22
3.9592e-01 2.7198e-22 2.9521e-26 2.7201e-22
4.0095e-01 2.7004e-22 2.8082e-26 2.7007e-22
4.0604e-01 2.6806e-22 2.6725e-26 2.6809e-22
4.1120e-01 2.6602e-22 2.5443e-26 2.6604e-22
4.1642e-01 2.6393e-22 2.4229e-26 2.6395e-22
4.2171e-01 2.6179e-22 2.3078e-26 2.6181e-22
4.2707e-01 2.5959e-22 2.1983e-26 2.5961e-22
4.3250e-01 2.5735e-22 2.0943e-26 2.5737e-22
4.3799e-01 2.5508e-22 1.9952e-26 2.5510e-22
4.4355e-01 2.5274e-22 1.9007e-26 2.5276e-22
4.4919e-01 2.5037e-22 1.8107e-26 2.5039e-22
4.5490e-01 2.4795e-22 1.7248e-26 2.4797e-22
4.6068e-01 2.4551e-22 1.6429e-26 2.4553e-22
4.6653e-01 2.4302e-22 1.5647e-26 2.4304e-22
4.7245e-01 2.4050e-22 1.4901e-26 2.4052e-22
4.7846e-01 2.3794e-22 1.4189e-26 2.3795e-22
4.8454e-01 2.3537e-22 1.3510e-26 2.3538e-22
4.9069e-01 2.3272e-22 1.2863e-26 2.3273e-22
4.9692e-01 2.3005e-22 1.2246e-26 2.3006e-22
5.0324e-01 2.2737e-22 1.1657e-26 2.2738e-22
5.0963e-01 2.2465e-22 1.1097e-26 2.2466e-22
5.1611e-01 2.2189e-22 1.0563e-26 2.2190e-22
5.2266e-01 2.1916e-22 1.0055e-26 2.1917e-22
5.2930e-01 2.1639e-22 9.5712e-27 2.1640e-22
5.3603e-01 2.1362e-22 9.1108e-27 2.1362e-22
5.4284e-01 2.1079e-22 8.6728e-27 2.1080e-22
5.4973e-01 2.0793e-22 8.2562e-27 2.0794e-22
5.5672e-01 2.0509e-22 7.8600e-27 2.0510e-22
5.6379e-01 2.0219e-22 7.4834e-27 2.0220e-22
5.7095e-01 1.9927e-22 7.1254e-27 1.9928e-22
5.7821e-01 1.9635e-22 6.7851e-27 1.9635e-22
5.8555e-01 1.9340e-22 6.4616e-27 1.9341e-22
5.9299e-01 1.9045e-22 6.1543e-27 1.9046e-22
