# Effective radius, dn_Ad/nH, dn_PAH/nH, f_ion, f_align
# [Microns] [Number/H] [Number/H] [] []
# Note dn_i/nH = (1/nH)*(dn/da)_i*da, i.e., the number of grains
# of composition i per H atom in the size bin centered at the effective radius.
3.5481e-04 0.0000e+00 0.0000e+00 2.6189e-01 6.5655e-05
3.7584e-04 0.0000e+00 0.0000e+00 2.7317e-01 7.2822e-05
3.9811e-04 0.0000e+00 0.0000e+00 2.8475e-01 8.0768e-05
4.2170e-04 0.0000e+00 4.2926e-08 2.9662e-01 8.9582e-05
4.4668e-04 0.0000e+00 4.1684e-08 3.0876e-01 9.9355e-05
4.7315e-04 2.2879e-09 3.9648e-08 3.2118e-01 1.1020e-04
5.0119e-04 1.7449e-09 3.6939e-08 3.3386e-01 1.2222e-04
5.3088e-04 1.3309e-09 3.3710e-08 3.4678e-01 1.3556e-04
5.6234e-04 1.0153e-09 3.0132e-08 3.5993e-01 1.5035e-04
5.9566e-04 7.7484e-10 2.6382e-08 3.7330e-01 1.6675e-04
6.3096e-04 5.9166e-10 2.2624e-08 3.8686e-01 1.8495e-04
6.6834e-04 4.5217e-10 1.9005e-08 4.0060e-01 2.0513e-04
7.0795e-04 3.4585e-10 1.5637e-08 4.1450e-01 2.2751e-04
7.4989e-04 2.6486e-10 1.2603e-08 4.2854e-01 2.5233e-04
7.9433e-04 2.0308e-10 9.9488e-09 4.4269e-01 2.7986e-04
8.4140e-04 1.5594e-10 7.6927e-09 4.5693e-01 3.1040e-04
8.9125e-04 1.1995e-10 5.8268e-09 4.7125e-01 3.4426e-04
9.4406e-04 9.2429e-11 4.3230e-09 4.8561e-01 3.8181e-04
1.0000e-03 7.1362e-11 3.1419e-09 5.0000e-01 4.2346e-04
1.0593e-03 5.5205e-11 2.2365e-09 5.1440e-01 4.6969e-04
1.1220e-03 4.2824e-11 1.5609e-09 5.2875e-01 5.2086e-04
1.1885e-03 3.3290e-11 1.0675e-09 5.4307e-01 5.7769e-04
1.2589e-03 2.5950e-11 7.1639e-10 5.5731e-01 6.4067e-04
1.3335e-03 2.0283e-11 4.7243e-10 5.7146e-01 7.1055e-04
1.4125e-03 1.5901e-11 3.0728e-10 5.8549e-01 7.8801e-04
1.4962e-03 1.2505e-11 1.9844e-10 5.9939e-01 8.7394e-04
1.5849e-03 9.8669e-12 1.2889e-10 6.1314e-01 9.6927e-04
1.6788e-03 7.8173e-12 8.6112e-11 6.2670e-01 1.0749e-03
1.7783e-03 6.2229e-12 6.1082e-11 6.4007e-01 1.1921e-03
1.8836e-03 4.9867e-12 4.7557e-11 6.5321e-01 1.3220e-03
