# model = zubko_BARE_GR_S_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Zubko, Dwek & Arendt (2004) BARE-GR-S dust model.
#
# Model definition: ZDA 2004, ApJS 152, 211, bare grains, PAH +
#   graphite + silicate; the files are the copies distributed with the
#   Camps et al. (2015) radiative-transfer benchmark.
# Optics (all three components): the ZDA optics tables
#   ../data/zubko/PAH_28_1201_neu.dat, Gra_121_1201.dat, suvSil_121_1201.dat
#   A HOMOGENEOUS-SPHERE Mie calculation: ZDA 2004 sec. 3 says so for
#   the bare grains (that paper's effective-medium step belongs to its
#   COMPOSITE models), and each file names the dielectric function it
#   came from -- Draine's eps_Sil and eps_Gra.  The PAH file is not Mie:
#   it names the Li & Draine (2001) / Draine & Li (2007) cross sections.
#   Checked against Bohren-Huffman Mie on the published eps_Sil: at
#   fixed wavelength the Q ratio is radius-independent to 4 digits over
#   3.55e-4 - 100 um and <cos> agrees to ~1e-4, leaving a 0.5-2% infrared
#   residual that lies in the refractive index (the published file is on
#   a different wavelength grid).  So Q_sca and <cos> are read from the
#   same file as Q_abs rather than recomputed.
# Size distribution: the ZDA log-polynomial FORMULA evaluated on the
#   optics-table radii, with the coefficients read from
#   ../data/zubko/ZDA_BARE_GR_S_Config.dat
#
# Wavelength range:  1.000000E-03 -  1.000000E+04 um, 1201 points.
#   The range is the ZDA optics table itself, 1.24 keV down to 1.24e-4 eV.
#   This model needs no EUV EXTENSION and could not have one: its
#   tabulated optics already cover the whole ionizing band, and those
#   tables ARE the model definition, so there is no dielectric
#   function to extend them with.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.443932E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: the Density entry in the header of each component's own ZDA optics table.
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 1.000000000000E-003  5.106095364003E-001  9.998843655758E-001  6.977343850132E-023  3.414645541511E-023  3.562698308621E-023  2.364824090861E+003
 1.013520000000E-003  5.090000118735E-001  9.998812847032E-001  7.185634891418E-023  3.528146646368E-023  3.657488245050E-023  2.443429657337E+003
 1.027230000000E-003  5.075796714809E-001  9.998781460806E-001  7.391535862538E-023  3.639742517692E-023  3.751793344846E-023  2.520715748013E+003
 1.041120000000E-003  5.055431372471E-001  9.998749173065E-001  7.606046962495E-023  3.760862119026E-023  3.845184843469E-023  2.604597529483E+003
 1.055200000000E-003  5.031471911269E-001  9.998715736537E-001  7.826301296845E-023  3.888519782425E-023  3.937781514421E-023  2.693007267512E+003
 1.069470000000E-003  5.009850321599E-001  9.998681277814E-001  8.043712655375E-023  4.013933012037E-023  4.029779643338E-023  2.779862615482E+003
 1.083930000000E-003  4.986628032387E-001  9.998645692070E-001  8.264285493085E-023  4.143193722338E-023  4.121091770746E-023  2.869382548958E+003
 1.098580000000E-003  4.960281282669E-001  9.998608805939E-001  8.490758361520E-023  4.279103383889E-023  4.211654977631E-023  2.963507235667E+003
 1.113440000000E-003  4.936280509172E-001  9.998570435826E-001  8.714293785127E-023  4.412673928855E-023  4.301619856272E-023  3.056011959429E+003
 1.128500000000E-003  4.913292838929E-001  9.998531171977E-001  8.937549232088E-023  4.546269568128E-023  4.391279663959E-023  3.148534062338E+003
 1.143760000000E-003  4.881683102711E-001  9.998490355544E-001  9.185729740980E-023  4.701547574719E-023  4.484182166261E-023  3.256072360619E+003
 1.159220000000E-003  4.852837891194E-001  9.998448970166E-001  9.430274981058E-023  4.853915405813E-023  4.576359575246E-023  3.361595207211E+003
 1.174900000000E-003  4.826440970078E-001  9.998406337261E-001  9.671498685955E-023  5.003606935961E-023  4.667891749995E-023  3.465264572710E+003
 1.190780000000E-003  4.796152190292E-001  9.998362067578E-001  9.918661462316E-023  5.161520472591E-023  4.757140989725E-023  3.574628116057E+003
 1.206890000000E-003  4.764816609251E-001  9.998316325096E-001  1.016802312795E-022  5.323146579619E-023  4.844876548329E-023  3.686562812343E+003
 1.223210000000E-003  4.736006369091E-001  9.998269258756E-001  1.041351161668E-022  5.481665882559E-023  4.931845734118E-023  3.796345881157E+003
 1.239750000000E-003  4.709463032493E-001  9.998220513903E-001  1.065529460027E-022  5.637222998241E-023  5.018071602031E-023  3.904077477365E+003
 1.256510000000E-003  4.677569452110E-001  9.998170172791E-001  1.091901293089E-022  5.811568797619E-023  5.107444133273E-023  4.024821238758E+003
 1.273500000000E-003  4.644916986435E-001  9.998118654502E-001  1.118480002996E-022  5.989553265054E-023  5.195246764903E-023  4.148084971780E+003
 1.290720000000E-003  4.612893095509E-001  9.998065830994E-001  1.145033806898E-022  6.168419527018E-023  5.281918541965E-023  4.271959394525E+003
 1.308180000000E-003  4.580396904226E-001  9.998012091167E-001  1.170491696811E-022  6.343600423616E-023  5.361316544496E-023  4.393281505267E+003
 1.325870000000E-003  4.553204548705E-001  9.997956535650E-001  1.197253846345E-022  6.521196804319E-023  5.451341659133E-023  4.516276467535E+003
 1.343800000000E-003  4.522742281219E-001  9.997898785964E-001  1.224933666212E-022  6.709277378257E-023  5.540059283867E-023  4.646532292588E+003
 1.361970000000E-003  4.478832279219E-001  9.997837208340E-001  1.254399388726E-022  6.925749414000E-023  5.618244473258E-023  4.796450718644E+003
 1.380380000000E-003  4.437304648385E-001  9.997775415370E-001  1.280500800056E-022  7.123035848211E-023  5.681972152350E-023  4.933082092750E+003
 1.399050000000E-003  4.418609841043E-001  9.997716506559E-001  1.303281005104E-022  7.274119776243E-023  5.758690274797E-023  5.037715768020E+003
 1.417970000000E-003  4.387841372924E-001  9.997650687657E-001  1.334520067404E-022  7.489538309286E-023  5.855662364753E-023  5.186904587289E+003
