# ZDA BARE-GR-S graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c, free-electron term per radius
# a_eff stride: every 1 of 121
# lambda stride: every 1 of 865
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  2.240000E+00
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.120110E-002  3.550000E-004  6.512882E-002  6.512795E-002  8.771252E-007  1.346754E-005  6.905643E-005
  9.120110E-002  3.941330E-004  7.231893E-002  7.231759E-002  1.332768E-006  1.842903E-005  8.511684E-005
  9.120110E-002  4.375800E-004  8.030559E-002  8.030357E-002  2.025145E-006  2.521798E-005  1.049116E-004
  9.120110E-002  4.858170E-004  8.917817E-002  8.917509E-002  3.077299E-006  3.450732E-005  1.293088E-004
  9.120110E-002  5.393710E-004  9.903611E-002  9.903143E-002  4.676205E-006  4.721718E-005  1.593773E-004
  9.120110E-002  5.988280E-004  1.099907E-001  1.099836E-001  7.106079E-006  6.460617E-005  1.964345E-004
  9.120110E-002  6.648400E-004  1.221668E-001  1.221560E-001  1.079906E-005  8.839599E-005  2.421042E-004
  9.120110E-002  7.381280E-004  1.357038E-001  1.356874E-001  1.641195E-005  1.209395E-004  2.983847E-004
  9.120110E-002  8.194950E-004  1.507589E-001  1.507339E-001  2.494365E-005  1.654540E-004  3.677396E-004
  9.120110E-002  9.098320E-004  1.675088E-001  1.674709E-001  3.791323E-005  2.263358E-004  4.532023E-004
  9.120110E-002  1.010130E-003  1.861538E-001  1.860961E-001  5.763180E-005  3.095924E-004  5.585109E-004
  9.120110E-002  1.121480E-003  2.069190E-001  2.068314E-001  8.761308E-005  4.234172E-004  6.882578E-004
  9.120110E-002  1.245100E-003  2.300623E-001  2.299291E-001  1.332048E-004  5.789945E-004  8.481040E-004
  9.120110E-002  1.382360E-003  2.558817E-001  2.556792E-001  2.025568E-004  7.916033E-004  1.045046E-003
  9.120110E-002  1.534740E-003  2.847125E-001  2.844045E-001  3.080558E-004  1.081989E-003  1.287637E-003
  9.120110E-002  1.703920E-003  3.169500E-001  3.164814E-001  4.685909E-004  1.478438E-003  1.586469E-003
  9.120110E-002  1.891750E-003  3.530517E-001  3.523387E-001  7.129314E-004  2.019340E-003  1.954565E-003
  9.120110E-002  2.100290E-003  3.935560E-001  3.924711E-001  1.084935E-003  2.756747E-003  2.407990E-003
  9.120110E-002  2.331820E-003  4.390986E-001  4.374472E-001  1.651447E-003  3.760993E-003  2.966557E-003
  9.120110E-002  2.588860E-003  4.904345E-001  4.879202E-001  2.514327E-003  5.126733E-003  3.654718E-003
  9.120110E-002  2.874240E-003  5.484764E-001  5.446475E-001  3.828940E-003  6.981048E-003  4.502868E-003
  9.120110E-002  3.191090E-003  6.143227E-001  6.084907E-001  5.831926E-003  9.493263E-003  5.548787E-003
  9.120110E-002  3.542850E-003  6.892945E-001  6.804117E-001  8.882880E-003  1.288691E-002  6.839593E-003
  9.120110E-002  3.933400E-003  7.750028E-001  7.614751E-001  1.352770E-002  1.745504E-002  8.434877E-003
  9.120110E-002  4.367000E-003  8.733698E-001  8.527800E-001  2.058982E-002  2.357515E-002  1.041027E-002
  9.120110E-002  4.848390E-003  9.866659E-001  9.553639E-001  3.130199E-002  3.172501E-002  1.286329E-002
  9.120110E-002  5.382850E-003  1.117484E+000  1.069998E+000  4.748601E-002  4.249370E-002  1.592171E-002
  9.120110E-002  5.976230E-003  1.268586E+000  1.196809E+000  7.177626E-002  5.657975E-002  1.975583E-002
  9.120110E-002  6.635010E-003  1.442526E+000  1.334675E+000  1.078507E-001  7.476517E-002  2.459716E-002
  9.120110E-002  7.366420E-003  1.640879E+000  1.480322E+000  1.605571E-001  9.784823E-002  3.076700E-002
  9.120110E-002  8.178460E-003  1.862804E+000  1.627145E+000  2.356585E-001  1.265074E-001  3.871801E-002
  9.120110E-002  9.080000E-003  2.102875E+000  1.764145E+000  3.387301E-001  1.610795E-001  4.909487E-002
  9.120110E-002  1.008090E-002  2.348541E+000  1.875896E+000  4.726456E-001  2.012507E-001  6.281717E-002
  9.120110E-002  1.119220E-002  2.578896E+000  1.945217E+000  6.336794E-001  2.457173E-001  8.118250E-002
  9.120110E-002  1.242600E-002  2.767942E+000  1.959851E+000  8.080913E-001  2.919466E-001  1.059663E-001
  9.120110E-002  1.379570E-002  2.894825E+000  1.921305E+000  9.735202E-001  3.362968E-001  1.394910E-001
