# ZDA BARE-GR-S PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 28
# lambda stride: every 1 of 1201
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  2.240000E+00
#   lambda[um]     a_eff[um]      Q_abs
  1.000000E-003  3.500000E-004  1.231860E-004
  1.000000E-003  3.941330E-004  1.387124E-004
  1.000000E-003  4.375800E-004  1.539966E-004
  1.000000E-003  4.858170E-004  1.709662E-004
  1.000000E-003  5.393710E-004  1.898073E-004
  1.000000E-003  5.988280E-004  2.107248E-004
  1.000000E-003  6.648400E-004  2.339460E-004
  1.000000E-003  7.381280E-004  2.597256E-004
  1.000000E-003  8.194950E-004  2.883480E-004
  1.000000E-003  9.098320E-004  3.201238E-004
  1.000000E-003  1.010130E-003  3.554011E-004
  1.000000E-003  1.121480E-003  3.945657E-004
  1.000000E-003  1.245100E-003  4.380421E-004
  1.000000E-003  1.382360E-003  4.863148E-004
  1.000000E-003  1.534740E-003  5.399005E-004
  1.000000E-003  1.703920E-003  5.993909E-004
  1.000000E-003  1.891750E-003  6.654350E-004
  1.000000E-003  2.100290E-003  7.387548E-004
  1.000000E-003  2.331820E-003  8.201505E-004
  1.000000E-003  2.588860E-003  9.105056E-004
  1.000000E-003  2.874240E-003  1.010812E-003
  1.000000E-003  3.191090E-003  1.122166E-003
  1.000000E-003  3.542850E-003  1.245773E-003
  1.000000E-003  3.933400E-003  1.382991E-003
  1.000000E-003  4.367000E-003  1.535308E-003
  1.000000E-003  4.848390E-003  1.704383E-003
  1.000000E-003  5.382850E-003  1.892060E-003
  1.000000E-003  5.976230E-003  2.100380E-003
  1.013520E-003  3.500000E-004  1.277241E-004
  1.013520E-003  3.941330E-004  1.438224E-004
  1.013520E-003  4.375800E-004  1.596694E-004
  1.013520E-003  4.858170E-004  1.772637E-004
  1.013520E-003  5.393710E-004  1.967984E-004
  1.013520E-003  5.988280E-004  2.184862E-004
  1.013520E-003  6.648400E-004  2.425626E-004
  1.013520E-003  7.381280E-004  2.692912E-004
  1.013520E-003  8.194950E-004  2.989672E-004
  1.013520E-003  9.098320E-004  3.319132E-004
  1.013520E-003  1.010130E-003  3.684889E-004
  1.013520E-003  1.121480E-003  4.090954E-004
  1.013520E-003  1.245100E-003  4.541722E-004
  1.013520E-003  1.382360E-003  5.042217E-004
  1.013520E-003  1.534740E-003  5.597795E-004
  1.013520E-003  1.703920E-003  6.214597E-004
  1.013520E-003  1.891750E-003  6.899341E-004
  1.013520E-003  2.100290E-003  7.659518E-004
  1.013520E-003  2.331820E-003  8.503423E-004
  1.013520E-003  2.588860E-003  9.440217E-004
  1.013520E-003  2.874240E-003  1.048018E-003
  1.013520E-003  3.191090E-003  1.163469E-003
  1.013520E-003  3.542850E-003  1.291621E-003
  1.013520E-003  3.933400E-003  1.433884E-003
  1.013520E-003  4.367000E-003  1.591802E-003
  1.013520E-003  4.848390E-003  1.767092E-003
  1.013520E-003  5.382850E-003  1.961666E-003
  1.013520E-003  5.976230E-003  2.177640E-003
  1.027230E-003  3.500000E-004  1.322039E-004
  1.027230E-003  3.941330E-004  1.488669E-004
