# ZDA BARE-GR-S silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 121
# lambda stride: every 1 of 865
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  3.500000E+00
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.120110E-002  3.550000E-004  4.731934E-002  4.731895E-002  3.882509E-007  8.204910E-006  9.363409E-005
  9.120110E-002  3.941330E-004  5.254079E-002  5.254020E-002  5.899087E-007  1.122763E-005  1.154126E-004
  9.120110E-002  4.375800E-004  5.833979E-002  5.833890E-002  8.963160E-007  1.536371E-005  1.422560E-004
  9.120110E-002  4.858170E-004  6.478078E-002  6.477942E-002  1.361895E-006  2.102313E-005  1.753423E-004
  9.120110E-002  5.393710E-004  7.193535E-002  7.193328E-002  2.069328E-006  2.876649E-005  2.161221E-004
  9.120110E-002  5.988280E-004  7.988349E-002  7.988034E-002  3.144263E-006  3.936062E-005  2.663833E-004
  9.120110E-002  6.648400E-004  8.871464E-002  8.870987E-002  4.777683E-006  5.385450E-005  3.283308E-004
  9.120110E-002  7.381280E-004  9.852843E-002  9.852117E-002  7.259748E-006  7.368176E-005  4.046784E-004
  9.120110E-002  8.194950E-004  1.094367E-001  1.094256E-001  1.103152E-005  1.008028E-004  4.987724E-004
  9.120110E-002  9.098320E-004  1.215647E-001  1.215479E-001  1.676337E-005  1.378967E-004  6.147353E-004
  9.120110E-002  1.010130E-003  1.350535E-001  1.350280E-001  2.547442E-005  1.886247E-004  7.576485E-004
  9.120110E-002  1.121480E-003  1.500608E-001  1.500221E-001  3.871282E-005  2.579809E-004  9.337575E-004
  9.120110E-002  1.245100E-003  1.667655E-001  1.667067E-001  5.883226E-005  3.527843E-004  1.150764E-003
  9.120110E-002  1.382360E-003  1.853731E-001  1.852837E-001  8.941522E-005  4.823526E-004  1.418191E-003
  9.120110E-002  1.534740E-003  2.061117E-001  2.059758E-001  1.358983E-004  6.593428E-004  1.747685E-003
  9.120110E-002  1.703920E-003  2.292473E-001  2.290407E-001  2.065569E-004  9.010223E-004  2.153670E-003
  9.120110E-002  1.891750E-003  2.550834E-001  2.547694E-001  3.139682E-004  1.230845E-003  2.653881E-003
  9.120110E-002  2.100290E-003  2.839718E-001  2.834946E-001  4.772563E-004  1.680647E-003  3.270190E-003
  9.120110E-002  2.331820E-003  3.163208E-001  3.155953E-001  7.254841E-004  2.293508E-003  4.029542E-003
  9.120110E-002  2.588860E-003  3.526060E-001  3.515032E-001  1.102786E-003  3.127529E-003  4.965135E-003
  9.120110E-002  2.874240E-003  3.933921E-001  3.917159E-001  1.676219E-003  4.260938E-003  6.118098E-003
  9.120110E-002  3.191090E-003  4.393455E-001  4.367980E-001  2.547490E-003  5.798375E-003  7.539299E-003
  9.120110E-002  3.542850E-003  4.912517E-001  4.873812E-001  3.870446E-003  7.878743E-003  9.291698E-003
  9.120110E-002  3.933400E-003  5.500534E-001  5.441758E-001  5.877598E-003  1.068550E-002  1.145405E-002
  9.120110E-002  4.367000E-003  6.168594E-001  6.079412E-001  8.918258E-003  1.445752E-002  1.412478E-002
  9.120110E-002  4.848390E-003  6.929698E-001  6.794557E-001  1.351405E-002  1.950164E-002  1.742824E-002
  9.120110E-002  5.382850E-003  7.798763E-001  7.594401E-001  2.043618E-002  2.620439E-002  2.152319E-002
  9.120110E-002  5.976230E-003  8.792142E-001  8.484075E-001  3.080675E-002  3.503896E-002  2.661477E-002
  9.120110E-002  6.635010E-003  9.926333E-001  9.464142E-001  4.621904E-002  4.656205E-002  3.297223E-002
  9.120110E-002  7.366420E-003  1.121529E+000  1.052676E+000  6.885246E-002  6.139162E-002  4.095594E-002
  9.120110E-002  8.178460E-003  1.266523E+000  1.165013E+000  1.015102E-001  8.014873E-002  5.105633E-002
  9.120110E-002  9.080000E-003  1.426667E+000  1.279222E+000  1.474446E-001  1.033490E-001  6.395162E-002
  9.120110E-002  1.008090E-002  1.598417E+000  1.388659E+000  2.097578E-001  1.312285E-001  8.058804E-002
  9.120110E-002  1.119220E-002  1.774786E+000  1.484595E+000  2.901903E-001  1.635072E-001  1.022806E-001
  9.120110E-002  1.242600E-002  1.945447E+000  1.558056E+000  3.873908E-001  1.991269E-001  1.307992E-001
  9.120110E-002  1.379570E-002  2.098900E+000  1.603330E+000  4.955702E-001  2.361095E-001  1.683679E-001
  9.120110E-002  1.531650E-002  2.226646E+000  1.621567E+000  6.050792E-001  2.717447E-001  2.174104E-001
  9.120110E-002  1.700490E-002  2.327273E+000  1.621502E+000  7.057712E-001  3.032611E-001  2.797445E-001
  9.120110E-002  1.887950E-002  2.407628E+000  1.615616E+000  7.920117E-001  3.289594E-001  3.550717E-001
  9.120110E-002  2.096060E-002  2.478839E+000  1.613081E+000  8.657579E-001  3.492594E-001  4.387661E-001
  9.120110E-002  2.327120E-002  2.547495E+000  1.612904E+000  9.345903E-001  3.668664E-001  5.203234E-001
  9.120110E-002  2.583650E-002  2.607282E+000  1.603504E+000  1.003777E+000  3.849900E-001  5.865738E-001
  9.120110E-002  2.868460E-002  2.644980E+000  1.576207E+000  1.068773E+000  4.040761E-001  6.321779E-001
  9.120110E-002  3.184660E-002  2.660776E+000  1.540114E+000  1.120662E+000  4.211787E-001  6.653127E-001
  9.120110E-002  3.535720E-002  2.669360E+000  1.509199E+000  1.160161E+000  4.346212E-001  6.966491E-001
  9.120110E-002  3.925480E-002  2.672766E+000  1.477846E+000  1.194919E+000  4.470722E-001  7.254228E-001
  9.120110E-002  4.358200E-002  2.662535E+000  1.438742E+000  1.223793E+000  4.596344E-001  7.465266E-001
  9.120110E-002  4.838630E-002  2.647279E+000  1.402554E+000  1.244726E+000  4.701905E-001  7.641744E-001
  9.120110E-002  5.372010E-002  2.629201E+000  1.366586E+000  1.262615E+000  4.802277E-001  7.800681E-001
  9.120110E-002  5.964200E-002  2.606114E+000  1.329740E+000  1.276373E+000  4.897612E-001  7.924340E-001
  9.120110E-002  6.621660E-002  2.582704E+000  1.295210E+000  1.287494E+000  4.985061E-001  8.034958E-001
  9.120110E-002  7.351590E-002  2.557326E+000  1.261062E+000  1.296264E+000  5.068826E-001  8.124998E-001
  9.120110E-002  8.161990E-002  2.531900E+000  1.228586E+000  1.303314E+000  5.147572E-001  8.203454E-001
  9.120110E-002  9.061730E-002  2.506398E+000  1.197725E+000  1.308673E+000  5.221330E-001  8.269377E-001
  9.120110E-002  1.006060E-001  2.481009E+000  1.168271E+000  1.312738E+000  5.291147E-001  8.325492E-001
  9.120110E-002  1.116970E-001  2.456100E+000  1.140452E+000  1.315647E+000  5.356653E-001  8.373500E-001
  9.120110E-002  1.240100E-001  2.431803E+000  1.114260E+000  1.317543E+000  5.417967E-001  8.414443E-001
  9.120110E-002  1.376800E-001  2.408215E+000  1.089643E+000  1.318572E+000  5.475310E-001  8.449373E-001
  9.120110E-002  1.528570E-001  2.385418E+000  1.066556E+000  1.318862E+000  5.528851E-001  8.479194E-001
  9.120110E-002  1.697070E-001  2.363472E+000  1.044948E+000  1.318525E+000  5.578761E-001  8.504653E-001
  9.120110E-002  1.884140E-001  2.342413E+000  1.024757E+000  1.317656E+000  5.625208E-001  8.526368E-001
  9.120110E-002  2.091840E-001  2.322266E+000  1.005925E+000  1.316341E+000  5.668346E-001  8.544865E-001
  9.120110E-002  2.322440E-001  2.303039E+000  9.883845E-001  1.314655E+000  5.708347E-001  8.560598E-001
  9.120110E-002  2.578450E-001  2.284732E+000  9.720694E-001  1.312663E+000  5.745368E-001  8.573943E-001
  9.120110E-002  2.862680E-001  2.267335E+000  9.569122E-001  1.310423E+000  5.779573E-001  8.585226E-001
  9.120110E-002  3.178250E-001  2.250831E+000  9.428466E-001  1.307984E+000  5.811117E-001  8.594727E-001
  9.120110E-002  3.528600E-001  2.235200E+000  9.298089E-001  1.305392E+000  5.840154E-001  8.602684E-001
  9.120110E-002  3.917580E-001  2.220418E+000  9.177360E-001  1.302682E+000  5.866833E-001  8.609304E-001
  9.120110E-002  4.349430E-001  2.206457E+000  9.065681E-001  1.299889E+000  5.891295E-001  8.614766E-001
  9.120110E-002  4.828890E-001  2.193287E+000  8.962468E-001  1.297041E+000  5.913683E-001  8.619225E-001
  9.120110E-002  5.361200E-001  2.180878E+000  8.867170E-001  1.294161E+000  5.934129E-001  8.622814E-001
  9.120110E-002  5.952190E-001  2.169197E+000  8.779255E-001  1.291272E+000  5.952764E-001  8.625652E-001
  9.120110E-002  6.608330E-001  2.158213E+000  8.698221E-001  1.288391E+000  5.969711E-001  8.627840E-001
  9.120110E-002  7.336790E-001  2.147891E+000  8.623591E-001  1.285532E+000  5.985090E-001  8.629467E-001
  9.120110E-002  8.145560E-001  2.138201E+000  8.554911E-001  1.282710E+000  5.999014E-001  8.630612E-001
  9.120110E-002  9.043480E-001  2.129109E+000  8.491757E-001  1.279934E+000  6.011592E-001  8.631342E-001
  9.120110E-002  1.004040E+000  2.120585E+000  8.433725E-001  1.277213E+000  6.022926E-001  8.631719E-001
  9.120110E-002  1.114720E+000  2.112598E+000  8.380439E-001  1.274555E+000  6.033113E-001  8.631793E-001
  9.120110E-002  1.237600E+000  2.105119E+000  8.331542E-001  1.271965E+000  6.042247E-001  8.631612E-001
  9.120110E-002  1.374030E+000  2.098118E+000  8.286701E-001  1.269448E+000  6.050412E-001  8.631216E-001
  9.120110E-002  1.525490E+000  2.091569E+000  8.245609E-001  1.267008E+000  6.057691E-001  8.630639E-001
  9.120110E-002  1.693650E+000  2.085443E+000  8.207971E-001  1.264646E+000  6.064161E-001  8.629914E-001
  9.120110E-002  1.880350E+000  2.079717E+000  8.173516E-001  1.262366E+000  6.069891E-001  8.629066E-001
  9.120110E-002  2.087630E+000  2.074366E+000  8.141994E-001  1.260167E+000  6.074949E-001  8.628120E-001
  9.120110E-002  2.317760E+000  2.069367E+000  8.113169E-001  1.258050E+000  6.079396E-001  8.627097E-001
  9.120110E-002  2.573260E+000  2.064698E+000  8.086824E-001  1.256016E+000  6.083290E-001  8.626014E-001
  9.120110E-002  2.856920E+000  2.060339E+000  8.062757E-001  1.254063E+000  6.086684E-001  8.624888E-001
  9.120110E-002  3.171850E+000  2.056269E+000  8.040780E-001  1.252191E+000  6.089627E-001  8.623730E-001
  9.120110E-002  3.521500E+000  2.052471E+000  8.020721E-001  1.250399E+000  6.092163E-001  8.622554E-001
  9.120110E-002  3.909690E+000  2.048926E+000  8.002420E-001  1.248684E+000  6.094334E-001  8.621369E-001
  9.120110E-002  4.340670E+000  2.045619E+000  7.985730E-001  1.247046E+000  6.096179E-001  8.620184E-001
  9.120110E-002  4.819170E+000  2.042533E+000  7.970513E-001  1.245482E+000  6.097732E-001  8.619006E-001
  9.120110E-002  5.350410E+000  2.039655E+000  7.956646E-001  1.243991E+000  6.099024E-001  8.617841E-001
  9.120110E-002  5.940210E+000  2.036971E+000  7.944013E-001  1.242570E+000  6.100085E-001  8.616695E-001
  9.120110E-002  6.595020E+000  2.034468E+000  7.932509E-001  1.241217E+000  6.100942E-001  8.615571E-001
  9.120110E-002  7.322020E+000  2.032133E+000  7.922034E-001  1.239930E+000  6.101617E-001  8.614473E-001
  9.120110E-002  8.129160E+000  2.029956E+000  7.912501E-001  1.238706E+000  6.102132E-001  8.613404E-001
  9.120110E-002  9.025280E+000  2.027927E+000  7.903827E-001  1.237544E+000  6.102508E-001  8.612367E-001
  9.120110E-002  1.002020E+001  2.026034E+000  7.895937E-001  1.236440E+000  6.102762E-001  8.611362E-001
  9.120110E-002  1.112470E+001  2.024270E+000  7.888763E-001  1.235394E+000  6.102910E-001  8.610391E-001
  9.120110E-002  1.235110E+001  2.022625E+000  7.882240E-001  1.234401E+000  6.102965E-001  8.609455E-001
  9.120110E-002  1.371260E+001  2.021092E+000  7.876311E-001  1.233460E+000  6.102942E-001  8.608554E-001
  9.120110E-002  1.522420E+001  2.019662E+000  7.870924E-001  1.232570E+000  6.102851E-001  8.607689E-001
  9.120110E-002  1.690240E+001  2.018329E+000  7.866031E-001  1.231726E+000  6.102702E-001  8.606859E-001
  9.120110E-002  1.876570E+001  2.017087E+000  7.861586E-001  1.230929E+000  6.102506E-001  8.606065E-001
  9.120110E-002  2.083430E+001  2.015929E+000  7.857550E-001  1.230174E+000  6.102269E-001  8.605305E-001
  9.120110E-002  2.313100E+001  2.014850E+000  7.853886E-001  1.229461E+000  6.101999E-001  8.604580E-001
  9.120110E-002  2.568080E+001  2.013843E+000  7.850561E-001  1.228787E+000  6.101703E-001  8.603888E-001
  9.120110E-002  2.851170E+001  2.012905E+000  7.847543E-001  1.228151E+000  6.101385E-001  8.603229E-001
  9.120110E-002  3.165470E+001  2.012031E+000  7.844805E-001  1.227551E+000  6.101052E-001  8.602602E-001
  9.120110E-002  3.514410E+001  2.011216E+000  7.842322E-001  1.226984E+000  6.100707E-001  8.602006E-001
  9.120110E-002  3.901820E+001  2.010456E+000  7.840069E-001  1.226449E+000  6.100353E-001  8.601440E-001
  9.120110E-002  4.331940E+001  2.009748E+000  7.838027E-001  1.225945E+000  6.099995E-001  8.600902E-001
  9.120110E-002  4.809470E+001  2.009088E+000  7.836176E-001  1.225470E+000  6.099635E-001  8.600393E-001
  9.120110E-002  5.339640E+001  2.008473E+000  7.834498E-001  1.225023E+000  6.099276E-001  8.599910E-001
  9.120110E-002  5.928250E+001  2.007899E+000  7.832977E-001  1.224601E+000  6.098919E-001  8.599453E-001
  9.120110E-002  6.581750E+001  2.007364E+000  7.831599E-001  1.224204E+000  6.098566E-001  8.599021E-001
