# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.12000E-002   1.23581E-056   1.23445E-056   1.35870E-059
  9.22600E-002   2.86583E-056   2.86218E-056   3.65216E-059
  9.33200E-002   6.51324E-056   6.50363E-056   9.60594E-059
  9.44100E-002   1.48549E-055   1.48295E-055   2.53994E-058
  9.55000E-002   3.32286E-055   3.31629E-055   6.57053E-058
  9.66100E-002   7.39416E-055   7.37724E-055   1.69205E-057
  9.77200E-002   1.61499E-054   1.61072E-054   4.26470E-057
  9.88600E-002   3.53578E-054   3.52499E-054   1.07848E-056
  1.00000E-001   7.59708E-054   7.57037E-054   2.67035E-056
  1.01200E-001   1.66630E-053   1.65961E-053   6.69663E-056
  1.02300E-001   3.36466E-053   3.34934E-053   1.53157E-055
  1.03500E-001   7.11415E-053   7.07719E-053   3.69670E-055
  1.04700E-001   1.47670E-052   1.46797E-052   8.73295E-055
  1.05900E-001   3.01125E-052   2.99104E-052   2.02074E-054
  1.07200E-001   6.39028E-052   6.34126E-052   4.90234E-054
  1.08400E-001   1.25792E-051   1.24703E-051   1.08868E-053
  1.09700E-001   2.57230E-051   2.54700E-051   2.52957E-053
  1.10900E-001   4.89897E-051   4.84492E-051   5.40464E-053
  1.12200E-001   9.68209E-051   9.56149E-051   1.20605E-052
  1.13500E-001   1.88307E-050   1.85669E-050   2.63875E-052
  1.14800E-001   3.60664E-050   3.54999E-050   5.66544E-052
  1.16100E-001   6.79222E-050   6.67277E-050   1.19455E-051
  1.17500E-001   1.31819E-049   1.29203E-049   2.61600E-051
  1.18900E-001   2.51411E-049   2.45793E-049   5.61879E-051
  1.20200E-001   4.51196E-049   4.39959E-049   1.12374E-050
  1.21600E-001   8.33880E-049   8.10582E-049   2.32978E-050
  1.23000E-001   1.51793E-048   1.47046E-048   4.74730E-050
  1.24400E-001   2.72474E-048   2.62961E-048   9.51378E-050
  1.25900E-001   5.02504E-048   4.82819E-048   1.96845E-049
  1.27400E-001   9.12171E-048   8.72152E-048   4.00184E-049
  1.28800E-001   1.56956E-047   1.49313E-047   7.64267E-049
