# aeff[um]=   0.00501  comp=ad_s2  Teq[K]=  19.06974 (calc_Teq output)
# block 1 (GD): N=250   blocks 2-4 (MC fixed/2pass/buffered): N=600
# === GD block: T[K]   P(T_i)   dP/dlnT
  1.00000E+000   1.41596E-018   8.80734E-017
  1.03268E+000   0.00000E+000   0.00000E+000
  1.06642E+000   0.00000E+000   0.00000E+000
  1.10127E+000   0.00000E+000   0.00000E+000
  1.13725E+000   0.00000E+000   0.00000E+000
  1.17442E+000   0.00000E+000   0.00000E+000
  1.21279E+000   0.00000E+000   0.00000E+000
  1.25242E+000   0.00000E+000   0.00000E+000
  1.29335E+000   0.00000E+000   0.00000E+000
  1.33561E+000   0.00000E+000   0.00000E+000
  1.37925E+000   0.00000E+000   0.00000E+000
  1.42432E+000   0.00000E+000   0.00000E+000
  1.47086E+000   0.00000E+000   0.00000E+000
  1.51893E+000   0.00000E+000   0.00000E+000
  1.56856E+000   0.00000E+000   0.00000E+000
  1.61981E+000   0.00000E+000   0.00000E+000
  1.67274E+000   0.00000E+000   0.00000E+000
  1.72740E+000   0.00000E+000   0.00000E+000
  1.78385E+000   0.00000E+000   0.00000E+000
  1.84214E+000   0.00000E+000   0.00000E+000
  1.90233E+000   0.00000E+000   0.00000E+000
  1.96450E+000   0.00000E+000   0.00000E+000
  2.02869E+000   0.00000E+000   0.00000E+000
  2.09498E+000   0.00000E+000   0.00000E+000
  2.16344E+000   0.00000E+000   0.00000E+000
  2.23413E+000   0.00000E+000   0.00000E+000
  2.30713E+000   0.00000E+000   0.00000E+000
  2.38252E+000   0.00000E+000   0.00000E+000
  2.46038E+000   1.24395E-016   3.86870E-015
  2.54077E+000   2.78370E-015   8.65739E-014
  2.62380E+000   3.66924E-014   1.14114E-012
  2.70953E+000   3.48593E-013   1.08413E-011
  2.79807E+000   2.61582E-012   8.13526E-011
  2.88950E+000   1.63288E-011   5.07829E-010
  2.98392E+000   8.76375E-011   2.72555E-009
  3.08143E+000   4.13660E-010   1.28649E-008
  3.18212E+000   1.74541E-009   5.42828E-008
  3.28610E+000   6.66429E-009   2.07261E-007
  3.39348E+000   2.32454E-008   7.22939E-007
  3.50437E+000   7.46362E-008   2.32121E-006
  3.61888E+000   2.21961E-007   6.90303E-006
  3.73713E+000   6.14558E-007   1.91129E-005
  3.85925E+000   1.59121E-006   4.94871E-005
  3.98535E+000   3.86759E-006   1.20283E-004
  4.11558E+000   8.85476E-006   2.75385E-004
  4.25006E+000   1.91555E-005   5.95741E-004
  4.38894E+000   3.92707E-005   1.22133E-003
  4.53236E+000   7.64971E-005   2.37908E-003
  4.68046E+000   1.41947E-004   4.41457E-003
  4.83340E+000   2.51503E-004   7.82181E-003
  4.99134E+000   4.26473E-004   1.32634E-002
  5.15444E+000   6.93630E-004   2.15720E-002
  5.32287E+000   1.08447E-003   3.37272E-002
  5.49680E+000   1.63354E-003   5.08034E-002
  5.67642E+000   2.37588E-003   7.38903E-002
  5.86191E+000   3.34383E-003   1.03994E-001
  6.05345E+000   4.56377E-003   1.41934E-001
  6.25126E+000   6.05295E-003   1.88248E-001
  6.45553E+000   7.81575E-003   2.43072E-001
  6.66647E+000   9.84101E-003   3.06058E-001
  6.88431E+000   1.21011E-002   3.76347E-001
  7.10927E+000   1.45547E-002   4.52656E-001
  7.34157E+000   1.71469E-002   5.33272E-001
  7.58147E+000   1.98149E-002   6.16248E-001
  7.82921E+000   2.24893E-002   6.99424E-001
  8.08504E+000   2.50948E-002   7.80453E-001
  8.34923E+000   2.75607E-002   8.57145E-001
  8.62206E+000   2.98259E-002   9.27592E-001
  8.90380E+000   3.18329E-002   9.90012E-001
  9.19474E+000   3.35424E-002   1.04318E+000
  9.49520E+000   3.49305E-002   1.08635E+000
  9.80547E+000   3.59793E-002   1.11897E+000
  1.01259E+001   3.66826E-002   1.14084E+000
  1.04568E+001   3.70401E-002   1.15196E+000
  1.07984E+001   3.70692E-002   1.15286E+000
  1.11513E+001   3.67937E-002   1.14429E+000
  1.15157E+001   3.62358E-002   1.12694E+000
  1.18920E+001   3.54135E-002   1.10137E+000
  1.22806E+001   3.43664E-002   1.06880E+000
  1.26819E+001   3.31373E-002   1.03058E+000
  1.30963E+001   3.17621E-002   9.87809E-001
  1.35242E+001   3.02671E-002   9.41313E-001
  1.39661E+001   2.86883E-002   8.92212E-001
  1.44225E+001   2.70500E-002   8.41261E-001
  1.48938E+001   2.53710E-002   7.89043E-001
  1.53805E+001   2.36715E-002   7.36191E-001
  1.58830E+001   2.19757E-002   6.83450E-001
  1.64020E+001   2.02805E-002   6.30727E-001
  1.69380E+001   1.86107E-002   5.78798E-001
  1.74915E+001   1.69833E-002   5.28186E-001
  1.80630E+001   1.54177E-002   4.79495E-001
  1.86533E+001   1.39229E-002   4.33006E-001
  1.92628E+001   1.24976E-002   3.88677E-001
  1.98922E+001   1.11506E-002   3.46787E-001
  2.05423E+001   9.89077E-003   3.07605E-001
  2.12135E+001   8.71843E-003   2.71145E-001
  2.19067E+001   7.63471E-003   2.37441E-001
  2.26225E+001   6.64794E-003   2.06753E-001
  2.33618E+001   5.75724E-003   1.79052E-001
  2.41251E+001   4.96112E-003   1.54292E-001
  2.49135E+001   4.25262E-003   1.32258E-001
  2.57276E+001   3.63011E-003   1.12897E-001
  2.65682E+001   3.08907E-003   9.60707E-002
  2.74364E+001   2.62413E-003   8.16112E-002
  2.83329E+001   2.22907E-003   6.93245E-002
  2.92588E+001   1.89666E-003   5.89867E-002
  3.02148E+001   1.61932E-003   5.03614E-002
  3.12022E+001   1.38871E-003   4.31891E-002
  3.22217E+001   1.19731E-003   3.72368E-002
  3.32746E+001   1.03855E-003   3.22991E-002
  3.43619E+001   9.06628E-004   2.81963E-002
  3.54848E+001   7.96762E-004   2.47795E-002
  3.66443E+001   7.04783E-004   2.19189E-002
  3.78417E+001   6.27101E-004   1.95030E-002
  3.90782E+001   5.58620E-004   1.73732E-002
  4.03552E+001   4.97300E-004   1.54662E-002
  4.16739E+001   4.41173E-004   1.37206E-002
  4.30356E+001   3.85299E-004   1.19829E-002
  4.44419E+001   3.22404E-004   1.00268E-002
  4.58941E+001   2.46411E-004   7.66344E-003
  4.73938E+001   1.66851E-004   5.18911E-003
  4.89424E+001   9.29233E-005   2.88994E-003
  5.05417E+001   3.72286E-005   1.15782E-003
  5.21932E+001   3.08683E-006   9.60012E-005
  5.38987E+001   1.02214E-006   3.17887E-005
  5.56599E+001   4.58655E-007   1.42643E-005
  5.74787E+001   1.98925E-007   6.18661E-006
  5.93569E+001   7.13049E-008   2.21760E-006
  6.12965E+001   1.53236E-008   4.76567E-007
  6.32995E+001   1.69192E-009   5.26191E-008
  6.53679E+001   1.07806E-010   3.35279E-009
  6.75039E+001   2.82910E-011   8.79856E-010
  6.97097E+001   3.17943E-012   9.88809E-011
  7.19876E+001   8.70420E-014   2.70703E-012
  7.43399E+001   4.90780E-015   1.52634E-013
  7.67691E+001   1.70415E-016   5.29995E-015
  7.92776E+001   3.70608E-018   1.15260E-016
  8.18681E+001   1.35327E-019   4.20869E-018
  8.45433E+001   1.82480E-022   5.67519E-021
  8.73059E+001   6.36375E-024   1.97914E-022
  9.01588E+001   7.61809E-027   2.36924E-025
  9.31048E+001   1.76909E-028   5.50192E-027
  9.61472E+001   1.43775E-031   4.47143E-030
  9.92890E+001   1.79147E-036   5.57152E-035
  1.02533E+002   3.67605E-041   1.14326E-039
  1.05884E+002   1.09494E-045   3.40528E-044
  1.09344E+002   3.85500E-050   1.19891E-048
  1.12917E+002   1.36361E-054   4.24085E-053
  1.16606E+002   4.65295E-059   1.44708E-057
  1.20417E+002   1.29960E-063   4.04178E-062
  1.24352E+002   2.58695E-068   8.04548E-067
  1.28415E+002   3.62240E-073   1.12658E-071
  1.32611E+002   0.00000E+000   0.00000E+000
  1.36944E+002   0.00000E+000   0.00000E+000
  1.41419E+002   0.00000E+000   0.00000E+000
  1.46040E+002   0.00000E+000   0.00000E+000
  1.50813E+002   0.00000E+000   0.00000E+000
  1.55741E+002   0.00000E+000   0.00000E+000
  1.60830E+002   0.00000E+000   0.00000E+000
  1.66085E+002   0.00000E+000   0.00000E+000
  1.71512E+002   0.00000E+000   0.00000E+000
  1.77117E+002   0.00000E+000   0.00000E+000
  1.82904E+002   0.00000E+000   0.00000E+000
  1.88881E+002   0.00000E+000   0.00000E+000
  1.95053E+002   0.00000E+000   0.00000E+000
  2.01426E+002   0.00000E+000   0.00000E+000
  2.08008E+002   0.00000E+000   0.00000E+000
  2.14805E+002   0.00000E+000   0.00000E+000
  2.21825E+002   0.00000E+000   0.00000E+000
  2.29073E+002   0.00000E+000   0.00000E+000
  2.36558E+002   0.00000E+000   0.00000E+000
  2.44288E+002   0.00000E+000   0.00000E+000
  2.52271E+002   0.00000E+000   0.00000E+000
  2.60514E+002   0.00000E+000   0.00000E+000
  2.69027E+002   0.00000E+000   0.00000E+000
  2.77818E+002   0.00000E+000   0.00000E+000
  2.86896E+002   0.00000E+000   0.00000E+000
  2.96271E+002   0.00000E+000   0.00000E+000
  3.05952E+002   0.00000E+000   0.00000E+000
  3.15949E+002   0.00000E+000   0.00000E+000
  3.26273E+002   0.00000E+000   0.00000E+000
  3.36935E+002   0.00000E+000   0.00000E+000
  3.47945E+002   0.00000E+000   0.00000E+000
  3.59314E+002   0.00000E+000   0.00000E+000
  3.71056E+002   0.00000E+000   0.00000E+000
  3.83180E+002   0.00000E+000   0.00000E+000
  3.95701E+002   0.00000E+000   0.00000E+000
  4.08632E+002   0.00000E+000   0.00000E+000
  4.21984E+002   0.00000E+000   0.00000E+000
  4.35773E+002   0.00000E+000   0.00000E+000
  4.50013E+002   0.00000E+000   0.00000E+000
  4.64718E+002   0.00000E+000   0.00000E+000
  4.79903E+002   0.00000E+000   0.00000E+000
  4.95585E+002   0.00000E+000   0.00000E+000
  5.11779E+002   0.00000E+000   0.00000E+000
  5.28502E+002   0.00000E+000   0.00000E+000
  5.45772E+002   0.00000E+000   0.00000E+000
  5.63606E+002   0.00000E+000   0.00000E+000
  5.82023E+002   0.00000E+000   0.00000E+000
  6.01041E+002   0.00000E+000   0.00000E+000
  6.20681E+002   0.00000E+000   0.00000E+000
  6.40963E+002   0.00000E+000   0.00000E+000
  6.61907E+002   0.00000E+000   0.00000E+000
  6.83536E+002   0.00000E+000   0.00000E+000
  7.05872E+002   0.00000E+000   0.00000E+000
  7.28937E+002   0.00000E+000   0.00000E+000
  7.52757E+002   0.00000E+000   0.00000E+000
  7.77354E+002   0.00000E+000   0.00000E+000
  8.02755E+002   0.00000E+000   0.00000E+000
  8.28987E+002   0.00000E+000   0.00000E+000
  8.56075E+002   0.00000E+000   0.00000E+000
  8.84049E+002   0.00000E+000   0.00000E+000
  9.12937E+002   0.00000E+000   0.00000E+000
  9.42768E+002   0.00000E+000   0.00000E+000
  9.73575E+002   0.00000E+000   0.00000E+000
  1.00539E+003   0.00000E+000   0.00000E+000
  1.03824E+003   0.00000E+000   0.00000E+000
