# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.12000E-002   1.23095E-056   1.22961E-056   1.34034E-059
  9.22600E-002   2.85460E-056   2.85100E-056   3.60266E-059
  9.33200E-002   6.48784E-056   6.47837E-056   9.47546E-059
  9.44100E-002   1.47973E-055   1.47723E-055   2.50536E-058
  9.55000E-002   3.31005E-055   3.30357E-055   6.48091E-058
  9.66100E-002   7.36585E-055   7.34916E-055   1.66894E-057
  9.77200E-002   1.60885E-054   1.60465E-054   4.20634E-057
  9.88600E-002   3.52245E-054   3.51182E-054   1.06371E-056
  1.00000E-001   7.56871E-054   7.54237E-054   2.63373E-056
  1.01200E-001   1.66014E-053   1.65354E-053   6.60479E-056
  1.02300E-001   3.35234E-053   3.33724E-053   1.51056E-055
  1.03500E-001   7.08841E-053   7.05195E-053   3.64602E-055
  1.04700E-001   1.47142E-052   1.46281E-052   8.61332E-055
  1.05900E-001   3.00062E-052   2.98069E-052   1.99309E-054
  1.07200E-001   6.36804E-052   6.31968E-052   4.83537E-054
  1.08400E-001   1.25360E-051   1.24286E-051   1.07384E-053
  1.09700E-001   2.56360E-051   2.53865E-051   2.49517E-053
  1.10900E-001   4.88264E-051   4.82932E-051   5.33134E-053
  1.12200E-001   9.65034E-051   9.53137E-051   1.18975E-052
  1.13500E-001   1.87700E-050   1.85097E-050   2.60324E-052
  1.14800E-001   3.59520E-050   3.53931E-050   5.58952E-052
  1.16100E-001   6.77105E-050   6.65319E-050   1.17862E-051
  1.17500E-001   1.31416E-049   1.28835E-049   2.58132E-051
  1.18900E-001   2.50656E-049   2.45112E-049   5.54478E-051
  1.20200E-001   4.49864E-049   4.38774E-049   1.10904E-050
  1.21600E-001   8.31465E-049   8.08470E-049   2.29952E-050
  1.23000E-001   1.51361E-048   1.46675E-048   4.68612E-050
  1.24400E-001   2.71713E-048   2.62321E-048   9.39220E-050
  1.25900E-001   5.01127E-048   4.81692E-048   1.94354E-049
  1.27400E-001   9.09717E-048   8.70200E-048   3.95171E-049
  1.28800E-001   1.56541E-047   1.48993E-047   7.54790E-049
