# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  7.37568515E-055
  9.226000E-02  1.34751340E-054
  9.332000E-02  2.43106732E-054
  9.441000E-02  4.40269661E-054
  9.550000E-02  7.87139191E-054
  9.661000E-02  1.40400777E-053
  9.772000E-02  2.47254335E-053
  9.886000E-02  4.36498129E-053
  1.000000E-01  7.61024278E-053
  1.012000E-01  1.33119945E-052
  1.023000E-01  2.20563857E-052
  1.035000E-01  3.77668172E-052
  1.047000E-01  6.38289471E-052
  1.059000E-01  1.06533628E-051
  1.072000E-01  1.83056323E-051
  1.084000E-01  2.98083687E-051
  1.097000E-01  4.99172294E-051
  1.109000E-01  7.94481684E-051
  1.122000E-01  1.29954356E-050
  1.135000E-01  2.10240659E-050
  1.148000E-01  3.36705456E-050
  1.161000E-01  5.34289711E-050
  1.175000E-01  8.70349155E-050
  1.189000E-01  1.40581570E-049
  1.202000E-01  2.18006361E-049
  1.216000E-01  3.47683232E-049
  1.230000E-01  5.51989893E-049
  1.244000E-01  8.73700606E-049
  1.259000E-01  1.42665826E-048
  1.274000E-01  2.32965556E-048
  1.288000E-01  3.68713394E-048
  1.303000E-01  5.96811192E-048
  1.318000E-01  9.87655477E-048
  1.333000E-01  1.64268526E-047
  1.349000E-01  2.84173630E-047
  1.365000E-01  4.94033635E-047
  1.380000E-01  8.32596115E-047
  1.396000E-01  1.45635112E-046
  1.412000E-01  2.54991037E-046
  1.429000E-01  4.62078896E-046
  1.445000E-01  8.06897486E-046
  1.462000E-01  1.45371518E-045
  1.479000E-01  2.60611963E-045
  1.496000E-01  4.64448835E-045
  1.514000E-01  8.50110667E-045
  1.531000E-01  1.49345731E-044
  1.549000E-01  2.68966100E-044
  1.567000E-01  4.80155083E-044
  1.585000E-01  8.49548138E-044
  1.603000E-01  1.48972268E-043
  1.622000E-01  2.66920108E-043
  1.641000E-01  4.73599611E-043
  1.660000E-01  8.32292990E-043
  1.679000E-01  1.44902771E-042
  1.698000E-01  2.49990582E-042
  1.718000E-01  4.39395831E-042
  1.738000E-01  7.64474424E-042
  1.758000E-01  1.31725026E-041
  1.778000E-01  2.24898921E-041
  1.799000E-01  3.90727456E-041
  1.820000E-01  6.72725834E-041
  1.841000E-01  1.14842976E-040
  1.862000E-01  1.94474300E-040
  1.884000E-01  3.34911966E-040
  1.905000E-01  5.58422884E-040
  1.928000E-01  9.69428714E-040
  1.950000E-01  1.62960335E-039
  1.972000E-01  2.71661614E-039
  1.995000E-01  4.59112899E-039
  2.018000E-01  7.67586998E-039
  2.042000E-01  1.29525530E-038
  2.065000E-01  2.10784278E-038
  2.089000E-01  3.44319635E-038
  2.113000E-01  5.51205674E-038
  2.138000E-01  8.78700029E-038
  2.163000E-01  1.36493933E-037
  2.188000E-01  2.06503883E-037
  2.213000E-01  3.04546909E-037
  2.239000E-01  4.44978063E-037
  2.265000E-01  6.35924488E-037
  2.291000E-01  8.92143864E-037
  2.317000E-01  1.23296679E-036
  2.344000E-01  1.70382318E-036
  2.371000E-01  2.33108307E-036
  2.399000E-01  3.19997260E-036
  2.427000E-01  4.36343387E-036
  2.455000E-01  5.91721773E-036
  2.483000E-01  7.98646222E-036
  2.512000E-01  1.08467259E-035
  2.541000E-01  1.46689952E-035
  2.570000E-01  1.97571951E-035
  2.600000E-01  2.67716359E-035
  2.630000E-01  3.61206541E-035
  2.661000E-01  4.90010210E-035
  2.691000E-01  6.55326781E-035
  2.723000E-01  8.89265329E-035
  2.754000E-01  1.18953211E-034
  2.786000E-01  1.59824160E-034
  2.818000E-01  2.13654083E-034
  2.851000E-01  2.86699618E-034
  2.884000E-01  3.82666244E-034
  2.917000E-01  5.08056315E-034
  2.951000E-01  6.76621293E-034
  2.985000E-01  8.96167725E-034
  3.020000E-01  1.19003524E-033
  3.055000E-01  1.51557684E-033
  3.090000E-01  1.96560382E-033
  3.126000E-01  2.55071332E-033
  3.162000E-01  3.28776014E-033
  3.199000E-01  4.23887181E-033
  3.236000E-01  5.42875215E-033
  3.273000E-01  6.90777740E-033
  3.311000E-01  8.78943751E-033
  3.350000E-01  1.11794877E-032
  3.388000E-01  1.40422788E-032
  3.428000E-01  1.77329955E-032
  3.467000E-01  2.21207766E-032
  3.507000E-01  2.75712895E-032
  3.548000E-01  3.43210027E-032
  3.589000E-01  4.24304446E-032
  3.631000E-01  5.23484039E-032
  3.673000E-01  6.40991438E-032
  3.715000E-01  7.78658063E-032
  3.758000E-01  9.41852004E-032
  3.802000E-01  1.13249211E-031
  3.846000E-01  1.34556449E-031
  3.891000E-01  1.58261011E-031
  3.936000E-01  1.83302839E-031
  3.981000E-01  2.09277082E-031
  4.027000E-01  2.37202731E-031
  4.074000E-01  2.68688537E-031
  4.121000E-01  3.05202577E-031
  4.169000E-01  3.49616337E-031
  4.217000E-01  4.03040880E-031
  4.266000E-01  4.68727621E-031
  4.315000E-01  5.47346772E-031
  4.365000E-01  6.41905329E-031
  4.416000E-01  7.53229715E-031
  4.467000E-01  8.78052654E-031
  4.519000E-01  1.01569791E-030
  4.571000E-01  1.15782848E-030
  4.624000E-01  1.29873380E-030
  4.677000E-01  1.42574254E-030
  4.732000E-01  1.53529852E-030
  4.786000E-01  1.62052428E-030
  4.842000E-01  1.69358567E-030
  4.898000E-01  1.76132186E-030
  4.954000E-01  1.83161926E-030
  5.012000E-01  1.91372811E-030
  5.070000E-01  2.01195253E-030
  5.129000E-01  2.13463495E-030
  5.188000E-01  2.28343230E-030
  5.248000E-01  2.46105482E-030
  5.309000E-01  2.66498181E-030
  5.370000E-01  2.88559471E-030
  5.433000E-01  3.12107640E-030
