# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S2
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02   3.64990188E-56
  9.226000E-02   8.34246757E-56
  9.332000E-02   1.86931527E-55
  9.441000E-02   4.20290589E-55
  9.550000E-02   9.27057962E-55
  9.661000E-02   2.03427249E-54
  9.772000E-02   4.38259321E-54
  9.886000E-02   9.46327932E-54
  1.000000E-01   2.00589326E-53
  1.012000E-01   4.33853748E-53
  1.023000E-01   8.65078307E-53
  1.035000E-01   1.80454728E-52
  1.047000E-01   3.69629265E-52
  1.059000E-01   7.43949599E-52
  1.072000E-01   1.55690461E-51
  1.084000E-01   3.02612994E-51
  1.097000E-01   6.10481126E-51
  1.109000E-01   1.14839583E-50
  1.122000E-01   2.23981803E-50
  1.135000E-01   4.29964073E-50
  1.148000E-01   8.12917725E-50
  1.161000E-01   1.51136245E-49
  1.175000E-01   2.89294043E-49
  1.189000E-01   5.44206266E-49
  1.202000E-01   9.64257856E-49
  1.216000E-01   1.75767991E-48
  1.230000E-01   3.15551947E-48
  1.244000E-01   5.58592931E-48
  1.259000E-01   1.01479773E-47
  1.274000E-01   1.81424535E-47
  1.288000E-01   3.07690852E-47
  1.303000E-01   5.34178220E-47
  1.318000E-01   9.15303923E-47
  1.333000E-01   1.54598441E-46
  1.349000E-01   2.66053039E-46
  1.365000E-01   4.50677837E-46
  1.380000E-01   7.27370577E-46
  1.396000E-01   1.18673683E-45
  1.412000E-01   1.90784522E-45
  1.429000E-01   3.10914820E-45
  1.445000E-01   4.84797121E-45
  1.462000E-01   7.64444623E-45
  1.479000E-01   1.18655011E-44
  1.496000E-01   1.81759325E-44
  1.514000E-01   2.81275326E-44
  1.531000E-01   4.18647742E-44
  1.549000E-01   6.27769790E-44
  1.567000E-01   9.32886357E-44
  1.585000E-01   1.37090381E-43
  1.603000E-01   1.99156930E-43
  1.622000E-01   2.91984303E-43
  1.641000E-01   4.22816805E-43
  1.660000E-01   6.09933906E-43
  1.679000E-01   8.82459273E-43
  1.698000E-01   1.26773049E-42
  1.718000E-01   1.84354365E-42
  1.738000E-01   2.66568491E-42
  1.758000E-01   3.83864056E-42
  1.778000E-01   5.46262594E-42
  1.799000E-01   7.73743018E-42
  1.820000E-01   1.08710576E-41
  1.841000E-01   1.51674156E-41
  1.862000E-01   2.10318583E-41
  1.884000E-01   2.94745619E-41
  1.905000E-01   4.05253648E-41
  1.928000E-01   5.87837945E-41
  1.950000E-01   8.38819646E-41
  1.972000E-01   1.19377834E-40
  1.995000E-01   1.72222836E-40
  2.018000E-01   2.47887630E-40
  2.042000E-01   3.61562048E-40
  2.065000E-01   5.17887934E-40
  2.089000E-01   7.35368582E-40
  2.113000E-01   1.03494532E-39
  2.138000E-01   1.46572085E-39
  2.163000E-01   2.05940543E-39
  2.188000E-01   2.87158479E-39
  2.213000E-01   3.97465105E-39
  2.239000E-01   5.53217211E-39
  2.265000E-01   7.64290743E-39
  2.291000E-01   1.04858324E-38
  2.317000E-01   1.42890290E-38
  2.344000E-01   1.95609399E-38
  2.371000E-01   2.65872657E-38
  2.399000E-01   3.62620168E-38
  2.427000E-01   4.90911286E-38
  2.455000E-01   6.60077555E-38
  2.483000E-01   8.81498919E-38
  2.512000E-01   1.18182658E-37
  2.541000E-01   1.57350338E-37
  2.570000E-01   2.08082462E-37
  2.600000E-01   2.75945400E-37
  2.630000E-01   3.63444637E-37
  2.661000E-01   4.79833804E-37
  2.691000E-01   6.23727834E-37
  2.723000E-01   8.19689201E-37
  2.754000E-01   1.06117198E-36
  2.786000E-01   1.37639996E-36
  2.818000E-01   1.77441877E-36
  2.851000E-01   2.29072866E-36
  2.884000E-01   2.93924463E-36
  2.917000E-01   3.74920562E-36
  2.951000E-01   4.78797726E-36
  2.985000E-01   6.08008721E-36
  3.020000E-01   7.72782956E-36
  3.055000E-01   9.76575279E-36
  3.090000E-01   1.22718322E-35
  3.126000E-01   1.54327841E-35
  3.162000E-01   1.93005869E-35
  3.199000E-01   2.41588587E-35
  3.236000E-01   3.00724688E-35
  3.273000E-01   3.72305446E-35
  3.311000E-01   4.61256153E-35
  3.350000E-01   5.71599635E-35
  3.388000E-01   7.00879529E-35
  3.428000E-01   8.64235344E-35
  3.467000E-01   1.05481100E-34
  3.507000E-01   1.28775027E-34
  3.548000E-01   1.57211161E-34
  3.589000E-01   1.90991677E-34
  3.631000E-01   2.32032164E-34
  3.673000E-01   2.80502801E-34
  3.715000E-01   3.37619758E-34
  3.758000E-01   4.06246206E-34
  3.802000E-01   4.88767242E-34
  3.846000E-01   5.85281215E-34
  3.891000E-01   7.00649439E-34
  3.936000E-01   8.35175746E-34
  3.981000E-01   9.91123165E-34
  4.027000E-01   1.17580671E-33
  4.074000E-01   1.39407732E-33
  4.121000E-01   1.64589412E-33
  4.169000E-01   1.94227081E-33
  4.217000E-01   2.28281722E-33
  4.266000E-01   2.68140243E-33
  4.315000E-01   3.13734723E-33
  4.365000E-01   3.66744350E-33
  4.416000E-01   4.28487220E-33
  4.467000E-01   4.98695103E-33
  4.519000E-01   5.79884294E-33
  4.571000E-01   6.71889232E-33
  4.624000E-01   7.77720301E-33
  4.677000E-01   8.97181051E-33
  4.732000E-01   1.03663885E-32
  4.786000E-01   1.19049448E-32
  4.842000E-01   1.36954265E-32
  4.898000E-01   1.56994093E-32
  4.954000E-01   1.79369600E-32
  5.012000E-01   2.05202052E-32
  5.070000E-01   2.34016905E-32
  5.129000E-01   2.66578367E-32
  5.188000E-01   3.02678291E-32
  5.248000E-01   3.43293237E-32
  5.309000E-01   3.88974476E-32
  5.370000E-01   4.39349359E-32
  5.433000E-01   4.96721418E-32
  5.495000E-01   5.58823689E-32
  5.559000E-01   6.29150573E-32
  5.623000E-01   7.06303258E-32
  5.688000E-01   7.92050792E-32
  5.754000E-01   8.87210829E-32
  5.821000E-01   9.92659528E-32
  5.888000E-01   1.10754538E-31
  5.957000E-01   1.23628829E-31
  6.026000E-01   1.37609619E-31
