# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02   6.35096207E-59
  9.226000E-02   1.66869624E-58
  9.332000E-02   4.38877230E-58
  9.441000E-02   1.13543700E-57
  9.550000E-02   2.87548437E-57
  9.661000E-02   7.29591219E-57
  9.772000E-02   1.80187631E-56
  9.886000E-02   4.47304525E-56
  1.000000E-01   1.08590821E-55
  1.012000E-01   2.66869350E-55
  1.023000E-01   5.99758742E-55
  1.035000E-01   1.42013276E-54
  1.047000E-01   3.29336718E-54
  1.059000E-01   7.48339993E-54
  1.072000E-01   1.78102677E-53
  1.084000E-01   3.88791204E-53
  1.097000E-01   8.87104134E-53
  1.109000E-01   1.86471465E-52
  1.122000E-01   4.09005706E-52
  1.135000E-01   8.79987665E-52
  1.148000E-01   1.85874278E-51
  1.161000E-01   3.85725171E-51
  1.175000E-01   8.30746843E-51
  1.189000E-01   1.75560232E-50
  1.202000E-01   3.46000358E-50
  1.216000E-01   7.06379686E-50
  1.230000E-01   1.41794009E-49
  1.244000E-01   2.80041572E-49
  1.259000E-01   5.70663654E-49
  1.274000E-01   1.14309624E-48
  1.288000E-01   2.15387640E-48
  1.303000E-01   4.12752069E-48
  1.318000E-01   7.93549020E-48
  1.333000E-01   1.50492499E-47
  1.349000E-01   2.93560534E-47
  1.365000E-01   5.64493266E-47
  1.380000E-01   1.02907584E-46
  1.396000E-01   1.92782050E-46
  1.412000E-01   3.56597455E-46
  1.429000E-01   6.76384851E-46
  1.445000E-01   1.22073964E-45
  1.462000E-01   2.25808443E-45
  1.479000E-01   4.12642144E-45
  1.496000E-01   7.45305391E-45
  1.514000E-01   1.37684376E-44
  1.531000E-01   2.43112087E-44
  1.549000E-01   4.38880697E-44
  1.567000E-01   7.83495900E-44
  1.585000E-01   1.38377513E-43
  1.603000E-01   2.41886570E-43
  1.622000E-01   4.31478286E-43
  1.641000E-01   7.61547280E-43
  1.660000E-01   1.33047977E-42
  1.679000E-01   2.30182220E-42
  1.698000E-01   3.94509796E-42
  1.718000E-01   6.88484810E-42
  1.738000E-01   1.18921020E-41
  1.758000E-01   2.03424966E-41
  1.778000E-01   3.44801551E-41
  1.799000E-01   5.94522428E-41
  1.820000E-01   1.01597668E-40
