# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744868E-040  1.66744858E-040  9.72435851E-048
  9.226000E-02  2.46120910E-040  2.46120892E-040  1.81922703E-047
  9.332000E-02  3.59606794E-040  3.59606760E-040  3.38477745E-047
  9.441000E-02  5.24323967E-040  5.24323904E-040  6.36155920E-047
  9.550000E-02  7.57130846E-040  7.57130727E-040  1.18508796E-046
  9.661000E-02  1.08895896E-039  1.08895874E-039  2.21034243E-046
  9.772000E-02  1.55185989E-039  1.55185948E-039  4.07835042E-046
  9.886000E-02  2.21056950E-039  2.21056875E-039  7.56192556E-046
  1.000000E-01  3.12068898E-039  3.12068759E-039  1.38527325E-045
  1.012000E-01  4.42422809E-039  4.42422554E-039  2.55220982E-045
  1.023000E-01  6.04299628E-039  6.04299185E-039  4.43232585E-045
  1.035000E-01  8.35360094E-039  8.35359296E-039  7.98073102E-045
  1.047000E-01  1.14293640E-038  1.14293499E-038  1.41663777E-044
  1.059000E-01  1.56450814E-038  1.56450566E-038  2.47996447E-044
  1.072000E-01  2.18447547E-038  2.18447099E-038  4.48021854E-044
  1.084000E-01  2.95516677E-038  2.95515914E-038  7.62946389E-044
  1.097000E-01  4.07563166E-038  4.07561827E-038  1.33894386E-043
  1.109000E-01  5.44008272E-038  5.44006050E-038  2.22180328E-043
  1.122000E-01  7.40418870E-038  7.40415074E-038  3.79577360E-043
  1.135000E-01  9.99687428E-038  9.99681030E-038  6.39841645E-043
  1.148000E-01  1.33890617E-037  1.33889552E-037  1.06468328E-042
  1.161000E-01  1.78412134E-037  1.78410384E-037  1.74986867E-042
  1.175000E-01  2.41020065E-037  2.41017117E-037  2.94830197E-042
  1.189000E-01  3.23329121E-037  3.23324219E-037  4.90179171E-042
  1.202000E-01  4.21984433E-037  4.21976663E-037  7.76944604E-042
  1.216000E-01  5.57947823E-037  5.57935215E-037  1.26083637E-041
  1.230000E-01  7.33210321E-037  7.33190099E-037  2.02220907E-041
  1.244000E-01  9.56541275E-037  9.56509206E-037  3.20684238E-041
  1.259000E-01  1.26293405E-036  1.26288212E-036  5.19310026E-041
  1.274000E-01  1.65540794E-036  1.65532483E-036  8.31049687E-041
  1.288000E-01  2.11697085E-036  2.11684327E-036  1.27580124E-040
  1.303000E-01  2.73612263E-036  2.73592540E-036  1.97228034E-040
  1.318000E-01  3.51335185E-036  3.51304445E-036  3.07400445E-040
  1.333000E-01  4.48124477E-036  4.48076996E-036  4.74802804E-040
  1.349000E-01  5.76438709E-036  5.76363929E-036  7.47796545E-040
  1.365000E-01  7.36050453E-036  7.35933780E-036  1.16673381E-039
  1.380000E-01  9.19063881E-036  9.18888271E-036  1.75609688E-039
  1.396000E-01  1.15617175E-035  1.15590238E-035  2.69369636E-039
  1.412000E-01  1.44130076E-035  1.44089095E-035  4.09808265E-039
  1.429000E-01  1.79425981E-035  1.79362526E-035  6.34553156E-039
  1.445000E-01  2.16657536E-035  2.16562514E-035  9.50217307E-039
  1.462000E-01  2.60418833E-035  2.60274049E-035  1.44784668E-038
  1.479000E-01  3.09428463E-035  3.09209558E-035  2.18905444E-038
  1.496000E-01  3.64680555E-035  3.64352035E-035  3.28519622E-038
  1.514000E-01  4.30486138E-035  4.29985098E-035  5.01040084E-038
  1.531000E-01  4.97382936E-035  4.96641719E-035  7.41217498E-038
  1.549000E-01  5.71534769E-035  5.70420665E-035  1.11410390E-037
  1.567000E-01  6.64121141E-035  6.62458253E-035  1.66288894E-037
  1.585000E-01  7.62324821E-035  7.59859489E-035  2.46533179E-037
  1.603000E-01  8.66206112E-035  8.62574606E-035  3.63150627E-037
  1.622000E-01  1.00073352E-034  9.95304159E-035  5.42936381E-037
  1.641000E-01  1.13964869E-034  1.13158471E-034  8.06397737E-037
  1.660000E-01  1.29173082E-034  1.27982869E-034  1.19021304E-036
  1.679000E-01  1.47326385E-034  1.45580134E-034  1.74625118E-036
  1.698000E-01  1.65870527E-034  1.63323138E-034  2.54738916E-036
  1.718000E-01  1.91547240E-034  1.87780760E-034  3.76648033E-036
  1.738000E-01  2.19784177E-034  2.14251333E-034  5.53284401E-036
  1.758000E-01  2.49559625E-034  2.41481263E-034  8.07836191E-036
  1.778000E-01  2.80256938E-034  2.68528309E-034  1.17286289E-035
  1.799000E-01  3.12565498E-034  2.95314090E-034  1.72514085E-035
  1.820000E-01  3.60909596E-034  3.35667230E-034  2.52423660E-035
  1.841000E-01  4.15285828E-034  3.78532058E-034  3.67537700E-035
  1.862000E-01  4.75458741E-034  4.22187856E-034  5.32708846E-035
  1.884000E-01  5.45469366E-034  4.67242429E-034  7.82269375E-035
  1.905000E-01  6.24835050E-034  5.12423407E-034  1.12411643E-034
  1.928000E-01  7.44326133E-034  5.77895917E-034  1.66430217E-034
  1.950000E-01  8.82950679E-034  6.41856305E-034  2.41094374E-034
  1.972000E-01  1.05288657E-033  7.05383010E-034  3.47503565E-034
  1.995000E-01  1.27506924E-033  7.68905854E-034  5.06163384E-034
  2.018000E-01  1.58825869E-033  8.56482952E-034  7.31775737E-034
  2.042000E-01  2.02462331E-033  9.59894397E-034  1.06472891E-033
  2.065000E-01  2.56992984E-033  1.06183327E-033  1.50809657E-033
  2.089000E-01  3.30713472E-033  1.16898648E-033  2.13814825E-033
  2.113000E-01  4.27565672E-033  1.29546352E-033  2.98019320E-033
  2.138000E-01  5.57785143E-033  1.45190881E-033  4.12594262E-033
  2.163000E-01  7.22303755E-033  1.63945714E-033  5.58358041E-033
  2.188000E-01  9.23140893E-033  1.84952817E-033  7.38188076E-033
  2.213000E-01  1.16395533E-032  2.09787813E-033  9.54167520E-033
  2.239000E-01  1.46011268E-032  2.40838706E-033  1.21927398E-032
  2.265000E-01  1.80555920E-032  2.76863246E-033  1.52869596E-032
  2.291000E-01  2.20658465E-032  3.19375266E-033  1.88720938E-032
  2.317000E-01  2.67002094E-032  3.68180937E-033  2.30184000E-032
  2.344000E-01  3.22845628E-032  4.26221318E-033  2.80223496E-032
  2.371000E-01  3.88090470E-032  4.93433212E-033  3.38747149E-032
  2.399000E-01  4.67524101E-032  5.72821628E-033  4.10241938E-032
  2.427000E-01  5.61516147E-032  6.65103277E-033  4.95005819E-032
  2.455000E-01  6.72687034E-032  7.69642512E-033  5.95722783E-032
  2.483000E-01  8.04296870E-032  8.87617743E-033  7.15535096E-032
  2.512000E-01  9.65918747E-032  1.02249070E-032  8.63669676E-032
  2.541000E-01  1.15784745E-031  1.16914475E-032  1.04093297E-031
  2.570000E-01  1.38601617E-031  1.33258947E-032  1.25275722E-031
  2.600000E-01  1.66700788E-031  1.51995397E-032  1.51501248E-031
  2.630000E-01  2.00183704E-031  1.72742081E-032  1.82909496E-031
  2.661000E-01  2.41447661E-031  1.96529291E-032  2.21794732E-031
  2.691000E-01  2.88949818E-031  2.21999041E-032  2.66749914E-031
  2.723000E-01  3.49249061E-031  2.52026795E-032  3.24046381E-031
  2.754000E-01  4.18750260E-031  2.84015734E-032  3.90348686E-031
  2.786000E-01  5.03872736E-031  3.20179256E-032  4.71854810E-031
  2.818000E-01  6.04830073E-031  3.59906473E-032  5.68839425E-031
  2.851000E-01  7.28260019E-031  4.04859965E-032  6.87774022E-031
  2.884000E-01  8.74517446E-031  4.54036564E-032  8.29113790E-031
  2.917000E-01  1.04723772E-030  5.07787197E-032  9.96459003E-031
  2.951000E-01  1.25724283E-030  5.68031177E-032  1.20043972E-030
  2.985000E-01  1.50483491E-030  6.33698017E-032  1.44146510E-030
  3.020000E-01  1.80504465E-030  7.07299485E-032  1.73431470E-030
  3.055000E-01  2.05631681E-030  7.87342880E-032  1.97758252E-030
  3.090000E-01  2.41537675E-030  8.74190215E-032  2.32795773E-030
  3.126000E-01  2.83580600E-030  9.70428171E-032  2.73876318E-030
  3.162000E-01  3.31223492E-030  1.07430575E-031  3.20480434E-030
  3.199000E-01  3.86411652E-030  1.18963975E-031  3.74515254E-030
  3.236000E-01  4.48195489E-030  1.31408898E-031  4.35054599E-030
  3.273000E-01  5.16685584E-030  1.44805017E-031  5.02205082E-030
  3.311000E-01  5.93812238E-030  1.59591135E-031  5.77853124E-030
  3.350000E-01  6.79351600E-030  1.75908285E-031  6.61760771E-030
  3.388000E-01  7.67376715E-030  1.92968096E-031  7.48079905E-030
  3.428000E-01  8.62151025E-030  2.12216252E-031  8.40929400E-030
  3.467000E-01  9.52497127E-030  2.32235565E-031  9.29273571E-030
  3.507000E-01  1.03800995E-029  2.54130775E-031  1.01259688E-029
  3.548000E-01  1.11466327E-029  2.78093139E-031  1.08685396E-029
  3.589000E-01  1.18259229E-029  3.03650029E-031  1.15222729E-029
  3.631000E-01  1.25332606E-029  3.31542035E-031  1.22017185E-029
