# DH21 astrodust enthalpy table
# Stage 1 (silicate-only, literal DL01 prefactor, rho=3.5)
# NT = 201   NA = 169
# T[K]            a_eff[um]       U[erg]
  2.70000000E+00   3.1620E-04   9.72044053E-19
  2.70000000E+00   3.3500E-04   1.19550609E-18
  2.70000000E+00   3.5480E-04   1.45958111E-18
  2.70000000E+00   3.7580E-04   1.77377281E-18
  2.70000000E+00   3.9810E-04   2.14813435E-18
  2.70000000E+00   4.2170E-04   2.59270857E-18
  2.70000000E+00   4.4670E-04   3.12114906E-18
  2.70000000E+00   4.7310E-04   3.74719538E-18
  2.70000000E+00   5.0120E-04   4.49486308E-18
  2.70000000E+00   5.3090E-04   5.38164403E-18
  2.70000000E+00   5.6230E-04   6.43347220E-18
  2.70000000E+00   5.9570E-04   7.68886747E-18
  2.70000000E+00   6.3100E-04   9.17777520E-18
  2.70000000E+00   6.6830E-04   1.09427702E-17
  2.70000000E+00   7.0790E-04   1.30449731E-17
  2.70000000E+00   7.4990E-04   1.55468263E-17
  2.70000000E+00   7.9430E-04   1.85144321E-17
  2.70000000E+00   8.4140E-04   2.20466275E-17
  2.70000000E+00   8.9120E-04   2.62368978E-17
  2.70000000E+00   9.4410E-04   3.12313348E-17
  2.70000000E+00   1.0000E-03   3.71532907E-17
  2.70000000E+00   1.0590E-03   4.41642920E-17
  2.70000000E+00   1.1220E-03   5.25640958E-17
  2.70000000E+00   1.1880E-03   6.24355820E-17
  2.70000000E+00   1.2590E-03   7.43519700E-17
  2.70000000E+00   1.3340E-03   8.84865816E-17
  2.70000000E+00   1.4130E-03   1.05195972E-16
  2.70000000E+00   1.4960E-03   1.24882987E-16
  2.70000000E+00   1.5850E-03   1.48563476E-16
  2.70000000E+00   1.6790E-03   1.76633623E-16
  2.70000000E+00   1.7780E-03   2.09796267E-16
  2.70000000E+00   1.8840E-03   2.49640027E-16
  2.70000000E+00   1.9950E-03   2.96454221E-16
  2.70000000E+00   2.1130E-03   3.52270232E-16
  2.70000000E+00   2.2390E-03   4.19160993E-16
  2.70000000E+00   2.3710E-03   4.97791476E-16
  2.70000000E+00   2.5120E-03   5.92025934E-16
  2.70000000E+00   2.6610E-03   7.03786296E-16
  2.70000000E+00   2.8180E-03   8.35890791E-16
  2.70000000E+00   2.9850E-03   9.93520464E-16
  2.70000000E+00   3.1620E-03   1.18098374E-15
  2.70000000E+00   3.3500E-03   1.40444578E-15
  2.70000000E+00   3.5480E-03   1.66852080E-15
  2.70000000E+00   3.7580E-03   1.98271249E-15
  2.70000000E+00   3.9810E-03   2.35707404E-15
  2.70000000E+00   4.2170E-03   2.80164825E-15
  2.70000000E+00   4.4670E-03   3.33008875E-15
  2.70000000E+00   4.7320E-03   3.95864438E-15
  2.70000000E+00   5.0120E-03   4.70380276E-15
  2.70000000E+00   5.3090E-03   5.59058371E-15
  2.70000000E+00   5.6230E-03   6.64241188E-15
  2.70000000E+00   5.9570E-03   7.89780716E-15
  2.70000000E+00   6.3100E-03   9.38671489E-15
  2.70000000E+00   6.6830E-03   1.11517099E-14
  2.70000000E+00   7.0790E-03   1.32539128E-14
  2.70000000E+00   7.4990E-03   1.57557660E-14
  2.70000000E+00   7.9430E-03   1.87233718E-14
  2.70000000E+00   8.4140E-03   2.22555672E-14
  2.70000000E+00   8.9120E-03   2.64458375E-14
  2.70000000E+00   9.4410E-03   3.14402745E-14
  2.70000000E+00   1.0000E-02   3.73622304E-14
  2.70000000E+00   1.0590E-02   4.43732316E-14
  2.70000000E+00   1.1220E-02   5.27730355E-14
  2.70000000E+00   1.1890E-02   6.28028487E-14
  2.70000000E+00   1.2590E-02   7.45609096E-14
  2.70000000E+00   1.3330E-02   8.84962051E-14
  2.70000000E+00   1.4120E-02   1.05181280E-13
  2.70000000E+00   1.4960E-02   1.25091926E-13
  2.70000000E+00   1.5850E-02   1.48772416E-13
  2.70000000E+00   1.6790E-02   1.76842563E-13
  2.70000000E+00   1.7780E-02   2.10005207E-13
  2.70000000E+00   1.8840E-02   2.49848967E-13
  2.70000000E+00   1.9950E-02   2.96663161E-13
  2.70000000E+00   2.1140E-02   3.52979852E-13
  2.70000000E+00   2.2390E-02   4.19369933E-13
  2.70000000E+00   2.3710E-02   4.98000416E-13
  2.70000000E+00   2.5120E-02   5.92234874E-13
  2.70000000E+00   2.6610E-02   7.03995236E-13
  2.70000000E+00   2.8180E-02   8.36099730E-13
  2.70000000E+00   2.9850E-02   9.93729404E-13
  2.70000000E+00   3.1620E-02   1.18119268E-12
  2.70000000E+00   3.3500E-02   1.40465472E-12
  2.70000000E+00   3.5480E-02   1.66872973E-12
  2.70000000E+00   3.7580E-02   1.98292143E-12
  2.70000000E+00   3.9810E-02   2.35728298E-12
  2.70000000E+00   4.2170E-02   2.80185719E-12
  2.70000000E+00   4.4670E-02   3.33029769E-12
  2.70000000E+00   4.7320E-02   3.95885332E-12
  2.70000000E+00   5.0120E-02   4.70401170E-12
  2.70000000E+00   5.3090E-02   5.59079265E-12
  2.70000000E+00   5.6230E-02   6.64262082E-12
  2.70000000E+00   5.9570E-02   7.89801609E-12
  2.70000000E+00   6.3100E-02   9.38692383E-12
  2.70000000E+00   6.6830E-02   1.11519189E-11
  2.70000000E+00   7.0790E-02   1.32541218E-11
  2.70000000E+00   7.4990E-02   1.57559749E-11
  2.70000000E+00   7.9430E-02   1.87235808E-11
  2.70000000E+00   8.4140E-02   2.22557762E-11
  2.70000000E+00   8.9120E-02   2.64460464E-11
  2.70000000E+00   9.4410E-02   3.14404835E-11
  2.70000000E+00   1.0000E-01   3.73624394E-11
  2.70000000E+00   1.0590E-01   4.43734406E-11
  2.70000000E+00   1.1220E-01   5.27732444E-11
  2.70000000E+00   1.1890E-01   6.28030576E-11
  2.70000000E+00   1.2590E-01   7.45611186E-11
  2.70000000E+00   1.3330E-01   8.84964140E-11
  2.70000000E+00   1.4120E-01   1.05181489E-10
  2.70000000E+00   1.4960E-01   1.25092135E-10
  2.70000000E+00   1.5850E-01   1.48772625E-10
  2.70000000E+00   1.6790E-01   1.76842772E-10
  2.70000000E+00   1.7780E-01   2.10005416E-10
  2.70000000E+00   1.8840E-01   2.49849176E-10
  2.70000000E+00   1.9950E-01   2.96663370E-10
  2.70000000E+00   2.1130E-01   3.52479381E-10
  2.70000000E+00   2.2390E-01   4.19370142E-10
  2.70000000E+00   2.3710E-01   4.98000625E-10
  2.70000000E+00   2.5120E-01   5.92235083E-10
  2.70000000E+00   2.6610E-01   7.03995445E-10
  2.70000000E+00   2.8180E-01   8.36099939E-10
  2.70000000E+00   2.9850E-01   9.93729613E-10
  2.70000000E+00   3.1620E-01   1.18119289E-09
  2.70000000E+00   3.3500E-01   1.40465493E-09
  2.70000000E+00   3.5480E-01   1.66872994E-09
  2.70000000E+00   3.7580E-01   1.98292164E-09
  2.70000000E+00   3.9810E-01   2.35728319E-09
  2.70000000E+00   4.2170E-01   2.80185740E-09
  2.70000000E+00   4.4670E-01   3.33029790E-09
  2.70000000E+00   4.7320E-01   3.95885353E-09
  2.70000000E+00   5.0120E-01   4.70401191E-09
  2.70000000E+00   5.3090E-01   5.59079286E-09
  2.70000000E+00   5.6230E-01   6.64262103E-09
  2.70000000E+00   5.9570E-01   7.89801630E-09
  2.70000000E+00   6.3100E-01   9.38692404E-09
  2.70000000E+00   6.6830E-01   1.11519191E-08
  2.70000000E+00   7.0790E-01   1.32541220E-08
  2.70000000E+00   7.4990E-01   1.57559751E-08
  2.70000000E+00   7.9430E-01   1.87235810E-08
  2.70000000E+00   8.4140E-01   2.22557764E-08
  2.70000000E+00   8.9130E-01   2.64549500E-08
  2.70000000E+00   9.4410E-01   3.14404837E-08
  2.70000000E+00   1.0000E+00   3.73624396E-08
  2.70000000E+00   1.0590E+00   4.43734408E-08
  2.70000000E+00   1.1220E+00   5.27732446E-08
  2.70000000E+00   1.1890E+00   6.28030578E-08
  2.70000000E+00   1.2590E+00   7.45611188E-08
  2.70000000E+00   1.3340E+00   8.86957304E-08
  2.70000000E+00   1.4130E+00   1.05405121E-07
  2.70000000E+00   1.4960E+00   1.25092135E-07
  2.70000000E+00   1.5850E+00   1.48772625E-07
  2.70000000E+00   1.6790E+00   1.76842772E-07
  2.70000000E+00   1.7780E+00   2.10005416E-07
  2.70000000E+00   1.8840E+00   2.49849176E-07
  2.70000000E+00   1.9950E+00   2.96663370E-07
  2.70000000E+00   2.1140E+00   3.52980062E-07
  2.70000000E+00   2.2390E+00   4.19370142E-07
  2.70000000E+00   2.3710E+00   4.98000625E-07
  2.70000000E+00   2.5120E+00   5.92235083E-07
  2.70000000E+00   2.6610E+00   7.03995445E-07
  2.70000000E+00   2.8180E+00   8.36099939E-07
  2.70000000E+00   2.9850E+00   9.93729613E-07
  2.70000000E+00   3.1620E+00   1.18119289E-06
  2.70000000E+00   3.3500E+00   1.40465493E-06
  2.70000000E+00   3.5480E+00   1.66872994E-06
  2.70000000E+00   3.7580E+00   1.98292164E-06
  2.70000000E+00   3.9810E+00   2.35728319E-06
  2.70000000E+00   4.2170E+00   2.80185740E-06
  2.70000000E+00   4.4670E+00   3.33029790E-06
  2.70000000E+00   4.7320E+00   3.95885353E-06
  2.70000000E+00   5.0120E+00   4.70401191E-06
  2.80350797E+00   3.1620E-04   1.08819515E-18
  2.80350797E+00   3.3500E-04   1.33835902E-18
  2.80350797E+00   3.5480E-04   1.63398879E-18
  2.80350797E+00   3.7580E-04   1.98572375E-18
  2.80350797E+00   3.9810E-04   2.40481835E-18
  2.80350797E+00   4.2170E-04   2.90251545E-18
  2.80350797E+00   4.4670E-04   3.49410014E-18
  2.80350797E+00   4.7310E-04   4.19495373E-18
  2.80350797E+00   5.0120E-04   5.03196143E-18
  2.80350797E+00   5.3090E-04   6.02470525E-18
  2.80350797E+00   5.6230E-04   7.20221804E-18
  2.80350797E+00   5.9570E-04   8.60762250E-18
  2.80350797E+00   6.3100E-04   1.02744422E-17
  2.80350797E+00   6.6830E-04   1.22503393E-17
  2.80350797E+00   7.0790E-04   1.46037378E-17
  2.80350797E+00   7.4990E-04   1.74045413E-17
  2.80350797E+00   7.9430E-04   2.07267511E-17
  2.80350797E+00   8.4140E-04   2.46810142E-17
  2.80350797E+00   8.9120E-04   2.93719865E-17
  2.80350797E+00   9.4410E-04   3.49632168E-17
  2.80350797E+00   1.0000E-03   4.15927967E-17
  2.80350797E+00   1.0590E-03   4.94415536E-17
  2.80350797E+00   1.1220E-03   5.88450633E-17
  2.80350797E+00   1.1880E-03   6.98961092E-17
  2.80350797E+00   1.2590E-03   8.32364053E-17
  2.80350797E+00   1.3340E-03   9.90599842E-17
  2.80350797E+00   1.4130E-03   1.17766007E-16
  2.80350797E+00   1.4960E-03   1.39805454E-16
  2.80350797E+00   1.5850E-03   1.66315562E-16
  2.80350797E+00   1.6790E-03   1.97739856E-16
  2.80350797E+00   1.7780E-03   2.34865158E-16
  2.80350797E+00   1.8840E-03   2.79469911E-16
  2.80350797E+00   1.9950E-03   3.31878008E-16
  2.80350797E+00   2.1130E-03   3.94363563E-16
  2.80350797E+00   2.2390E-03   4.69247208E-16
  2.80350797E+00   2.3710E-03   5.57273373E-16
  2.80350797E+00   2.5120E-03   6.62768057E-16
  2.80350797E+00   2.6610E-03   7.87882842E-16
  2.80350797E+00   2.8180E-03   9.35772713E-16
  2.80350797E+00   2.9850E-03   1.11223781E-15
  2.80350797E+00   3.1620E-03   1.32210137E-15
  2.80350797E+00   3.3500E-03   1.57226524E-15
  2.80350797E+00   3.5480E-03   1.86789500E-15
  2.80350797E+00   3.7580E-03   2.21962997E-15
  2.80350797E+00   3.9810E-03   2.63872457E-15
  2.80350797E+00   4.2170E-03   3.13642167E-15
  2.80350797E+00   4.4670E-03   3.72800636E-15
  2.80350797E+00   4.7320E-03   4.43166910E-15
  2.80350797E+00   5.0120E-03   5.26586765E-15
  2.80350797E+00   5.3090E-03   6.25861146E-15
  2.80350797E+00   5.6230E-03   7.43612426E-15
  2.80350797E+00   5.9570E-03   8.84152872E-15
  2.80350797E+00   6.3100E-03   1.05083484E-14
  2.80350797E+00   6.6830E-03   1.24842455E-14
  2.80350797E+00   7.0790E-03   1.48376440E-14
  2.80350797E+00   7.4990E-03   1.76384476E-14
  2.80350797E+00   7.9430E-03   2.09606574E-14
  2.80350797E+00   8.4140E-03   2.49149204E-14
  2.80350797E+00   8.9120E-03   2.96058927E-14
  2.80350797E+00   9.4410E-03   3.51971230E-14
  2.80350797E+00   1.0000E-02   4.18267029E-14
  2.80350797E+00   1.0590E-02   4.96754598E-14
  2.80350797E+00   1.1220E-02   5.90789696E-14
  2.80350797E+00   1.1890E-02   7.03072611E-14
  2.80350797E+00   1.2590E-02   8.34703115E-14
  2.80350797E+00   1.3330E-02   9.90707576E-14
  2.80350797E+00   1.4120E-02   1.17749559E-13
  2.80350797E+00   1.4960E-02   1.40039360E-13
  2.80350797E+00   1.5850E-02   1.66549469E-13
  2.80350797E+00   1.6790E-02   1.97973763E-13
  2.80350797E+00   1.7780E-02   2.35099064E-13
  2.80350797E+00   1.8840E-02   2.79703818E-13
  2.80350797E+00   1.9950E-02   3.32111915E-13
  2.80350797E+00   2.1140E-02   3.95157977E-13
  2.80350797E+00   2.2390E-02   4.69481114E-13
  2.80350797E+00   2.3710E-02   5.57507279E-13
  2.80350797E+00   2.5120E-02   6.63001963E-13
  2.80350797E+00   2.6610E-02   7.88116749E-13
  2.80350797E+00   2.8180E-02   9.36006619E-13
  2.80350797E+00   2.9850E-02   1.11247171E-12
  2.80350797E+00   3.1620E-02   1.32233527E-12
  2.80350797E+00   3.3500E-02   1.57249915E-12
  2.80350797E+00   3.5480E-02   1.86812891E-12
  2.80350797E+00   3.7580E-02   2.21986388E-12
  2.80350797E+00   3.9810E-02   2.63895848E-12
  2.80350797E+00   4.2170E-02   3.13665557E-12
  2.80350797E+00   4.4670E-02   3.72824026E-12
  2.80350797E+00   4.7320E-02   4.43190301E-12
  2.80350797E+00   5.0120E-02   5.26610155E-12
  2.80350797E+00   5.3090E-02   6.25884537E-12
  2.80350797E+00   5.6230E-02   7.43635817E-12
  2.80350797E+00   5.9570E-02   8.84176262E-12
  2.80350797E+00   6.3100E-02   1.05085823E-11
  2.80350797E+00   6.6830E-02   1.24844794E-11
  2.80350797E+00   7.0790E-02   1.48378779E-11
  2.80350797E+00   7.4990E-02   1.76386815E-11
  2.80350797E+00   7.9430E-02   2.09608913E-11
  2.80350797E+00   8.4140E-02   2.49151543E-11
  2.80350797E+00   8.9120E-02   2.96061266E-11
  2.80350797E+00   9.4410E-02   3.51973569E-11
  2.80350797E+00   1.0000E-01   4.18269368E-11
  2.80350797E+00   1.0590E-01   4.96756937E-11
  2.80350797E+00   1.1220E-01   5.90792035E-11
  2.80350797E+00   1.1890E-01   7.03074950E-11
  2.80350797E+00   1.2590E-01   8.34705454E-11
  2.80350797E+00   1.3330E-01   9.90709915E-11
  2.80350797E+00   1.4120E-01   1.17749793E-10
  2.80350797E+00   1.4960E-01   1.40039594E-10
  2.80350797E+00   1.5850E-01   1.66549703E-10
  2.80350797E+00   1.6790E-01   1.97973996E-10
  2.80350797E+00   1.7780E-01   2.35099298E-10
  2.80350797E+00   1.8840E-01   2.79704052E-10
  2.80350797E+00   1.9950E-01   3.32112148E-10
  2.80350797E+00   2.1130E-01   3.94597703E-10
  2.80350797E+00   2.2390E-01   4.69481348E-10
  2.80350797E+00   2.3710E-01   5.57507513E-10
  2.80350797E+00   2.5120E-01   6.63002197E-10
  2.80350797E+00   2.6610E-01   7.88116982E-10
  2.80350797E+00   2.8180E-01   9.36006853E-10
  2.80350797E+00   2.9850E-01   1.11247195E-09
  2.80350797E+00   3.1620E-01   1.32233551E-09
  2.80350797E+00   3.3500E-01   1.57249938E-09
  2.80350797E+00   3.5480E-01   1.86812914E-09
  2.80350797E+00   3.7580E-01   2.21986411E-09
  2.80350797E+00   3.9810E-01   2.63895871E-09
  2.80350797E+00   4.2170E-01   3.13665581E-09
  2.80350797E+00   4.4670E-01   3.72824050E-09
  2.80350797E+00   4.7320E-01   4.43190324E-09
  2.80350797E+00   5.0120E-01   5.26610179E-09
  2.80350797E+00   5.3090E-01   6.25884560E-09
  2.80350797E+00   5.6230E-01   7.43635840E-09
  2.80350797E+00   5.9570E-01   8.84176286E-09
  2.80350797E+00   6.3100E-01   1.05085825E-08
  2.80350797E+00   6.6830E-01   1.24844796E-08
  2.80350797E+00   7.0790E-01   1.48378781E-08
  2.80350797E+00   7.4990E-01   1.76386817E-08
  2.80350797E+00   7.9430E-01   2.09608915E-08
  2.80350797E+00   8.4140E-01   2.49151545E-08
  2.80350797E+00   8.9130E-01   2.96160941E-08
  2.80350797E+00   9.4410E-01   3.51973572E-08
  2.80350797E+00   1.0000E+00   4.18269370E-08
  2.80350797E+00   1.0590E+00   4.96756939E-08
  2.80350797E+00   1.1220E+00   5.90792037E-08
  2.80350797E+00   1.1890E+00   7.03074953E-08
  2.80350797E+00   1.2590E+00   8.34705457E-08
  2.80350797E+00   1.3340E+00   9.92941245E-08
  2.80350797E+00   1.4130E+00   1.18000147E-07
  2.80350797E+00   1.4960E+00   1.40039594E-07
  2.80350797E+00   1.5850E+00   1.66549703E-07
  2.80350797E+00   1.6790E+00   1.97973997E-07
  2.80350797E+00   1.7780E+00   2.35099298E-07
  2.80350797E+00   1.8840E+00   2.79704052E-07
  2.80350797E+00   1.9950E+00   3.32112149E-07
  2.80350797E+00   2.1140E+00   3.95158212E-07
  2.80350797E+00   2.2390E+00   4.69481348E-07
  2.80350797E+00   2.3710E+00   5.57507513E-07
  2.80350797E+00   2.5120E+00   6.63002197E-07
  2.80350797E+00   2.6610E+00   7.88116983E-07
  2.80350797E+00   2.8180E+00   9.36006853E-07
  2.80350797E+00   2.9850E+00   1.11247195E-06
  2.80350797E+00   3.1620E+00   1.32233551E-06
  2.80350797E+00   3.3500E+00   1.57249938E-06
  2.80350797E+00   3.5480E+00   1.86812914E-06
  2.80350797E+00   3.7580E+00   2.21986411E-06
  2.80350797E+00   3.9810E+00   2.63895871E-06
  2.80350797E+00   4.2170E+00   3.13665581E-06
  2.80350797E+00   4.4670E+00   3.72824050E-06
  2.80350797E+00   4.7320E+00   4.43190324E-06
  2.80350797E+00   5.0120E+00   5.26610179E-06
  2.91098405E+00   3.1620E-04   1.21822604E-18
  2.91098405E+00   3.3500E-04   1.49828257E-18
  2.91098405E+00   3.5480E-04   1.82923780E-18
  2.91098405E+00   3.7580E-04   2.22300237E-18
  2.91098405E+00   3.9810E-04   2.69217553E-18
  2.91098405E+00   4.2170E-04   3.24934358E-18
  2.91098405E+00   4.4670E-04   3.91161806E-18
  2.91098405E+00   4.7310E-04   4.69621823E-18
  2.91098405E+00   5.0120E-04   5.63324187E-18
  2.91098405E+00   5.3090E-04   6.74461089E-18
  2.91098405E+00   5.6230E-04   8.06282735E-18
  2.91098405E+00   5.9570E-04   9.63616676E-18
  2.91098405E+00   6.3100E-04   1.15021585E-17
  2.91098405E+00   6.6830E-04   1.37141600E-17
  2.91098405E+00   7.0790E-04   1.63487714E-17
  2.91098405E+00   7.4990E-04   1.94842493E-17
  2.91098405E+00   7.9430E-04   2.32034375E-17
  2.91098405E+00   8.4140E-04   2.76302043E-17
  2.91098405E+00   8.9120E-04   3.28817115E-17
  2.91098405E+00   9.4410E-04   3.91410506E-17
  2.91098405E+00   1.0000E-03   4.65628139E-17
  2.91098405E+00   1.0590E-03   5.53494365E-17
  2.91098405E+00   1.1220E-03   6.58765929E-17
  2.91098405E+00   1.1880E-03   7.82481532E-17
  2.91098405E+00   1.2590E-03   9.31825115E-17
  2.91098405E+00   1.3340E-03   1.10896886E-16
  2.91098405E+00   1.4130E-03   1.31838133E-16
  2.91098405E+00   1.4960E-03   1.56511123E-16
  2.91098405E+00   1.5850E-03   1.86188985E-16
  2.91098405E+00   1.6790E-03   2.21368239E-16
  2.91098405E+00   1.7780E-03   2.62929726E-16
  2.91098405E+00   1.8840E-03   3.12864403E-16
  2.91098405E+00   1.9950E-03   3.71534861E-16
  2.91098405E+00   2.1130E-03   4.41486956E-16
  2.91098405E+00   2.2390E-03   5.25318617E-16
  2.91098405E+00   2.3710E-03   6.23863227E-16
  2.91098405E+00   2.5120E-03   7.41963709E-16
  2.91098405E+00   2.6610E-03   8.82028743E-16
  2.91098405E+00   2.8180E-03   1.04759031E-15
  2.91098405E+00   2.9850E-03   1.24514162E-15
  2.91098405E+00   3.1620E-03   1.48008224E-15
  2.91098405E+00   3.3500E-03   1.76013877E-15
  2.91098405E+00   3.5480E-03   2.09109400E-15
  2.91098405E+00   3.7580E-03   2.48485857E-15
  2.91098405E+00   3.9810E-03   2.95403173E-15
  2.91098405E+00   4.2170E-03   3.51119978E-15
  2.91098405E+00   4.4670E-03   4.17347426E-15
  2.91098405E+00   4.7320E-03   4.96121926E-15
  2.91098405E+00   5.0120E-03   5.89509807E-15
  2.91098405E+00   5.3090E-03   7.00646709E-15
  2.91098405E+00   5.6230E-03   8.32468355E-15
  2.91098405E+00   5.9570E-03   9.89802296E-15
  2.91098405E+00   6.3100E-03   1.17640147E-14
  2.91098405E+00   6.6830E-03   1.39760162E-14
  2.91098405E+00   7.0790E-03   1.66106276E-14
  2.91098405E+00   7.4990E-03   1.97461055E-14
  2.91098405E+00   7.9430E-03   2.34652937E-14
  2.91098405E+00   8.4140E-03   2.78920605E-14
  2.91098405E+00   8.9120E-03   3.31435677E-14
  2.91098405E+00   9.4410E-03   3.94029068E-14
  2.91098405E+00   1.0000E-02   4.68246701E-14
  2.91098405E+00   1.0590E-02   5.56112927E-14
  2.91098405E+00   1.1220E-02   6.61384491E-14
  2.91098405E+00   1.1890E-02   7.87084346E-14
  2.91098405E+00   1.2590E-02   9.34443677E-14
  2.91098405E+00   1.3330E-02   1.10908946E-13
  2.91098405E+00   1.4120E-02   1.31819720E-13
  2.91098405E+00   1.4960E-02   1.56772979E-13
  2.91098405E+00   1.5850E-02   1.86450841E-13
  2.91098405E+00   1.6790E-02   2.21630095E-13
  2.91098405E+00   1.7780E-02   2.63191582E-13
  2.91098405E+00   1.8840E-02   3.13126259E-13
  2.91098405E+00   1.9950E-02   3.71796718E-13
  2.91098405E+00   2.1140E-02   4.42376297E-13
  2.91098405E+00   2.2390E-02   5.25580473E-13
  2.91098405E+00   2.3710E-02   6.24125083E-13
  2.91098405E+00   2.5120E-02   7.42225565E-13
  2.91098405E+00   2.6610E-02   8.82290600E-13
