# DH21 astrodust enthalpy table
# Stage 1 (silicate-only, literal DL01 prefactor, rho=3.5)
# NT = 201   NA = 169
# T[K]            a_eff[um]       U[erg]
  2.70000000E+00   3.1620E-04   7.15556455E-19
  2.70000000E+00   3.3500E-04   8.90495311E-19
  2.70000000E+00   3.5480E-04   1.09722832E-18
  2.70000000E+00   3.7580E-04   1.34319554E-18
  2.70000000E+00   3.9810E-04   1.63626715E-18
  2.70000000E+00   4.2170E-04   1.98430525E-18
  2.70000000E+00   4.4670E-04   2.39799866E-18
  2.70000000E+00   4.7310E-04   2.88810350E-18
  2.70000000E+00   5.0120E-04   3.47342049E-18
  2.70000000E+00   5.3090E-04   4.16764329E-18
  2.70000000E+00   5.6230E-04   4.99107449E-18
  2.70000000E+00   5.9570E-04   5.97386965E-18
  2.70000000E+00   6.3100E-04   7.13947170E-18
  2.70000000E+00   6.6830E-04   8.52121067E-18
  2.70000000E+00   7.0790E-04   1.01669352E-17
  2.70000000E+00   7.4990E-04   1.21255288E-17
  2.70000000E+00   7.9430E-04   1.44487403E-17
  2.70000000E+00   8.4140E-04   1.72139447E-17
  2.70000000E+00   8.9120E-04   2.04943277E-17
  2.70000000E+00   9.4410E-04   2.44042584E-17
  2.70000000E+00   1.0000E-03   2.90403039E-17
  2.70000000E+00   1.0590E-03   3.45289162E-17
  2.70000000E+00   1.1220E-03   4.11047627E-17
  2.70000000E+00   1.1880E-03   4.88327262E-17
  2.70000000E+00   1.2590E-03   5.81615556E-17
  2.70000000E+00   1.3340E-03   6.92269372E-17
  2.70000000E+00   1.4130E-03   8.23080030E-17
  2.70000000E+00   1.4960E-03   9.77201229E-17
  2.70000000E+00   1.5850E-03   1.16258563E-16
  2.70000000E+00   1.6790E-03   1.38233478E-16
  2.70000000E+00   1.7780E-03   1.64195091E-16
  2.70000000E+00   1.8840E-03   1.95387063E-16
  2.70000000E+00   1.9950E-03   2.32035889E-16
  2.70000000E+00   2.1130E-03   2.75731852E-16
  2.70000000E+00   2.2390E-03   3.28097762E-16
  2.70000000E+00   2.3710E-03   3.89654197E-16
  2.70000000E+00   2.5120E-03   4.63426316E-16
  2.70000000E+00   2.6610E-03   5.50918714E-16
  2.70000000E+00   2.8180E-03   6.54337661E-16
  2.70000000E+00   2.9850E-03   7.77739177E-16
  2.70000000E+00   3.1620E-03   9.24496139E-16
  2.70000000E+00   3.3500E-03   1.09943499E-15
  2.70000000E+00   3.5480E-03   1.30616801E-15
  2.70000000E+00   3.7580E-03   1.55213522E-15
  2.70000000E+00   3.9810E-03   1.84520683E-15
  2.70000000E+00   4.2170E-03   2.19324493E-15
  2.70000000E+00   4.4670E-03   2.60693835E-15
  2.70000000E+00   4.7320E-03   3.09900761E-15
  2.70000000E+00   5.0120E-03   3.68236017E-15
  2.70000000E+00   5.3090E-03   4.37658297E-15
  2.70000000E+00   5.6230E-03   5.20001417E-15
  2.70000000E+00   5.9570E-03   6.18280933E-15
  2.70000000E+00   6.3100E-03   7.34841138E-15
  2.70000000E+00   6.6830E-03   8.73015035E-15
  2.70000000E+00   7.0790E-03   1.03758749E-14
  2.70000000E+00   7.4990E-03   1.23344685E-14
  2.70000000E+00   7.9430E-03   1.46576800E-14
  2.70000000E+00   8.4140E-03   1.74228843E-14
  2.70000000E+00   8.9120E-03   2.07032673E-14
  2.70000000E+00   9.4410E-03   2.46131981E-14
  2.70000000E+00   1.0000E-02   2.92492435E-14
  2.70000000E+00   1.0590E-02   3.47378559E-14
  2.70000000E+00   1.1220E-02   4.13137024E-14
  2.70000000E+00   1.1890E-02   4.91656132E-14
  2.70000000E+00   1.2590E-02   5.83704953E-14
  2.70000000E+00   1.3330E-02   6.92798408E-14
  2.70000000E+00   1.4120E-02   8.23418710E-14
  2.70000000E+00   1.4960E-02   9.79290626E-14
  2.70000000E+00   1.5850E-02   1.16467503E-13
  2.70000000E+00   1.6790E-02   1.38442418E-13
  2.70000000E+00   1.7780E-02   1.64404031E-13
  2.70000000E+00   1.8840E-02   1.95596003E-13
  2.70000000E+00   1.9950E-02   2.32244829E-13
  2.70000000E+00   2.1140E-02   2.76332753E-13
  2.70000000E+00   2.2390E-02   3.28306702E-13
  2.70000000E+00   2.3710E-02   3.89863137E-13
  2.70000000E+00   2.5120E-02   4.63635256E-13
  2.70000000E+00   2.6610E-02   5.51127654E-13
  2.70000000E+00   2.8180E-02   6.54546601E-13
