# DH21 astrodust enthalpy table
# Stage 2 (silicate + carbonaceous, volume-weighted)
# NT = 201   NA = 169
# T[K]            a_eff[um]       U[erg]
  2.70000000E+00   3.1620E-04   5.59627084E-19
  2.70000000E+00   3.3500E-04   7.13281913E-19
  2.70000000E+00   3.5480E-04   8.94862647E-19
  2.70000000E+00   3.7580E-04   1.11090413E-18
  2.70000000E+00   3.9810E-04   1.36831903E-18
  2.70000000E+00   4.2170E-04   1.67401290E-18
  2.70000000E+00   4.4670E-04   2.03737409E-18
  2.70000000E+00   4.7310E-04   2.46785006E-18
  2.70000000E+00   5.0120E-04   2.98195416E-18
  2.70000000E+00   5.3090E-04   3.59171398E-18
  2.70000000E+00   5.6230E-04   4.31496200E-18
  2.70000000E+00   5.9570E-04   5.17818487E-18
  2.70000000E+00   6.3100E-04   6.20197334E-18
  2.70000000E+00   6.6830E-04   7.41560232E-18
  2.70000000E+00   7.0790E-04   8.86109894E-18
  2.70000000E+00   7.4990E-04   1.05813992E-17
  2.70000000E+00   7.9430E-04   1.26219560E-17
  2.70000000E+00   8.4140E-04   1.50507303E-17
  2.70000000E+00   8.9120E-04   1.79320038E-17
  2.70000000E+00   9.4410E-04   2.13662308E-17
  2.70000000E+00   1.0000E-03   2.54382294E-17
  2.70000000E+00   1.0590E-03   3.02590669E-17
  2.70000000E+00   1.1220E-03   3.60348595E-17
  2.70000000E+00   1.1880E-03   4.28225963E-17
  2.70000000E+00   1.2590E-03   5.10164289E-17
  2.70000000E+00   1.3340E-03   6.07355351E-17
  2.70000000E+00   1.4130E-03   7.22250863E-17
  2.70000000E+00   1.4960E-03   8.57620825E-17
  2.70000000E+00   1.5850E-03   1.02045034E-16
  2.70000000E+00   1.6790E-03   1.21346360E-16
  2.70000000E+00   1.7780E-03   1.44149339E-16
  2.70000000E+00   1.8840E-03   1.71546324E-16
  2.70000000E+00   1.9950E-03   2.03736251E-16
  2.70000000E+00   2.1130E-03   2.42115922E-16
  2.70000000E+00   2.2390E-03   2.88110707E-16
  2.70000000E+00   2.3710E-03   3.42177846E-16
  2.70000000E+00   2.5120E-03   4.06974442E-16
  2.70000000E+00   2.6610E-03   4.83822032E-16
  2.70000000E+00   2.8180E-03   5.74658459E-16
  2.70000000E+00   2.9850E-03   6.83046265E-16
  2.70000000E+00   3.1620E-03   8.11947965E-16
  2.70000000E+00   3.3500E-03   9.65602793E-16
  2.70000000E+00   3.5480E-03   1.14718353E-15
  2.70000000E+00   3.7580E-03   1.36322501E-15
  2.70000000E+00   3.9810E-03   1.62063991E-15
  2.70000000E+00   4.2170E-03   1.92633378E-15
  2.70000000E+00   4.4670E-03   2.28969497E-15
  2.70000000E+00   4.7320E-03   2.72189637E-15
  2.70000000E+00   5.0120E-03   3.23427504E-15
  2.70000000E+00   5.3090E-03   3.84403486E-15
  2.70000000E+00   5.6230E-03   4.56728288E-15
  2.70000000E+00   5.9570E-03   5.43050575E-15
  2.70000000E+00   6.3100E-03   6.45429422E-15
  2.70000000E+00   6.6830E-03   7.66792320E-15
  2.70000000E+00   7.0790E-03   9.11341982E-15
  2.70000000E+00   7.4990E-03   1.08337201E-14
  2.70000000E+00   7.9430E-03   1.28742768E-14
  2.70000000E+00   8.4140E-03   1.53030512E-14
  2.70000000E+00   8.9120E-03   1.81843247E-14
  2.70000000E+00   9.4410E-03   2.16185517E-14
  2.70000000E+00   1.0000E-02   2.56905503E-14
  2.70000000E+00   1.0590E-02   3.05113878E-14
