# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  1.000000E-01 -4.493096E-25 -4.504300E-25  9.975127E-01
  1.012700E-01 -3.545599E-25 -3.547200E-25  9.995486E-01
  1.025600E-01 -2.597541E-25 -2.584700E-25  1.004968E+00
  1.038600E-01 -1.556771E-25 -1.592200E-25  9.777487E-01
  1.051800E-01 -5.003681E-26 -5.407400E-26  9.253394E-01
  1.065200E-01  5.340838E-26  5.474000E-26  9.756737E-01
  1.078700E-01  1.606702E-25  1.642900E-25  9.779670E-01
  1.092400E-01  2.699231E-25  2.757100E-25  9.790110E-01
  1.106300E-01  3.875253E-25  3.879500E-25  9.989052E-01
  1.120300E-01  4.996659E-25  5.030000E-25  9.933716E-01
  1.134600E-01  6.185394E-25  6.201500E-25  9.974029E-01
  1.149000E-01  7.362253E-25  7.380800E-25  9.974871E-01
  1.163600E-01  8.624813E-25  8.646700E-25  9.974687E-01
  1.178300E-01  9.915875E-25  9.956800E-25  9.958897E-01
  1.193300E-01  1.121637E-24  1.128600E-24  9.938306E-01
  1.208500E-01  1.264523E-24  1.262800E-24  1.001364E+00
  1.223800E-01  1.402683E-24  1.398400E-24  1.003063E+00
  1.239400E-01  1.535380E-24  1.530100E-24  1.003451E+00
  1.255100E-01  1.654867E-24  1.654700E-24  1.000101E+00
  1.271100E-01  1.777580E-24  1.781900E-24  9.975758E-01
  1.287200E-01  1.915815E-24  1.913700E-24  1.001105E+00
  1.303600E-01  2.047238E-24  2.048600E-24  9.993349E-01
  1.320100E-01  2.194488E-24  2.192300E-24  1.000998E+00
  1.336900E-01  2.342494E-24  2.338700E-24  1.001622E+00
  1.353900E-01  2.485562E-24  2.489500E-24  9.984183E-01
  1.371100E-01  2.638740E-24  2.643300E-24  9.982749E-01
  1.388500E-01  2.810625E-24  2.806900E-24  1.001327E+00
  1.406100E-01  2.976307E-24  2.975500E-24  1.000271E+00
  1.424000E-01  3.138692E-24  3.140700E-24  9.993606E-01
  1.442100E-01  3.300075E-24  3.305500E-24  9.983589E-01
  1.460400E-01  3.464275E-24  3.469200E-24  9.985803E-01
  1.479000E-01  3.620185E-24  3.623800E-24  9.990025E-01
  1.497800E-01  3.762803E-24  3.768800E-24  9.984086E-01
  1.516800E-01  3.905182E-24  3.910900E-24  9.985380E-01
  1.536100E-01  4.046797E-24  4.048200E-24  9.996535E-01
  1.555600E-01  4.174976E-24  4.176600E-24  9.996111E-01
  1.575300E-01  4.291940E-24  4.291700E-24  1.000056E+00
  1.595400E-01  4.397584E-24  4.402800E-24  9.988153E-01
  1.615600E-01  4.504224E-24  4.509700E-24  9.987856E-01
  1.636100E-01  4.608033E-24  4.612400E-24  9.990531E-01
  1.656900E-01  4.713126E-24  4.711500E-24  1.000345E+00
  1.678000E-01  4.801146E-24  4.800300E-24  1.000176E+00
  1.699300E-01  4.882904E-24  4.883700E-24  9.998369E-01
  1.720900E-01  4.972231E-24  4.973500E-24  9.997448E-01
  1.742700E-01  5.050981E-24  5.061300E-24  9.979612E-01
  1.764900E-01  5.132524E-24  5.136500E-24  9.992260E-01
  1.787300E-01  5.229434E-24  5.229900E-24  9.999108E-01
  1.810000E-01  5.335438E-24  5.338500E-24  9.994264E-01
  1.833000E-01  5.414390E-24  5.422200E-24  9.985596E-01
  1.856300E-01  5.509244E-24  5.509000E-24  1.000044E+00
  1.879900E-01  5.640506E-24  5.638000E-24  1.000445E+00
  1.903800E-01  5.743156E-24  5.743900E-24  9.998705E-01
  1.927900E-01  5.790744E-24  5.792000E-24  9.997831E-01
  1.952400E-01  5.879280E-24  5.885500E-24  9.989432E-01
  1.977200E-01  6.013561E-24  6.021100E-24  9.987479E-01
  2.002400E-01  6.089159E-24  6.097000E-24  9.987139E-01
  2.027800E-01  6.140112E-24  6.148700E-24  9.986033E-01
  2.053600E-01  6.259137E-24  6.262100E-24  9.995268E-01
  2.079700E-01  6.390264E-24  6.392100E-24  9.997128E-01
  2.106100E-01  6.456376E-24  6.463600E-24  9.988824E-01
  2.132800E-01  6.527776E-24  6.535800E-24  9.987724E-01
  2.159900E-01  6.680502E-24  6.686100E-24  9.991627E-01
  2.187400E-01  6.826937E-24  6.835500E-24  9.987473E-01
  2.215200E-01  6.892982E-24  6.904900E-24  9.982739E-01
  2.243300E-01  6.971604E-24  6.983600E-24  9.982823E-01
  2.271800E-01  7.131915E-24  7.139600E-24  9.989236E-01
  2.300700E-01  7.286992E-24  7.294200E-24  9.990118E-01
  2.329900E-01  7.373115E-24  7.381800E-24  9.988235E-01
  2.359500E-01  7.461097E-24  7.468300E-24  9.990355E-01
  2.389500E-01  7.623095E-24  7.623100E-24  9.999994E-01
  2.419800E-01  7.780217E-24  7.785800E-24  9.992829E-01
  2.450600E-01  7.877964E-24  7.885000E-24  9.991076E-01
  2.481700E-01  7.964487E-24  7.968100E-24  9.995465E-01
  2.513200E-01  8.119756E-24  8.121300E-24  9.998099E-01
  2.545100E-01  8.297958E-24  8.297600E-24  1.000043E+00
  2.577500E-01  8.409991E-24  8.417600E-24  9.990960E-01
  2.610200E-01  8.502096E-24  8.510300E-24  9.990360E-01
  2.643400E-01  8.641825E-24  8.648100E-24  9.992743E-01
  2.677000E-01  8.814551E-24  8.821100E-24  9.992576E-01
  2.711000E-01  8.954274E-24  8.961600E-24  9.991825E-01
  2.745400E-01  9.052362E-24  9.064100E-24  9.987050E-01
  2.780300E-01  9.184360E-24  9.191900E-24  9.991798E-01
  2.815600E-01  9.364072E-24  9.365100E-24  9.998902E-01
  2.851400E-01  9.526351E-24  9.525000E-24  1.000142E+00
  2.887600E-01  9.633016E-24  9.637600E-24  9.995244E-01
  2.924300E-01  9.747106E-24  9.755500E-24  9.991396E-01
  2.961400E-01  9.913031E-24  9.915400E-24  9.997611E-01
  2.999100E-01  1.007855E-23  1.008200E-23  9.996574E-01
  3.037200E-01  1.020906E-23  1.021500E-23  9.994184E-01
  3.075800E-01  1.032607E-23  1.033300E-23  9.993296E-01
  3.114800E-01  1.047199E-23  1.047800E-23  9.994262E-01
  3.154400E-01  1.064601E-23  1.064600E-23  1.000001E+00
  3.194500E-01  1.078638E-23  1.079200E-23  9.994790E-01
  3.235100E-01  1.090037E-23  1.091100E-23  9.990262E-01
  3.276200E-01  1.103837E-23  1.104200E-23  9.996716E-01
  3.317800E-01  1.120510E-23  1.120100E-23  1.000366E+00
  3.359900E-01  1.135811E-23  1.135800E-23  1.000009E+00
  3.402600E-01  1.148730E-23  1.148700E-23  1.000027E+00
  3.445800E-01  1.160658E-23  1.161100E-23  9.996195E-01
  3.489600E-01  1.174719E-23  1.175300E-23  9.995053E-01
  3.533900E-01  1.190351E-23  1.190600E-23  9.997904E-01
  3.578800E-01  1.204038E-23  1.204400E-23  9.996995E-01
  3.624300E-01  1.215869E-23  1.216300E-23  9.996453E-01
  3.670400E-01  1.228735E-23  1.229100E-23  9.997030E-01
  3.717000E-01  1.243694E-23  1.243700E-23  9.999955E-01
  3.764200E-01  1.257655E-23  1.257700E-23  9.999640E-01
  3.812000E-01  1.269934E-23  1.269700E-23  1.000185E+00
  3.860500E-01  1.281065E-23  1.281200E-23  9.998945E-01
  3.909500E-01  1.293896E-23  1.293900E-23  9.999970E-01
  3.959200E-01  1.307555E-23  1.307300E-23  1.000195E+00
  4.009500E-01  1.319765E-23  1.319500E-23  1.000201E+00
  4.060400E-01  1.330404E-23  1.330300E-23  1.000078E+00
  4.112000E-01  1.341618E-23  1.341400E-23  1.000163E+00
  4.164200E-01  1.354187E-23  1.353500E-23  1.000508E+00
  4.217100E-01  1.365292E-23  1.365200E-23  1.000067E+00
  4.270700E-01  1.375747E-23  1.375400E-23  1.000253E+00
  4.325000E-01  1.385082E-23  1.385000E-23  1.000059E+00
  4.379900E-01  1.396248E-23  1.395400E-23  1.000608E+00
  4.435500E-01  1.406248E-23  1.405800E-23  1.000319E+00
  4.491900E-01  1.415885E-23  1.415400E-23  1.000343E+00
  4.549000E-01  1.424472E-23  1.423900E-23  1.000402E+00
  4.606800E-01  1.432361E-23  1.432300E-23  1.000043E+00
  4.665300E-01  1.441420E-23  1.441200E-23  1.000153E+00
  4.724500E-01  1.450677E-23  1.449600E-23  1.000743E+00
  4.784600E-01  1.456883E-23  1.456900E-23  9.999882E-01
  4.845400E-01  1.463561E-23  1.463800E-23  9.998368E-01
  4.906900E-01  1.470517E-23  1.470500E-23  1.000011E+00
  4.969200E-01  1.477187E-23  1.477300E-23  9.999236E-01
  5.032400E-01  1.483705E-23  1.483500E-23  1.000138E+00
  5.096300E-01  1.489431E-23  1.488700E-23  1.000491E+00
  5.161100E-01  1.494163E-23  1.493500E-23  1.000444E+00
  5.226600E-01  1.498776E-23  1.498500E-23  1.000184E+00
  5.293000E-01  1.503344E-23  1.503100E-23  1.000163E+00
  5.360300E-01  1.507801E-23  1.507200E-23  1.000399E+00
  5.428400E-01  1.510607E-23  1.510200E-23  1.000269E+00
  5.497300E-01  1.513156E-23  1.512900E-23  1.000169E+00
  5.567200E-01  1.517029E-23  1.515700E-23  1.000877E+00
  5.637900E-01  1.518354E-23  1.517500E-23  1.000563E+00
  5.709500E-01  1.519352E-23  1.518600E-23  1.000496E+00
  5.782100E-01  1.519739E-23  1.519200E-23  1.000355E+00
  5.855500E-01  1.520665E-23  1.519500E-23  1.000767E+00
  5.929900E-01  1.520525E-23  1.519300E-23  1.000807E+00
  6.005200E-01  1.519987E-23  1.518700E-23  1.000847E+00
  6.081500E-01  1.518454E-23  1.517400E-23  1.000695E+00
  6.158800E-01  1.516463E-23  1.515800E-23  1.000438E+00
  6.237000E-01  1.514619E-23  1.513800E-23  1.000541E+00
  6.316300E-01  1.511942E-23  1.511000E-23  1.000623E+00
  6.396500E-01  1.509165E-23  1.508000E-23  1.000772E+00
  6.477800E-01  1.505304E-23  1.504300E-23  1.000667E+00
  6.560100E-01  1.501409E-23  1.500200E-23  1.000806E+00
  6.643400E-01  1.496519E-23  1.495600E-23  1.000614E+00
  6.727800E-01  1.491534E-23  1.490300E-23  1.000828E+00
  6.813300E-01  1.485727E-23  1.484400E-23  1.000894E+00
  6.899800E-01  1.479036E-23  1.478200E-23  1.000566E+00
  6.987500E-01  1.472394E-23  1.471300E-23  1.000743E+00
  7.076300E-01  1.465168E-23  1.464200E-23  1.000661E+00
  7.166200E-01  1.457649E-23  1.456700E-23  1.000651E+00
  7.257200E-01  1.449052E-23  1.448200E-23  1.000588E+00
  7.349400E-01  1.440746E-23  1.439700E-23  1.000726E+00
  7.442800E-01  1.431814E-23  1.430700E-23  1.000778E+00
  7.537300E-01  1.421609E-23  1.421200E-23  1.000288E+00
  7.633100E-01  1.412012E-23  1.411100E-23  1.000646E+00
  7.730000E-01  1.401598E-23  1.400600E-23  1.000712E+00
  7.828200E-01  1.390796E-23  1.389800E-23  1.000717E+00
  7.927700E-01  1.379507E-23  1.378300E-23  1.000876E+00
  8.028400E-01  1.367230E-23  1.366800E-23  1.000315E+00
  8.130400E-01  1.355447E-23  1.354500E-23  1.000699E+00
  8.233700E-01  1.342838E-23  1.342200E-23  1.000475E+00
  8.338300E-01  1.330723E-23  1.329400E-23  1.000995E+00
  8.444200E-01  1.316778E-23  1.316100E-23  1.000515E+00
  8.551500E-01  1.303402E-23  1.302600E-23  1.000616E+00
  8.660100E-01  1.289405E-23  1.288700E-23  1.000547E+00
  8.770200E-01  1.275175E-23  1.274500E-23  1.000530E+00
  8.881600E-01  1.260446E-23  1.259800E-23  1.000513E+00
  8.994400E-01  1.245668E-23  1.244900E-23  1.000617E+00
  9.108700E-01  1.230384E-23  1.229600E-23  1.000638E+00
  9.224400E-01  1.214908E-23  1.214200E-23  1.000583E+00
  9.341600E-01  1.198669E-23  1.198100E-23  1.000475E+00
  9.460300E-01  1.182980E-23  1.182100E-23  1.000744E+00
  9.580500E-01  1.166154E-23  1.165500E-23  1.000561E+00
  9.702200E-01  1.149496E-23  1.148800E-23  1.000606E+00
  9.825400E-01  1.132234E-23  1.131700E-23  1.000472E+00
  9.950200E-01  1.114246E-23  1.113500E-23  1.000670E+00
  1.007700E+00  1.096185E-23  1.095300E-23  1.000808E+00
  1.020500E+00  1.078071E-23  1.077500E-23  1.000530E+00
  1.033400E+00  1.060308E-23  1.060100E-23  1.000196E+00
  1.046600E+00  1.042852E-23  1.042500E-23  1.000338E+00
  1.059900E+00  1.024906E-23  1.024800E-23  1.000103E+00
  1.073300E+00  1.007532E-23  1.007500E-23  1.000032E+00
  1.087000E+00  9.904982E-24  9.902200E-24  1.000281E+00
  1.100800E+00  9.739506E-24  9.733000E-24  1.000668E+00
  1.114700E+00  9.568844E-24  9.563800E-24  1.000527E+00
  1.128900E+00  9.401021E-24  9.395400E-24  1.000598E+00
  1.143300E+00  9.231682E-24  9.229800E-24  1.000204E+00
  1.157800E+00  9.062914E-24  9.066200E-24  9.996376E-01
  1.172500E+00  8.904631E-24  8.903400E-24  1.000138E+00
  1.187400E+00  8.744408E-24  8.738800E-24  1.000642E+00
  1.202500E+00  8.575539E-24  8.577700E-24  9.997480E-01
  1.217700E+00  8.418643E-24  8.415300E-24  1.000397E+00
  1.233200E+00  8.257980E-24  8.256500E-24  1.000179E+00
  1.248900E+00  8.105143E-24  8.100500E-24  1.000573E+00
  1.264700E+00  7.944155E-24  7.944100E-24  1.000007E+00
  1.280800E+00  7.778943E-24  7.781100E-24  9.997227E-01
  1.297100E+00  7.629420E-24  7.630300E-24  9.998847E-01
  1.313600E+00  7.492583E-24  7.495000E-24  9.996775E-01
  1.330300E+00  7.357420E-24  7.354800E-24  1.000356E+00
  1.347200E+00  7.209598E-24  7.209500E-24  1.000014E+00
  1.364300E+00  7.058201E-24  7.058300E-24  9.999859E-01
  1.381600E+00  6.889373E-24  6.892700E-24  9.995174E-01
  1.399100E+00  6.728035E-24  6.729900E-24  9.997228E-01
  1.416900E+00  6.579092E-24  6.574700E-24  1.000668E+00
  1.434900E+00  6.424930E-24  6.424900E-24  1.000005E+00
  1.453200E+00  6.277329E-24  6.280400E-24  9.995110E-01
  1.471600E+00  6.136625E-24  6.137800E-24  9.998086E-01
  1.490300E+00  5.996652E-24  5.999200E-24  9.995752E-01
  1.509200E+00  5.863881E-24  5.863500E-24  1.000065E+00
  1.528400E+00  5.728500E-24  5.728700E-24  9.999651E-01
  1.547800E+00  5.597129E-24  5.597400E-24  9.999515E-01
  1.567500E+00  5.470911E-24  5.470400E-24  1.000093E+00
  1.587400E+00  5.342558E-24  5.344200E-24  9.996927E-01
  1.607600E+00  5.217299E-24  5.220500E-24  9.993868E-01
  1.628000E+00  5.098492E-24  5.099200E-24  9.998611E-01
  1.648700E+00  4.981164E-24  4.980600E-24  1.000113E+00
  1.669600E+00  4.864446E-24  4.863800E-24  1.000133E+00
  1.690800E+00  4.748016E-24  4.749900E-24  9.996034E-01
  1.712300E+00  4.637601E-24  4.639500E-24  9.995907E-01
  1.734100E+00  4.529466E-24  4.530800E-24  9.997057E-01
  1.756100E+00  4.423486E-24  4.425600E-24  9.995224E-01
  1.778400E+00  4.319036E-24  4.322400E-24  9.992218E-01
  1.801000E+00  4.220469E-24  4.222000E-24  9.996373E-01
  1.823900E+00  4.122275E-24  4.124400E-24  9.994848E-01
  1.847100E+00  4.027189E-24  4.030100E-24  9.992776E-01
  1.870500E+00  3.935768E-24  3.938200E-24  9.993826E-01
