# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  5.98764488E-057
  9.226000E-02  1.06596714E-056
  9.332000E-02  1.87112814E-056
  9.441000E-02  3.29198544E-056
  9.550000E-02  5.71436649E-056
  9.661000E-02  9.88013302E-056
  9.772000E-02  1.68641944E-055
  9.886000E-02  2.88288205E-055
  1.000000E-01  4.86405057E-055
  1.012000E-01  8.32111694E-055
  1.023000E-01  1.34484699E-054
  1.035000E-01  2.24251601E-054
  1.047000E-01  3.69123795E-054
  1.059000E-01  6.00075633E-054
  1.072000E-01  1.00203130E-053
  1.084000E-01  1.58922329E-053
  1.097000E-01  2.58575662E-053
  1.109000E-01  4.00760868E-053
  1.122000E-01  6.36919139E-053
  1.135000E-01  1.00150094E-052
  1.148000E-01  1.55908834E-052
  1.161000E-01  2.39917910E-052
  1.175000E-01  3.76838815E-052
  1.189000E-01  5.85385816E-052
  1.202000E-01  8.73438048E-052
  1.216000E-01  1.33203527E-051
  1.230000E-01  2.01574189E-051
  1.244000E-01  3.03244016E-051
  1.259000E-01  4.67417770E-051
  1.274000E-01  7.17227892E-051
  1.288000E-01  1.06702000E-050
  1.303000E-01  1.63216906E-050
  1.318000E-01  2.50301563E-050
  1.333000E-01  3.84830241E-050
  1.349000E-01  6.10990289E-050
  1.365000E-01  9.75012218E-050
  1.380000E-01  1.51632144E-049
  1.396000E-01  2.42435104E-049
  1.412000E-01  3.89054158E-049
  1.429000E-01  6.44333185E-049
  1.445000E-01  1.03502786E-048
  1.462000E-01  1.70626875E-048
  1.479000E-01  2.79844339E-048
  1.496000E-01  4.56710770E-048
  1.514000E-01  7.60907132E-048
  1.531000E-01  1.21987318E-047
  1.549000E-01  1.98551087E-047
  1.567000E-01  3.20961290E-047
  1.585000E-01  5.13697275E-047
  1.603000E-01  8.13161431E-047
  1.622000E-01  1.30512381E-046
  1.641000E-01  2.06780883E-046
  1.660000E-01  3.26071689E-046
  1.679000E-01  5.15107715E-046
  1.698000E-01  8.06921565E-046
  1.718000E-01  1.28341251E-045
  1.738000E-01  2.02631161E-045
  1.758000E-01  3.18064688E-045
  1.778000E-01  4.92524056E-045
  1.799000E-01  7.60912630E-045
  1.820000E-01  1.16385362E-044
  1.841000E-01  1.76447160E-044
  1.862000E-01  2.65375153E-044
  1.884000E-01  4.04160141E-044
  1.905000E-01  6.00531931E-044
  1.928000E-01  9.46522126E-044
  1.950000E-01  1.45958991E-043
  1.972000E-01  2.24083341E-043
  1.995000E-01  3.49303692E-043
  2.018000E-01  5.42260581E-043
  2.042000E-01  8.54267786E-043
  2.065000E-01  1.31510208E-042
  2.089000E-01  2.00976145E-042
  2.113000E-01  3.03895306E-042
  2.138000E-01  4.62971828E-042
  2.163000E-01  6.98528192E-042
  2.188000E-01  1.04416876E-041
