# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  7.37772318E-055
  9.226000E-02  1.34788380E-054
  9.332000E-02  2.43173269E-054
  9.441000E-02  4.40389746E-054
  9.550000E-02  7.87353378E-054
  9.661000E-02  1.40438933E-053
  9.772000E-02  2.47321528E-053
  9.886000E-02  4.36616891E-053
  1.000000E-01  7.61231830E-053
  1.012000E-01  1.33156708E-052
  1.023000E-01  2.20625424E-052
  1.035000E-01  3.77775103E-052
  1.047000E-01  6.38473287E-052
  1.059000E-01  1.06564923E-051
  1.072000E-01  1.83111456E-051
  1.084000E-01  2.98175878E-051
  1.097000E-01  4.99331856E-051
  1.109000E-01  7.94744635E-051
  1.122000E-01  1.29999250E-050
  1.135000E-01  2.10316909E-050
  1.148000E-01  3.36834475E-050
  1.161000E-01  5.34507527E-050
  1.175000E-01  8.70731695E-050
  1.189000E-01  1.40648818E-049
  1.202000E-01  2.18120167E-049
  1.216000E-01  3.47884511E-049
  1.230000E-01  5.52347496E-049
  1.244000E-01  8.74338980E-049
  1.259000E-01  1.42785183E-048
  1.274000E-01  2.33189611E-048
  1.288000E-01  3.69117588E-048
  1.303000E-01  5.97571234E-048
  1.318000E-01  9.89085385E-048
  1.333000E-01  1.64536727E-047
  1.349000E-01  2.84695469E-047
  1.365000E-01  4.95041741E-047
  1.380000E-01  8.34450646E-047
  1.396000E-01  1.45987132E-046
  1.412000E-01  2.55652320E-046
  1.429000E-01  4.63355646E-046
  1.445000E-01  8.09241444E-046
  1.462000E-01  1.45812893E-045
  1.479000E-01  2.61432301E-045
  1.496000E-01  4.65953795E-045
  1.514000E-01  8.52932035E-045
  1.531000E-01  1.49849880E-044
  1.549000E-01  2.69885693E-044
  1.567000E-01  4.81809739E-044
  1.585000E-01  8.52486068E-044
  1.603000E-01  1.49487199E-043
  1.622000E-01  2.67838573E-043
  1.641000E-01  4.75215693E-043
  1.660000E-01  8.35099281E-043
  1.679000E-01  1.45383886E-042
  1.698000E-01  2.50805261E-042
  1.718000E-01  4.40795820E-042
  1.738000E-01  7.66849427E-042
  1.758000E-01  1.32122949E-041
  1.778000E-01  2.25557657E-041
  1.799000E-01  3.91831913E-041
  1.820000E-01  6.74554893E-041
  1.841000E-01  1.15142299E-040
  1.862000E-01  1.94958549E-040
  1.884000E-01  3.35704090E-040
  1.905000E-01  5.59676187E-040
  1.928000E-01  9.71475938E-040
  1.950000E-01  1.63284048E-039
  1.972000E-01  2.72168097E-039
  1.995000E-01  4.59912817E-039
  2.018000E-01  7.68836629E-039
  2.042000E-01  1.29722314E-038
  2.065000E-01  2.11085098E-038
  2.089000E-01  3.44782872E-038
  2.113000E-01  5.51911013E-038
  2.138000E-01  8.79780051E-038
  2.163000E-01  1.36657342E-037
  2.188000E-01  2.06748274E-037
  2.213000E-01  3.04908385E-037
  2.239000E-01  4.45515172E-037
  2.265000E-01  6.36714211E-037
  2.291000E-01  8.93293700E-037
  2.317000E-01  1.23462572E-036
  2.344000E-01  1.70622859E-036
  2.371000E-01  2.33454029E-036
  2.399000E-01  3.20496417E-036
  2.427000E-01  4.37057822E-036
  2.455000E-01  5.92735752E-036
  2.483000E-01  8.00073639E-036
  2.512000E-01  1.08668980E-035
  2.541000E-01  1.46972682E-035
  2.570000E-01  1.97965067E-035
  2.600000E-01  2.68264711E-035
  2.630000E-01  3.61965304E-035
  2.661000E-01  4.91062898E-035
  2.691000E-01  6.56760871E-035
  2.723000E-01  8.91243723E-035
  2.754000E-01  1.19221348E-034
  2.786000E-01  1.60188360E-034
  2.818000E-01  2.14145066E-034
  2.851000E-01  2.87362671E-034
  2.884000E-01  3.83555028E-034
  2.917000E-01  5.09239141E-034
  2.951000E-01  6.78197643E-034
  2.985000E-01  8.98253629E-034
  3.020000E-01  1.19279835E-033
  3.055000E-01  1.51920800E-033
  3.090000E-01  1.97034676E-033
  3.126000E-01  2.55691325E-033
  3.162000E-01  3.29581050E-033
  3.199000E-01  4.24933023E-033
  3.236000E-01  5.44224963E-033
  3.273000E-01  6.92508648E-033
  3.311000E-01  8.81164179E-033
  3.350000E-01  1.12079729E-032
  3.388000E-01  1.40783675E-032
  3.428000E-01  1.77789992E-032
  3.467000E-01  2.21787151E-032
  3.507000E-01  2.76442560E-032
  3.548000E-01  3.44128683E-032
