# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S2
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  6.75130313E-054
  9.226000E-02  1.10134380E-053
  9.332000E-02  1.77854049E-053
  9.441000E-02  2.88539779E-053
  9.550000E-02  4.64362881E-053
  9.661000E-02  7.48158444E-053
  9.772000E-02  1.19904989E-052
  9.886000E-02  1.93916979E-052
  1.000000E-01  3.12923200E-052
  1.012000E-01  5.17778538E-052
  1.023000E-01  8.22900335E-052
  1.035000E-01  1.36974772E-051
  1.047000E-01  2.29242055E-051
  1.059000E-01  3.86156416E-051
  1.072000E-01  6.84399858E-051
  1.084000E-01  1.16806449E-050
  1.097000E-01  2.09479757E-050
  1.109000E-01  3.60274870E-050
  1.122000E-01  6.49029867E-050
  1.135000E-01  1.16865507E-049
  1.148000E-01  2.09877169E-049
  1.161000E-01  3.74399325E-049
  1.175000E-01  6.91568782E-049
  1.189000E-01  1.26443745E-048
  1.202000E-01  2.19277115E-048
  1.216000E-01  3.92160792E-048
  1.230000E-01  6.93002179E-048
  1.244000E-01  1.21054044E-047
  1.259000E-01  2.17261847E-047
  1.274000E-01  3.84359049E-047
  1.288000E-01  6.46234592E-047
  1.303000E-01  1.11258405E-046
  1.318000E-01  1.89193971E-046
  1.333000E-01  3.17317122E-046
  1.349000E-01  5.42268817E-046
  1.365000E-01  9.12523844E-046
  1.380000E-01  1.46409473E-045
  1.396000E-01  2.37431764E-045
  1.412000E-01  3.79479018E-045
  1.429000E-01  6.14706243E-045
  1.445000E-01  9.53201198E-045
  1.462000E-01  1.49442827E-044
  1.479000E-01  2.30658535E-044
  1.496000E-01  3.51380880E-044
  1.514000E-01  5.40644700E-044
  1.531000E-01  8.00392381E-044
  1.549000E-01  1.19351123E-043
  1.567000E-01  1.76384378E-043
  1.585000E-01  2.57795281E-043
  1.603000E-01  3.72502990E-043
  1.622000E-01  5.43077033E-043
  1.641000E-01  7.82081933E-043
  1.660000E-01  1.12204539E-042
  1.679000E-01  1.61465124E-042
  1.698000E-01  2.30725451E-042
  1.718000E-01  3.33667814E-042
  1.738000E-01  4.79835012E-042
  1.758000E-01  6.87245859E-042
  1.778000E-01  9.72784439E-042
  1.799000E-01  1.37027253E-041
  1.820000E-01  1.91473194E-041
  1.841000E-01  2.65707705E-041
  1.862000E-01  3.66485306E-041
  1.884000E-01  5.10780320E-041
  1.905000E-01  6.98650791E-041
  1.928000E-01  1.00775642E-040
  1.950000E-01  1.43043763E-040
  1.972000E-01  2.02514875E-040
  1.995000E-01  2.90593613E-040
  2.018000E-01  4.16049183E-040
  2.042000E-01  6.03532829E-040
  2.065000E-01  8.60028826E-040
