# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.22831475E-052
  9.226000E-02  1.95597686E-052
  9.332000E-02  3.09355017E-052
  9.441000E-02  4.93221569E-052
  9.550000E-02  7.83751852E-052
  9.661000E-02  1.25333631E-051
  9.772000E-02  2.00575783E-051
  9.886000E-02  3.26027202E-051
  1.000000E-01  5.32243875E-051
  1.012000E-01  8.97176926E-051
  1.023000E-01  1.45694862E-050
  1.035000E-01  2.49054997E-050
  1.047000E-01  4.28458855E-050
  1.059000E-01  7.40791361E-050
  1.072000E-01  1.34500433E-049
  1.084000E-01  2.33455691E-049
  1.097000E-01  4.23483775E-049
  1.109000E-01  7.31255734E-049
  1.122000E-01  1.31423495E-048
  1.135000E-01  2.34624780E-048
  1.148000E-01  4.15587506E-048
  1.161000E-01  7.28129048E-048
  1.175000E-01  1.31429730E-047
  1.189000E-01  2.34161204E-047
  1.202000E-01  3.95719127E-047
  1.216000E-01  6.87369224E-047
  1.230000E-01  1.17870326E-046
  1.244000E-01  1.99697233E-046
  1.259000E-01  3.46774191E-046
  1.274000E-01  5.93571650E-046
  1.288000E-01  9.67894009E-046
  1.303000E-01  1.61307921E-045
  1.318000E-01  2.65639874E-045
  1.333000E-01  4.31666448E-045
  1.349000E-01  7.13625149E-045
  1.365000E-01  1.16243626E-044
  1.380000E-01  1.81007840E-044
  1.396000E-01  2.84494709E-044
  1.412000E-01  4.40970221E-044
  1.429000E-01  6.91904494E-044
  1.445000E-01  1.04187473E-043
  1.462000E-01  1.58436263E-043
  1.479000E-01  2.37351894E-043
  1.496000E-01  3.51182302E-043
  1.514000E-01  5.24273072E-043
  1.531000E-01  7.54827607E-043
  1.549000E-01  1.09356907E-042
  1.567000E-01  1.57123580E-042
  1.585000E-01  2.23406302E-042
  1.603000E-01  3.14237721E-042
  1.622000E-01  4.45585288E-042
  1.641000E-01  6.24515081E-042
  1.660000E-01  8.72556294E-042
  1.679000E-01  1.22353445E-041
  1.698000E-01  1.70467218E-041
  1.718000E-01  2.40189356E-041
  1.738000E-01  3.36734661E-041
  1.758000E-01  4.70454858E-041
  1.778000E-01  6.49946140E-041
  1.799000E-01  8.92997307E-041
  1.820000E-01  1.21782739E-040
  1.841000E-01  1.65028886E-040
  1.862000E-01  2.22395361E-040
  1.884000E-01  3.02677478E-040
  1.905000E-01  4.04927253E-040
  1.928000E-01  5.70387045E-040
  1.950000E-01  7.91877859E-040
  1.972000E-01  1.09708090E-039
  1.995000E-01  1.53977443E-039
  2.018000E-01  2.15738046E-039
  2.042000E-01  3.06135749E-039
  2.065000E-01  4.27333819E-039
  2.089000E-01  5.91011311E-039
  2.113000E-01  8.10607519E-039
  2.138000E-01  1.11822926E-038
  2.163000E-01  1.53128212E-038
  2.188000E-01  2.08213176E-038
  2.213000E-01  2.81184045E-038
  2.239000E-01  3.81683018E-038
  2.265000E-01  5.14536679E-038
  2.291000E-01  6.89189896E-038
  2.317000E-01  9.17355027E-038
  2.344000E-01  1.22618736E-037
  2.371000E-01  1.62815654E-037
  2.399000E-01  2.16861313E-037
  2.427000E-01  2.86857016E-037
  2.455000E-01  3.77057250E-037
  2.483000E-01  4.92486848E-037
  2.512000E-01  6.45591577E-037
  2.541000E-01  8.40842886E-037
  2.570000E-01  1.08825545E-036
  2.600000E-01  1.41206028E-036
  2.630000E-01  1.82057615E-036
  2.661000E-01  2.35235347E-036
  2.691000E-01  2.99602876E-036
  2.723000E-01  3.85437763E-036
  2.754000E-01  4.89023863E-036
  2.786000E-01  6.21500670E-036
  2.818000E-01  7.85413765E-036
  2.851000E-01  9.93771488E-036
  2.884000E-01  1.25029135E-035
  2.917000E-01  1.56445624E-035
  2.951000E-01  1.95956738E-035
  2.985000E-01  2.44167012E-035
  3.020000E-01  3.04473021E-035
  3.055000E-01  3.77654709E-035
  3.090000E-01  4.65987646E-035
  3.126000E-01  5.75358284E-035
  3.162000E-01  7.06756931E-035
  3.199000E-01  8.68846073E-035
  3.236000E-01  1.06261760E-034
  3.273000E-01  1.29305741E-034
  3.311000E-01  1.57448665E-034
  3.350000E-01  1.91753322E-034
  3.388000E-01  2.31262816E-034
  3.428000E-01  2.80347455E-034
  3.467000E-01  3.36657278E-034
  3.507000E-01  4.04364888E-034
