# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  3.41686828E-054
  9.226000E-02  6.25144515E-054
  9.332000E-02  1.12922773E-053
  9.441000E-02  2.04731353E-053
  9.550000E-02  3.66437652E-053
  9.661000E-02  6.54341343E-053
  9.772000E-02  1.15387924E-052
  9.886000E-02  2.04019191E-052
  1.000000E-01  3.56259830E-052
  1.012000E-01  6.24156339E-052
  1.023000E-01  1.03550771E-051
  1.035000E-01  1.77505859E-051
  1.047000E-01  3.00256937E-051
  1.059000E-01  5.01451882E-051
  1.072000E-01  8.62059889E-051
  1.084000E-01  1.40426982E-050
  1.097000E-01  2.35249442E-050
  1.109000E-01  3.74554094E-050
  1.122000E-01  6.12984253E-050
  1.135000E-01  9.91794930E-050
  1.148000E-01  1.58742026E-049
  1.161000E-01  2.51539122E-049
  1.175000E-01  4.08610657E-049
  1.189000E-01  6.57130901E-049
  1.202000E-01  1.01323037E-048
  1.216000E-01  1.60257994E-048
  1.230000E-01  2.51703676E-048
  1.244000E-01  3.92998667E-048
  1.259000E-01  6.30208913E-048
  1.274000E-01  1.00676870E-047
  1.288000E-01  1.55572283E-047
  1.303000E-01  2.44559415E-047
  1.318000E-01  3.91849923E-047
  1.333000E-01  6.29466598E-047
  1.349000E-01  1.04761493E-046
  1.365000E-01  1.75133550E-046
  1.380000E-01  2.84710950E-046
  1.396000E-01  4.80068577E-046
  1.412000E-01  8.12376286E-046
  1.429000E-01  1.42466485E-045
  1.445000E-01  2.42065641E-045
  1.462000E-01  4.25194991E-045
  1.479000E-01  7.45901461E-045
  1.496000E-01  1.30507377E-044
  1.514000E-01  2.35014502E-044
  1.531000E-01  4.07601801E-044
  1.549000E-01  7.25816286E-044
  1.567000E-01  1.28366698E-043
  1.585000E-01  2.25367569E-043
  1.603000E-01  3.92651936E-043
  1.622000E-01  6.99586241E-043
  1.641000E-01  1.23547780E-042
  1.660000E-01  2.16272759E-042
  1.679000E-01  3.75307437E-042
  1.698000E-01  6.45700757E-042
  1.718000E-01  1.13218199E-041
  1.738000E-01  1.96576746E-041
  1.758000E-01  3.38114213E-041
  1.778000E-01  5.76372539E-041
  1.799000E-01  9.99881639E-041
  1.820000E-01  1.71941112E-040
  1.841000E-01  2.93197225E-040
  1.862000E-01  4.95988946E-040
  1.884000E-01  8.53307616E-040
  1.905000E-01  1.42153698E-039
  1.928000E-01  2.46556575E-039
  1.950000E-01  4.14118632E-039
  1.972000E-01  6.89812850E-039
  1.995000E-01  1.16488272E-038
  2.018000E-01  1.94593891E-038
  2.042000E-01  3.28075786E-038
  2.065000E-01  5.33443734E-038
  2.089000E-01  8.70605705E-038
  2.113000E-01  1.39239782E-037
  2.138000E-01  2.21737723E-037
  2.163000E-01  3.44047988E-037
  2.188000E-01  5.19881310E-037
  2.213000E-01  7.65737639E-037
  2.239000E-01  1.11738023E-036
  2.265000E-01  1.59493717E-036
  2.291000E-01  2.23505146E-036
  2.317000E-01  3.08566894E-036
  2.344000E-01  4.25978552E-036
  2.371000E-01  5.82261889E-036
  2.399000E-01  7.98628856E-036
  2.427000E-01  1.08824176E-035
  2.455000E-01  1.47488449E-035
  2.483000E-01  1.98962960E-035
  2.512000E-01  2.70100090E-035
  2.541000E-01  3.65142645E-035
  2.570000E-01  4.91625501E-035
  2.600000E-01  6.65945795E-035
  2.630000E-01  8.98215105E-035
  2.661000E-01  1.21806089E-034
  2.691000E-01  1.62836443E-034
  2.723000E-01  2.20860586E-034
  2.754000E-01  2.95298068E-034
  2.786000E-01  3.96557312E-034
  2.818000E-01  5.29817047E-034
  2.851000E-01  7.10480104E-034
  2.884000E-01  9.47653045E-034
  2.917000E-01  1.25723198E-033
  2.951000E-01  1.67301435E-033
  2.985000E-01  2.21394799E-033
  3.020000E-01  2.93715930E-033
  3.055000E-01  3.73523388E-033
  3.090000E-01  4.83887717E-033
  3.126000E-01  6.27180961E-033
  3.162000E-01  8.07417872E-033
  3.199000E-01  1.03962651E-032
  3.236000E-01  1.32964231E-032
  3.273000E-01  1.68951510E-032
  3.311000E-01  2.14657629E-032
  3.350000E-01  2.72602898E-032
  3.388000E-01  3.41872129E-032
  3.428000E-01  4.30986527E-032
  3.467000E-01  5.36706529E-032
  3.507000E-01  6.67732317E-032
  3.548000E-01  8.29577157E-032
  3.589000E-01  1.02347896E-031
  3.631000E-01  1.25986939E-031
  3.673000E-01  1.53891997E-031
  3.715000E-01  1.86444113E-031
  3.758000E-01  2.24827498E-031
  3.802000E-01  2.69352076E-031
  3.846000E-01  3.18642288E-031
  3.891000E-01  3.72746524E-031
  3.936000E-01  4.28850881E-031
  3.981000E-01  4.85716008E-031
  4.027000E-01  5.45492678E-031
  4.074000E-01  6.12032333E-031
  4.121000E-01  6.89143863E-031
  4.169000E-01  7.83544842E-031
  4.217000E-01  8.97953822E-031
  4.266000E-01  1.03956100E-030
  4.315000E-01  1.20975312E-030
  4.365000E-01  1.41470658E-030
  4.416000E-01  1.65536077E-030
  4.467000E-01  1.92321484E-030
  4.519000E-01  2.21448867E-030
  4.571000E-01  2.50818875E-030
  4.624000E-01  2.78735649E-030
  4.677000E-01  3.02063596E-030
  4.732000E-01  3.19423379E-030
  4.786000E-01  3.29609569E-030
  4.842000E-01  3.34999163E-030
  4.898000E-01  3.37776818E-030
  4.954000E-01  3.39897426E-030
  5.012000E-01  3.42885541E-030
  5.070000E-01  3.48157176E-030
  5.129000E-01  3.57174470E-030
  5.188000E-01  3.70529309E-030
  5.248000E-01  3.88443407E-030
  5.309000E-01  4.10361013E-030
  5.370000E-01  4.34718961E-030
  5.433000E-01  4.60638488E-030
  5.495000E-01  4.84974348E-030
  5.559000E-01  5.07510632E-030
  5.623000E-01  5.27261827E-030
  5.688000E-01  5.46014708E-030
  5.754000E-01  5.65965481E-030
  5.821000E-01  5.89167110E-030
  5.888000E-01  6.16998812E-030
  5.957000E-01  6.51928512E-030
  6.026000E-01  6.94013887E-030
  6.095000E-01  7.43201259E-030
  6.166000E-01  8.00381445E-030
  6.237000E-01  8.62728060E-030
  6.310000E-01  9.30143370E-030
  6.383000E-01  9.98551235E-030
  6.457000E-01  1.06653667E-029
  6.531000E-01  1.13113328E-029
  6.607000E-01  1.19295784E-029
  6.683000E-01  1.25085928E-029
  6.761000E-01  1.30899340E-029
  6.839000E-01  1.36974965E-029
  6.918000E-01  1.43752036E-029
  6.998000E-01  1.51562322E-029
  7.079000E-01  1.60721624E-029
  7.161000E-01  1.71416544E-029
  7.244000E-01  1.83697936E-029
  7.328000E-01  1.97498563E-029
  7.413000E-01  2.12692357E-029
  7.499000E-01  2.29159571E-029
  7.586000E-01  2.46862879E-029
  7.674000E-01  2.65910277E-029
  7.763000E-01  2.86542287E-029
  7.852000E-01  3.08793473E-029
  7.943000E-01  3.33457511E-029
  8.035000E-01  3.60612741E-029
  8.128000E-01  3.90562387E-029
  8.222000E-01  4.23527444E-029
  8.318000E-01  4.60191691E-029
  8.414000E-01  5.00121714E-029
  8.511000E-01  5.44081621E-029
  8.610000E-01  5.93089166E-029
  8.710000E-01  6.47373145E-029
  8.810000E-01  7.07179497E-029
  8.913000E-01  7.75575072E-029
  9.016000E-01  8.52336360E-029
  9.120000E-01  9.40542700E-029
  9.226000E-01  1.04441714E-028
  9.333000E-01  1.16823579E-028
  9.441000E-01  1.31977874E-028
  9.550000E-01  1.51139356E-028
  9.661000E-01  1.76606303E-028
  9.772000E-01  2.11441317E-028
  9.886000E-01  2.63207677E-028
  1.000000E+00  3.42791751E-028
  1.012000E+00  4.80383979E-028
  1.023000E+00  6.89104189E-028
  1.035000E+00  1.03301787E-027
  1.047000E+00  1.36915622E-027
  1.059000E+00  1.38999086E-027
  1.071000E+00  1.15203654E-027
  1.084000E+00  9.00525421E-028
  1.097000E+00  7.40260228E-028
  1.109000E+00  6.55566598E-028
  1.122000E+00  6.08315226E-028
  1.135000E+00  5.92517330E-028
  1.148000E+00  6.00437416E-028
  1.161000E+00  6.29125904E-028
  1.175000E+00  6.83583791E-028
  1.189000E+00  7.65359902E-028
  1.202000E+00  8.69108551E-028
  1.216000E+00  1.01191474E-027
  1.230000E+00  1.17901655E-027
  1.245000E+00  1.35637278E-027
  1.259000E+00  1.47835814E-027
  1.273000E+00  1.52657239E-027
  1.288000E+00  1.49824572E-027
  1.303000E+00  1.41999321E-027
  1.318000E+00  1.32710726E-027
  1.334000E+00  1.23519146E-027
  1.349000E+00  1.16391209E-027
  1.365000E+00  1.10471774E-027
  1.380000E+00  1.06315206E-027
  1.396000E+00  1.03111442E-027
  1.413000E+00  1.00793164E-027
  1.429000E+00  9.94078438E-028
  1.445000E+00  9.86249917E-028
  1.462000E+00  9.83189910E-028
  1.479000E+00  9.84660585E-028
  1.496000E+00  9.89476133E-028
  1.514000E+00  9.97466032E-028
  1.531000E+00  1.00718791E-027
  1.549000E+00  1.01931270E-027
  1.567000E+00  1.03330905E-027
  1.585000E+00  1.04851023E-027
  1.603000E+00  1.06461613E-027
  1.622000E+00  1.08231864E-027
  1.641000E+00  1.10046560E-027
  1.660000E+00  1.11875625E-027
  1.679000E+00  1.13688347E-027
  1.698000E+00  1.15450175E-027
  1.718000E+00  1.17200294E-027
  1.738000E+00  1.18775409E-027
  1.758000E+00  1.20081380E-027
  1.778000E+00  1.21001854E-027
  1.799000E+00  1.21377114E-027
  1.820000E+00  1.20880550E-027
  1.841000E+00  1.19323167E-027
  1.862000E+00  1.16862793E-027
  1.884000E+00  1.14421288E-027
  1.906000E+00  1.14248200E-027
  1.928000E+00  1.17825195E-027
  1.950000E+00  1.24189509E-027
  1.972000E+00  1.31428111E-027
  1.995000E+00  1.38612873E-027
  2.018000E+00  1.44991369E-027
  2.042000E+00  1.50830144E-027
  2.065000E+00  1.55807185E-027
