# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  5.98952759E-057
  9.226000E-02  1.06629753E-056
  9.332000E-02  1.87169988E-056
  9.441000E-02  3.29297681E-056
  9.550000E-02  5.71606273E-056
  9.661000E-02  9.88302343E-056
  9.772000E-02  1.68690573E-055
  9.886000E-02  2.88370121E-055
  1.000000E-01  4.86541268E-055
  1.012000E-01  8.32341198E-055
  1.023000E-01  1.34521282E-054
  1.035000E-01  2.24311698E-054
  1.047000E-01  3.69221263E-054
  1.059000E-01  6.00231781E-054
  1.072000E-01  1.00228799E-053
  1.084000E-01  1.58962463E-053
  1.097000E-01  2.58639976E-053
  1.109000E-01  4.00859181E-053
  1.122000E-01  6.37073125E-053
  1.135000E-01  1.00173967E-052
  1.148000E-01  1.55945498E-052
  1.161000E-01  2.39973608E-052
  1.175000E-01  3.76925183E-052
  1.189000E-01  5.85518446E-052
  1.202000E-01  8.73634133E-052
  1.216000E-01  1.33233196E-051
  1.230000E-01  2.01618852E-051
  1.244000E-01  3.03311060E-051
  1.259000E-01  4.67521294E-051
  1.274000E-01  7.17387787E-051
  1.288000E-01  1.06726046E-050
  1.303000E-01  1.63254305E-050
  1.318000E-01  2.50360167E-050
  1.333000E-01  3.84922693E-050
  1.349000E-01  6.11141645E-050
  1.365000E-01  9.75261652E-050
  1.380000E-01  1.51672111E-049
  1.396000E-01  2.42500943E-049
  1.412000E-01  3.89162657E-049
  1.429000E-01  6.44517179E-049
  1.445000E-01  1.03532868E-048
  1.462000E-01  1.70677161E-048
  1.479000E-01  2.79927585E-048
  1.496000E-01  4.56847348E-048
  1.514000E-01  7.61135109E-048
  1.531000E-01  1.22023827E-047
  1.549000E-01  1.98610295E-047
  1.567000E-01  3.21056468E-047
  1.585000E-01  5.13848520E-047
  1.603000E-01  8.13398856E-047
  1.622000E-01  1.30550116E-046
  1.641000E-01  2.06840042E-046
  1.660000E-01  3.26163945E-046
  1.679000E-01  5.15251782E-046
  1.698000E-01  8.07144591E-046
  1.718000E-01  1.28376276E-045
  1.738000E-01  2.02685754E-045
  1.758000E-01  3.18149280E-045
  1.778000E-01  4.92653355E-045
  1.799000E-01  7.61109675E-045
  1.820000E-01  1.16415092E-044
  1.841000E-01  1.76491621E-044
  1.862000E-01  2.65441117E-044
  1.884000E-01  4.04259186E-044
  1.905000E-01  6.00677125E-044
  1.928000E-01  9.46747627E-044
  1.950000E-01  1.45993281E-043
  1.972000E-01  2.24135256E-043
  1.995000E-01  3.49383454E-043
  2.018000E-01  5.42382632E-043
  2.042000E-01  8.54457211E-043
  2.065000E-01  1.31538957E-042
  2.089000E-01  2.01019435E-042
