# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.00007420E-059
  9.226000E-02  2.71710281E-059
  9.332000E-02  7.22074896E-059
  9.441000E-02  1.92892814E-058
  9.550000E-02  5.03947174E-058
  9.661000E-02  1.31043460E-057
  9.772000E-02  3.33392625E-057
  9.886000E-02  8.50958959E-057
  1.000000E-01  2.12592930E-056
  1.012000E-01  5.37997879E-056
  1.023000E-01  1.24035830E-055
  1.035000E-01  3.01922210E-055
  1.047000E-01  7.19085135E-055
  1.059000E-01  1.67703425E-054
  1.072000E-01  4.10198112E-054
  1.084000E-01  9.17611648E-054
  1.097000E-01  2.14836920E-053
  1.109000E-01  4.62138670E-053
  1.122000E-01  1.03859817E-052
  1.135000E-01  2.28793303E-052
  1.148000E-01  4.94463814E-052
  1.161000E-01  1.04920022E-051
  1.175000E-01  2.31286482E-051
  1.189000E-01  4.99924697E-051
  1.202000E-01  1.00551848E-050
  1.216000E-01  2.09698409E-050
  1.230000E-01  4.29723111E-050
  1.244000E-01  8.65900735E-050
  1.259000E-01  1.80172053E-049
  1.274000E-01  3.68279923E-049
  1.288000E-01  7.06775208E-049
  1.303000E-01  1.38055462E-048
  1.318000E-01  2.70384456E-048
  1.333000E-01  5.22074733E-048
  1.349000E-01  1.03752500E-047
  1.365000E-01  2.03140984E-047
  1.380000E-01  3.76461301E-047
  1.396000E-01  7.17348414E-047
  1.412000E-01  1.34900907E-046
  1.429000E-01  2.60269373E-046
  1.445000E-01  4.77093011E-046
  1.462000E-01  8.96771622E-046
  1.479000E-01  1.66443956E-045
  1.496000E-01  3.05197440E-045
  1.514000E-01  5.72610150E-045
  1.531000E-01  1.02552121E-044
  1.549000E-01  1.87852734E-044
  1.567000E-01  3.40133812E-044
  1.585000E-01  6.09028295E-044
  1.603000E-01  1.07886421E-043
  1.622000E-01  1.95090173E-043
  1.641000E-01  3.48910945E-043
  1.660000E-01  6.17439828E-043
  1.679000E-01  1.08158661E-042
  1.698000E-01  1.87625484E-042
  1.718000E-01  3.31501412E-042
  1.738000E-01  5.79490276E-042
  1.758000E-01  1.00284632E-041
  1.778000E-01  1.71907303E-041
  1.799000E-01  2.99833911E-041
  1.820000E-01  5.18124505E-041
  1.841000E-01  8.87555646E-041
  1.862000E-01  1.50788330E-040
  1.884000E-01  2.60521156E-040
  1.905000E-01  4.35668452E-040
  1.928000E-01  7.58665348E-040
  1.950000E-01  1.27893022E-039
  1.972000E-01  2.13785579E-039
  1.995000E-01  3.62297761E-039
  2.018000E-01  6.07338335E-039
  2.042000E-01  1.02761078E-038
  2.065000E-01  1.67649103E-038
  2.089000E-01  2.74556862E-038
  2.113000E-01  4.40620155E-038
  2.138000E-01  7.04190319E-038
  2.163000E-01  1.09657066E-037
  2.188000E-01  1.66303775E-037
