# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.26875153E-062
  9.226000E-02  3.48216342E-062
  9.332000E-02  9.32903861E-062
  9.441000E-02  2.50973182E-061
  9.550000E-02  6.59590196E-061
  9.661000E-02  1.72283090E-060
  9.772000E-02  4.40005085E-060
  9.886000E-02  1.12687576E-059
  1.000000E-01  2.82166843E-059
  1.012000E-01  7.24261450E-059
  1.023000E-01  1.68338116E-058
  1.035000E-01  4.13480693E-058
  1.047000E-01  9.93418796E-058
  1.059000E-01  2.33649950E-057
  1.072000E-01  5.76515672E-057
  1.084000E-01  1.29983074E-056
  1.097000E-01  3.06793744E-056
  1.109000E-01  6.64857943E-056
  1.122000E-01  1.50625864E-055
  1.135000E-01  3.34677223E-055
  1.148000E-01  7.29892159E-055
  1.161000E-01  1.56012974E-054
  1.175000E-01  3.45795230E-054
  1.189000E-01  7.50545391E-054
  1.202000E-01  1.51411804E-053
  1.216000E-01  3.16372033E-053
  1.230000E-01  6.48966378E-053
  1.244000E-01  1.30854684E-052
  1.259000E-01  2.72400648E-052
  1.274000E-01  5.56180713E-052
  1.288000E-01  1.06468881E-051
  1.303000E-01  2.09815941E-051
  1.318000E-01  4.06876470E-051
  1.333000E-01  7.75519786E-051
  1.349000E-01  1.51360108E-050
  1.365000E-01  2.89891735E-050
  1.380000E-01  5.23544892E-050
  1.396000E-01  9.60365603E-050
  1.412000E-01  1.73106327E-049
  1.429000E-01  3.17643147E-049
  1.445000E-01  5.52339581E-049
  1.462000E-01  9.75261977E-049
  1.479000E-01  1.69051331E-048
  1.496000E-01  2.88440004E-048
  1.514000E-01  4.98978510E-048
  1.531000E-01  8.23033966E-048
  1.549000E-01  1.37247713E-047
  1.567000E-01  2.26239917E-047
  1.585000E-01  3.67893191E-047
  1.603000E-01  5.90010297E-047
  1.622000E-01  9.57824468E-047
  1.641000E-01  1.53206514E-046
  1.660000E-01  2.43545487E-046
  1.679000E-01  3.87412609E-046
  1.698000E-01  6.10564182E-046
  1.718000E-01  9.76568461E-046
  1.738000E-01  1.54958514E-045
  1.758000E-01  2.44336562E-045
  1.778000E-01  3.79924097E-045
  1.799000E-01  5.89311552E-045
  1.820000E-01  9.04748696E-045
  1.841000E-01  1.37646121E-044
  1.862000E-01  2.07704615E-044
  1.884000E-01  3.17372463E-044
  1.905000E-01  4.72993835E-044
  1.928000E-01  7.47857238E-044
  1.950000E-01  1.15658399E-043
  1.972000E-01  1.78061692E-043
  1.995000E-01  2.78350482E-043
  2.018000E-01  4.33297267E-043
  2.042000E-01  6.84502577E-043
  2.065000E-01  1.05647764E-042
  2.089000E-01  1.61875708E-042
  2.113000E-01  2.45395625E-042
  2.138000E-01  3.74816323E-042
  2.163000E-01  5.66943142E-042
  2.188000E-01  8.49552035E-042
  2.213000E-01  1.26155062E-041
  2.239000E-01  1.88585937E-041
  2.265000E-01  2.79345213E-041
  2.291000E-01  4.10243214E-041
  2.317000E-01  5.97459563E-041
  2.344000E-01  8.74922306E-041
  2.371000E-01  1.27009240E-040
  2.399000E-01  1.85160623E-040
  2.427000E-01  2.67511008E-040
  2.455000E-01  3.83271740E-040
  2.483000E-01  5.44579424E-040
  2.512000E-01  7.77365989E-040
  2.541000E-01  1.10033896E-039
  2.570000E-01  1.54475070E-039
  2.600000E-01  2.17606942E-039
  2.630000E-01  3.04013842E-039
  2.661000E-01  4.25966327E-039
  2.691000E-01  5.85716489E-039
  2.723000E-01  8.16133521E-039
  2.754000E-01  1.11670453E-038
  2.786000E-01  1.53154794E-038
  2.818000E-01  2.08499089E-038
  2.851000E-01  2.84345077E-038
  2.884000E-01  3.84915908E-038
  2.917000E-01  5.17346129E-038
  2.951000E-01  6.96374107E-038
  2.985000E-01  9.30912136E-038
  3.020000E-01  1.24588033E-037
  3.055000E-01  1.65581300E-037
  3.090000E-01  2.18568313E-037
  3.126000E-01  2.88793110E-037
  3.162000E-01  3.79027456E-037
  3.199000E-01  4.97973644E-037
  3.236000E-01  6.49875127E-037
  3.273000E-01  8.42576980E-037
  3.311000E-01  1.09335156E-036
  3.350000E-01  1.41923485E-036
  3.388000E-01  1.81874262E-036
  3.428000E-01  2.34670340E-036
  3.467000E-01  2.99056327E-036
  3.507000E-01  3.81235995E-036
  3.548000E-01  4.86008185E-036
  3.589000E-01  6.15924627E-036
  3.631000E-01  7.80578589E-036
  3.673000E-01  9.83390798E-036
  3.715000E-01  1.23230340E-035
  3.758000E-01  1.54375020E-035
  3.802000E-01  1.93361725E-035
  3.846000E-01  2.40823995E-035
  3.891000E-01  2.99831646E-035
  3.936000E-01  3.71358168E-035
  3.981000E-01  4.57501083E-035
  4.027000E-01  5.63407756E-035
  4.074000E-01  6.93358250E-035
  4.121000E-01  8.48936448E-035
  4.169000E-01  1.03882365E-034
  4.217000E-01  1.26500266E-034
  4.266000E-01  1.53929678E-034
  4.315000E-01  1.86424687E-034
  4.365000E-01  2.25544761E-034
  4.416000E-01  2.72693645E-034
  4.467000E-01  3.28163316E-034
  4.519000E-01  3.94503596E-034
  4.571000E-01  4.72196906E-034
  4.624000E-01  5.64546468E-034
  4.677000E-01  6.72170240E-034
  4.732000E-01  8.01923499E-034
  4.786000E-01  9.49656119E-034
  4.842000E-01  1.12698690E-033
  4.898000E-01  1.33172180E-033
  4.954000E-01  1.56732693E-033
  5.012000E-01  1.84765710E-033
  5.070000E-01  2.16975044E-033
  5.129000E-01  2.54464220E-033
  5.188000E-01  2.97253846E-033
  5.248000E-01  3.46795306E-033
  5.309000E-01  4.04114098E-033
  5.370000E-01  4.69120581E-033
  5.433000E-01  5.45232641E-033
  5.495000E-01  6.29902067E-033
  5.559000E-01  7.28413611E-033
  5.623000E-01  8.39400668E-033
  5.688000E-01  9.66041746E-033
  5.754000E-01  1.11030359E-032
  5.821000E-01  1.27435950E-032
  5.888000E-01  1.45771504E-032
  5.957000E-01  1.66845229E-032
  6.026000E-01  1.90314396E-032
  6.095000E-01  2.16401847E-032
  6.166000E-01  2.46163840E-032
  6.237000E-01  2.79081993E-032
  6.310000E-01  3.16583954E-032
  6.383000E-01  3.57921792E-032
  6.457000E-01  4.04089608E-032
  6.531000E-01  4.54846363E-032
  6.607000E-01  5.12166971E-032
  6.683000E-01  5.75058728E-032
  6.761000E-01  6.45686556E-032
  6.839000E-01  7.22952041E-032
  6.918000E-01  8.08278904E-032
  6.998000E-01  9.02480920E-032
  7.079000E-01  1.00617506E-031
  7.161000E-01  1.12020658E-031
  7.244000E-01  1.24571288E-031
  7.328000E-01  1.38298679E-031
  7.413000E-01  1.53322398E-031
  7.499000E-01  1.69738795E-031
  7.586000E-01  1.87662599E-031
  7.674000E-01  2.07172765E-031
  7.763000E-01  2.28409379E-031
  7.852000E-01  2.51229463E-031
  7.943000E-01  2.76218698E-031
  8.035000E-01  3.03304206E-031
  8.128000E-01  3.32555218E-031
  8.222000E-01  3.64102473E-031
  8.318000E-01  3.98471378E-031
  8.414000E-01  4.35114889E-031
  8.511000E-01  4.74458111E-031
  8.610000E-01  5.17154324E-031
  8.710000E-01  5.62890278E-031
  8.810000E-01  6.11490576E-031
  8.913000E-01  6.64378851E-031
  9.016000E-01  7.20420007E-031
  9.120000E-01  7.80301950E-031
  9.226000E-01  8.44549716E-031
  9.333000E-01  9.13111871E-031
  9.441000E-01  9.85721635E-031
  9.550000E-01  1.06299150E-030
  9.661000E-01  1.14543544E-030
  9.772000E-01  1.23147001E-030
  9.886000E-01  1.32200371E-030
  1.000000E+00  1.41838676E-030
  1.012000E+00  1.53275756E-030
  1.023000E+00  1.64313950E-030
  1.035000E+00  1.76949119E-030
  1.047000E+00  1.90269656E-030
  1.059000E+00  2.04249980E-030
  1.071000E+00  2.18889166E-030
