# DH21 PAH SED for Mathis ISRF, U = 1.995
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.25896485E-059
  9.226000E-02  3.42048019E-059
  9.332000E-02  9.08997945E-059
  9.441000E-02  2.42826657E-058
  9.550000E-02  6.34402671E-058
  9.661000E-02  1.64966221E-057
  9.772000E-02  4.19696521E-057
  9.886000E-02  1.07124229E-056
  1.000000E-01  2.67625592E-056
  1.012000E-01  6.77265753E-056
  1.023000E-01  1.56144062E-055
  1.035000E-01  3.80078352E-055
  1.047000E-01  9.05228364E-055
  1.059000E-01  2.11115226E-054
  1.072000E-01  5.16381953E-054
  1.084000E-01  1.15514398E-053
  1.097000E-01  2.70449334E-053
  1.109000E-01  5.81767064E-053
  1.122000E-01  1.30744729E-052
  1.135000E-01  2.88018094E-052
  1.148000E-01  6.22459089E-052
  1.161000E-01  1.32079225E-051
  1.175000E-01  2.91156325E-051
  1.189000E-01  6.29332874E-051
  1.202000E-01  1.26580191E-050
  1.216000E-01  2.63979795E-050
  1.230000E-01  5.40958725E-050
  1.244000E-01  1.09004242E-049
  1.259000E-01  2.26810205E-049
  1.274000E-01  4.63610309E-049
  1.288000E-01  8.89725912E-049
  1.303000E-01  1.73791453E-048
  1.318000E-01  3.40374044E-048
  1.333000E-01  6.57214727E-048
  1.349000E-01  1.30608992E-047
  1.365000E-01  2.55724278E-047
  1.380000E-01  4.73908676E-047
  1.396000E-01  9.03034563E-047
  1.412000E-01  1.69820070E-046
  1.429000E-01  3.27640156E-046
  1.445000E-01  6.00588529E-046
  1.462000E-01  1.12890073E-045
  1.479000E-01  2.09527896E-045
  1.496000E-01  3.84197589E-045
  1.514000E-01  7.20829773E-045
  1.531000E-01  1.29097625E-044
  1.549000E-01  2.36478172E-044
  1.567000E-01  4.28176948E-044
  1.585000E-01  7.66674260E-044
  1.603000E-01  1.35812623E-043
  1.622000E-01  2.45588874E-043
  1.641000E-01  4.39225787E-043
  1.660000E-01  7.77262689E-043
  1.679000E-01  1.36155262E-042
  1.698000E-01  2.36191846E-042
  1.718000E-01  4.17309632E-042
  1.738000E-01  7.29489641E-042
  1.758000E-01  1.26243002E-041
  1.778000E-01  2.16404960E-041
  1.799000E-01  3.77444923E-041
  1.820000E-01  6.52239247E-041
  1.841000E-01  1.11729626E-040
  1.862000E-01  1.89819333E-040
  1.884000E-01  3.27956066E-040
  1.905000E-01  5.48439526E-040
  1.928000E-01  9.55042819E-040
  1.950000E-01  1.60997602E-039
