# DH21 astrodust SED for Mathis ISRF, U = 1.995
# Enthalpy stage: S2
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.29191307E-056
  9.226000E-02  3.01911905E-056
  9.332000E-02  6.91259632E-056
  9.441000E-02  1.58812382E-055
  9.550000E-02  3.57734896E-055
  9.661000E-02  8.01487237E-055
  9.772000E-02  1.76199483E-054
  9.886000E-02  3.88231380E-054
  1.000000E-01  8.39247632E-054
  1.012000E-01  1.85206440E-053
  1.023000E-01  3.75969083E-053
  1.035000E-01  7.99330711E-053
  1.047000E-01  1.66784070E-052
  1.059000E-01  3.41773794E-052
  1.072000E-01  7.28907759E-052
  1.084000E-01  1.44100757E-051
  1.097000E-01  2.95943334E-051
  1.109000E-01  5.65703948E-051
  1.122000E-01  1.12213077E-050
  1.135000E-01  2.18971450E-050
  1.148000E-01  4.20654613E-050
  1.161000E-01  7.94288246E-050
  1.175000E-01  1.54521559E-049
  1.189000E-01  2.95287969E-049
  1.202000E-01  5.30690402E-049
  1.216000E-01  9.81844490E-049
  1.230000E-01  1.78831398E-048
  1.244000E-01  3.21040944E-048
  1.259000E-01  5.91809409E-048
  1.274000E-01  1.07311701E-047
  1.288000E-01  1.84348982E-047
  1.303000E-01  3.24352291E-047
  1.318000E-01  5.63031775E-047
  1.333000E-01  9.63048380E-047
  1.349000E-01  1.67911593E-046
  1.365000E-01  2.88057121E-046
  1.380000E-01  4.70301487E-046
  1.396000E-01  7.76542939E-046
  1.412000E-01  1.26297287E-045
  1.429000E-01  2.08299704E-045
  1.445000E-01  3.28363339E-045
  1.462000E-01  5.23646878E-045
  1.479000E-01  8.21734828E-045
  1.496000E-01  1.27220297E-044
  1.514000E-01  1.99035897E-044
  1.531000E-01  2.99221901E-044
  1.549000E-01  4.53326721E-044
  1.567000E-01  6.80414366E-044
  1.585000E-01  1.00962096E-043
  1.603000E-01  1.48057807E-043
  1.622000E-01  2.19169242E-043
  1.641000E-01  3.20354697E-043
  1.660000E-01  4.66337180E-043
  1.679000E-01  6.80667223E-043
  1.698000E-01  9.86231988E-043
  1.718000E-01  1.44676449E-042
  1.738000E-01  2.10975608E-042
  1.758000E-01  3.06317063E-042
  1.778000E-01  4.39401164E-042
  1.799000E-01  6.27462798E-042
  1.820000E-01  8.88563877E-042
  1.841000E-01  1.24925885E-041
  1.862000E-01  1.74519907E-041
  1.884000E-01  2.46430493E-041
  1.905000E-01  3.41202922E-041
  1.928000E-01  4.98623461E-041
  1.950000E-01  7.16439953E-041
  1.972000E-01  1.02646446E-040
  1.995000E-01  1.49094946E-040
  2.018000E-01  2.16018701E-040
  2.042000E-01  3.17189322E-040
  2.065000E-01  4.57159314E-040
  2.089000E-01  6.53232340E-040
  2.113000E-01  9.24974980E-040
  2.138000E-01  1.31808004E-039
  2.163000E-01  1.86307210E-039
  2.188000E-01  2.61293951E-039
  2.213000E-01  3.63707641E-039
  2.239000E-01  5.09116441E-039
  2.265000E-01  7.07251969E-039
  2.291000E-01  9.75532587E-039
  2.317000E-01  1.33627830E-038
  2.344000E-01  1.83889508E-038
  2.371000E-01  2.51215493E-038
  2.399000E-01  3.44384445E-038
  2.427000E-01  4.68539949E-038
  2.455000E-01  6.33033385E-038
  2.483000E-01  8.49337073E-038
  2.512000E-01  1.14406038E-037
  2.541000E-01  1.53016798E-037
  2.570000E-01  2.03247389E-037
  2.600000E-01  2.70731077E-037
  2.630000E-01  3.58114051E-037
  2.661000E-01  4.74839297E-037
  2.691000E-01  6.19740104E-037
  2.723000E-01  8.17869264E-037
  2.754000E-01  1.06299465E-036
  2.786000E-01  1.38421548E-036
  2.818000E-01  1.79134021E-036
  2.851000E-01  2.32145068E-036
  2.884000E-01  2.98975536E-036
  2.917000E-01  3.82741561E-036
  2.951000E-01  4.90551377E-036
  2.985000E-01  6.25117528E-036
  3.020000E-01  7.97309320E-036
  3.055000E-01  1.01099046E-035
  3.090000E-01  1.27461550E-035
  3.126000E-01  1.60819878E-035
  3.162000E-01  2.01766545E-035
  3.199000E-01  2.53357779E-035
  3.236000E-01  3.16347851E-035
  3.273000E-01  3.92820010E-035
  3.311000E-01  4.88124227E-035
  3.350000E-01  6.06691928E-035
  3.388000E-01  7.45997548E-035
  3.428000E-01  9.22507011E-035
  3.467000E-01  1.12898635E-034
  3.507000E-01  1.38202740E-034
  3.548000E-01  1.69173649E-034
  3.589000E-01  2.06059800E-034
  3.631000E-01  2.50985945E-034
  3.673000E-01  3.04177562E-034
  3.715000E-01  3.67006946E-034
  3.758000E-01  4.42675318E-034
  3.802000E-01  5.33875293E-034
  3.846000E-01  6.40785649E-034
  3.891000E-01  7.68867332E-034
  3.936000E-01  9.18545911E-034
  3.981000E-01  1.09243126E-033
  4.027000E-01  1.29878810E-033
  4.074000E-01  1.54318074E-033
  4.121000E-01  1.82570916E-033
  4.169000E-01  2.15889192E-033
  4.217000E-01  2.54247711E-033
  4.266000E-01  2.99229449E-033
  4.315000E-01  3.50780762E-033
  4.365000E-01  4.10827194E-033
  4.416000E-01  4.80891867E-033
  4.467000E-01  5.60704510E-033
  4.519000E-01  6.53162194E-033
  4.571000E-01  7.58114466E-033
  4.624000E-01  8.79041680E-033
  4.677000E-01  1.01576381E-032
  4.732000E-01  1.17563238E-032
  4.786000E-01  1.35228458E-032
  4.842000E-01  1.55817821E-032
  4.898000E-01  1.78897666E-032
  4.954000E-01  2.04705627E-032
  5.012000E-01  2.34544573E-032
  5.070000E-01  2.67875939E-032
  5.129000E-01  3.05594616E-032
  5.188000E-01  3.47470071E-032
  5.248000E-01  3.94646726E-032
  5.309000E-01  4.47778391E-032
  5.370000E-01  5.06445763E-032
  5.433000E-01  5.73347356E-032
  5.495000E-01  6.45855524E-032
  5.559000E-01  7.28067563E-032
  5.623000E-01  8.18367171E-032
  5.688000E-01  9.18844591E-032
  5.754000E-01  1.03048090E-031
  5.821000E-01  1.15432885E-031
  5.888000E-01  1.28941128E-031
  5.957000E-01  1.44095340E-031
  6.026000E-01  1.60569935E-031
  6.095000E-01  1.78459999E-031
  6.166000E-01  1.98397827E-031
  6.237000E-01  2.19940483E-031
  6.310000E-01  2.43937219E-031
  6.383000E-01  2.69784994E-031
  6.457000E-01  2.98015100E-031
  6.531000E-01  3.28376032E-031
  6.607000E-01  3.61935123E-031
  6.683000E-01  3.97974804E-031
  6.761000E-01  4.37585637E-031
  6.839000E-01  4.80017145E-031
  6.918000E-01  5.25902402E-031
  6.998000E-01  5.75532626E-031
  7.079000E-01  6.29050226E-031
  7.161000E-01  6.86723810E-031
  7.244000E-01  7.48974104E-031
  7.328000E-01  8.15689133E-031
  7.413000E-01  8.87284901E-031
  7.499000E-01  9.64012426E-031
  7.586000E-01  1.04620423E-030
  7.674000E-01  1.13397043E-030
  7.763000E-01  1.22773974E-030
  7.852000E-01  1.32667508E-030
  7.943000E-01  1.43302501E-030
  8.035000E-01  1.54624442E-030
  8.128000E-01  1.66630457E-030
  8.222000E-01  1.79348070E-030
  8.318000E-01  1.92960086E-030
  8.414000E-01  2.07224016E-030
  8.511000E-01  2.22274593E-030
  8.610000E-01  2.38334092E-030
  8.710000E-01  2.55244204E-030
  8.810000E-01  2.72927487E-030
  8.913000E-01  2.91845697E-030
  9.016000E-01  3.11573799E-030
  9.120000E-01  3.32326101E-030
  9.226000E-01  3.54225343E-030
  9.333000E-01  3.77242917E-030
  9.441000E-01  4.01220545E-030
  9.550000E-01  4.26362020E-030
  9.661000E-01  4.52761723E-030
  9.772000E-01  4.79863014E-030
  9.886000E-01  5.07805548E-030
  1.000000E+00  5.37245210E-030
  1.012000E+00  5.72258150E-030
  1.023000E+00  6.05597433E-030
  1.035000E+00  6.43242829E-030
  1.047000E+00  6.82417309E-030
  1.059000E+00  7.22984344E-030
  1.071000E+00  7.64901392E-030
