# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  7.37276811E-055
  9.226000E-02  1.34699233E-054
  9.332000E-02  2.43014874E-054
  9.441000E-02  4.40107330E-054
  9.550000E-02  7.86856224E-054
  9.661000E-02  1.40351636E-053
  9.772000E-02  2.47170170E-053
  9.886000E-02  4.36353901E-053
  1.000000E-01  7.60780492E-053
  1.012000E-01  1.33079049E-052
  1.023000E-01  2.20498664E-052
  1.035000E-01  3.77561537E-052
  1.047000E-01  6.38118065E-052
  1.059000E-01  1.06506562E-051
  1.072000E-01  1.83012841E-051
  1.084000E-01  2.98017708E-051
  1.097000E-01  4.99071171E-051
  1.109000E-01  7.94335572E-051
  1.122000E-01  1.29933312E-050
  1.135000E-01  2.10211686E-050
  1.148000E-01  3.36668057E-050
  1.161000E-01  5.34246362E-050
  1.175000E-01  8.70310473E-050
  1.189000E-01  1.40581286E-049
  1.202000E-01  2.18015888E-049
  1.216000E-01  3.47718429E-049
  1.230000E-01  5.52083186E-049
  1.244000E-01  8.73917941E-049
  1.259000E-01  1.42715649E-048
  1.274000E-01  2.33074274E-048
  1.288000E-01  3.68931736E-048
  1.303000E-01  5.97263739E-048
  1.318000E-01  9.88564437E-048
  1.333000E-01  1.64448002E-047
  1.349000E-01  2.84538219E-047
  1.365000E-01  4.94762310E-047
  1.380000E-01  8.33971328E-047
  1.396000E-01  1.45901997E-046
  1.412000E-01  2.55501525E-046
  1.429000E-01  4.63080117E-046
  1.445000E-01  8.08758232E-046
  1.462000E-01  1.45725724E-045
  1.479000E-01  2.61276282E-045
  1.496000E-01  4.65676870E-045
  1.514000E-01  8.52428431E-045
  1.531000E-01  1.49762095E-044
  1.549000E-01  2.69729119E-044
  1.567000E-01  4.81533244E-044
  1.585000E-01  8.52002592E-044
  1.603000E-01  1.49403474E-043
  1.622000E-01  2.67690622E-043
  1.641000E-01  4.74956919E-043
  1.660000E-01  8.34651165E-043
  1.679000E-01  1.45307032E-042
  1.698000E-01  2.50674678E-042
  1.718000E-01  4.40570001E-042
  1.738000E-01  7.66462930E-042
  1.758000E-01  1.32057443E-041
  1.778000E-01  2.25447657E-041
  1.799000E-01  3.91644118E-041
  1.820000E-01  6.74237183E-041
  1.841000E-01  1.15089007E-040
  1.862000E-01  1.94869879E-040
  1.884000E-01  3.35554180E-040
  1.905000E-01  5.59430600E-040
  1.928000E-01  9.71057752E-040
  1.950000E-01  1.63215038E-039
  1.972000E-01  2.72055162E-039
  1.995000E-01  4.59725608E-039
  2.018000E-01  7.68529627E-039
  2.042000E-01  1.29671543E-038
  2.065000E-01  2.11004057E-038
  2.089000E-01  3.44653134E-038
  2.113000E-01  5.51707467E-038
  2.138000E-01  8.79462315E-038
  2.163000E-01  1.36609013E-037
  2.188000E-01  2.06676677E-037
  2.213000E-01  3.04804993E-037
  2.239000E-01  4.45367378E-037
  2.265000E-01  6.36507579E-037
  2.291000E-01  8.93010115E-037
  2.317000E-01  1.23424234E-036
  2.344000E-01  1.70571081E-036
  2.371000E-01  2.33384799E-036
  2.399000E-01  3.20403629E-036
  2.427000E-01  4.36934300E-036
  2.455000E-01  5.92572236E-036
  2.483000E-01  7.99858223E-036
  2.512000E-01  1.08640452E-035
  2.541000E-01  1.46935067E-035
  2.570000E-01  1.97915677E-035
  2.600000E-01  2.68199538E-035
  2.630000E-01  3.61879684E-035
  2.661000E-01  4.90949924E-035
  2.691000E-01  6.56613810E-035
  2.723000E-01  8.91049872E-035
  2.754000E-01  1.19196142E-034
  2.786000E-01  1.60155477E-034
  2.818000E-01  2.14102395E-034
  2.851000E-01  2.87307154E-034
  2.884000E-01  3.83483205E-034
  2.917000E-01  5.09146741E-034
  2.951000E-01  6.78078556E-034
  2.985000E-01  8.98101044E-034
  3.020000E-01  1.19260261E-033
  3.055000E-01  1.51896784E-033
  3.090000E-01  1.97004623E-033
  3.126000E-01  2.55653757E-033
  3.162000E-01  3.29534433E-033
  3.199000E-01  4.24875266E-033
  3.236000E-01  5.44153938E-033
  3.273000E-01  6.92421949E-033
  3.311000E-01  8.81058582E-033
  3.350000E-01  1.12066904E-032
  3.388000E-01  1.40768296E-032
  3.428000E-01  1.77771531E-032
  3.467000E-01  2.21765280E-032
  3.507000E-01  2.76416776E-032
  3.548000E-01  3.44098479E-032
  3.589000E-01  4.25419238E-032
  3.631000E-01  5.24882289E-032
  3.673000E-01  6.42735121E-032
  3.715000E-01  7.80820463E-032
  3.758000E-01  9.44532559E-032
  3.802000E-01  1.13581307E-031
  3.846000E-01  1.34965664E-031
  3.891000E-01  1.58764943E-031
  3.936000E-01  1.83920173E-031
  3.981000E-01  2.10029502E-031
  4.027000E-01  2.38119080E-031
  4.074000E-01  2.69803345E-031
  4.121000E-01  3.06551659E-031
  4.169000E-01  3.51246905E-031
  4.217000E-01  4.05001547E-031
  4.266000E-01  4.71082248E-031
  4.315000E-01  5.50160590E-031
  4.365000E-01  6.45263746E-031
  4.416000E-01  7.57232931E-031
  4.467000E-01  8.82802261E-031
  4.519000E-01  1.02132612E-030
  4.571000E-01  1.16446835E-030
  4.624000E-01  1.30655788E-030
  4.677000E-01  1.43492294E-030
  4.732000E-01  1.54608835E-030
  4.786000E-01  1.63311485E-030
  4.842000E-01  1.70829704E-030
  4.898000E-01  1.77843608E-030
  4.954000E-01  1.85144400E-030
  5.012000E-01  1.93671302E-030
  5.070000E-01  2.03848670E-030
  5.129000E-01  2.16521075E-030
  5.188000E-01  2.31851714E-030
  5.248000E-01  2.50123762E-030
  5.309000E-01  2.71091015E-030
  5.370000E-01  2.93786587E-030
  5.433000E-01  3.18055241E-030
