# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S2
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  6.75039889E-054
  9.226000E-02  1.10119667E-053
  9.332000E-02  1.77830372E-053
  9.441000E-02  2.88501545E-053
  9.550000E-02  4.64301727E-053
  9.661000E-02  7.48060769E-053
  9.772000E-02  1.19889506E-052
  9.886000E-02  1.93892302E-052
  1.000000E-01  3.12884110E-052
  1.012000E-01  5.17715404E-052
  1.023000E-01  8.22802659E-052
  1.035000E-01  1.36959051E-051
  1.047000E-01  2.29216758E-051
  1.059000E-01  3.86115578E-051
  1.072000E-01  6.84331019E-051
  1.084000E-01  1.16795228E-050
  1.097000E-01  2.09460615E-050
  1.109000E-01  3.60243343E-050
  1.122000E-01  6.48975480E-050
  1.135000E-01  1.16856068E-049
  1.148000E-01  2.09860774E-049
  1.161000E-01  3.74370857E-049
  1.175000E-01  6.91517487E-049
  1.189000E-01  1.26434543E-048
  1.202000E-01  2.19261387E-048
  1.216000E-01  3.92133038E-048
  1.230000E-01  6.92953607E-048
  1.244000E-01  1.21045626E-047
  1.259000E-01  2.17246841E-047
  1.274000E-01  3.84332634E-047
  1.288000E-01  6.46190320E-047
  1.303000E-01  1.11250811E-046
  1.318000E-01  1.89181090E-046
  1.333000E-01  3.17295551E-046
  1.349000E-01  5.42232011E-046
  1.365000E-01  9.12461941E-046
  1.380000E-01  1.46399561E-045
  1.396000E-01  2.37415699E-045
  1.412000E-01  3.79453360E-045
  1.429000E-01  6.14664704E-045
  1.445000E-01  9.53136759E-045
  1.462000E-01  1.49432730E-044
  1.479000E-01  2.30642953E-044
  1.496000E-01  3.51357164E-044
  1.514000E-01  5.40608233E-044
  1.531000E-01  8.00338340E-044
  1.549000E-01  1.19343071E-043
  1.567000E-01  1.76372479E-043
  1.585000E-01  2.57777898E-043
  1.603000E-01  3.72477864E-043
  1.622000E-01  5.43040374E-043
  1.641000E-01  7.82029169E-043
  1.660000E-01  1.12196974E-042
  1.679000E-01  1.61454238E-042
  1.698000E-01  2.30709888E-042
  1.718000E-01  3.33645311E-042
  1.738000E-01  4.79802636E-042
  1.758000E-01  6.87199506E-042
  1.778000E-01  9.72718803E-042
  1.799000E-01  1.37018016E-041
