# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  7.37731231E-055
  9.226000E-02  1.34780978E-054
  9.332000E-02  2.43160101E-054
  9.441000E-02  4.40366232E-054
  9.550000E-02  7.87311917E-054
  9.661000E-02  1.40431640E-053
  9.772000E-02  2.47308857E-053
  9.886000E-02  4.36594828E-053
  1.000000E-01  7.61193876E-053
  1.012000E-01  1.33150160E-052
  1.023000E-01  2.20614707E-052
  1.035000E-01  3.77756989E-052
  1.047000E-01  6.38443053E-052
  1.059000E-01  1.06559936E-051
  1.072000E-01  1.83102991E-051
  1.084000E-01  2.98162238E-051
  1.097000E-01  4.99309248E-051
  1.109000E-01  7.94708951E-051
  1.122000E-01  1.29993457E-050
  1.135000E-01  2.10307592E-050
  1.148000E-01  3.36819610E-050
  1.161000E-01  5.34483970E-050
  1.175000E-01  8.70693255E-050
  1.189000E-01  1.40642575E-049
  1.202000E-01  2.18110400E-049
  1.216000E-01  3.47868719E-049
  1.230000E-01  5.52321959E-049
  1.244000E-01  8.74297624E-049
  1.259000E-01  1.42778231E-048
  1.274000E-01  2.33177878E-048
  1.288000E-01  3.69098392E-048
  1.303000E-01  5.97538995E-048
  1.318000E-01  9.89030051E-048
  1.333000E-01  1.64527198E-047
  1.349000E-01  2.84678419E-047
  1.365000E-01  4.95011219E-047
  1.380000E-01  8.34398017E-047
  1.396000E-01  1.45977746E-046
  1.412000E-01  2.55635648E-046
  1.429000E-01  4.63325122E-046
  1.445000E-01  8.09187849E-046
  1.462000E-01  1.45803216E-045
  1.479000E-01  2.61414973E-045
  1.496000E-01  4.65923028E-045
  1.514000E-01  8.52876062E-045
  1.531000E-01  1.49840119E-044
  1.549000E-01  2.69868275E-044
  1.567000E-01  4.81778961E-044
  1.585000E-01  8.52432205E-044
  1.603000E-01  1.49477862E-043
  1.622000E-01  2.67822053E-043
  1.641000E-01  4.75186756E-043
  1.660000E-01  8.35049087E-043
  1.679000E-01  1.45375261E-042
  1.698000E-01  2.50790576E-042
  1.718000E-01  4.40770365E-042
  1.738000E-01  7.66805746E-042
  1.758000E-01  1.32115525E-041
  1.778000E-01  2.25545154E-041
  1.799000E-01  3.91810496E-041
  1.820000E-01  6.74518532E-041
  1.841000E-01  1.15136178E-040
  1.862000E-01  1.94948324E-040
  1.884000E-01  3.35686730E-040
  1.905000E-01  5.59647626E-040
  1.928000E-01  9.71427068E-040
  1.950000E-01  1.63275944E-039
  1.972000E-01  2.72154770E-039
  1.995000E-01  4.59890604E-039
  2.018000E-01  7.68799999E-039
  2.042000E-01  1.29716219E-038
  2.065000E-01  2.11075311E-038
  2.089000E-01  3.44767103E-038
  2.113000E-01  5.51886107E-038
  2.138000E-01  8.79740891E-038
  2.163000E-01  1.36651342E-037
  2.188000E-01  2.06739316E-037
  2.213000E-01  3.04895346E-037
  2.239000E-01  4.45496376E-037
  2.265000E-01  6.36687703E-037
  2.291000E-01  8.93256994E-037
  2.317000E-01  1.23457564E-036
  2.344000E-01  1.70616029E-036
  2.371000E-01  2.33444805E-036
  2.399000E-01  3.20483922E-036
  2.427000E-01  4.37041004E-036
  2.455000E-01  5.92713237E-036
  2.483000E-01  8.00043634E-036
  2.512000E-01  1.08664958E-035
  2.541000E-01  1.46967312E-035
  2.570000E-01  1.97957924E-035
  2.600000E-01  2.68255157E-035
  2.630000E-01  3.61952576E-035
  2.661000E-01  4.91045855E-035
  2.691000E-01  6.56738359E-035
  2.723000E-01  8.91213570E-035
  2.754000E-01  1.19217365E-034
  2.786000E-01  1.60183076E-034
  2.818000E-01  2.14138090E-034
  2.851000E-01  2.87353428E-034
  2.884000E-01  3.83542845E-034
  2.917000E-01  5.09223165E-034
  2.951000E-01  6.78176634E-034
  2.985000E-01  8.98226146E-034
  3.020000E-01  1.19276232E-033
  3.055000E-01  1.51916264E-033
  3.090000E-01  1.97028864E-033
  3.126000E-01  2.55683875E-033
  3.162000E-01  3.29571562E-033
  3.199000E-01  4.24920939E-033
  3.236000E-01  5.44209670E-033
  3.273000E-01  6.92489417E-033
  3.311000E-01  8.81139998E-033
  3.350000E-01  1.12076690E-032
  3.388000E-01  1.40779901E-032
  3.428000E-01  1.77785282E-032
  3.467000E-01  2.21781341E-032
  3.507000E-01  2.76435399E-032
  3.548000E-01  3.44119869E-032
  3.589000E-01  4.25443426E-032
  3.631000E-01  5.24909187E-032
  3.673000E-01  6.42764264E-032
  3.715000E-01  7.80850903E-032
  3.758000E-01  9.44562572E-032
  3.802000E-01  1.13583960E-031
  3.846000E-01  1.34967496E-031
  3.891000E-01  1.58765270E-031
  3.936000E-01  1.83918284E-031
  3.981000E-01  2.10025017E-031
  4.027000E-01  2.38112294E-031
  4.074000E-01  2.69795277E-031
  4.121000E-01  3.06543538E-031
  4.169000E-01  3.51239637E-031
  4.217000E-01  4.04995408E-031
  4.266000E-01  4.71076826E-031
  4.315000E-01  5.50154814E-031
  4.365000E-01  6.45255892E-031
  4.416000E-01  7.57220439E-031
  4.467000E-01  8.82781691E-031
  4.519000E-01  1.02129271E-030
  4.571000E-01  1.16441638E-030
  4.624000E-01  1.30648050E-030
  4.677000E-01  1.43481455E-030
  4.732000E-01  1.54594607E-030
  4.786000E-01  1.63294413E-030
  4.842000E-01  1.70810716E-030
  4.898000E-01  1.77823774E-030
  4.954000E-01  1.85124405E-030
  5.012000E-01  1.93651294E-030
  5.070000E-01  2.03828338E-030
  5.129000E-01  2.16499880E-030
  5.188000E-01  2.31829117E-030
  5.248000E-01  2.50099259E-030
  5.309000E-01  2.71064157E-030
  5.370000E-01  2.93757031E-030
  5.433000E-01  3.18022629E-030
  5.495000E-01  3.41625645E-030
  5.559000E-01  3.64850932E-030
  5.623000E-01  3.86967194E-030
  5.688000E-01  4.09411828E-030
  5.754000E-01  4.33815786E-030
  5.821000E-01  4.61750911E-030
  5.888000E-01  4.94166595E-030
  5.957000E-01  5.33385100E-030
  6.026000E-01  5.79247079E-030
  6.095000E-01  6.31823562E-030
  6.166000E-01  6.92344064E-030
  6.237000E-01  7.58416006E-030
  6.310000E-01  8.30504517E-030
  6.383000E-01  9.05223662E-030
  6.457000E-01  9.81833309E-030
  6.531000E-01  1.05798188E-029
  6.607000E-01  1.13497438E-029
  6.683000E-01  1.21154707E-029
  6.761000E-01  1.29237267E-029
  6.839000E-01  1.37907285E-029
  6.918000E-01  1.47608750E-029
  6.998000E-01  1.58674223E-029
  7.079000E-01  1.71400957E-029
  7.161000E-01  1.86004334E-029
  7.244000E-01  2.02619801E-029
  7.328000E-01  2.21225827E-029
  7.413000E-01  2.41815164E-029
  7.499000E-01  2.64358297E-029
  7.586000E-01  2.88926480E-029
  7.674000E-01  3.15654093E-029
  7.763000E-01  3.44884908E-029
  7.852000E-01  3.76602424E-029
  7.943000E-01  4.11788519E-029
  8.035000E-01  4.50566820E-029
  8.128000E-01  4.93218463E-029
  8.222000E-01  5.40090058E-029
  8.318000E-01  5.92112084E-029
  8.414000E-01  6.48655322E-029
  8.511000E-01  7.10679042E-029
  8.610000E-01  7.79462529E-029
  8.710000E-01  8.55104127E-029
  8.810000E-01  9.37688408E-029
  8.913000E-01  1.03089798E-028
  9.016000E-01  1.13359053E-028
  9.120000E-01  1.24875753E-028
  9.226000E-01  1.38074414E-028
  9.333000E-01  1.53279678E-028
  9.441000E-01  1.71156713E-028
  9.550000E-01  1.92744765E-028
  9.661000E-01  2.20027636E-028
  9.772000E-01  2.55450009E-028
  9.886000E-01  3.05485137E-028
  1.000000E+00  3.79001020E-028
  1.012000E+00  5.01429505E-028
  1.023000E+00  6.82603770E-028
  1.035000E+00  9.77283044E-028
  1.047000E+00  1.26622318E-027
  1.059000E+00  1.29428490E-027
  1.071000E+00  1.10794133E-027
  1.084000E+00  9.11602958E-028
  1.097000E+00  7.91480671E-028
  1.109000E+00  7.33549510E-028
  1.122000E+00  7.08310215E-028
  1.135000E+00  7.09748790E-028
  1.148000E+00  7.31436487E-028
  1.161000E+00  7.70989850E-028
  1.175000E+00  8.33912906E-028
  1.189000E+00  9.20313806E-028
  1.202000E+00  1.02455015E-027
  1.216000E+00  1.16345885E-027
  1.230000E+00  1.32347161E-027
  1.245000E+00  1.49449671E-027
  1.259000E+00  1.61832960E-027
  1.273000E+00  1.68116391E-027
  1.288000E+00  1.68190322E-027
  1.303000E+00  1.64143487E-027
  1.318000E+00  1.58899459E-027
  1.334000E+00  1.53969090E-027
  1.349000E+00  1.50668418E-027
  1.365000E+00  1.48584258E-027
  1.380000E+00  1.47875105E-027
  1.396000E+00  1.48176030E-027
  1.413000E+00  1.49476568E-027
  1.429000E+00  1.51433882E-027
  1.445000E+00  1.53960000E-027
  1.462000E+00  1.57120616E-027
  1.479000E+00  1.60708316E-027
  1.496000E+00  1.64604240E-027
  1.514000E+00  1.69041203E-027
  1.531000E+00  1.73450002E-027
  1.549000E+00  1.78285618E-027
  1.567000E+00  1.83340930E-027
  1.585000E+00  1.88496915E-027
  1.603000E+00  1.93783486E-027
  1.622000E+00  1.99478477E-027
  1.641000E+00  2.05203162E-027
  1.660000E+00  2.10995015E-027
  1.679000E+00  2.16779457E-027
  1.698000E+00  2.22482840E-027
  1.718000E+00  2.28507315E-027
  1.738000E+00  2.34313423E-027
  1.758000E+00  2.39939305E-027
  1.778000E+00  2.45255081E-027
  1.799000E+00  2.50173648E-027
  1.820000E+00  2.54485818E-027
  1.841000E+00  2.57735760E-027
  1.862000E+00  2.60229332E-027
  1.884000E+00  2.62973048E-027
  1.906000E+00  2.67583841E-027
  1.928000E+00  2.75400279E-027
  1.950000E+00  2.85659329E-027
  1.972000E+00  2.96511656E-027
  1.995000E+00  3.07549788E-027
  2.018000E+00  3.17882004E-027
  2.042000E+00  3.27994952E-027
  2.065000E+00  3.36904424E-027
  2.089000E+00  3.45827286E-027
  2.114000E+00  3.54790553E-027
  2.138000E+00  3.62989678E-027
  2.163000E+00  3.71345814E-027
  2.188000E+00  3.79633251E-027
  2.213000E+00  3.87455459E-027
  2.239000E+00  3.95529368E-027
  2.265000E+00  4.03447165E-027
  2.291000E+00  4.11330758E-027
  2.317000E+00  4.18912293E-027
  2.344000E+00  4.26488779E-027
  2.371000E+00  4.34376887E-027
  2.399000E+00  4.41930732E-027
  2.427000E+00  4.49675052E-027
  2.455000E+00  4.57106894E-027
  2.483000E+00  4.64598492E-027
  2.512000E+00  4.72043860E-027
  2.541000E+00  4.79554014E-027
  2.570000E+00  4.86785341E-027
  2.600000E+00  4.94179565E-027
  2.630000E+00  5.01270244E-027
  2.661000E+00  5.08971715E-027
  2.691000E+00  5.16166248E-027
  2.723000E+00  5.23770490E-027
  2.754000E+00  5.31173390E-027
  2.786000E+00  5.38932190E-027
  2.818000E+00  5.46794307E-027
  2.851000E+00  5.55233484E-027
  2.884000E+00  5.64028145E-027
  2.917000E+00  5.73525943E-027
  2.951000E+00  5.84372733E-027
  2.985000E+00  5.96932519E-027
  3.020000E+00  6.12705386E-027
  3.055000E+00  6.33203674E-027
  3.090000E+00  6.62123292E-027
  3.126000E+00  7.08650073E-027
  3.162000E+00  7.92212324E-027
  3.199000E+00  9.79984181E-027
  3.236000E+00  1.54351323E-026
  3.273000E+00  4.53163214E-026
  3.311000E+00  9.48212714E-026
  3.350000E+00  2.25302688E-026
  3.388000E+00  1.22457044E-026
  3.428000E+00  9.29256183E-027
  3.467000E+00  8.16178980E-027
  3.507000E+00  7.60102494E-027
  3.548000E+00  7.29283683E-027
  3.589000E+00  7.11673703E-027
  3.631000E+00  7.01052759E-027
  3.673000E+00  6.94801227E-027
  3.715000E+00  6.91328747E-027
  3.758000E+00  6.89580717E-027
  3.802000E+00  6.89198382E-027
  3.846000E+00  6.89694144E-027
  3.891000E+00  6.90863651E-027
  3.935000E+00  6.92698786E-027
  3.981000E+00  6.94933064E-027
  4.027000E+00  6.97617716E-027
  4.074000E+00  7.00674205E-027
  4.121000E+00  7.04165080E-027
  4.169000E+00  7.07894403E-027
  4.217000E+00  7.12142100E-027
  4.266000E+00  7.16678972E-027
  4.315000E+00  7.21737404E-027
  4.365000E+00  7.27354630E-027
  4.416000E+00  7.33434348E-027
  4.467000E+00  7.40272146E-027
  4.519000E+00  7.47916200E-027
  4.571000E+00  7.56404867E-027
  4.624000E+00  7.66047369E-027
  4.677000E+00  7.76979106E-027
  4.732000E+00  7.90077534E-027
  4.786000E+00  8.04979757E-027
  4.842000E+00  8.23617241E-027
  4.898000E+00  8.46549206E-027
  4.955000E+00  8.76865387E-027
  5.012000E+00  9.18715314E-027
  5.070000E+00  9.83736657E-027
  5.129000E+00  1.09863741E-026
  5.188000E+00  1.32291441E-026
  5.248000E+00  1.67044272E-026
  5.309000E+00  1.65877271E-026
  5.370000E+00  1.43551669E-026
  5.432000E+00  1.37306491E-026
  5.495000E+00  1.45027589E-026
  5.559000E+00  1.68296219E-026
  5.623000E+00  2.17492501E-026
  5.688000E+00  2.81666745E-026
  5.754000E+00  2.68929325E-026
  5.821000E+00  2.39721916E-026
  5.888000E+00  2.48969869E-026
  5.957000E+00  2.99290113E-026
  6.026000E+00  4.14932568E-026
  6.095000E+00  6.81933249E-026
  6.166000E+00  1.30705934E-025
  6.237000E+00  1.68741848E-025
  6.310000E+00  1.02217248E-025
  6.383000E+00  6.31874623E-026
  6.457000E+00  4.93018702E-026
  6.531000E+00  4.62943591E-026
  6.607000E+00  4.80908742E-026
  6.683000E+00  5.04700880E-026
  6.761000E+00  5.05938257E-026
  6.839000E+00  4.95931707E-026
  6.918000E+00  5.00316571E-026
  6.998000E+00  5.30996529E-026
  7.080000E+00  5.92066857E-026
  7.161000E+00  6.83262275E-026
  7.244000E+00  8.13193538E-026
