# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  5.98725296E-057
  9.226000E-02  1.06589840E-056
  9.332000E-02  1.87100924E-056
  9.441000E-02  3.29177935E-056
  9.550000E-02  5.71401401E-056
  9.661000E-02  9.87953256E-056
  9.772000E-02  1.68631844E-055
  9.886000E-02  2.88271195E-055
  1.000000E-01  4.86376775E-055
  1.012000E-01  8.32064044E-055
  1.023000E-01  1.34477103E-054
  1.035000E-01  2.24239122E-054
  1.047000E-01  3.69103551E-054
  1.059000E-01  6.00043191E-054
  1.072000E-01  1.00197795E-053
  1.084000E-01  1.58913982E-053
  1.097000E-01  2.58562276E-053
  1.109000E-01  4.00740388E-053
  1.122000E-01  6.36887025E-053
  1.135000E-01  1.00145108E-052
  1.148000E-01  1.55901164E-052
  1.161000E-01  2.39906234E-052
  1.175000E-01  3.76820661E-052
  1.189000E-01  5.85357847E-052
  1.202000E-01  8.73396545E-052
  1.216000E-01  1.33197216E-051
  1.230000E-01  2.01564635E-051
  1.244000E-01  3.03229573E-051
  1.259000E-01  4.67395272E-051
  1.274000E-01  7.17192789E-051
  1.288000E-01  1.06696665E-050
  1.303000E-01  1.63208505E-050
  1.318000E-01  2.50288224E-050
  1.333000E-01  3.84808917E-050
  1.349000E-01  6.10954891E-050
  1.365000E-01  9.74953119E-050
  1.380000E-01  1.51622569E-049
  1.396000E-01  2.42419167E-049
  1.412000E-01  3.89027662E-049
  1.429000E-01  6.44287904E-049
  1.445000E-01  1.03495339E-048
  1.462000E-01  1.70614362E-048
  1.479000E-01  2.79823542E-048
  1.496000E-01  4.56676539E-048
  1.514000E-01  7.60849840E-048
  1.531000E-01  1.21978125E-047
  1.549000E-01  1.98536151E-047
  1.567000E-01  3.20937247E-047
  1.585000E-01  5.13659021E-047
  1.603000E-01  8.13101317E-047
  1.622000E-01  1.30502817E-046
  1.641000E-01  2.06765876E-046
  1.660000E-01  3.26048267E-046
  1.679000E-01  5.15071109E-046
  1.698000E-01  8.06864851E-046
  1.718000E-01  1.28332337E-045
  1.738000E-01  2.02617255E-045
  1.758000E-01  3.18043124E-045
  1.778000E-01  4.92491066E-045
  1.799000E-01  7.60862310E-045
  1.820000E-01  1.16377763E-044
  1.841000E-01  1.76435785E-044
  1.862000E-01  2.65358258E-044
  1.884000E-01  4.04134747E-044
  1.905000E-01  6.00494664E-044
  1.928000E-01  9.46464177E-044
  1.950000E-01  1.45950168E-043
  1.972000E-01  2.24069968E-043
  1.995000E-01  3.49283118E-043
  2.018000E-01  5.42229055E-043
  2.042000E-01  8.54218786E-043
  2.065000E-01  1.31502760E-042
  2.089000E-01  2.00964913E-042
  2.113000E-01  3.03878542E-042
  2.138000E-01  4.62946630E-042
  2.163000E-01  6.98490678E-042
  2.188000E-01  1.04411342E-041
  2.213000E-01  1.54676919E-041
  2.239000E-01  2.30663392E-041
  2.265000E-01  3.40867312E-041
  2.291000E-01  4.99442394E-041
  2.317000E-01  7.25732420E-041
  2.344000E-01  1.06034830E-040
  2.371000E-01  1.53585259E-040
  2.399000E-01  2.23401876E-040
  2.427000E-01  3.22053414E-040
  2.455000E-01  4.60430800E-040
  2.483000E-01  6.52848749E-040
  2.512000E-01  9.29953380E-040
  2.541000E-01  1.31361751E-039
  2.570000E-01  1.84047276E-039
  2.600000E-01  2.58740485E-039
  2.630000E-01  3.60767514E-039
  2.661000E-01  5.04481564E-039
  2.691000E-01  6.92376033E-039
  2.723000E-01  9.62870081E-039
  2.754000E-01  1.31505477E-038
  2.786000E-01  1.80023855E-038
  2.818000E-01  2.44634563E-038
  2.851000E-01  3.33019421E-038
  2.884000E-01  4.50007851E-038
  2.917000E-01  6.03789199E-038
  2.951000E-01  8.11322794E-038
  2.985000E-01  1.08274469E-037
  3.020000E-01  1.44663177E-037
  3.055000E-01  1.91944842E-037
  3.090000E-01  2.52961482E-037
  3.126000E-01  3.33698939E-037
  3.162000E-01  4.37278174E-037
  3.199000E-01  5.73603992E-037
  3.236000E-01  7.47433347E-037
  3.273000E-01  9.67623374E-037
  3.311000E-01  1.25374985E-036
  3.350000E-01  1.62502671E-036
  3.388000E-01  2.07953382E-036
  3.428000E-01  2.67933218E-036
  3.467000E-01  3.40978590E-036
  3.507000E-01  4.34085072E-036
  3.548000E-01  5.52628267E-036
  3.589000E-01  6.99426048E-036
  3.631000E-01  8.85233253E-036
  3.673000E-01  1.11380676E-035
  3.715000E-01  1.39398851E-035
  3.758000E-01  1.74412938E-035
  3.802000E-01  2.18190127E-035
  3.846000E-01  2.71420224E-035
  3.891000E-01  3.37521015E-035
  3.936000E-01  4.17553134E-035
  3.981000E-01  5.13830992E-035
  4.027000E-01  6.32067437E-035
  4.074000E-01  7.76987642E-035
  4.121000E-01  9.50300720E-035
  4.169000E-01  1.16161092E-034
  4.217000E-01  1.41304646E-034
  4.266000E-01  1.71765968E-034
  4.315000E-01  2.07816795E-034
  4.365000E-01  2.51174814E-034
  4.416000E-01  3.03381026E-034
  4.467000E-01  3.64741956E-034
  4.519000E-01  4.38059269E-034
  4.571000E-01  5.23845258E-034
  4.624000E-01  6.25722023E-034
  4.677000E-01  7.44344824E-034
  4.732000E-01  8.87233299E-034
  4.786000E-01  1.04978233E-033
  4.842000E-01  1.24473507E-033
  4.898000E-01  1.46962811E-033
  4.954000E-01  1.72822266E-033
  5.012000E-01  2.03566072E-033
  5.070000E-01  2.38862450E-033
  5.129000E-01  2.79912909E-033
  5.188000E-01  3.26731837E-033
  5.248000E-01  3.80898116E-033
  5.309000E-01  4.43522041E-033
  5.370000E-01  5.14494088E-033
  5.433000E-01  5.97532135E-033
  5.495000E-01  6.89842109E-033
  5.559000E-01  7.97169876E-033
  5.623000E-01  9.18008581E-033
  5.688000E-01  1.05579984E-032
  5.754000E-01  1.21266094E-032
  5.821000E-01  1.39092993E-032
  5.888000E-01  1.59004475E-032
  5.957000E-01  1.81875183E-032
  6.026000E-01  2.07329823E-032
  6.095000E-01  2.35607331E-032
  6.166000E-01  2.67848613E-032
  6.237000E-01  3.03487812E-032
  6.310000E-01  3.44066510E-032
  6.383000E-01  3.88769745E-032
  6.457000E-01  4.38668038E-032
  6.531000E-01  4.93495695E-032
  6.607000E-01  5.55380177E-032
  6.683000E-01  6.23242809E-032
  6.761000E-01  6.99411891E-032
  6.839000E-01  7.82695473E-032
  6.918000E-01  8.74620073E-032
  6.998000E-01  9.76054001E-032
  7.079000E-01  1.08765133E-031
  7.161000E-01  1.21031178E-031
  7.244000E-01  1.34524909E-031
  7.328000E-01  1.49276335E-031
  7.413000E-01  1.65412844E-031
  7.499000E-01  1.83036582E-031
  7.586000E-01  2.02269352E-031
  7.674000E-01  2.23194225E-031
  7.763000E-01  2.45959990E-031
  7.852000E-01  2.70411886E-031
  7.943000E-01  2.97175458E-031
  8.035000E-01  3.26170830E-031
  8.128000E-01  3.57469816E-031
  8.222000E-01  3.91210249E-031
  8.318000E-01  4.27951717E-031
  8.414000E-01  4.67107223E-031
  8.511000E-01  5.09128517E-031
  8.610000E-01  5.54710850E-031
  8.710000E-01  6.03516431E-031
  8.810000E-01  6.55356455E-031
  8.913000E-01  7.11744910E-031
  9.016000E-01  7.71469250E-031
  9.120000E-01  8.35259757E-031
  9.226000E-01  9.03670614E-031
  9.333000E-01  9.76644969E-031
  9.441000E-01  1.05389290E-030
  9.550000E-01  1.13606475E-030
  9.661000E-01  1.22370042E-030
  9.772000E-01  1.31511170E-030
  9.886000E-01  1.41125150E-030
  1.000000E+00  1.51356960E-030
  1.012000E+00  1.63497727E-030
  1.023000E+00  1.75210484E-030
  1.035000E+00  1.88612507E-030
  1.047000E+00  2.02736045E-030
  1.059000E+00  2.17553286E-030
  1.071000E+00  2.33062722E-030
  1.084000E+00  2.50752923E-030
  1.097000E+00  2.69283606E-030
  1.109000E+00  2.87180202E-030
  1.122000E+00  3.07461400E-030
  1.135000E+00  3.28700017E-030
  1.148000E+00  3.50833354E-030
  1.161000E+00  3.73954062E-030
  1.175000E+00  3.99898782E-030
  1.189000E+00  4.26986722E-030
  1.202000E+00  4.53031879E-030
  1.216000E+00  4.82183062E-030
  1.230000E+00  5.12344802E-030
  1.245000E+00  5.45812738E-030
  1.259000E+00  5.78017700E-030
  1.273000E+00  6.11111456E-030
  1.288000E+00  6.47697328E-030
  1.303000E+00  6.85224397E-030
  1.318000E+00  7.23844407E-030
  1.334000E+00  7.66259368E-030
  1.349000E+00  8.06858928E-030
  1.365000E+00  8.51369249E-030
  1.380000E+00  8.93996072E-030
  1.396000E+00  9.40568893E-030
  1.413000E+00  9.91244359E-030
  1.429000E+00  1.03995585E-029
  1.445000E+00  1.08955074E-029
  1.462000E+00  1.14331942E-029
  1.479000E+00  1.19816965E-029
  1.496000E+00  1.25414668E-029
  1.514000E+00  1.31451776E-029
  1.531000E+00  1.37281483E-029
  1.549000E+00  1.43546468E-029
  1.567000E+00  1.49904874E-029
  1.585000E+00  1.56388492E-029
  1.603000E+00  1.63008989E-029
  1.622000E+00  1.70096412E-029
  1.641000E+00  1.77307111E-029
  1.660000E+00  1.84658343E-029
  1.679000E+00  1.92135004E-029
  1.698000E+00  1.99737553E-029
  1.718000E+00  2.07883884E-029
  1.738000E+00  2.16190155E-029
  1.758000E+00  2.24626609E-029
  1.778000E+00  2.33247499E-029
  1.799000E+00  2.42449655E-029
  1.820000E+00  2.51832944E-029
  1.841000E+00  2.61397944E-029
  1.862000E+00  2.71139565E-029
  1.884000E+00  2.81554705E-029
  1.906000E+00  2.92146394E-029
  1.928000E+00  3.02978667E-029
  1.950000E+00  3.14012121E-029
  1.972000E+00  3.25233053E-029
  1.995000E+00  3.37181423E-029
  2.018000E+00  3.49340476E-029
  2.042000E+00  3.62273306E-029
  2.065000E+00  3.74860256E-029
  2.089000E+00  3.88177654E-029
  2.114000E+00  4.02246280E-029
  2.138000E+00  4.15879918E-029
  2.163000E+00  4.30275912E-029
  2.188000E+00  4.44696905E-029
  2.213000E+00  4.59328833E-029
  2.239000E+00  4.74548501E-029
  2.265000E+00  4.89902029E-029
