# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.30990765E-059
  9.226000E-02  3.52473402E-059
  9.332000E-02  1.02464088E-058
  9.441000E-02  2.71189830E-058
  9.550000E-02  7.02183467E-058
  9.661000E-02  1.85568862E-057
  9.772000E-02  4.68326499E-057
  9.886000E-02  1.19406569E-056
  1.000000E-01  2.96099692E-056
  1.012000E-01  7.43714614E-056
  1.023000E-01  1.70667172E-055
  1.035000E-01  4.12581772E-055
  1.047000E-01  9.76706795E-055
  1.059000E-01  2.26347453E-054
  1.072000E-01  5.50000709E-054
  1.084000E-01  1.22338534E-053
  1.097000E-01  2.84688459E-053
  1.109000E-01  6.09126968E-053
  1.122000E-01  1.36124284E-052
  1.135000E-01  2.98247626E-052
  1.148000E-01  6.41224219E-052
  1.161000E-01  1.35379301E-051
  1.175000E-01  2.96883585E-051
  1.189000E-01  6.38510141E-051
  1.202000E-01  1.27852723E-050
  1.216000E-01  2.65398906E-050
  1.230000E-01  5.41440481E-050
  1.244000E-01  1.08632400E-049
  1.259000E-01  2.25034243E-049
  1.274000E-01  4.58017596E-049
  1.288000E-01  8.75617998E-049
  1.303000E-01  1.70365902E-048
  1.318000E-01  3.32381712E-048
  1.333000E-01  6.39397638E-048
  1.349000E-01  1.26581733E-047
  1.365000E-01  2.46922994E-047
  1.380000E-01  4.56063733E-047
  1.396000E-01  8.66021872E-047
  1.412000E-01  1.62313796E-046
  1.429000E-01  3.12078844E-046
  1.445000E-01  5.70266252E-046
  1.462000E-01  1.06843734E-045
  1.479000E-01  1.97683926E-045
  1.496000E-01  3.61377883E-045
  1.514000E-01  6.75899120E-045
  1.531000E-01  1.20704448E-044
  1.549000E-01  2.20453600E-044
  1.567000E-01  3.98023019E-044
  1.585000E-01  7.10706793E-044
  1.603000E-01  1.25559247E-043
  1.622000E-01  2.26421041E-043
  1.641000E-01  4.03859649E-043
  1.660000E-01  7.12817859E-043
  1.679000E-01  1.24550520E-042
  1.698000E-01  2.15529843E-042
  1.718000E-01  3.79847448E-042
  1.738000E-01  6.62386049E-042
  1.758000E-01  1.14359447E-041
  1.778000E-01  1.95584624E-041
  1.799000E-01  3.40333717E-041
  1.820000E-01  5.86776473E-041
  1.841000E-01  1.00294657E-040
  1.862000E-01  1.70028572E-040
  1.884000E-01  2.93126015E-040
  1.905000E-01  4.89209466E-040
  1.928000E-01  8.50086492E-040
  1.950000E-01  1.43021962E-039
  1.972000E-01  2.38618887E-039
  1.995000E-01  4.03602520E-039
  2.018000E-01  6.75320528E-039
  2.042000E-01  1.14049799E-038
  2.065000E-01  1.85744793E-038
  2.089000E-01  3.03664741E-038
  2.113000E-01  4.86522321E-038
  2.138000E-01  7.76256580E-038
  2.163000E-01  1.20686528E-037
  2.188000E-01  1.82751066E-037
  2.213000E-01  2.69759772E-037
  2.239000E-01  3.94523463E-037
  2.265000E-01  5.64357028E-037
  2.291000E-01  7.92498699E-037
  2.317000E-01  1.09630042E-036
  2.344000E-01  1.51645817E-036
  2.371000E-01  2.07676173E-036
  2.399000E-01  2.85369211E-036
  2.427000E-01  3.89504773E-036
  2.455000E-01  5.28707963E-036
  2.483000E-01  7.14259681E-036
  2.512000E-01  9.70971353E-036
  2.541000E-01  1.31432210E-035
  2.570000E-01  1.77177223E-035
  2.600000E-01  2.40291610E-035
  2.630000E-01  3.24479420E-035
  2.661000E-01  4.40558067E-035
  2.691000E-01  5.89654739E-035
  2.723000E-01  8.00797014E-035
  2.754000E-01  1.07200004E-034
  2.786000E-01  1.44140693E-034
  2.818000E-01  1.92827396E-034
  2.851000E-01  2.58937905E-034
  2.884000E-01  3.45850093E-034
  2.917000E-01  4.59481084E-034
  2.951000E-01  6.12332217E-034
  2.985000E-01  8.11532089E-034
  3.020000E-01  1.07832243E-033
  3.055000E-01  1.37466105E-033
  3.090000E-01  1.78401197E-033
  3.126000E-01  2.31658994E-033
  3.162000E-01  2.98790815E-033
  3.199000E-01  3.85477322E-033
  3.236000E-01  4.93997231E-033
  3.273000E-01  6.28975706E-033
  3.311000E-01  8.00811951E-033
  3.350000E-01  1.01922166E-032
  3.388000E-01  1.28100745E-032
  3.428000E-01  1.61873479E-032
  3.467000E-01  2.02053349E-032
  3.507000E-01  2.52001496E-032
  3.548000E-01  3.13904154E-032
  3.589000E-01  3.88340349E-032
  3.631000E-01  4.79462577E-032
  3.673000E-01  5.87539295E-032
  3.715000E-01  7.14315032E-032
  3.758000E-01  8.64827550E-032
  3.802000E-01  1.04099920E-031
  3.846000E-01  1.23841564E-031
  3.891000E-01  1.45883241E-031
  3.936000E-01  1.69282382E-031
  3.981000E-01  1.93700881E-031
  4.027000E-01  2.20120657E-031
  4.074000E-01  2.50058806E-031
  4.121000E-01  2.84885790E-031
  4.169000E-01  3.27315513E-031
  4.217000E-01  3.78355129E-031
  4.266000E-01  4.41008839E-031
  4.315000E-01  5.15809847E-031
  4.365000E-01  6.05568050E-031
  4.416000E-01  7.11094893E-031
  4.467000E-01  8.29420634E-031
  4.519000E-01  9.60148841E-031
  4.571000E-01  1.09575020E-030
  4.624000E-01  1.23134014E-030
  4.677000E-01  1.35542756E-030
  4.732000E-01  1.46528264E-030
  4.786000E-01  1.55426404E-030
  4.842000E-01  1.63438870E-030
  4.898000E-01  1.71184040E-030
  4.954000E-01  1.79399507E-030
  5.012000E-01  1.88987221E-030
  5.070000E-01  2.00223593E-030
  5.129000E-01  2.13849017E-030
  5.188000E-01  2.29930975E-030
  5.248000E-01  2.48736793E-030
  5.309000E-01  2.70024989E-030
  5.370000E-01  2.92858779E-030
  5.433000E-01  3.17133418E-030
  5.495000E-01  3.40663448E-030
  5.559000E-01  3.63770268E-030
  5.623000E-01  3.85762620E-030
  5.688000E-01  4.08146252E-030
  5.754000E-01  4.32648290E-030
  5.821000E-01  4.60901357E-030
  5.888000E-01  4.93834183E-030
  5.957000E-01  5.33725025E-030
  6.026000E-01  5.80316072E-030
  6.095000E-01  6.33586896E-030
  6.166000E-01  6.94680246E-030
  6.237000E-01  7.61043891E-030
  6.310000E-01  8.32982368E-030
  6.383000E-01  9.06876361E-030
  6.457000E-01  9.81714187E-030
  6.531000E-01  1.05488696E-029
  6.607000E-01  1.12740055E-029
  6.683000E-01  1.19809576E-029
  6.761000E-01  1.27173140E-029
  6.839000E-01  1.35045510E-029
  6.918000E-01  1.43889808E-029
  6.998000E-01  1.54053260E-029
  7.079000E-01  1.65840027E-029
  7.161000E-01  1.79466607E-029
  7.244000E-01  1.95063057E-029
  7.328000E-01  2.12605957E-029
  7.413000E-01  2.32082781E-029
  7.499000E-01  2.53461551E-029
  7.586000E-01  2.76806903E-029
  7.674000E-01  3.02245519E-029
  7.763000E-01  3.30100251E-029
  7.852000E-01  3.60348131E-029
  7.943000E-01  3.93916781E-029
  8.035000E-01  4.30910284E-029
  8.128000E-01  4.71592829E-029
  8.222000E-01  5.16298008E-029
  8.318000E-01  5.65922892E-029
  8.414000E-01  6.19879199E-029
  8.511000E-01  6.79098052E-029
  8.610000E-01  7.44820239E-029
  8.710000E-01  8.17164260E-029
  8.810000E-01  8.96239791E-029
  8.913000E-01  9.85618920E-029
  9.016000E-01  1.08426873E-028
  9.120000E-01  1.19514007E-028
  9.226000E-01  1.32253035E-028
  9.333000E-01  1.46974093E-028
  9.441000E-01  1.64343901E-028
  9.550000E-01  1.85404757E-028
  9.661000E-01  2.12139960E-028
  9.772000E-01  2.47011533E-028
  9.886000E-01  2.96489158E-028
  1.000000E+00  3.69471140E-028
  1.012000E+00  4.91377609E-028
  1.023000E+00  6.72090081E-028
  1.035000E+00  9.66099642E-028
  1.047000E+00  1.25371848E-027
  1.059000E+00  1.27971346E-027
  1.071000E+00  1.09139409E-027
  1.084000E+00  8.93380965E-028
  1.097000E+00  7.71837640E-028
  1.109000E+00  7.12654012E-028
  1.122000E+00  6.86033007E-028
  1.135000E+00  6.86015068E-028
  1.148000E+00  7.06141377E-028
  1.161000E+00  7.43995917E-028
  1.175000E+00  8.04883938E-028
  1.189000E+00  8.88970915E-028
  1.202000E+00  9.90729755E-028
  1.216000E+00  1.12656775E-027
  1.230000E+00  1.28311438E-027
  1.245000E+00  1.45023044E-027
  1.259000E+00  1.57070056E-027
  1.273000E+00  1.63086761E-027
  1.288000E+00  1.62965704E-027
  1.303000E+00  1.58789528E-027
  1.318000E+00  1.53446041E-027
  1.334000E+00  1.48412188E-027
  1.349000E+00  1.45003611E-027
  1.365000E+00  1.42791588E-027
  1.380000E+00  1.41947868E-027
  1.396000E+00  1.42093761E-027
  1.413000E+00  1.43217637E-027
  1.429000E+00  1.44999606E-027
  1.445000E+00  1.47343269E-027
  1.462000E+00  1.50305155E-027
  1.479000E+00  1.53688718E-027
  1.496000E+00  1.57378382E-027
  1.514000E+00  1.61593505E-027
  1.531000E+00  1.65791701E-027
  1.549000E+00  1.70404928E-027
  1.567000E+00  1.75234974E-027
  1.585000E+00  1.80167759E-027
  1.603000E+00  1.85230918E-027
  1.622000E+00  1.90690435E-027
  1.641000E+00  1.96183503E-027
  1.660000E+00  2.01745074E-027
  1.679000E+00  2.07303351E-027
  1.698000E+00  2.12787256E-027
  1.718000E+00  2.18581759E-027
  1.738000E+00  2.24168608E-027
  1.758000E+00  2.29582179E-027
  1.778000E+00  2.34695884E-027
  1.799000E+00  2.39424284E-027
  1.820000E+00  2.43560841E-027
  1.841000E+00  2.46666236E-027
  1.862000E+00  2.49035354E-027
  1.884000E+00  2.51648716E-027
  1.906000E+00  2.56091843E-027
  1.928000E+00  2.63670773E-027
  1.950000E+00  2.73640021E-027
  1.972000E+00  2.84196291E-027
  1.995000E+00  2.94935528E-027
  2.018000E+00  3.04988937E-027
  2.042000E+00  3.14829349E-027
  2.065000E+00  3.23503425E-027
  2.089000E+00  3.32191868E-027
  2.114000E+00  3.40922170E-027
  2.138000E+00  3.48913187E-027
  2.163000E+00  3.57060149E-027
  2.188000E+00  3.65142104E-027
  2.213000E+00  3.72778378E-027
  2.239000E+00  3.80663003E-027
  2.265000E+00  3.88399439E-027
  2.291000E+00  3.96105074E-027
  2.317000E+00  4.03522203E-027
  2.344000E+00  4.10941257E-027
  2.371000E+00  4.18662622E-027
  2.399000E+00  4.26069095E-027
  2.427000E+00  4.33661404E-027
  2.455000E+00  4.40954940E-027
  2.483000E+00  4.48308345E-027
  2.512000E+00  4.55624219E-027
  2.541000E+00  4.63004918E-027
  2.570000E+00  4.70118930E-027
  2.600000E+00  4.77397127E-027
  2.630000E+00  4.84384525E-027
  2.661000E+00  4.91968825E-027
  2.691000E+00  4.99061099E-027
  2.723000E+00  5.06561033E-027
  2.754000E+00  5.13863937E-027
  2.786000E+00  5.21517947E-027
  2.818000E+00  5.29274230E-027
  2.851000E+00  5.37595777E-027
  2.884000E+00  5.46263586E-027
  2.917000E+00  5.55614012E-027
  2.951000E+00  5.66277092E-027
  2.985000E+00  5.78600636E-027
  3.020000E+00  5.94041912E-027
  3.055000E+00  6.14060751E-027
  3.090000E+00  6.42236433E-027
  3.126000E+00  6.87470888E-027
  3.162000E+00  7.68578426E-027
  3.199000E+00  9.50635794E-027
  3.236000E+00  1.49671416E-026
