# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  3.04285185E-062
  9.226000E-02  8.09637911E-062
  9.332000E-02  3.51243701E-061
  9.441000E-02  9.24548952E-061
  9.550000E-02  2.37851482E-060
  9.661000E-02  6.46046400E-060
  9.772000E-02  1.61990105E-059
  9.886000E-02  4.10526727E-059
  1.000000E-01  1.01018013E-058
  1.012000E-01  2.54700499E-058
  1.023000E-01  5.83287311E-058
  1.035000E-01  1.40876365E-057
  1.047000E-01  3.32961488E-057
  1.059000E-01  7.70848966E-057
  1.072000E-01  1.87032537E-056
  1.084000E-01  4.15372588E-056
  1.097000E-01  9.64932236E-056
  1.109000E-01  2.06142149E-055
  1.122000E-01  4.60025016E-055
  1.135000E-01  1.00722854E-054
  1.148000E-01  2.16543869E-054
  1.161000E-01  4.56450638E-054
  1.175000E-01  9.97022974E-054
  1.189000E-01  2.13347526E-053
  1.202000E-01  4.24896989E-053
  1.216000E-01  8.75907862E-053
  1.230000E-01  1.77325531E-052
  1.244000E-01  3.52999021E-052
  1.259000E-01  7.25080329E-052
  1.274000E-01  1.46131108E-051
  1.288000E-01  2.76445369E-051
  1.303000E-01  5.38091578E-051
  1.318000E-01  1.03097707E-050
  1.333000E-01  1.94213909E-050
  1.349000E-01  3.74455389E-050
  1.365000E-01  7.08703602E-050
  1.380000E-01  1.26609603E-049
  1.396000E-01  2.29637710E-049
  1.412000E-01  4.09389755E-049
  1.429000E-01  7.42697722E-049
  1.445000E-01  1.27801602E-048
  1.462000E-01  2.23226247E-048
  1.479000E-01  3.82873666E-048
  1.496000E-01  6.46576396E-048
  1.514000E-01  1.10670160E-047
  1.531000E-01  1.80765773E-047
  1.549000E-01  2.98410600E-047
  1.567000E-01  4.87078367E-047
  1.585000E-01  7.84471986E-047
  1.603000E-01  1.24635852E-046
  1.622000E-01  2.00390381E-046
  1.641000E-01  3.17526906E-046
  1.660000E-01  5.00145713E-046
  1.679000E-01  7.88497636E-046
  1.698000E-01  1.23186058E-045
  1.718000E-01  1.95269249E-045
  1.738000E-01  3.07144997E-045
  1.758000E-01  4.80181714E-045
  1.778000E-01  7.40443711E-045
  1.799000E-01  1.13875221E-044
  1.820000E-01  1.73377273E-044
  1.841000E-01  2.61634833E-044
  1.862000E-01  3.91678161E-044
  1.884000E-01  5.93645103E-044
  1.905000E-01  8.78067408E-044
  1.928000E-01  1.37714385E-043
  1.950000E-01  2.11378159E-043
  1.972000E-01  3.23037139E-043
  1.995000E-01  5.01194742E-043
  2.018000E-01  7.74481284E-043
  2.042000E-01  1.21437223E-042
  2.065000E-01  1.86122138E-042
  2.089000E-01  2.83153907E-042
  2.113000E-01  4.26269260E-042
  2.138000E-01  6.46488820E-042
  2.163000E-01  9.71138335E-042
  2.188000E-01  1.44544549E-041
  2.213000E-01  2.13233329E-041
  2.239000E-01  3.16631439E-041
  2.265000E-01  4.65960616E-041
  2.291000E-01  6.79953312E-041
  2.317000E-01  9.84101824E-041
  2.344000E-01  1.43204359E-040
  2.371000E-01  2.06605396E-040
  2.399000E-01  2.99323535E-040
  2.427000E-01  4.29817577E-040
  2.455000E-01  6.12155418E-040
  2.483000E-01  8.64745762E-040
  2.512000E-01  1.22714466E-039
  2.541000E-01  1.72702889E-039
  2.570000E-01  2.41097209E-039
  2.600000E-01  3.37708334E-039
  2.630000E-01  4.69197029E-039
  2.661000E-01  6.53744723E-039
  2.691000E-01  8.94178712E-039
  2.723000E-01  1.23909916E-038
  2.754000E-01  1.68663112E-038
  2.786000E-01  2.30107342E-038
  2.818000E-01  3.11655741E-038
  2.851000E-01  4.22835798E-038
  2.884000E-01  5.69507618E-038
  2.917000E-01  7.61681296E-038
  2.951000E-01  1.02018631E-037
  2.985000E-01  1.35718989E-037
  3.020000E-01  1.80755732E-037
  3.055000E-01  2.39089508E-037
  3.090000E-01  3.14136111E-037
  3.126000E-01  4.13132698E-037
  3.162000E-01  5.39750208E-037
  3.199000E-01  7.05895681E-037
  3.236000E-01  9.17112752E-037
  3.273000E-01  1.18387568E-036
  3.311000E-01  1.52951616E-036
  3.350000E-01  1.97670688E-036
  3.388000E-01  2.52258194E-036
  3.428000E-01  3.24091376E-036
  3.467000E-01  4.11326556E-036
  3.507000E-01  5.22214398E-036
  3.548000E-01  6.63007027E-036
  3.589000E-01  8.36880904E-036
  3.631000E-01  1.05636466E-035
  3.673000E-01  1.32563989E-035
  3.715000E-01  1.65485114E-035
  3.758000E-01  2.06519185E-035
  3.802000E-01  2.57690016E-035
  3.846000E-01  3.19749442E-035
  3.891000E-01  3.96618465E-035
  3.936000E-01  4.89454322E-035
  3.981000E-01  6.00858275E-035
  4.027000E-01  7.37337339E-035
  4.074000E-01  9.04208242E-035
  4.121000E-01  1.10329012E-034
  4.169000E-01  1.34544085E-034
  4.217000E-01  1.63289361E-034
  4.266000E-01  1.98032945E-034
  4.315000E-01  2.39057075E-034
  4.365000E-01  2.88283256E-034
  4.416000E-01  3.47421309E-034
  4.467000E-01  4.16773289E-034
  4.519000E-01  4.99454339E-034
  4.571000E-01  5.95985340E-034
  4.624000E-01  7.10373199E-034
  4.677000E-01  8.43280827E-034
  4.732000E-01  1.00303350E-033
  4.786000E-01  1.18438575E-033
  4.842000E-01  1.40144069E-033
  4.898000E-01  1.65131208E-033
  4.954000E-01  1.93804887E-033
  5.012000E-01  2.27825838E-033
  5.070000E-01  2.66807213E-033
  5.129000E-01  3.12053840E-033
  5.188000E-01  3.63558227E-033
  5.248000E-01  4.23030988E-033
  5.309000E-01  4.91659758E-033
  5.370000E-01  5.69291149E-033
  5.433000E-01  6.59952419E-033
  5.495000E-01  7.60552499E-033
  5.559000E-01  8.77307522E-033
