# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  9.06527942E-060
  9.226000E-02  2.64102766E-059
  9.332000E-02  7.21719283E-059
  9.441000E-02  1.96669356E-058
  9.550000E-02  5.20748801E-058
  9.661000E-02  1.36582213E-057
  9.772000E-02  3.51122019E-057
  9.886000E-02  8.97385806E-057
  1.000000E-01  2.24267489E-056
  1.012000E-01  5.67331158E-056
  1.023000E-01  1.30719176E-055
  1.035000E-01  3.18024206E-055
  1.047000E-01  7.56467769E-055
  1.059000E-01  1.76192696E-054
  1.072000E-01  4.30354064E-054
  1.084000E-01  9.61541630E-054
  1.097000E-01  2.24813693E-053
  1.109000E-01  4.83010314E-053
  1.122000E-01  1.08411917E-052
  1.135000E-01  2.38527900E-052
  1.148000E-01  5.14897044E-052
  1.161000E-01  1.09131418E-051
  1.175000E-01  2.40287102E-051
  1.189000E-01  5.18793719E-051
  1.202000E-01  1.04242083E-050
  1.216000E-01  2.17168136E-050
  1.230000E-01  4.44585344E-050
  1.244000E-01  8.94987768E-050
  1.259000E-01  1.86040327E-049
  1.274000E-01  3.79914613E-049
  1.288000E-01  7.28483732E-049
  1.303000E-01  1.42172258E-048
  1.318000E-01  2.78211973E-048
  1.333000E-01  5.36751595E-048
  1.349000E-01  1.06580210E-047
  1.365000E-01  2.08509964E-047
  1.380000E-01  3.86130958E-047
  1.396000E-01  7.35225440E-047
  1.412000E-01  1.38163445E-046
  1.429000E-01  2.66367956E-046
  1.445000E-01  4.87946580E-046
  1.462000E-01  9.16545981E-046
  1.479000E-01  1.70002117E-045
  1.496000E-01  3.11523817E-045
  1.514000E-01  5.84100768E-045
  1.531000E-01  1.04548268E-044
  1.549000E-01  1.91393684E-044
  1.567000E-01  3.46343547E-044
  1.585000E-01  6.19798982E-044
  1.603000E-01  1.09734894E-043
  1.622000E-01  1.98323251E-043
  1.641000E-01  3.54504472E-043
  1.660000E-01  6.27016370E-043
  1.679000E-01  1.09781845E-042
  1.698000E-01  1.90350298E-042
  1.718000E-01  3.36152692E-042
  1.738000E-01  5.87346776E-042
  1.758000E-01  1.01598531E-041
  1.778000E-01  1.74084067E-041
  1.799000E-01  3.03497354E-041
  1.820000E-01  5.24233566E-041
  1.841000E-01  8.97655241E-041
  1.862000E-01  1.52444396E-040
  1.884000E-01  2.63278271E-040
  1.905000E-01  4.40119196E-040
  1.928000E-01  7.66122357E-040
  1.950000E-01  1.29104628E-039
  1.972000E-01  2.15737789E-039
  1.995000E-01  3.65481659E-039
  2.018000E-01  6.12475338E-039
  2.042000E-01  1.03596327E-038
  2.065000E-01  1.68960883E-038
  2.089000E-01  2.76621730E-038
  2.113000E-01  4.43805603E-038
  2.138000E-01  7.09076527E-038
  2.163000E-01  1.10387418E-037
  2.188000E-01  1.67367035E-037
  2.213000E-01  2.47351142E-037
  2.239000E-01  3.62188808E-037
  2.265000E-01  5.18705010E-037
  2.291000E-01  7.29205501E-037
  2.317000E-01  1.00982948E-036
  2.344000E-01  1.39835302E-036
  2.371000E-01  1.91701339E-036
  2.399000E-01  2.63693391E-036
  2.427000E-01  3.60283647E-036
  2.455000E-01  4.89524538E-036
  2.483000E-01  6.61957141E-036
  2.512000E-01  9.00738407E-036
  2.541000E-01  1.22039889E-035
