# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.54202654E-063
  9.226000E-02  2.63956413E-062
  9.332000E-02  1.15576157E-061
  9.441000E-02  3.81938126E-061
  9.550000E-02  1.10075477E-060
  9.661000E-02  2.98967998E-060
  9.772000E-02  7.73831554E-060
  9.886000E-02  1.98241188E-059
  1.000000E-01  4.93471056E-059
  1.012000E-01  1.25462600E-058
  1.023000E-01  2.88778994E-058
  1.035000E-01  7.01340413E-058
  1.047000E-01  1.66599311E-057
  1.059000E-01  3.87468562E-057
  1.072000E-01  9.44757229E-057
  1.084000E-01  2.10748356E-056
  1.097000E-01  4.91869125E-056
  1.109000E-01  1.05528102E-055
  1.122000E-01  2.36566666E-055
  1.135000E-01  5.20282499E-055
  1.148000E-01  1.12349183E-054
  1.161000E-01  2.37850384E-054
  1.175000E-01  5.21935660E-054
  1.189000E-01  1.12194730E-053
  1.202000E-01  2.24375463E-053
  1.216000E-01  4.64589542E-053
  1.230000E-01  9.44658612E-053
  1.244000E-01  1.88861605E-052
  1.259000E-01  3.89697835E-052
  1.274000E-01  7.88910716E-052
  1.288000E-01  1.49859151E-051
  1.303000E-01  2.92968264E-051
  1.318000E-01  5.63738208E-051
  1.333000E-01  1.06646636E-050
  1.349000E-01  2.06538105E-050
  1.365000E-01  3.92617963E-050
  1.380000E-01  7.04261295E-050
  1.396000E-01  1.28281423E-049
  1.412000E-01  2.29659809E-049
  1.429000E-01  4.18479395E-049
  1.445000E-01  7.23059740E-049
  1.462000E-01  1.26836307E-048
  1.479000E-01  2.18467921E-048
  1.496000E-01  3.70475836E-048
  1.514000E-01  6.36879290E-048
  1.531000E-01  1.04447731E-047
  1.549000E-01  1.73153065E-047
  1.567000E-01  2.83805874E-047
  1.585000E-01  4.58966153E-047
  1.603000E-01  7.32152509E-047
  1.622000E-01  1.18211968E-046
  1.641000E-01  1.88089333E-046
  1.660000E-01  2.97476670E-046
  1.679000E-01  4.70872955E-046
  1.698000E-01  7.38561631E-046
  1.718000E-01  1.17556036E-045
  1.738000E-01  1.85658051E-045
  1.758000E-01  2.91413189E-045
  1.778000E-01  4.51131804E-045
  1.799000E-01  6.96637867E-045
  1.820000E-01  1.06490209E-044
  1.841000E-01  1.61334251E-044
  1.862000E-01  2.42464576E-044
  1.884000E-01  3.68966835E-044
  1.905000E-01  5.47804548E-044
  1.928000E-01  8.62666578E-044
  1.950000E-01  1.32918894E-043
  1.972000E-01  2.03899892E-043
  1.995000E-01  3.17583041E-043
  2.018000E-01  4.92631165E-043
  2.042000E-01  7.75475256E-043
  2.065000E-01  1.19295159E-042
  2.089000E-01  1.82179719E-042
  2.113000E-01  2.75288640E-042
  2.138000E-01  4.19114814E-042
  2.163000E-01  6.31966470E-042
  2.188000E-01  9.44124925E-042
  2.213000E-01  1.39788715E-041
  2.239000E-01  2.08351903E-041
  2.265000E-01  3.07746229E-041
  2.291000E-01  4.50709821E-041
  2.317000E-01  6.54647138E-041
  2.344000E-01  9.56106888E-041
  2.371000E-01  1.38436005E-040
  2.399000E-01  2.01296650E-040
  2.427000E-01  2.90095996E-040
  2.455000E-01  4.14624900E-040
  2.483000E-01  5.87750633E-040
  2.512000E-01  8.37027086E-040
  2.541000E-01  1.18210694E-039
  2.570000E-01  1.65591378E-039
  2.600000E-01  2.32756222E-039
  2.630000E-01  3.24491449E-039
  2.661000E-01  4.53699368E-039
  2.691000E-01  6.22619688E-039
  2.723000E-01  8.65790811E-039
  2.754000E-01  1.18239682E-038
  2.786000E-01  1.61856822E-038
  2.818000E-01  2.19941975E-038
  2.851000E-01  2.99403245E-038
  2.884000E-01  4.04586016E-038
  2.917000E-01  5.42858502E-038
  2.951000E-01  7.29478215E-038
  2.985000E-01  9.73572242E-038
  3.020000E-01  1.30085896E-037
  3.055000E-01  1.72617301E-037
  3.090000E-01  2.27511361E-037
  3.126000E-01  3.00158375E-037
  3.162000E-01  3.93373448E-037
  3.199000E-01  5.16079855E-037
  3.236000E-01  6.72572155E-037
  3.273000E-01  8.70839799E-037
  3.311000E-01  1.12853167E-036
  3.350000E-01  1.46298445E-036
  3.388000E-01  1.87250394E-036
  3.428000E-01  2.41305940E-036
  3.467000E-01  3.07152402E-036
  3.507000E-01  3.91103570E-036
  3.548000E-01  4.98017802E-036
  3.589000E-01  6.30450040E-036
  3.631000E-01  7.98119973E-036
  3.673000E-01  1.00443959E-035
  3.715000E-01  1.25741432E-035
  3.758000E-01  1.57364676E-035
  3.802000E-01  1.96914196E-035
  3.846000E-01  2.45018484E-035
  3.891000E-01  3.04772653E-035
  3.936000E-01  3.77143417E-035
  3.981000E-01  4.64232580E-035
  4.027000E-01  5.71219176E-035
  4.074000E-01  7.02394243E-035
  4.121000E-01  8.59322099E-035
  4.169000E-01  1.05071988E-034
  4.217000E-01  1.27854043E-034
  4.266000E-01  1.55464054E-034
  4.315000E-01  1.88151896E-034
  4.365000E-01  2.27479394E-034
  4.416000E-01  2.74849693E-034
  4.467000E-01  3.30547176E-034
  4.519000E-01  3.97122228E-034
  4.571000E-01  4.75048353E-034
  4.624000E-01  5.67626021E-034
  4.677000E-01  6.75461885E-034
  4.732000E-01  8.05407242E-034
  4.786000E-01  9.53289675E-034
  4.842000E-01  1.13072128E-033
  4.898000E-01  1.33548389E-033
  4.954000E-01  1.57102460E-033
  5.012000E-01  1.85116730E-033
  5.070000E-01  2.17292415E-033
  5.129000E-01  2.54728835E-033
  5.188000E-01  2.97443511E-033
  5.248000E-01  3.46881979E-033
  5.309000E-01  4.04063804E-033
  5.370000E-01  4.68895682E-033
  5.433000E-01  5.44781974E-033
  5.495000E-01  6.29177784E-033
  5.559000E-01  7.27346244E-033
  5.623000E-01  8.37920631E-033
  5.688000E-01  9.64062747E-033
  5.754000E-01  1.10772608E-032
  5.821000E-01  1.27106918E-032
  5.888000E-01  1.45359472E-032
  5.957000E-01  1.66334228E-032
  6.026000E-01  1.89689466E-032
  6.095000E-01  2.15646573E-032
  6.166000E-01  2.45255927E-032
  6.237000E-01  2.78001247E-032
  6.310000E-01  3.15302349E-032
  6.383000E-01  3.56414673E-032
  6.457000E-01  4.02326691E-032
  6.531000E-01  4.52798466E-032
  6.607000E-01  5.09793702E-032
  6.683000E-01  5.72325163E-032
  6.761000E-01  6.42545299E-032
  6.839000E-01  7.19362278E-032
  6.918000E-01  8.04191834E-032
  6.998000E-01  8.97843597E-032
  7.079000E-01  1.00093157E-031
  7.161000E-01  1.11429708E-031
  7.244000E-01  1.23907227E-031
  7.328000E-01  1.37554949E-031
  7.413000E-01  1.52491950E-031
  7.499000E-01  1.68814244E-031
  7.586000E-01  1.86636172E-031
  7.674000E-01  2.06036536E-031
  7.763000E-01  2.27154990E-031
  7.852000E-01  2.49849726E-031
  7.943000E-01  2.74703657E-031
  8.035000E-01  3.01644837E-031
  8.128000E-01  3.30742706E-031
  8.222000E-01  3.62127955E-031
  8.318000E-01  3.96324043E-031
  8.414000E-01  4.32787447E-031
  8.511000E-01  4.71941994E-031
  8.610000E-01  5.14438805E-031
  8.710000E-01  5.59967233E-031
  8.810000E-01  6.08353581E-031
  8.913000E-01  6.61016697E-031
  9.016000E-01  7.16827547E-031
  9.120000E-01  7.76472478E-031
  9.226000E-01  8.40476332E-031
  9.333000E-01  9.08789259E-031
  9.441000E-01  9.81147652E-031
  9.550000E-01  1.05816314E-030
  9.661000E-01  1.14035068E-030
  9.772000E-01  1.22613402E-030
  9.886000E-01  1.31642336E-030
  1.000000E+00  1.41256211E-030
  1.012000E+00  1.52665221E-030
  1.023000E+00  1.63678374E-030
  1.035000E+00  1.76287286E-030
  1.047000E+00  1.89582706E-030
  1.059000E+00  2.03539448E-030
  1.071000E+00  2.18156882E-030
  1.084000E+00  2.34839281E-030
  1.097000E+00  2.52325367E-030
  1.109000E+00  2.69223060E-030
  1.122000E+00  2.88383289E-030
  1.135000E+00  3.08459824E-030
  1.148000E+00  3.29394859E-030
  1.161000E+00  3.51276374E-030
  1.175000E+00  3.75845589E-030
  1.189000E+00  4.01513158E-030
  1.202000E+00  4.26208105E-030
  1.216000E+00  4.53864129E-030
  1.230000E+00  4.82496991E-030
  1.245000E+00  5.14288772E-030
  1.259000E+00  5.44900938E-030
  1.273000E+00  5.76377936E-030
  1.288000E+00  6.11197787E-030
  1.303000E+00  6.46937570E-030
  1.318000E+00  6.83741322E-030
  1.334000E+00  7.24187173E-030
  1.349000E+00  7.62928640E-030
  1.365000E+00  8.05427781E-030
  1.380000E+00  8.46154937E-030
  1.396000E+00  8.90679130E-030
  1.413000E+00  9.39156557E-030
  1.429000E+00  9.85785370E-030
  1.445000E+00  1.03328990E-029
  1.462000E+00  1.08482413E-029
  1.479000E+00  1.13742787E-029
  1.496000E+00  1.19114463E-029
  1.514000E+00  1.24911436E-029
  1.531000E+00  1.30512437E-029
  1.549000E+00  1.36535424E-029
  1.567000E+00  1.42652082E-029
  1.585000E+00  1.48892692E-029
  1.603000E+00  1.55268413E-029
  1.622000E+00  1.62097941E-029
  1.641000E+00  1.69050238E-029
  1.660000E+00  1.76141796E-029
  1.679000E+00  1.83358252E-029
  1.698000E+00  1.90700073E-029
  1.718000E+00  1.98571077E-029
  1.738000E+00  2.06600605E-029
  1.758000E+00  2.14760261E-029
  1.778000E+00  2.23101954E-029
  1.799000E+00  2.32010540E-029
