# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.05520880E-059
  9.226000E-02  3.19899927E-059
  9.332000E-02  9.04514442E-059
  9.441000E-02  2.50043733E-058
  9.550000E-02  6.75870997E-058
  9.661000E-02  1.76217127E-057
  9.772000E-02  4.48115870E-057
  9.886000E-02  1.14088294E-056
  1.000000E-01  2.84014934E-056
  1.012000E-01  7.16486418E-056
  1.023000E-01  1.64405126E-055
  1.035000E-01  3.98089544E-055
  1.047000E-01  9.43211599E-055
  1.059000E-01  2.18855884E-054
  1.072000E-01  5.32499035E-054
  1.084000E-01  1.18543967E-053
  1.097000E-01  2.76137187E-053
  1.109000E-01  5.91323327E-053
  1.122000E-01  1.32267541E-052
  1.135000E-01  2.90046080E-052
  1.148000E-01  6.24090789E-052
  1.161000E-01  1.31864960E-051
  1.175000E-01  2.89407553E-051
  1.189000E-01  6.22909874E-051
  1.202000E-01  1.24813938E-050
  1.216000E-01  2.59272377E-050
  1.230000E-01  5.29297048E-050
  1.244000E-01  1.06264195E-049
  1.259000E-01  2.20273502E-049
  1.274000E-01  4.48610027E-049
  1.288000E-01  8.58114900E-049
  1.303000E-01  1.67055944E-048
  1.318000E-01  3.26104526E-048
  1.333000E-01  6.27655338E-048
  1.349000E-01  1.24324480E-047
  1.365000E-01  2.42645594E-047
  1.380000E-01  4.48372452E-047
  1.396000E-01  8.51823252E-047
  1.412000E-01  1.59725693E-046
  1.429000E-01  3.07245816E-046
  1.445000E-01  5.61670827E-046
  1.462000E-01  1.05278415E-045
  1.479000E-01  1.94867785E-045
  1.496000E-01  3.56370231E-045
  1.514000E-01  6.66799831E-045
  1.531000E-01  1.19122634E-044
  1.549000E-01  2.17644745E-044
  1.567000E-01  3.93090569E-044
  1.585000E-01  7.02137474E-044
  1.603000E-01  1.24085708E-043
  1.622000E-01  2.23837586E-043
  1.641000E-01  3.99377839E-043
  1.660000E-01  7.05121128E-043
  1.679000E-01  1.23241514E-042
  1.698000E-01  2.13324206E-042
  1.718000E-01  3.76066183E-042
  1.738000E-01  6.55969157E-042
  1.758000E-01  1.13280867E-041
  1.778000E-01  1.93787990E-041
  1.799000E-01  3.37291499E-041
  1.820000E-01  5.81670133E-041
  1.841000E-01  9.94445857E-041
  1.862000E-01  1.68624373E-040
  1.884000E-01  2.90769041E-040
  1.905000E-01  4.85373187E-040
  1.928000E-01  8.43597536E-040
  1.950000E-01  1.41957485E-039
  1.972000E-01  2.36886381E-039
  1.995000E-01  4.00745549E-039
  2.018000E-01  6.70657278E-039
  2.042000E-01  1.13281910E-038
  2.065000E-01  1.84523376E-038
  2.089000E-01  3.01715278E-038
  2.113000E-01  4.83471039E-038
  2.138000E-01  7.71501850E-038
  2.163000E-01  1.19964043E-037
  2.188000E-01  1.81681063E-037
  2.213000E-01  2.68213968E-037
  2.239000E-01  3.92311217E-037
  2.265000E-01  5.61258207E-037
  2.291000E-01  7.88234798E-037
  2.317000E-01  1.09051715E-036
  2.344000E-01  1.50861579E-036
  2.371000E-01  2.06622671E-036
  2.399000E-01  2.83949392E-036
  2.427000E-01  3.87602993E-036
  2.455000E-01  5.26173327E-036
  2.483000E-01  7.10895908E-036
  2.512000E-01  9.66479863E-036
  2.541000E-01  1.30834746E-035
  2.570000E-01  1.76385365E-035
  2.600000E-01  2.39235867E-035
  2.630000E-01  3.23077287E-035
  2.661000E-01  4.38685870E-035
  2.691000E-01  5.87188028E-035
  2.723000E-01  7.97501210E-035
  2.754000E-01  1.06765527E-034
  2.786000E-01  1.43565426E-034
  2.818000E-01  1.92069248E-034
  2.851000E-01  2.57934967E-034
  2.884000E-01  3.44529856E-034
  2.917000E-01  4.57751650E-034
  2.951000E-01  6.10059737E-034
  2.985000E-01  8.08561232E-034
  3.020000E-01  1.07442837E-033
  3.055000E-01  1.36973520E-033
  3.090000E-01  1.77769494E-033
  3.126000E-01  2.30848262E-033
  3.162000E-01  2.97756765E-033
  3.199000E-01  3.84157773E-033
  3.236000E-01  4.92323638E-033
  3.273000E-01  6.26865589E-033
  3.311000E-01  7.98150613E-033
  3.350000E-01  1.01586493E-032
  3.388000E-01  1.27682267E-032
  3.428000E-01  1.61348763E-032
  3.467000E-01  2.01402784E-032
  3.507000E-01  2.51194916E-032
  3.548000E-01  3.12904382E-032
  3.589000E-01  3.87107874E-032
  3.631000E-01  4.77943771E-032
  3.673000E-01  5.85677545E-032
  3.715000E-01  7.12044480E-032
  3.758000E-01  8.62059302E-032
  3.802000E-01  1.03762558E-031
  3.846000E-01  1.23432423E-031
  3.891000E-01  1.45387315E-031
  3.936000E-01  1.68684346E-031
  3.981000E-01  1.92983744E-031
  4.027000E-01  2.19262622E-031
  4.074000E-01  2.49034835E-031
  4.121000E-01  2.83670876E-031
  4.169000E-01  3.25876234E-031
  4.217000E-01  3.76657666E-031
  4.266000E-01  4.39008356E-031
  4.315000E-01  5.13461597E-031
  4.365000E-01  6.02813557E-031
  4.416000E-01  7.07866648E-031
  4.467000E-01  8.25652300E-031
  4.519000E-01  9.55754601E-031
  4.571000E-01  1.09064704E-030
  4.624000E-01  1.22542177E-030
  4.677000E-01  1.34859493E-030
  4.732000E-01  1.45739291E-030
  4.786000E-01  1.54522817E-030
  4.842000E-01  1.62404775E-030
  4.898000E-01  1.70006887E-030
  4.954000E-01  1.78065773E-030
  5.012000E-01  1.87476024E-030
  5.070000E-01  1.98518700E-030
  5.129000E-01  2.11930293E-030
  5.188000E-01  2.27782086E-030
  5.248000E-01  2.46338615E-030
  5.309000E-01  2.67360450E-030
  5.370000E-01  2.89919390E-030
  5.433000E-01  3.13908112E-030
  5.495000E-01  3.37163034E-030
  5.559000E-01  3.60000077E-030
  5.623000E-01  3.81739179E-030
  5.688000E-01  4.03876320E-030
  5.754000E-01  4.28127537E-030
  5.821000E-01  4.56111871E-030
  5.888000E-01  4.88745355E-030
  5.957000E-01  5.28277819E-030
  6.026000E-01  5.74448227E-030
  6.095000E-01  6.27236307E-030
  6.166000E-01  6.87779132E-030
  6.237000E-01  7.53556529E-030
  6.310000E-01  8.24880803E-030
  6.383000E-01  8.98176793E-030
  6.457000E-01  9.72452297E-030
  6.531000E-01  1.04512980E-029
  6.607000E-01  1.11722061E-029
  6.683000E-01  1.18757973E-029
  6.761000E-01  1.26093894E-029
  6.839000E-01  1.33942123E-029
  6.918000E-01  1.42761703E-029
  6.998000E-01  1.52895555E-029
  7.079000E-01  1.64643557E-029
  7.161000E-01  1.78219470E-029
  7.244000E-01  1.93752889E-029
  7.328000E-01  2.11221874E-029
  7.413000E-01  2.30616163E-029
  7.499000E-01  2.51906109E-029
  7.586000E-01  2.75157749E-029
  7.674000E-01  3.00497746E-029
  7.763000E-01  3.28247392E-029
  7.852000E-01  3.58382959E-029
  7.943000E-01  3.91827482E-029
  8.035000E-01  4.28683744E-029
  8.128000E-01  4.69213730E-029
  8.222000E-01  5.13748651E-029
  8.318000E-01  5.63180935E-029
  8.414000E-01  6.16923413E-029
  8.511000E-01  6.75902074E-029
  8.610000E-01  7.41350747E-029
  8.710000E-01  8.13384909E-029
  8.810000E-01  8.92110736E-029
  8.913000E-01  9.81079513E-029
  9.016000E-01  1.07925606E-028
  9.120000E-01  1.18956814E-028
