# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  9.04128546E-060
  9.226000E-02  2.45626521E-059
  9.332000E-02  6.52713597E-059
  9.441000E-02  1.74351970E-058
  9.550000E-02  4.55476699E-058
  9.661000E-02  1.18431217E-057
  9.772000E-02  3.01284234E-057
  9.886000E-02  7.68949238E-057
  1.000000E-01  1.92090742E-056
  1.012000E-01  4.86072084E-056
  1.023000E-01  1.12055655E-055
  1.035000E-01  2.72737228E-055
  1.047000E-01  6.49518665E-055
  1.059000E-01  1.51465745E-054
  1.072000E-01  3.70444477E-054
  1.084000E-01  8.28605311E-054
  1.097000E-01  1.93978018E-053
  1.109000E-01  4.17227636E-053
  1.122000E-01  9.37563447E-053
  1.135000E-01  2.06513065E-052
  1.148000E-01  4.46260710E-052
  1.161000E-01  9.46806554E-052
  1.175000E-01  2.08687603E-051
  1.189000E-01  4.51017284E-051
  1.202000E-01  9.07034478E-051
  1.216000E-01  1.89133540E-050
  1.230000E-01  3.87525727E-050
  1.244000E-01  7.80759243E-050
  1.259000E-01  1.62430614E-049
  1.274000E-01  3.31962265E-049
  1.288000E-01  6.36980089E-049
  1.303000E-01  1.24397931E-048
  1.318000E-01  2.43597977E-048
  1.333000E-01  4.70281353E-048
  1.349000E-01  9.34444221E-048
  1.365000E-01  1.82929379E-047
  1.380000E-01  3.38955838E-047
  1.396000E-01  6.45784169E-047
  1.412000E-01  1.21425165E-046
  1.429000E-01  2.34235150E-046
  1.445000E-01  4.29312622E-046
  1.462000E-01  8.06851090E-046
  1.479000E-01  1.49735144E-045
  1.496000E-01  2.74526447E-045
  1.514000E-01  5.15004090E-045
  1.531000E-01  9.22255376E-045
  1.549000E-01  1.68919699E-044
  1.567000E-01  3.05824955E-044
  1.585000E-01  5.47551530E-044
  1.603000E-01  9.69890580E-044
  1.622000E-01  1.75372822E-043
  1.641000E-01  3.13629325E-043
  1.660000E-01  5.54978238E-043
  1.679000E-01  9.72133081E-043
  1.698000E-01  1.68633177E-042
  1.718000E-01  2.97937782E-042
  1.738000E-01  5.20808292E-042
  1.758000E-01  9.01281062E-042
  1.778000E-01  1.54495837E-041
  1.799000E-01  2.69464890E-041
  1.820000E-01  4.65647506E-041
  1.841000E-01  7.97669159E-041
  1.862000E-01  1.35519255E-040
  1.884000E-01  2.34144706E-040
  1.905000E-01  3.91567366E-040
  1.928000E-01  6.81885962E-040
  1.950000E-01  1.14952719E-039
  1.972000E-01  1.92159153E-039
  1.995000E-01  3.25654867E-039
  2.018000E-01  5.45920502E-039
  2.042000E-01  9.23700262E-039
  2.065000E-01  1.50696333E-038
  2.089000E-01  2.46790007E-038
  2.113000E-01  3.96047846E-038
  2.138000E-01  6.32927591E-038
  2.163000E-01  9.85540191E-038
  2.188000E-01  1.49453989E-037
  2.213000E-01  2.20913811E-037
  2.239000E-01  3.23525411E-037
  2.265000E-01  4.63391060E-037
  2.291000E-01  6.51515422E-037
  2.317000E-01  9.02328089E-037
  2.344000E-01  1.24961257E-036
  2.371000E-01  1.71324890E-036
  2.399000E-01  2.35684411E-036
  2.427000E-01  3.22045455E-036
  2.455000E-01  4.37613072E-036
  2.483000E-01  5.91819522E-036
  2.512000E-01  8.05397942E-036
  2.541000E-01  1.09137406E-035
  2.570000E-01  1.47278551E-035
  2.600000E-01  1.99961901E-035
  2.630000E-01  2.70317096E-035
