# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.96304779E-054
  9.226000E-02  3.58972340E-054
  9.332000E-02  6.48169083E-054
  9.441000E-02  1.17479424E-053
  9.550000E-02  2.10213409E-053
  9.661000E-02  3.75315985E-053
  9.772000E-02  6.61658533E-053
  9.886000E-02  1.16944323E-052
  1.000000E-01  2.04123890E-052
  1.012000E-01  3.57428396E-052
  1.023000E-01  5.92740061E-052
  1.035000E-01  1.01577816E-051
  1.047000E-01  1.71792577E-051
  1.059000E-01  2.86882113E-051
  1.072000E-01  4.93160180E-051
  1.084000E-01  8.03291002E-051
  1.097000E-01  1.34554315E-050
  1.109000E-01  2.14196784E-050
  1.122000E-01  3.50376238E-050
  1.135000E-01  5.66676712E-050
  1.148000E-01  9.06836240E-050
  1.161000E-01  1.43690233E-049
  1.175000E-01  2.33491673E-049
  1.189000E-01  3.75776828E-049
  1.202000E-01  5.80057963E-049
  1.216000E-01  9.19084012E-049
  1.230000E-01  1.44699153E-048
  1.244000E-01  2.26647792E-048
  1.259000E-01  3.65040040E-048
  1.274000E-01  5.86347411E-048
  1.288000E-01  9.11621572E-048
  1.303000E-01  1.44412621E-047
  1.318000E-01  2.33421928E-047
  1.333000E-01  3.78628318E-047
  1.349000E-01  6.37206838E-047
  1.365000E-01  1.07772236E-046
  1.380000E-01  1.77146978E-046
  1.396000E-01  3.02171927E-046
  1.412000E-01  5.17010145E-046
  1.429000E-01  9.16584375E-046
  1.445000E-01  1.57185964E-045
  1.462000E-01  2.78520747E-045
  1.479000E-01  4.92310599E-045
  1.496000E-01  8.66990156E-045
  1.514000E-01  1.57033603E-044
  1.531000E-01  2.73610842E-044
  1.549000E-01  4.89210633E-044
  1.567000E-01  8.68122936E-044
  1.585000E-01  1.52838236E-043
  1.603000E-01  2.66902767E-043
  1.622000E-01  4.76481861E-043
  1.641000E-01  8.42852776E-043
  1.660000E-01  1.47740965E-042
  1.679000E-01  2.56657945E-042
  1.698000E-01  4.41967554E-042
  1.718000E-01  7.75512123E-042
  1.738000E-01  1.34728762E-041
  1.758000E-01  2.31849373E-041
  1.778000E-01  3.95392632E-041
  1.799000E-01  6.86185797E-041
  1.820000E-01  1.18026247E-040
  1.841000E-01  2.01302417E-040
  1.862000E-01  3.40598104E-040
  1.884000E-01  5.86075109E-040
  1.905000E-01  9.76497037E-040
  1.928000E-01  1.69395239E-039
  1.950000E-01  2.84566493E-039
  1.972000E-01  4.74101929E-039
  1.995000E-01  8.00786361E-039
  2.018000E-01  1.33813323E-038
  2.042000E-01  2.25691896E-038
  2.065000E-01  3.67124523E-038
  2.089000E-01  5.99453251E-038
  2.113000E-01  9.59255661E-038
  2.138000E-01  1.52856513E-037
  2.163000E-01  2.37341660E-037
  2.188000E-01  3.58920118E-037
  2.213000E-01  5.29092870E-037
  2.239000E-01  7.72698852E-037
  2.265000E-01  1.10376248E-036
  2.291000E-01  1.54777515E-036
  2.317000E-01  2.13816031E-036
  2.344000E-01  2.95349541E-036
  2.371000E-01  4.03932128E-036
  2.399000E-01  5.54303730E-036
  2.427000E-01  7.55608358E-036
  2.455000E-01  1.02439808E-035
  2.483000E-01  1.38228892E-035
  2.512000E-01  1.87691578E-035
  2.541000E-01  2.53777550E-035
  2.570000E-01  3.41735303E-035
  2.600000E-01  4.62962470E-035
  2.630000E-01  6.24502126E-035
  2.661000E-01  8.46993885E-035
  2.691000E-01  1.13247755E-034
  2.723000E-01  1.53631269E-034
  2.754000E-01  2.05446412E-034
  2.786000E-01  2.75943618E-034
  2.818000E-01  3.68752862E-034
  2.851000E-01  4.94625780E-034
  2.884000E-01  6.59911093E-034
  2.917000E-01  8.75747252E-034
  2.951000E-01  1.16573123E-033
  2.985000E-01  1.54317510E-033
  3.020000E-01  2.04805425E-033
  3.055000E-01  2.60584659E-033
  3.090000E-01  3.37729190E-033
  3.126000E-01  4.37939252E-033
  3.162000E-01  5.64055436E-033
  3.199000E-01  7.26638717E-033
  3.236000E-01  9.29829384E-033
  3.273000E-01  1.18212417E-032
  3.311000E-01  1.50274175E-032
  3.350000E-01  1.90950397E-032
  3.388000E-01  2.39611689E-032
  3.428000E-01  3.02263189E-032
  3.467000E-01  3.76643374E-032
  3.507000E-01  4.68901253E-032
  3.548000E-01  5.82963196E-032
  3.589000E-01  7.19753480E-032
  3.631000E-01  8.86702720E-032
  3.673000E-01  1.08402799E-031
  3.715000E-01  1.31455051E-031
  3.758000E-01  1.58685566E-031
  3.802000E-01  1.90346434E-031
  3.846000E-01  2.25505941E-031
  3.891000E-01  2.64268478E-031
  3.936000E-01  3.04709173E-031
  3.981000E-01  3.46012247E-031
  4.027000E-01  3.89758729E-031
  4.074000E-01  4.38671454E-031
  4.121000E-01  4.95374482E-031
  4.169000E-01  5.64657977E-031
  4.217000E-01  6.48424376E-031
  4.266000E-01  7.51889901E-031
  4.315000E-01  8.76077576E-031
  4.365000E-01  1.02557805E-030
  4.416000E-01  1.20126879E-030
  4.467000E-01  1.39728374E-030
  4.519000E-01  1.61142900E-030
  4.571000E-01  1.82910210E-030
  4.624000E-01  2.03897637E-030
  4.677000E-01  2.21912995E-030
  4.732000E-01  2.36085600E-030
  4.786000E-01  2.45472800E-030
  4.842000E-01  2.51860430E-030
  4.898000E-01  2.56665318E-030
  4.954000E-01  2.61256710E-030
  5.012000E-01  2.66853146E-030
  5.070000E-01  2.74374582E-030
  5.129000E-01  2.84956231E-030
  5.188000E-01  2.98968820E-030
  5.248000E-01  3.16645619E-030
  5.309000E-01  3.37566691E-030
  5.370000E-01  3.60457394E-030
  5.433000E-01  3.84747309E-030
  5.495000E-01  4.07754766E-030
  5.559000E-01  4.29375205E-030
  5.623000E-01  4.48798778E-030
  5.688000E-01  4.67621103E-030
  5.754000E-01  4.87764306E-030
  5.821000E-01  5.11042686E-030
  5.888000E-01  5.38655394E-030
  5.957000E-01  5.72916595E-030
  6.026000E-01  6.13829187E-030
  6.095000E-01  6.61367076E-030
  6.166000E-01  7.16457443E-030
  6.237000E-01  7.76467311E-030
  6.310000E-01  8.41437655E-030
  6.383000E-01  9.07570235E-030
  6.457000E-01  9.73661410E-030
  6.531000E-01  1.03700580E-029
  6.607000E-01  1.09816010E-029
  6.683000E-01  1.15608270E-029
  6.761000E-01  1.21505294E-029
  6.839000E-01  1.27736363E-029
  6.918000E-01  1.34735408E-029
  6.998000E-01  1.42833972E-029
  7.079000E-01  1.52332015E-029
  7.161000E-01  1.63438228E-029
  7.244000E-01  1.76227146E-029
  7.328000E-01  1.90660941E-029
  7.413000E-01  2.06656419E-029
  7.499000E-01  2.24131001E-029
  7.586000E-01  2.43088108E-029
  7.674000E-01  2.63669954E-029
  7.763000E-01  2.86142163E-029
  7.852000E-01  3.10540377E-029
  7.943000E-01  3.37741603E-029
  8.035000E-01  3.67800188E-029
  8.128000E-01  4.01028883E-029
  8.222000E-01  4.37734721E-029
  8.318000E-01  4.78699686E-029
  8.414000E-01  5.23445820E-029
  8.511000E-01  5.72827067E-029
  8.610000E-01  6.27970085E-029
  8.710000E-01  6.89092990E-029
  8.810000E-01  7.56393589E-029
  8.913000E-01  8.33174151E-029
  9.016000E-01  9.18947695E-029
  9.120000E-01  1.01667056E-028
  9.226000E-01  1.13068958E-028
  9.333000E-01  1.26499353E-028
  9.441000E-01  1.42698587E-028
  9.550000E-01  1.62832820E-028
  9.661000E-01  1.89094945E-028
  9.772000E-01  2.24323880E-028
  9.886000E-01  2.75698176E-028
  1.000000E+00  3.53375024E-028
  1.012000E+00  4.85800447E-028
  1.023000E+00  6.84890853E-028
  1.035000E+00  1.01138453E-027
  1.047000E+00  1.33090493E-027
  1.059000E+00  1.35485853E-027
  1.071000E+00  1.13615882E-027
  1.084000E+00  9.05354497E-028
  1.097000E+00  7.60464234E-028
  1.109000E+00  6.86324773E-028
  1.122000E+00  6.48064919E-028
  1.135000E+00  6.39520083E-028
  1.148000E+00  6.53466062E-028
  1.161000E+00  6.87178964E-028
  1.175000E+00  7.46006710E-028
  1.189000E+00  8.30844168E-028
  1.202000E+00  9.36116926E-028
  1.216000E+00  1.07904771E-027
  1.230000E+00  1.24522573E-027
  1.245000E+00  1.42211032E-027
  1.259000E+00  1.54658769E-027
  1.273000E+00  1.60199907E-027
  1.288000E+00  1.58641693E-027
  1.303000E+00  1.52423653E-027
  1.318000E+00  1.44850497E-027
  1.334000E+00  1.37474647E-027
  1.349000E+00  1.31998605E-027
  1.365000E+00  1.27771386E-027
  1.380000E+00  1.25149533E-027
  1.396000E+00  1.23525949E-027
  1.413000E+00  1.22853534E-027
  1.429000E+00  1.23008441E-027
  1.445000E+00  1.23752929E-027
  1.462000E+00  1.25072498E-027
  1.479000E+00  1.26808958E-027
  1.496000E+00  1.28889462E-027
  1.514000E+00  1.31400457E-027
  1.531000E+00  1.33992303E-027
  1.549000E+00  1.36934508E-027
  1.567000E+00  1.40047149E-027
  1.585000E+00  1.43279606E-027
  1.603000E+00  1.46613946E-027
  1.622000E+00  1.50225804E-027
  1.641000E+00  1.53894884E-027
  1.660000E+00  1.57590076E-027
  1.679000E+00  1.61279762E-027
  1.698000E+00  1.64927857E-027
  1.718000E+00  1.68688058E-027
  1.738000E+00  1.72283657E-027
  1.758000E+00  1.75623555E-027
  1.778000E+00  1.78598434E-027
  1.799000E+00  1.81129578E-027
  1.820000E+00  1.82823821E-027
  1.841000E+00  1.83510694E-027
  1.862000E+00  1.83325133E-027
  1.884000E+00  1.83238177E-027
  1.906000E+00  1.85321779E-027
  1.928000E+00  1.90864380E-027
  1.950000E+00  1.99054742E-027
  1.972000E+00  2.08062901E-027
  1.995000E+00  2.17103912E-027
  2.018000E+00  2.25350225E-027
  2.042000E+00  2.33139187E-027
  2.065000E+00  2.40012871E-027
  2.089000E+00  2.46687168E-027
  2.114000E+00  2.53254686E-027
  2.138000E+00  2.59272680E-027
  2.163000E+00  2.65297244E-027
  2.188000E+00  2.71153084E-027
  2.213000E+00  2.76836938E-027
  2.239000E+00  2.82611383E-027
