# DL07 model SED (this work), lmc2_10, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  2.29818045E-040  2.29818044E-040  1.15866877E-048
  9.226000E-02  3.39218954E-040  3.39218952E-040  2.16763407E-048
  9.332000E-02  4.95632235E-040  4.95632231E-040  4.03301843E-048
  9.441000E-02  7.22655538E-040  7.22655531E-040  7.57992579E-048
  9.550000E-02  1.04352434E-039  1.04352433E-039  1.41206125E-047
  9.661000E-02  1.50086985E-039  1.50086983E-039  2.63368732E-047
  9.772000E-02  2.13886857E-039  2.13886852E-039  4.85949408E-047
  9.886000E-02  3.04674193E-039  3.04674184E-039  9.01033529E-047
  1.000000E-01  4.30112436E-039  4.30112420E-039  1.65061631E-046
  1.012000E-01  6.09773991E-039  6.09773960E-039  3.04109543E-046
  1.023000E-01  8.32882432E-039  8.32882379E-039  5.28138836E-046
  1.035000E-01  1.15134361E-038  1.15134351E-038  9.50959814E-046
  1.047000E-01  1.57526332E-038  1.57526315E-038  1.68803539E-045
  1.059000E-01  2.15629822E-038  2.15629792E-038  2.95509592E-045
  1.072000E-01  3.01077232E-038  3.01077179E-038  5.33862267E-045
  1.084000E-01  4.07298251E-038  4.07298160E-038  9.09133711E-045
  1.097000E-01  5.61726839E-038  5.61726679E-038  1.59551286E-044
  1.109000E-01  7.49782707E-038  7.49782443E-038  2.64757088E-044
  1.122000E-01  1.02048613E-037  1.02048568E-037  4.52321114E-044
  1.135000E-01  1.37782260E-037  1.37782183E-037  7.62471859E-044
  1.148000E-01  1.84534861E-037  1.84534734E-037  1.26875172E-043
  1.161000E-01  2.45896352E-037  2.45896144E-037  2.08529134E-043
  1.175000E-01  3.32184812E-037  3.32184461E-037  3.51349230E-043
  1.189000E-01  4.45625779E-037  4.45625194E-037  5.84154622E-043
  1.202000E-01  5.81594780E-037  5.81593854E-037  9.25909779E-043
  1.216000E-01  7.68981873E-037  7.68980370E-037  1.50260068E-042
  1.230000E-01  1.01052973E-036  1.01052732E-036  2.41000152E-042
  1.244000E-01  1.31832278E-036  1.31831896E-036  3.82186673E-042
  1.259000E-01  1.74058648E-036  1.74058029E-036  6.18916520E-042
  1.274000E-01  2.28147834E-036  2.28146844E-036  9.90466606E-042
  1.288000E-01  2.91757559E-036  2.91756038E-036  1.52055759E-041
  1.303000E-01  3.77083886E-036  3.77081536E-036  2.35070729E-041
  1.318000E-01  4.84192467E-036  4.84188803E-036  3.66388074E-041
  1.333000E-01  6.17571862E-036  6.17566203E-036  5.65922475E-041
  1.349000E-01  7.94387943E-036  7.94379030E-036  8.91321078E-041
  1.365000E-01  1.01432132E-035  1.01430742E-035  1.39068692E-040
  1.380000E-01  1.26648655E-035  1.26646562E-035  2.09320601E-040
  1.396000E-01  1.59316393E-035  1.59313182E-035  3.21083795E-040
  1.412000E-01  1.98596799E-035  1.98591914E-035  4.88490467E-040
  1.429000E-01  2.47215259E-035  2.47207695E-035  7.56395578E-040
  1.445000E-01  2.98489927E-035  2.98478600E-035  1.13268370E-039
  1.462000E-01  3.58741371E-035  3.58724112E-035  1.72588906E-039
  1.479000E-01  4.26195598E-035  4.26169504E-035  2.60946014E-039
  1.496000E-01  5.02208704E-035  5.02169543E-035  3.91614515E-039
  1.514000E-01  5.92687861E-035  5.92628134E-035  5.97272648E-039
  1.531000E-01  6.84585611E-035  6.84497252E-035  8.83584052E-039
  1.549000E-01  7.86315297E-035  7.86182488E-035  1.32809499E-038
  1.567000E-01  9.13230653E-035  9.13032424E-035  1.98229092E-038
  1.585000E-01  1.04756851E-034  1.04727462E-034  2.93886338E-038
  1.603000E-01  1.18927282E-034  1.18883992E-034  4.32902477E-038
  1.622000E-01  1.37241953E-034  1.37177231E-034  6.47218336E-038
  1.641000E-01  1.56055885E-034  1.55959757E-034  9.61277650E-038
  1.660000E-01  1.76533009E-034  1.76391129E-034  1.41880043E-037
  1.679000E-01  2.00852191E-034  2.00644030E-034  2.08161133E-037
  1.698000E-01  2.25401362E-034  2.25097704E-034  3.03657511E-037
  1.718000E-01  2.59254497E-034  2.58805525E-034  4.48972445E-037
  1.738000E-01  2.95946950E-034  2.95287432E-034  6.59518579E-037
  1.758000E-01  3.33778657E-034  3.32815723E-034  9.62933280E-037
  1.778000E-01  3.71489694E-034  3.70091672E-034  1.39802187E-036
  1.799000E-01  4.09063517E-034  4.07007226E-034  2.05629127E-036
  1.820000E-01  4.65629705E-034  4.62620977E-034  3.00872846E-036
  1.841000E-01  5.26076717E-034  5.21695978E-034  4.38073857E-036
  1.862000E-01  5.88210061E-034  5.81860734E-034  6.34932724E-036
  1.884000E-01  6.53275981E-034  6.43952334E-034  9.32364660E-036
  1.905000E-01  7.19615649E-034  7.06217866E-034  1.33977828E-035
  1.928000E-01  8.16282916E-034  7.96447331E-034  1.98355854E-035
  1.950000E-01  9.13325624E-034  8.84591908E-034  2.87337156E-035
  1.972000E-01  1.01355254E-033  9.72137700E-034  4.14148423E-035
  1.995000E-01  1.11999889E-033  1.05967637E-033  6.03225204E-035
  2.018000E-01  1.26757275E-033  1.18036412E-033  8.72086358E-035
  2.042000E-01  1.44975717E-033  1.32287120E-033  1.26885975E-034
  2.065000E-01  1.64306725E-033  1.46334663E-033  1.79720619E-034
  2.089000E-01  1.86580599E-033  1.61100473E-033  2.54801263E-034
  2.113000E-01  2.14043380E-033  1.78528991E-033  3.55143895E-034
  2.138000E-01  2.49254691E-033  2.00086935E-033  4.91677556E-034
  2.163000E-01  2.92468371E-033  2.25930562E-033  6.65378090E-034
  2.188000E-01  3.42844890E-033  2.54877319E-033  8.79675707E-034
  2.213000E-01  4.02803798E-033  2.89098332E-033  1.13705466E-033
  2.239000E-01  4.77182103E-033  3.31883896E-033  1.45298208E-033
  2.265000E-01  5.63694557E-033  3.81521859E-033  1.82172698E-033
  2.291000E-01  6.64996334E-033  4.40097922E-033  2.24898413E-033
  2.317000E-01  7.81657395E-033  5.07344502E-033  2.74312893E-033
  2.344000E-01  9.21263084E-033  5.87313374E-033  3.33949710E-033
  2.371000E-01  1.08361621E-032  6.79916890E-033  4.03699319E-033
  2.399000E-01  1.27820368E-032  7.89294062E-033  4.88909614E-033
  2.427000E-01  1.50636803E-032  9.16431825E-033  5.89936208E-033
  2.455000E-01  1.77043122E-032  1.06045300E-032  7.09978226E-033
  2.483000E-01  2.07576063E-032  1.22297929E-032  8.52781338E-033
  2.512000E-01  2.43812129E-032  1.40877806E-032  1.02934323E-032
  2.541000E-01  2.85142352E-032  1.61079792E-032  1.24062560E-032
  2.570000E-01  3.32904313E-032  1.83593945E-032  1.49310368E-032
  2.600000E-01  3.89971328E-032  2.09401961E-032  1.80569368E-032
  2.630000E-01  4.55983673E-032  2.37977642E-032  2.18006031E-032
  2.661000E-01  5.35094909E-032  2.70739834E-032  2.64355075E-032
  2.691000E-01  6.23757020E-032  3.05817769E-032  3.17939251E-032
