# DL07 model SED (this work), lmc2_10, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  6.205399E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.254131E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.303245E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.352744E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.402633E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.452913E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.503588E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.554661E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.606135E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.658014E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.710299E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.762996E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.816106E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.869633E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.923581E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  6.977952E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.032750E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.087979E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.143641E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.199741E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.256281E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.313265E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.370696E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.428579E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.486916E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.545711E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.604968E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.664690E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.724881E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.785545E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.846686E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.908306E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  7.970410E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.033003E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.096086E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.159665E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.223744E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.288325E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.353414E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.419014E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.485129E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.551763E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.618920E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.686605E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.754822E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.823574E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.892866E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  8.962702E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.033087E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.104024E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.175518E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.247574E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.320196E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.393388E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.467155E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.541501E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.616431E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.691949E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.768061E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.844770E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.922081E-05  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.000000E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.007967E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.016230E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.033167E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.078087E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.127091E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.180762E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.239800E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.271590E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.305053E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.340324E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.377556E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.416914E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.458588E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.475952E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.484790E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.484968E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485057E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485111E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485128E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485137E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485143E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485144E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485148E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485150E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485155E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485164E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485182E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485235E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.485680E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.486571E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.493735E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.549750E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.599742E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.653067E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.710069E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.733986E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.738850E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740070E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740192E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740266E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740290E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740302E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740310E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740312E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740317E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740319E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740327E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.740339E-04  0.00000000E+000  0.00000000E+000  0.00000000E+000
