# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + d16_sphere graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744868E-040  1.66744865E-040  3.26824416E-048
  9.226000E-02  2.46120887E-040  2.46120881E-040  6.16514377E-048
  9.332000E-02  3.59606811E-040  3.59606799E-040  1.15482491E-047
  9.441000E-02  5.24323949E-040  5.24323927E-040  2.18259008E-047
  9.550000E-02  7.57130850E-040  7.57130809E-040  4.08349336E-047
  9.661000E-02  1.08895873E-039  1.08895865E-039  7.64173832E-047
  9.772000E-02  1.55185977E-039  1.55185962E-039  1.41322835E-046
  9.886000E-02  2.21056902E-039  2.21056876E-039  2.62429727E-046
  1.000000E-01  3.12068822E-039  3.12068774E-039  4.81203930E-046
  1.012000E-01  4.42422592E-039  4.42422503E-039  8.87151329E-046
  1.023000E-01  6.04299354E-039  6.04299200E-039  1.54130390E-045
  1.035000E-01  8.35359543E-039  8.35359265E-039  2.77649592E-045
  1.047000E-01  1.14293537E-038  1.14293488E-038  4.93068652E-045
  1.059000E-01  1.56450649E-038  1.56450563E-038  8.63559386E-045
  1.072000E-01  2.18447230E-038  2.18447074E-038  1.56073153E-044
  1.084000E-01  2.95516145E-038  2.95515879E-038  2.65837535E-044
  1.097000E-01  4.07562256E-038  4.07561790E-038  4.66506165E-044
  1.109000E-01  5.44006743E-038  5.44005969E-038  7.73800054E-044
  1.122000E-01  7.40416534E-038  7.40415213E-038  1.32068904E-043
  1.135000E-01  9.99683350E-038  9.99681126E-038  2.22379093E-043
  1.148000E-01  1.33889891E-037  1.33889521E-037  3.69642410E-043
  1.161000E-01  1.78411018E-037  1.78410411E-037  6.06882713E-043
  1.175000E-01  2.41018093E-037  2.41017072E-037  1.02148434E-042
  1.189000E-01  3.23325911E-037  3.23324215E-037  1.69677618E-042
  1.202000E-01  4.21979275E-037  4.21976588E-037  2.68743217E-042
  1.216000E-01  5.57939628E-037  5.57935270E-037  4.35815359E-042
  1.230000E-01  7.33197231E-037  7.33190246E-037  6.98512284E-042
  1.244000E-01  9.56520260E-037  9.56509190E-037  1.10703650E-041
  1.259000E-01  1.26289988E-036  1.26288196E-036  1.79160793E-041
  1.274000E-01  1.65535346E-036  1.65532480E-036  2.86545005E-041
  1.288000E-01  2.11688705E-036  2.11684309E-036  4.39662957E-041
  1.303000E-01  2.73599271E-036  2.73592478E-036  6.79375545E-041
  1.318000E-01  3.51315085E-036  3.51304502E-036  1.05828358E-040
  1.333000E-01  4.48093257E-036  4.48076920E-036  1.63371668E-040
  1.349000E-01  5.76389832E-036  5.76364116E-036  2.57153668E-040
  1.365000E-01  7.35974108E-036  7.35934009E-036  4.00994137E-040
  1.380000E-01  9.18948770E-036  9.18888446E-036  6.03235383E-040
  1.396000E-01  1.15599509E-035  1.15590261E-035  9.24803931E-040
  1.412000E-01  1.44103201E-035  1.44089139E-035  1.40620194E-039
  1.429000E-01  1.79384345E-035  1.79362584E-035  2.17613816E-039
  1.445000E-01  2.16595075E-035  2.16562505E-035  3.25692557E-039
  1.462000E-01  2.60323654E-035  2.60274057E-035  4.95969954E-039
  1.479000E-01  3.09284509E-035  3.09209566E-035  7.49430087E-039
  1.496000E-01  3.64464440E-035  3.64352036E-035  1.12403989E-038
  1.514000E-01  4.30156437E-035  4.29985112E-035  1.71324521E-038
  1.531000E-01  4.96895012E-035  4.96641707E-035  2.53305076E-038
  1.549000E-01  5.70801166E-035  5.70420655E-035  3.80511045E-038
  1.567000E-01  6.63025795E-035  6.62458189E-035  5.67605469E-038
  1.585000E-01  7.60700560E-035  7.59859535E-035  8.41025421E-038
  1.603000E-01  8.63812714E-035  8.62574558E-035  1.23815666E-037
  1.622000E-01  9.97154202E-035  9.95304219E-035  1.84998356E-037
  1.641000E-01  1.13433060E-034  1.13158456E-034  2.74603137E-037
  1.660000E-01  1.28387934E-034  1.27982882E-034  4.05052531E-037
  1.679000E-01  1.46174033E-034  1.45580141E-034  5.93891336E-037
  1.698000E-01  1.64188938E-034  1.63323156E-034  8.65781759E-037
  1.718000E-01  1.89059917E-034  1.87780786E-034  1.27913034E-036
  1.738000E-01  2.16128874E-034  2.14251339E-034  1.87753519E-036
  1.758000E-01  2.44220531E-034  2.41481312E-034  2.73921929E-036
  1.778000E-01  2.72502242E-034  2.68528352E-034  3.97389033E-036
  1.799000E-01  3.01154694E-034  2.95314151E-034  5.84054240E-036
  1.820000E-01  3.44205692E-034  3.35667156E-034  8.53853570E-036
  1.841000E-01  3.90953864E-034  3.78531958E-034  1.24219057E-035
  1.862000E-01  4.40177081E-034  4.22187838E-034  1.79892428E-035
  1.884000E-01  4.93636387E-034  4.67242395E-034  2.63939921E-035
  1.905000E-01  5.50319922E-034  5.12423535E-034  3.78963868E-035
  1.928000E-01  6.33952544E-034  5.77895931E-034  5.60566137E-035
  1.950000E-01  7.22991389E-034  6.41856257E-034  8.11351323E-035
  1.972000E-01  8.22227236E-034  7.05382991E-034  1.16844245E-034
  1.995000E-01  9.38944844E-034  7.68905792E-034  1.70039053E-034
  2.018000E-01  1.10211098E-033  8.56482912E-034  2.45628067E-034
  2.042000E-01  1.31698924E-033  9.59894321E-034  3.57094915E-034
  2.065000E-01  1.56724729E-033  1.06183322E-033  5.05414069E-034
  2.089000E-01  1.88502337E-033  1.16898639E-033  7.16036980E-034
  2.113000E-01  2.29282861E-033  1.29546355E-033  9.97365052E-034
  2.138000E-01  2.83188477E-033  1.45190874E-033  1.37997603E-033
  2.163000E-01  3.50608022E-033  1.63945696E-033  1.86662326E-033
  2.188000E-01  4.31646384E-033  1.84952799E-033  2.46693585E-033
  2.213000E-01  5.28572305E-033  2.09787816E-033  3.18784488E-033
