# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744874E-040  1.66744865E-040  9.72234636E-048
  9.226000E-02  2.46120899E-040  2.46120881E-040  1.81885362E-047
  9.332000E-02  3.59606833E-040  3.59606799E-040  3.38409074E-047
  9.441000E-02  5.24323991E-040  5.24323927E-040  6.36028708E-047
  9.550000E-02  7.57130927E-040  7.57130809E-040  1.18485524E-046
  9.661000E-02  1.08895887E-039  1.08895865E-039  2.20991723E-046
  9.772000E-02  1.55186003E-039  1.55185962E-039  4.07758313E-046
  9.886000E-02  2.21056952E-039  2.21056876E-039  7.56053852E-046
  1.000000E-01  3.12068912E-039  3.12068774E-039  1.38502602E-045
  1.012000E-01  4.42422758E-039  4.42422503E-039  2.55177188E-045
  1.023000E-01  6.04299643E-039  6.04299200E-039  4.43159312E-045
  1.035000E-01  8.35360063E-039  8.35359265E-039  7.97946852E-045
  1.047000E-01  1.14293630E-038  1.14293488E-038  1.41642420E-044
  1.059000E-01  1.56450811E-038  1.56450563E-038  2.47960992E-044
  1.072000E-01  2.18447522E-038  2.18447074E-038  4.47961841E-044
  1.084000E-01  2.95516642E-038  2.95515879E-038  7.62850676E-044
  1.097000E-01  4.07563129E-038  4.07561790E-038  1.33878889E-043
  1.109000E-01  5.44008191E-038  5.44005969E-038  2.22156686E-043
  1.122000E-01  7.40419009E-038  7.40415213E-038  3.79540972E-043
  1.135000E-01  9.99687524E-038  9.99681126E-038  6.39787300E-043
  1.148000E-01  1.33890586E-037  1.33889521E-037  1.06460487E-042
  1.161000E-01  1.78412161E-037  1.78410411E-037  1.74976014E-042
  1.175000E-01  2.41020020E-037  2.41017072E-037  2.94815834E-042
  1.189000E-01  3.23329116E-037  3.23324215E-037  4.90161966E-042
  1.202000E-01  4.21984357E-037  4.21976588E-037  7.76927444E-042
  1.216000E-01  5.57947878E-037  5.57935270E-037  1.26082656E-041
  1.230000E-01  7.33210468E-037  7.33190246E-037  2.02222337E-041
  1.244000E-01  9.56541259E-037  9.56509190E-037  3.20691420E-041
  1.259000E-01  1.26293389E-036  1.26288196E-036  5.19330539E-041
  1.274000E-01  1.65540791E-036  1.65532480E-036  8.31096808E-041
  1.288000E-01  2.11697067E-036  2.11684309E-036  1.27589423E-040
  1.303000E-01  2.73612202E-036  2.73592478E-036  1.97246965E-040
  1.318000E-01  3.51335245E-036  3.51304502E-036  3.07434856E-040
  1.333000E-01  4.48124406E-036  4.48076920E-036  4.74863428E-040
  1.349000E-01  5.76438907E-036  5.76364116E-036  7.47904188E-040
  1.365000E-01  7.36050701E-036  7.35934009E-036  1.16692015E-039
  1.380000E-01  9.19064086E-036  9.18888446E-036  1.75640135E-039
  1.396000E-01  1.15617203E-035  1.15590261E-035  2.69420202E-039
  1.412000E-01  1.44130128E-035  1.44089139E-035  4.09890522E-039
  1.429000E-01  1.79426053E-035  1.79362584E-035  6.34688675E-039
  1.445000E-01  2.16657548E-035  2.16562505E-035  9.50430661E-039
  1.462000E-01  2.60418876E-035  2.60274057E-035  1.44818702E-038
  1.479000E-01  3.09428525E-035  3.09209566E-035  2.18958821E-038
  1.496000E-01  3.64680638E-035  3.64352036E-035  3.28602275E-038
  1.514000E-01  4.30486281E-035  4.29985112E-035  5.01169220E-038
  1.531000E-01  4.97383119E-035  4.96641707E-035  7.41412029E-038
  1.549000E-01  5.71535054E-035  5.70420655E-035  1.11439951E-037
  1.567000E-01  6.64121522E-035  6.62458189E-035  1.66333287E-037
  1.585000E-01  7.62325524E-035  7.59859535E-035  2.46598920E-037
  1.603000E-01  8.66207026E-035  8.62574558E-035  3.63246834E-037
  1.622000E-01  1.00073500E-034  9.95304219E-035  5.43078448E-037
  1.641000E-01  1.13965061E-034  1.13158456E-034  8.06604437E-037
  1.660000E-01  1.29173392E-034  1.27982882E-034  1.19050997E-036
  1.679000E-01  1.47326813E-034  1.45580141E-034  1.74667208E-036
  1.698000E-01  1.65871135E-034  1.63323156E-034  2.54797848E-036
  1.718000E-01  1.91548097E-034  1.87780786E-034  3.76731045E-036
  1.738000E-01  2.19785334E-034  2.14251339E-034  5.53399496E-036
  1.758000E-01  2.49561247E-034  2.41481312E-034  8.07993535E-036
  1.778000E-01  2.80259098E-034  2.68528352E-034  1.17307463E-035
  1.799000E-01  3.12568410E-034  2.95314151E-034  1.72542586E-035
  1.820000E-01  3.60913277E-034  3.35667156E-034  2.52461211E-035
  1.841000E-01  4.15290559E-034  3.78531958E-034  3.67586012E-035
  1.862000E-01  4.75464786E-034  4.22187838E-034  5.32769478E-035
  1.884000E-01  5.45476735E-034  4.67242395E-034  7.82343397E-035
  1.905000E-01  6.24843784E-034  5.12423535E-034  1.12420248E-034
  1.928000E-01  7.44335503E-034  5.77895931E-034  1.66439572E-034
  1.950000E-01  8.82959669E-034  6.41856257E-034  2.41103412E-034
  1.972000E-01  1.05289319E-033  7.05382991E-034  3.47510202E-034
  1.995000E-01  1.27506948E-033  7.68905792E-034  5.06163693E-034
  2.018000E-01  1.58824680E-033  8.56482912E-034  7.31763889E-034
  2.042000E-01  2.02458895E-033  9.59894321E-034  1.06469463E-033
  2.065000E-01  2.56986095E-033  1.06183322E-033  1.50802773E-033
  2.089000E-01  3.30701226E-033  1.16898639E-033  2.13802587E-033
  2.113000E-01  4.27545973E-033  1.29546355E-033  2.97999618E-033
  2.138000E-01  5.57755204E-033  1.45190874E-033  4.12564330E-033
  2.163000E-01  7.22261291E-033  1.63945696E-033  5.58315595E-033
  2.188000E-01  9.23084428E-033  1.84952799E-033  7.38131629E-033
  2.213000E-01  1.16388472E-032  2.09787816E-033  9.54096901E-033
  2.239000E-01  1.46002861E-032  2.40838722E-033  1.21918989E-032
  2.265000E-01  1.80546491E-032  2.76863242E-033  1.52860167E-032
  2.291000E-01  2.20648580E-032  3.19375227E-033  1.88711057E-032
  2.317000E-01  2.66992542E-032  3.68180891E-033  2.30174453E-032
  2.344000E-01  3.22837455E-032  4.26221288E-033  2.80215326E-032
  2.371000E-01  3.88085077E-032  4.93433220E-033  3.38741755E-032
  2.399000E-01  4.67523285E-032  5.72821564E-033  4.10241129E-032
  2.427000E-01  5.61522148E-032  6.65103204E-033  4.95011828E-032
  2.455000E-01  6.72702494E-032  7.69642549E-033  5.95738239E-032
  2.483000E-01  8.04324984E-032  8.87617626E-033  7.15563221E-032
  2.512000E-01  9.65963969E-032  1.02249058E-032  8.63714911E-032
  2.541000E-01  1.15791467E-031  1.16914457E-032  1.04100021E-031
  2.570000E-01  1.38611136E-031  1.33258938E-032  1.25285242E-031
  2.600000E-01  1.66713927E-031  1.51995402E-032  1.51514387E-031
  2.630000E-01  2.00201355E-031  1.72742059E-032  1.82927149E-031
  2.661000E-01  2.41471100E-031  1.96529267E-032  2.21818174E-031
  2.691000E-01  2.88980032E-031  2.21999023E-032  2.66780129E-031
  2.723000E-01  3.49288175E-031  2.52026782E-032  3.24085497E-031
  2.754000E-01  4.18799842E-031  2.84015699E-032  3.90398272E-031
  2.786000E-01  5.03935181E-031  3.20179254E-032  4.71917256E-031
  2.818000E-01  6.04907992E-031  3.59906481E-032  5.68917344E-031
  2.851000E-01  7.28356723E-031  4.04859995E-032  6.87870723E-031
  2.884000E-01  8.74636803E-031  4.54036507E-032  8.29233152E-031
  2.917000E-01  1.04738374E-030  5.07787175E-032  9.96605023E-031
  2.951000E-01  1.25742069E-030  5.68031106E-032  1.20061758E-030
  2.985000E-01  1.50505060E-030  6.33698050E-032  1.44168080E-030
  3.020000E-01  1.80530541E-030  7.07299380E-032  1.73457547E-030
  3.055000E-01  2.05664430E-030  7.87342748E-032  1.97791003E-030
  3.090000E-01  2.41577386E-030  8.74190242E-032  2.32835483E-030
  3.126000E-01  2.83628764E-030  9.70428176E-032  2.73924482E-030
  3.162000E-01  3.31281639E-030  1.07430563E-031  3.20538583E-030
  3.199000E-01  3.86481782E-030  1.18963967E-031  3.74585386E-030
  3.236000E-01  4.48279621E-030  1.31408899E-031  4.35138731E-030
  3.273000E-01  5.16786226E-030  1.44804999E-031  5.02305726E-030
  3.311000E-01  5.93932808E-030  1.59591145E-031  5.77973694E-030
  3.350000E-01  6.79495625E-030  1.75908298E-031  6.61904795E-030
  3.388000E-01  7.67547194E-030  1.92968067E-031  7.48250388E-030
  3.428000E-01  8.62354199E-030  2.12216239E-031  8.41132575E-030
  3.467000E-01  9.52736414E-030  2.32235585E-031  9.29512856E-030
  3.507000E-01  1.03829218E-029  2.54130771E-031  1.01287910E-029
  3.548000E-01  1.11499598E-029  2.78093136E-031  1.08718667E-029
  3.589000E-01  1.18298304E-029  3.03650044E-031  1.15261804E-029
  3.631000E-01  1.25378452E-029  3.31542075E-031  1.22063031E-029
  3.673000E-01  1.33892805E-029  3.61191953E-031  1.30280885E-029
  3.715000E-01  1.44837755E-029  3.92656441E-031  1.40911191E-029
