# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# carbonaceous absorption vintage: ld01
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744875E-040  1.66744865E-040  1.05286149E-047
  9.226000E-02  2.46120901E-040  2.46120881E-040  1.96973676E-047
  9.332000E-02  3.59606836E-040  3.59606799E-040  3.66493854E-047
  9.441000E-02  5.24323996E-040  5.24323927E-040  6.88842922E-047
  9.550000E-02  7.57130937E-040  7.57130809E-040  1.28330995E-046
  9.661000E-02  1.08895889E-039  1.08895865E-039  2.39369566E-046
  9.772000E-02  1.55186007E-039  1.55185962E-039  4.41698394E-046
  9.886000E-02  2.21056958E-039  2.21056876E-039  8.19048642E-046
  1.000000E-01  3.12068924E-039  3.12068774E-039  1.50055360E-045
  1.012000E-01  4.42422779E-039  4.42422503E-039  2.76487802E-045
  1.023000E-01  6.04299680E-039  6.04299200E-039  4.80212062E-045
  1.035000E-01  8.35360130E-039  8.35359265E-039  8.64751056E-045
  1.047000E-01  1.14293642E-038  1.14293488E-038  1.53516723E-044
  1.059000E-01  1.56450832E-038  1.56450563E-038  2.68776942E-044
  1.072000E-01  2.18447560E-038  2.18447074E-038  4.85624806E-044
  1.084000E-01  2.95516706E-038  2.95515879E-038  8.27079904E-044
  1.097000E-01  4.07563242E-038  4.07561790E-038  1.45168654E-043
  1.109000E-01  5.44008378E-038  5.44005969E-038  2.40918098E-043
  1.122000E-01  7.40419330E-038  7.40415213E-038  4.11645261E-043
  1.135000E-01  9.99688066E-038  9.99681126E-038  6.93992641E-043
  1.148000E-01  1.33890676E-037  1.33889521E-037  1.15494885E-042
  1.161000E-01  1.78412309E-037  1.78410411E-037  1.89849013E-042
  1.175000E-01  2.41020271E-037  2.41017072E-037  3.19919471E-042
  1.189000E-01  3.23329534E-037  3.23324215E-037  5.31973254E-042
  1.202000E-01  4.21985021E-037  4.21976588E-037  8.43309256E-042
  1.216000E-01  5.57948957E-037  5.57935270E-037  1.36874472E-041
  1.230000E-01  7.33212202E-037  7.33190246E-037  2.19562023E-041
  1.244000E-01  9.56544014E-037  9.56509190E-037  3.48238333E-041
  1.259000E-01  1.26293836E-036  1.26288196E-036  5.64025605E-041
  1.274000E-01  1.65541508E-036  1.65532480E-036  9.02760414E-041
  1.288000E-01  2.11698170E-036  2.11684309E-036  1.38610880E-040
  1.303000E-01  2.73613909E-036  2.73592478E-036  2.14317284E-040
  1.318000E-01  3.51337911E-036  3.51304502E-036  3.34093035E-040
  1.333000E-01  4.48128532E-036  4.48076920E-036  5.16120303E-040
  1.349000E-01  5.76445418E-036  5.76364116E-036  8.13019945E-040
  1.365000E-01  7.36060882E-036  7.35934009E-036  1.26873219E-039
  1.380000E-01  9.19079441E-036  9.18888446E-036  1.90995064E-039
  1.396000E-01  1.15619563E-035  1.15590261E-035  2.93024108E-039
  1.412000E-01  1.44133727E-035  1.44089139E-035  4.45878527E-039
  1.429000E-01  1.79431638E-035  1.79362584E-035  6.90542508E-039
  1.445000E-01  2.16665931E-035  2.16562505E-035  1.03425371E-038
  1.462000E-01  2.60431678E-035  2.60274057E-035  1.57620944E-038
  1.479000E-01  3.09447927E-035  3.09209566E-035  2.38361019E-038
  1.496000E-01  3.64709825E-035  3.64352036E-035  3.57789613E-038
  1.514000E-01  4.30530910E-035  4.29985112E-035  5.45797899E-038
  1.531000E-01  4.97449301E-035  4.96641707E-035  8.07594306E-038
  1.549000E-01  5.71634789E-035  5.70420655E-035  1.21413410E-037
  1.567000E-01  6.64270773E-035  6.62458189E-035  1.81258348E-037
  1.585000E-01  7.62547378E-035  7.59859535E-035  2.68784372E-037
  1.603000E-01  8.66534689E-035  8.62574558E-035  3.96013115E-037
  1.622000E-01  1.00122626E-034  9.95304219E-035  5.92204173E-037
  1.641000E-01  1.14038231E-034  1.13158456E-034  8.79774886E-037
  1.660000E-01  1.29281696E-034  1.27982882E-034  1.29881396E-036
  1.679000E-01  1.47486169E-034  1.45580141E-034  1.90602735E-036
  1.698000E-01  1.66104266E-034  1.63323156E-034  2.78110956E-036
  1.718000E-01  1.91893843E-034  1.87780786E-034  4.11305604E-036
  1.738000E-01  2.20294768E-034  2.14251339E-034  6.04342901E-036
  1.758000E-01  2.50307324E-034  2.41481312E-034  8.82601254E-036
  1.778000E-01  2.81345600E-034  2.68528352E-034  1.28172483E-035
  1.799000E-01  3.14171651E-034  2.95314151E-034  1.88574997E-035
  1.820000E-01  3.63266693E-034  3.35667156E-034  2.75995374E-035
  1.841000E-01  4.18728242E-034  3.78531958E-034  4.01962837E-035
  1.862000E-01  4.80463393E-034  4.22187838E-034  5.82755550E-035
  1.884000E-01  5.52841791E-034  4.67242395E-034  8.55993959E-035
  1.905000E-01  6.35461318E-034  5.12423535E-034  1.23037782E-034
  1.928000E-01  7.60110376E-034  5.77895931E-034  1.82214445E-034
  1.950000E-01  9.05887914E-034  6.41856257E-034  2.64031657E-034
  1.972000E-01  1.08605103E-033  7.05382991E-034  3.80668038E-034
  1.995000E-01  1.32353328E-033  7.68905792E-034  5.54627485E-034
  2.018000E-01  1.65855277E-033  8.56482912E-034  8.02069855E-034
  2.042000E-01  2.12724652E-033  9.59894321E-034  1.16735220E-033
  2.065000E-01  2.71575580E-033  1.06183322E-033  1.65392258E-033
  2.089000E-01  3.51457733E-033  1.16898639E-033  2.34559094E-033
  2.113000E-01  4.56576037E-033  1.29546355E-033  3.27029681E-033
  2.138000E-01  5.98087735E-033  1.45190874E-033  4.52896861E-033
  2.163000E-01  7.77032495E-033  1.63945696E-033  6.13086799E-033
  2.188000E-01  9.95744011E-033  1.84952799E-033  8.10791212E-033
  2.213000E-01  1.25812075E-032  2.09787816E-033  1.04833293E-032
  2.239000E-01  1.58086568E-032  2.40838722E-033  1.34002696E-032
  2.265000E-01  1.95748808E-032  2.76863242E-033  1.68062484E-032
  2.291000E-01  2.39480015E-032  3.19375227E-033  2.07542492E-032
  2.317000E-01  2.90038714E-032  3.68180891E-033  2.53220625E-032
  2.344000E-01  3.50990902E-032  4.26221288E-033  3.08368773E-032
  2.371000E-01  4.22235359E-032  4.93433220E-033  3.72892037E-032
  2.399000E-01  5.09027851E-032  5.72821564E-033  4.51745695E-032
  2.427000E-01  6.11779044E-032  6.65103204E-033  5.45268724E-032
  2.455000E-01  7.33397396E-032  7.69642549E-033  6.56433141E-032
  2.483000E-01  8.77481962E-032  8.87617626E-033  7.88720200E-032
  2.512000E-01  1.05458535E-031  1.02249058E-032  9.52336294E-032
  2.541000E-01  1.26510985E-031  1.16914457E-032  1.14819539E-031
  2.570000E-01  1.51558353E-031  1.33258938E-032  1.38232460E-031
  2.600000E-01  1.82429584E-031  1.51995402E-032  1.67230044E-031
  2.630000E-01  2.19245221E-031  1.72742059E-032  2.01971015E-031
  2.661000E-01  2.64651498E-031  1.96529267E-032  2.44998572E-031
  2.691000E-01  3.16961225E-031  2.21999023E-032  2.94761323E-031
  2.723000E-01  3.83412330E-031  2.52026782E-032  3.58209652E-031
  2.754000E-01  4.60061065E-031  2.84015699E-032  4.31659495E-031
  2.786000E-01  5.54005363E-031  3.20179254E-032  5.21987438E-031
  2.818000E-01  6.65502679E-031  3.59906481E-032  6.29512031E-031
  2.851000E-01  8.01911126E-031  4.04859995E-032  7.61425127E-031
  2.884000E-01  9.63656801E-031  4.54036507E-032  9.18253150E-031
  2.917000E-01  1.15479112E-030  5.07787175E-032  1.10401240E-030
  2.951000E-01  1.38733530E-030  5.68031106E-032  1.33053219E-030
  2.985000E-01  1.66167310E-030  6.33698050E-032  1.59830329E-030
  3.020000E-01  1.99451769E-030  7.07299380E-032  1.92378775E-030
  3.055000E-01  2.27493395E-030  7.87342748E-032  2.19619967E-030
  3.090000E-01  2.67405813E-030  8.74190242E-032  2.58663911E-030
  3.126000E-01  3.14181209E-030  9.70428176E-032  3.04476927E-030
  3.162000E-01  3.67237197E-030  1.07430563E-031  3.56494141E-030
  3.199000E-01  4.28759916E-030  1.18963967E-031  4.16863520E-030
  3.236000E-01  4.97717171E-030  1.31408899E-031  4.84576282E-030
  3.273000E-01  5.74264804E-030  1.44804999E-031  5.59784304E-030
  3.311000E-01  6.60610751E-030  1.59591145E-031  6.44651637E-030
  3.350000E-01  7.56586789E-030  1.75908298E-031  7.38995959E-030
  3.388000E-01  8.55653592E-030  1.92968067E-031  8.36356785E-030
  3.428000E-01  9.62824148E-030  2.12216239E-031  9.41602524E-030
  3.467000E-01  1.06583905E-029  2.32235585E-031  1.04261549E-029
  3.507000E-01  1.16490901E-029  2.54130771E-031  1.13949593E-029
  3.548000E-01  1.25651957E-029  2.78093136E-031  1.22871026E-029
  3.589000E-01  1.34157574E-029  3.03650044E-031  1.31121073E-029
  3.631000E-01  1.43324132E-029  3.31542075E-031  1.40008712E-029
  3.673000E-01  1.54310023E-029  3.61191953E-031  1.50698103E-029
  3.715000E-01  1.68098718E-029  3.92656441E-031  1.64172153E-029
  3.758000E-01  1.85607751E-029  4.26835161E-031  1.81339400E-029
  3.802000E-01  2.07154224E-029  4.63928800E-031  2.02514935E-029
  3.846000E-01  2.32106755E-029  5.03155072E-031  2.27075204E-029
  3.891000E-01  2.60555045E-029  5.45572889E-031  2.55099317E-029
  3.936000E-01  2.91083338E-029  5.90408160E-031  2.85179257E-029
  3.981000E-01  3.22555050E-029  6.37721872E-031  3.16177831E-029
  4.027000E-01  3.54160198E-029  6.88537208E-031  3.47274826E-029
  4.074000E-01  3.83675878E-029  7.43103840E-031  3.76244839E-029
  4.121000E-01  4.07606201E-029  8.00515808E-031  3.99601043E-029
  4.169000E-01  4.23413960E-029  8.62145340E-031  4.14792507E-029
  4.217000E-01  4.29028262E-029  9.26860086E-031  4.19759661E-029
  4.266000E-01  4.25797716E-029  9.96162800E-031  4.15836088E-029
  4.315000E-01  4.18020234E-029  1.06879415E-030  4.07332293E-029
  4.365000E-01  4.10508477E-029  1.14641428E-030  3.99044334E-029
  4.416000E-01  4.06520702E-029  1.22916925E-030  3.94229009E-029
  4.467000E-01  4.06971932E-029  1.31540021E-030  3.93817930E-029
  4.519000E-01  4.11012854E-029  1.40720284E-030  3.96940825E-029
  4.571000E-01  4.16905420E-029  1.50296841E-030  4.01875736E-029
  4.624000E-01  4.23002143E-029  1.60469581E-030  4.06955185E-029
  4.677000E-01  4.28131075E-029  1.71062144E-030  4.11024861E-029
  4.732000E-01  4.32587276E-029  1.82502045E-030  4.14337071E-029
  4.786000E-01  4.37097039E-029  1.94180782E-030  4.17678960E-029
  4.842000E-01  4.42786849E-029  2.06762727E-030  4.22110577E-029
  4.898000E-01  4.49647604E-029  2.19812566E-030  4.27666348E-029
  4.954000E-01  4.57010241E-029  2.33337575E-030  4.33676484E-029
  5.012000E-01  4.64223574E-029  2.47854889E-030  4.39438086E-029
  5.070000E-01  4.70627515E-029  2.62891611E-030  4.44338354E-029
  5.129000E-01  4.77085908E-029  2.78721234E-030  4.49213785E-029
  5.188000E-01  4.85123618E-029  2.95089273E-030  4.55614690E-029
  5.248000E-01  4.96221556E-029  3.12286596E-030  4.64992897E-029
  5.309000E-01  5.10622758E-029  3.30340141E-030  4.77588744E-029
  5.370000E-01  5.27149414E-029  3.48966541E-030  4.92252760E-029
  5.433000E-01  5.44863220E-029  3.68802856E-030  5.07982934E-029
  5.495000E-01  5.61667078E-029  3.88916100E-030  5.22775468E-029
  5.559000E-01  5.78230686E-029  4.10217777E-030  5.37208909E-029
  5.623000E-01  5.94527680E-029  4.32122384E-030  5.51315441E-029
  5.688000E-01  6.11421377E-029  4.54988078E-030  5.65922569E-029
  5.754000E-01  6.28588524E-029  4.78837762E-030  5.80704747E-029
  5.821000E-01  6.44612439E-029  5.03693676E-030  5.94243072E-029
  5.888000E-01  6.57282273E-029  5.29191927E-030  6.04363081E-029
  5.957000E-01  6.65107018E-029  5.56114316E-030  6.09495586E-029
  6.026000E-01  6.67267308E-029  5.83700317E-030  6.08897276E-029
  6.095000E-01  6.65406794E-029  6.11940192E-030  6.04212775E-029
  6.166000E-01  6.62250388E-029  6.41670414E-030  5.98083346E-029
  6.237000E-01  6.60057722E-029  6.72070510E-030  5.92850671E-029
  6.310000E-01  6.59175234E-029  7.04012659E-030  5.88773968E-029
  6.383000E-01  6.58613251E-029  7.36636551E-030  5.84949596E-029
  6.457000E-01  6.56968572E-029  7.70388757E-030  5.79929696E-029
  6.531000E-01  6.53550348E-029  8.04812030E-030  5.73069145E-029
  6.607000E-01  6.49189744E-029  8.40859113E-030  5.65103832E-029
