# DL07 model SED (this work), mw31_60, Mathis ISRF U =  2.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  3.32699962E-040  3.32699940E-040  2.20112863E-047
  9.226000E-02  4.91076014E-040  4.91075974E-040  3.99631901E-047
  9.332000E-02  7.17510310E-040  7.17510237E-040  7.25254773E-047
  9.441000E-02  1.04616438E-039  1.04616425E-039  1.33487662E-046
  9.550000E-02  1.51067547E-039  1.51067523E-039  2.44517089E-046
  9.661000E-02  2.17275938E-039  2.17275893E-039  4.49850460E-046
  9.772000E-02  3.09636900E-039  3.09636818E-039  8.21060128E-046
  9.886000E-02  4.41066734E-039  4.41066583E-039  1.50903977E-045
  1.000000E-01  6.22659566E-039  6.22659292E-039  2.74536573E-045
  1.012000E-01  8.82749754E-039  8.82749251E-039  5.02932735E-045
  1.023000E-01  1.20573666E-038  1.20573579E-038  8.69849234E-045
  1.035000E-01  1.66676280E-038  1.66676124E-038  1.56070670E-044
  1.047000E-01  2.28045818E-038  2.28045542E-038  2.76271105E-044
  1.059000E-01  3.12160470E-038  3.12159988E-038  4.82587502E-044
  1.072000E-01  4.35860163E-038  4.35859293E-038  8.70215897E-044
  1.084000E-01  5.89633313E-038  5.89631833E-038  1.47992187E-043
  1.097000E-01  8.13195403E-038  8.13192808E-038  2.59422233E-043
  1.109000E-01  1.08543912E-037  1.08543482E-037  4.30113950E-043
  1.122000E-01  1.47733016E-037  1.47732282E-037  7.34277660E-043
  1.135000E-01  1.99463878E-037  1.99462641E-037  1.23702716E-042
  1.148000E-01  2.67146804E-037  2.67144747E-037  2.05742601E-042
  1.161000E-01  3.55978994E-037  3.55975614E-037  3.38022664E-042
  1.175000E-01  4.80898036E-037  4.80892343E-037  5.69339184E-042
  1.189000E-01  6.45126199E-037  6.45116736E-037  9.46326168E-042
  1.202000E-01  8.41969075E-037  8.41954078E-037  1.49965335E-041
  1.216000E-01  1.11325172E-036  1.11322738E-036  2.43323916E-041
  1.230000E-01  1.46294604E-036  1.46290702E-036  3.90203744E-041
  1.244000E-01  1.90854885E-036  1.90848697E-036  6.18719242E-041
  1.259000E-01  2.51988127E-036  2.51978109E-036  1.00184359E-040
  1.274000E-01  3.30296788E-036  3.30280757E-036  1.60311820E-040
  1.288000E-01  4.22390382E-036  4.22365773E-036  2.46090648E-040
  1.303000E-01  5.45926864E-036  5.45888822E-036  3.80417474E-040
  1.318000E-01  7.01003988E-036  7.00944698E-036  5.92893304E-040
  1.333000E-01  8.94122663E-036  8.94031090E-036  9.15733079E-040
  1.349000E-01  1.15014193E-035  1.14999771E-035  1.44219638E-039
  1.365000E-01  1.46860658E-035  1.46838157E-035  2.25009284E-039
  1.380000E-01  1.83376240E-035  1.83342374E-035  3.38662409E-039
  1.396000E-01  2.30684870E-035  2.30632923E-035  5.19467008E-039
  1.412000E-01  2.87574701E-035  2.87495673E-035  7.90281228E-039
  1.429000E-01  3.57997830E-035  3.57875464E-035  1.22366055E-038
  1.445000E-01  4.32282309E-035  4.32099073E-035  1.83235168E-038
  1.462000E-01  5.19594274E-035  5.19315083E-035  2.79190993E-038
  1.479000E-01  6.17376405E-035  6.16954292E-035  4.22112580E-038
  1.496000E-01  7.27611472E-035  7.26978002E-035  6.33470117E-038
  1.514000E-01  8.58899350E-035  8.57933234E-035  9.66116871E-038
  1.531000E-01  9.92359886E-035  9.90930677E-035  1.42920859E-037
  1.549000E-01  1.14028721E-034  1.13813904E-034  2.14816406E-037
  1.567000E-01  1.32498444E-034  1.32177820E-034  3.20624427E-037
  1.585000E-01  1.52087284E-034  1.51611949E-034  4.75335019E-037
  1.603000E-01  1.72806457E-034  1.72106289E-034  7.00167476E-037
  1.622000E-01  1.99636139E-034  1.98589362E-034  1.04677630E-036
  1.641000E-01  2.27335556E-034  2.25780868E-034  1.55468831E-036
  1.660000E-01  2.57654105E-034  2.55359503E-034  2.29460217E-036
  1.679000E-01  2.93837157E-034  2.90470666E-034  3.36649133E-036
