# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744873E-040  1.66744864E-040  9.72214200E-048
  9.226000E-02  2.46120898E-040  2.46120880E-040  1.81881514E-047
  9.332000E-02  3.59606832E-040  3.59606798E-040  3.38401903E-047
  9.441000E-02  5.24323989E-040  5.24323925E-040  6.36015257E-047
  9.550000E-02  7.57130924E-040  7.57130805E-040  1.18483031E-046
  9.661000E-02  1.08895887E-039  1.08895865E-039  2.20987108E-046
  9.772000E-02  1.55186002E-039  1.55185962E-039  4.07749874E-046
  9.886000E-02  2.21056951E-039  2.21056875E-039  7.56038370E-046
  1.000000E-01  3.12068911E-039  3.12068772E-039  1.38499798E-045
  1.012000E-01  4.42422756E-039  4.42422501E-039  2.55172089E-045
  1.023000E-01  6.04299641E-039  6.04299197E-039  4.43150563E-045
  1.035000E-01  8.35360060E-039  8.35359262E-039  7.97931310E-045
  1.047000E-01  1.14293629E-038  1.14293488E-038  1.41639699E-044
  1.059000E-01  1.56450810E-038  1.56450562E-038  2.47956293E-044
  1.072000E-01  2.18447521E-038  2.18447073E-038  4.47953479E-044
  1.084000E-01  2.95516641E-038  2.95515878E-038  7.62836631E-044
  1.097000E-01  4.07563127E-038  4.07561788E-038  1.33876460E-043
  1.109000E-01  5.44008189E-038  5.44005967E-038  2.22152711E-043
  1.122000E-01  7.40419006E-038  7.40415211E-038  3.79534278E-043
  1.135000E-01  9.99687520E-038  9.99681122E-038  6.39776178E-043
  1.148000E-01  1.33890585E-037  1.33889521E-037  1.06458662E-042
  1.161000E-01  1.78412160E-037  1.78410410E-037  1.74973057E-042
  1.175000E-01  2.41020019E-037  2.41017071E-037  2.94810927E-042
  1.189000E-01  3.23329115E-037  3.23324213E-037  4.90153927E-042
  1.202000E-01  4.21984356E-037  4.21976586E-037  7.76914874E-042
  1.216000E-01  5.57947876E-037  5.57935268E-037  1.26080645E-041
  1.230000E-01  7.33210465E-037  7.33190243E-037  2.02219158E-041
  1.244000E-01  9.56541255E-037  9.56509186E-037  3.20686451E-041
  1.259000E-01  1.26293389E-036  1.26288196E-036  5.19322611E-041
  1.274000E-01  1.65540791E-036  1.65532480E-036  8.31084307E-041
  1.288000E-01  2.11697067E-036  2.11684308E-036  1.27587530E-040
  1.303000E-01  2.73612201E-036  2.73592477E-036  1.97244081E-040
  1.318000E-01  3.51335244E-036  3.51304501E-036  3.07430423E-040
  1.333000E-01  4.48124404E-036  4.48076918E-036  4.74856678E-040
  1.349000E-01  5.76438904E-036  5.76364114E-036  7.47893715E-040
  1.365000E-01  7.36050696E-036  7.35934006E-036  1.16690405E-039
  1.380000E-01  9.19064080E-036  9.18888443E-036  1.75637744E-039
  1.396000E-01  1.15617202E-035  1.15590261E-035  2.69416587E-039
  1.412000E-01  1.44130127E-035  1.44089139E-035  4.09885101E-039
