# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  9.78513844E-047  9.61447519E-047  1.70663247E-048
  9.226000E-02  1.32697273E-046  1.30141780E-046  2.55549273E-048
  9.332000E-02  1.94061154E-040  1.94061128E-040  2.64881209E-047
  9.441000E-02  2.79495693E-040  2.79495644E-040  4.90678629E-047
  9.550000E-02  3.98670807E-040  3.98670717E-040  9.01906377E-047
  9.661000E-02  5.66277776E-040  5.66277609E-040  1.66089474E-046
  9.772000E-02  1.26408301E-039  1.26408271E-039  3.02810899E-046
  9.886000E-02  1.78860512E-039  1.78860440E-039  7.16623578E-046
  1.000000E-01  2.50796121E-039  2.50795990E-039  1.30870382E-045
  1.012000E-01  4.11655348E-039  4.11655108E-039  2.40321828E-045
  1.023000E-01  5.60520364E-039  5.60519948E-039  4.16091624E-045
  1.035000E-01  7.72148932E-039  7.72148143E-039  7.88990204E-045
  1.047000E-01  1.05270294E-038  1.05270154E-038  1.39931461E-044
  1.059000E-01  1.52219918E-038  1.52219673E-038  2.44745203E-044
  1.072000E-01  2.12170499E-038  2.12170057E-038  4.41702485E-044
  1.084000E-01  2.86548523E-038  2.86547762E-038  7.61026465E-044
  1.097000E-01  4.03484827E-038  4.03483491E-038  1.33526369E-043
  1.109000E-01  5.38185375E-038  5.38183159E-038  2.21518820E-043
  1.122000E-01  7.31909049E-038  7.31905265E-038  3.78346928E-043
  1.135000E-01  9.87371497E-038  9.87365122E-038  6.37587151E-043
  1.148000E-01  1.33354285E-037  1.33353221E-037  1.06398730E-042
  1.161000E-01  1.77636452E-037  1.77634703E-037  1.74862854E-042
  1.175000E-01  2.39877826E-037  2.39874880E-037  2.94602079E-042
  1.189000E-01  3.22837099E-037  3.22832202E-037  4.89764729E-042
  1.202000E-01  4.21280618E-037  4.21272850E-037  7.76823285E-042
  1.216000E-01  5.56923384E-037  5.56910778E-037  1.26063397E-041
  1.230000E-01  7.31731529E-037  7.31711310E-037  2.02187224E-041
  1.244000E-01  9.55922331E-037  9.55890268E-037  3.20628355E-041
  1.259000E-01  1.26201919E-036  1.26196727E-036  5.19214229E-041
  1.274000E-01  1.65406964E-036  1.65398654E-036  8.31064988E-041
  1.288000E-01  2.11507902E-036  2.11495144E-036  1.27583805E-040
  1.303000E-01  2.73533169E-036  2.73513445E-036  1.97236936E-040
  1.318000E-01  3.51221015E-036  3.51190274E-036  3.07416847E-040
  1.333000E-01  4.47960890E-036  4.47913404E-036  4.74858676E-040
  1.349000E-01  5.76371418E-036  5.76296628E-036  7.47895315E-040
  1.365000E-01  7.35952211E-036  7.35835520E-036  1.16690388E-039
  1.380000E-01  9.18925113E-036  9.18749476E-036  1.75637280E-039
  1.396000E-01  1.15597343E-035  1.15570401E-035  2.69415090E-039
  1.412000E-01  1.44122211E-035  1.44081222E-035  4.09889136E-039
  1.429000E-01  1.79414653E-035  1.79351185E-035  6.34686119E-039
  1.445000E-01  2.16641809E-035  2.16546766E-035  9.50426079E-039
  1.462000E-01  2.60397132E-035  2.60252314E-035  1.44817876E-038
  1.479000E-01  3.09420208E-035  3.09201249E-035  2.18958591E-038
  1.496000E-01  3.64669271E-035  3.64340669E-035  3.28601852E-038
  1.514000E-01  4.30470649E-035  4.29969480E-035  5.01168462E-038
  1.531000E-01  4.97377370E-035  4.96635960E-035  7.41410686E-038
  1.549000E-01  5.71527273E-035  5.70412876E-035  1.11439703E-037
  1.567000E-01  6.64110985E-035  6.62447652E-035  1.66333211E-037
  1.585000E-01  7.62311408E-035  7.59845420E-035  2.46598785E-037
  1.603000E-01  8.66201815E-035  8.62569349E-035  3.63246596E-037
  1.622000E-01  1.00072794E-034  9.95297163E-035  5.43078025E-037
  1.641000E-01  1.13964105E-034  1.13157502E-034  8.06603654E-037
  1.660000E-01  1.29172122E-034  1.27981613E-034  1.19050978E-036
  1.679000E-01  1.47326337E-034  1.45579665E-034  1.74667167E-036
  1.698000E-01  1.65870502E-034  1.63322524E-034  2.54797775E-036
  1.718000E-01  1.91547232E-034  1.87779923E-034  3.76730910E-036
  1.738000E-01  2.19785016E-034  2.14251023E-034  5.53399240E-036
  1.758000E-01  2.49560797E-034  2.41480863E-034  8.07993485E-036
  1.778000E-01  2.80258510E-034  2.68527765E-034  1.17307454E-035
  1.799000E-01  3.12567635E-034  2.95313379E-034  1.72542565E-035
  1.820000E-01  3.60912991E-034  3.35666874E-034  2.52461167E-035
  1.841000E-01  4.15290155E-034  3.78531554E-034  3.67586010E-035
  1.862000E-01  4.75464264E-034  4.22187318E-034  5.32769470E-035
  1.884000E-01  5.45476006E-034  4.67241670E-034  7.82343359E-035
  1.905000E-01  6.24843521E-034  5.12423282E-034  1.12420239E-034
  1.928000E-01  7.44335117E-034  5.77895554E-034  1.66439562E-034
  1.950000E-01  8.82959159E-034  6.41855754E-034  2.41103405E-034
  1.972000E-01  1.05289253E-033  7.05382344E-034  3.47510187E-034
  1.995000E-01  1.27506919E-033  7.68905513E-034  5.06163679E-034
  2.018000E-01  1.58824644E-033  8.56482579E-034  7.31763864E-034
  2.042000E-01  2.02458846E-033  9.59893862E-034  1.06469460E-033
  2.065000E-01  2.56986071E-033  1.06183300E-033  1.50802771E-033
  2.089000E-01  3.30701202E-033  1.16898616E-033  2.13802586E-033
  2.113000E-01  4.27545922E-033  1.29546316E-033  2.97999606E-033
  2.138000E-01  5.57755164E-033  1.45190835E-033  4.12564329E-033
  2.163000E-01  7.22261243E-033  1.63945677E-033  5.58315566E-033
  2.188000E-01  9.23084382E-033  1.84952777E-033  7.38131605E-033
  2.213000E-01  1.16388470E-032  2.09787783E-033  9.54096915E-033
  2.239000E-01  1.46002853E-032  2.40838664E-033  1.21918987E-032
  2.265000E-01  1.80546482E-032  2.76863214E-033  1.52860161E-032
  2.291000E-01  2.20648575E-032  3.19375202E-033  1.88711055E-032
  2.317000E-01  2.66992533E-032  3.68180846E-033  2.30174448E-032
  2.344000E-01  3.22837445E-032  4.26221220E-033  2.80215323E-032
  2.371000E-01  3.88085080E-032  4.93433186E-033  3.38741761E-032
  2.399000E-01  4.67523289E-032  5.72821512E-033  4.10241138E-032
  2.427000E-01  5.61522151E-032  6.65103143E-033  4.95011837E-032
  2.455000E-01  6.72702466E-032  7.69642457E-033  5.95738220E-032
  2.483000E-01  8.04324982E-032  8.87617583E-033  7.15563223E-032
  2.512000E-01  9.65963967E-032  1.02249057E-032  8.63714910E-032
  2.541000E-01  1.15791465E-031  1.16914447E-032  1.04100021E-031
  2.570000E-01  1.38611133E-031  1.33258936E-032  1.25285240E-031
  2.600000E-01  1.66713929E-031  1.51995399E-032  1.51514389E-031
  2.630000E-01  2.00201351E-031  1.72742050E-032  1.82927146E-031
  2.661000E-01  2.41471106E-031  1.96529261E-032  2.21818180E-031
  2.691000E-01  2.88980020E-031  2.21999011E-032  2.66780119E-031
  2.723000E-01  3.49288166E-031  2.52026775E-032  3.24085489E-031
  2.754000E-01  4.18799834E-031  2.84015692E-032  3.90398265E-031
  2.786000E-01  5.03935194E-031  3.20179238E-032  4.71917270E-031
  2.818000E-01  6.04907994E-031  3.59906475E-032  5.68917346E-031
  2.851000E-01  7.28356734E-031  4.04859985E-032  6.87870736E-031
  2.884000E-01  8.74636806E-031  4.54036486E-032  8.29233158E-031
  2.917000E-01  1.04738378E-030  5.07787174E-032  9.96605062E-031
  2.951000E-01  1.25742066E-030  5.68031103E-032  1.20061755E-030
  2.985000E-01  1.50505056E-030  6.33698017E-032  1.44168076E-030
  3.020000E-01  1.80530536E-030  7.07299355E-032  1.73457543E-030
  3.055000E-01  2.05664439E-030  7.87342756E-032  1.97791011E-030
