# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  9.23950673E-041  9.23950642E-041  3.16133145E-048
  9.226000E-02  3.29852050E-040  3.29852043E-040  6.42890973E-048
  9.332000E-02  4.75978856E-040  4.75978844E-040  1.24873941E-047
  9.441000E-02  6.85192809E-040  6.85192785E-040  2.43429246E-047
  9.550000E-02  1.25540654E-039  1.25540649E-039  4.72438052E-047
  9.661000E-02  1.78900150E-039  1.78900141E-039  9.04458660E-047
  9.772000E-02  2.52602263E-039  2.52602246E-039  1.71401019E-046
  9.886000E-02  3.95039426E-039  3.95039393E-039  3.24189830E-046
  1.000000E-01  5.53760822E-039  5.53760761E-039  6.05554666E-046
  1.012000E-01  7.79254374E-039  7.79254261E-039  1.13415318E-045
  1.023000E-01  1.10781342E-038  1.10781322E-038  1.99667278E-045
  1.035000E-01  1.52244253E-038  1.52244217E-038  3.64752458E-045
  1.047000E-01  2.11627008E-038  2.11626942E-038  6.55692640E-045
  1.059000E-01  2.88264349E-038  2.88264232E-038  1.16188396E-044
  1.072000E-01  4.00361050E-038  4.00360838E-038  2.12443516E-044
  1.084000E-01  5.44645810E-038  5.44645445E-038  3.65658997E-044
  1.097000E-01  7.47625973E-038  7.47625324E-038  6.48741291E-044
  1.109000E-01  9.93616138E-038  9.93615051E-038  1.08691895E-043
  1.122000E-01  1.35312840E-037  1.35312652E-037  1.87579101E-043
  1.135000E-01  1.81910523E-037  1.81910204E-037  3.19275749E-043
  1.148000E-01  2.43193166E-037  2.43192629E-037  5.36289938E-043
  1.161000E-01  3.22747095E-037  3.22746205E-037  8.89477240E-043
  1.175000E-01  4.34119461E-037  4.34117948E-037  1.51297047E-042
  1.189000E-01  5.80609078E-037  5.80606539E-037  2.53881091E-042
  1.202000E-01  7.54853397E-037  7.54849339E-037  4.05780903E-042
  1.216000E-01  9.93976789E-037  9.93970146E-037  6.64308120E-042
  1.230000E-01  1.30176681E-036  1.30175606E-036  1.07460065E-041
  1.244000E-01  1.69155494E-036  1.69153776E-036  1.71838169E-041
