# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.29263280E-040  1.29263277E-040  3.08550434E-048
  9.226000E-02  1.87569644E-040  1.87569638E-040  6.09074082E-048
  9.332000E-02  5.61307299E-040  5.61307287E-040  1.18446095E-047
  9.441000E-02  8.09982691E-040  8.09982668E-040  2.31171175E-047
  9.550000E-02  1.15758592E-039  1.15758587E-039  4.44458872E-047
  9.661000E-02  1.64748180E-039  1.64748172E-039  8.51871883E-047
  9.772000E-02  2.77045386E-039  2.77045369E-039  1.60903908E-046
  9.886000E-02  3.91903721E-039  3.91903691E-039  3.04657163E-046
  1.000000E-01  5.49410940E-039  5.49410884E-039  5.68526202E-046
  1.012000E-01  8.17634597E-039  8.17634490E-039  1.06585237E-045
  1.023000E-01  1.11135985E-038  1.11135966E-038  1.87807457E-045
  1.035000E-01  1.52814554E-038  1.52814519E-038  3.43120689E-045
  1.047000E-01  2.07970553E-038  2.07970492E-038  6.17339680E-045
  1.059000E-01  2.88853679E-038  2.88853570E-038  1.09445416E-044
  1.072000E-01  4.01421263E-038  4.01421063E-038  2.00285483E-044
  1.084000E-01  5.40696586E-038  5.40696241E-038  3.44942106E-044
  1.097000E-01  7.42225495E-038  7.42224882E-038  6.12467357E-044
  1.109000E-01  9.93731784E-038  9.93730758E-038  1.02686362E-043
  1.122000E-01  1.34688842E-037  1.34688665E-037  1.77332077E-043
  1.135000E-01  1.81101431E-037  1.81101129E-037  3.02046342E-043
  1.148000E-01  2.41559264E-037  2.41558756E-037  5.07677365E-043
  1.161000E-01  3.21466633E-037  3.21465791E-037  8.42569374E-043
  1.175000E-01  4.32481261E-037  4.32479827E-037  1.43415071E-042
  1.189000E-01  5.77801799E-037  5.77799390E-037  2.40807860E-042
  1.202000E-01  7.52029923E-037  7.52026072E-037  3.85109833E-042
  1.216000E-01  9.90432507E-037  9.90426198E-037  6.30844156E-042
  1.230000E-01  1.29649307E-036  1.29648286E-036  1.02106335E-041
  1.244000E-01  1.68489461E-036  1.68487827E-036  1.63368320E-041
  1.259000E-01  2.21645930E-036  2.21643260E-036  2.67024903E-041
  1.274000E-01  2.89367076E-036  2.89362764E-036  4.31204869E-041
  1.288000E-01  3.68686282E-036  3.68679608E-036  6.67452566E-041
  1.303000E-01  4.74656694E-036  4.74646287E-036  1.04076284E-040
  1.318000E-01  6.07246545E-036  6.07230186E-036  1.63584843E-040
  1.333000E-01  7.71593254E-036  7.71567779E-036  2.54753886E-040
  1.349000E-01  9.88550298E-036  9.88509831E-036  4.04674905E-040
  1.365000E-01  1.25726896E-035  1.25720529E-035  6.36676786E-040
  1.380000E-01  1.56423307E-035  1.56413650E-035  9.65637047E-040
  1.396000E-01  1.96016602E-035  1.96001672E-035  1.49304215E-039
  1.412000E-01  2.43420459E-035  2.43397567E-035  2.28918344E-039
  1.429000E-01  3.01819376E-035  3.01783643E-035  3.57330030E-039
  1.445000E-01  3.63077684E-035  3.63023778E-035  5.39066172E-039
  1.462000E-01  4.34683489E-035  4.34600718E-035  8.27714486E-039
  1.479000E-01  5.14455038E-035  5.14328950E-035  1.26087980E-038
  1.496000E-01  6.03951499E-035  6.03760882E-035  1.90616715E-038
  1.514000E-01  7.09987784E-035  7.09694855E-035  2.92928034E-038
  1.531000E-01  8.17116429E-035  8.16680047E-035  4.36381908E-038
  1.549000E-01  9.35034771E-035  9.34374105E-035  6.60666500E-038
  1.567000E-01  1.08199232E-034  1.08099925E-034  9.93071962E-038
  1.585000E-01  1.23674539E-034  1.23526294E-034  1.48245449E-037
  1.603000E-01  1.39921732E-034  1.39701890E-034  2.19842496E-037
  1.622000E-01  1.60904580E-034  1.60573615E-034  3.30964733E-037
  1.641000E-01  1.82355498E-034  1.81860598E-034  4.94899994E-037
  1.660000E-01  2.05642934E-034  2.04907645E-034  7.35289161E-037
  1.679000E-01  2.33297464E-034  2.32211694E-034  1.08576973E-036
  1.698000E-01  2.61147341E-034  2.59553449E-034  1.59389241E-036
  1.718000E-01  2.99650821E-034  2.97278860E-034  2.37196129E-036
  1.738000E-01  3.41409523E-034  3.37903129E-034  3.50639405E-036
  1.758000E-01  3.84579365E-034  3.79428127E-034  5.15123771E-036
  1.778000E-01  4.27897204E-034  4.20373221E-034  7.52398274E-036
  1.799000E-01  4.71677996E-034  4.60542681E-034  1.11353152E-035
  1.820000E-01  5.37895581E-034  5.21503933E-034  1.63916477E-035
  1.841000E-01  6.09924721E-034  5.85917330E-034  2.40073911E-035
  1.862000E-01  6.86094289E-034  6.51097971E-034  3.49963181E-035
  1.884000E-01  7.69547919E-034  7.17854150E-034  5.16937698E-035
  1.905000E-01  8.59153774E-034  7.84462896E-034  7.46908775E-035
  1.928000E-01  9.92518961E-034  8.81288377E-034  1.11230584E-034
  1.950000E-01  1.13728572E-033  9.75273132E-034  1.62012590E-034
  1.972000E-01  1.30272775E-033  1.06795978E-033  2.34767971E-034
  1.995000E-01  1.50365420E-033  1.15983448E-033  3.43819723E-034
  2.018000E-01  1.78694483E-033  1.28723269E-033  4.99712143E-034
