# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744871E-040  1.66744865E-040  6.94973387E-048
  9.226000E-02  2.46120894E-040  2.46120881E-040  1.30376637E-047
  9.332000E-02  3.59606824E-040  3.59606799E-040  2.43131621E-047
  9.441000E-02  5.24323973E-040  5.24323927E-040  4.57852875E-047
  9.550000E-02  7.57130894E-040  7.57130809E-040  8.54265409E-047
  9.661000E-02  1.08895881E-039  1.08895865E-039  1.59547322E-046
  9.772000E-02  1.55185992E-039  1.55185962E-039  2.94670115E-046
  9.886000E-02  2.21056931E-039  2.21056876E-039  5.46739164E-046
  1.000000E-01  3.12068874E-039  3.12068774E-039  1.00204517E-045
  1.012000E-01  4.42422688E-039  4.42422503E-039  1.84663685E-045
  1.023000E-01  6.04299521E-039  6.04299200E-039  3.20758064E-045
  1.035000E-01  8.35359843E-039  8.35359265E-039  5.77701294E-045
  1.047000E-01  1.14293591E-038  1.14293488E-038  1.02575289E-044
  1.059000E-01  1.56450743E-038  1.56450563E-038  1.79620228E-044
  1.072000E-01  2.18447399E-038  2.18447074E-038  3.24585154E-044
  1.084000E-01  2.95516432E-038  2.95515879E-038  5.52840381E-044
  1.097000E-01  4.07562760E-038  4.07561790E-038  9.70283089E-044
  1.109000E-01  5.44007579E-038  5.44005969E-038  1.60997035E-043
  1.122000E-01  7.40417963E-038  7.40415213E-038  2.74931185E-043
  1.135000E-01  9.99685758E-038  9.99681126E-038  4.63225320E-043
  1.148000E-01  1.33890291E-037  1.33889521E-037  7.70472428E-043
  1.161000E-01  1.78411677E-037  1.78410411E-037  1.26571073E-042
  1.175000E-01  2.41019203E-037  2.41017072E-037  2.13160496E-042
  1.189000E-01  3.23327757E-037  3.23324215E-037  3.54250965E-042
  1.202000E-01  4.21982201E-037  4.21976588E-037  5.61300454E-042
  1.216000E-01  5.57944376E-037  5.57935270E-037  9.10588082E-042
  1.230000E-01  7.33204845E-037  7.33190246E-037  1.45994908E-041
  1.244000E-01  9.56532335E-037  9.56509190E-037  2.31447722E-041
  1.259000E-01  1.26291943E-036  1.26288196E-036  3.74676767E-041
  1.274000E-01  1.65538474E-036  1.65532480E-036  5.99397479E-041
  1.288000E-01  2.11693507E-036  2.11684309E-036  9.19887581E-041
  1.303000E-01  2.73606694E-036  2.73592478E-036  1.42161597E-040
  1.318000E-01  3.51326651E-036  3.51304502E-036  2.21496110E-040
  1.333000E-01  4.48111120E-036  4.48076920E-036  3.42000307E-040
  1.349000E-01  5.76417959E-036  5.76364116E-036  5.38430466E-040
  1.365000E-01  7.36017984E-036  7.35934009E-036  8.39758696E-040
