# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + d16_spheroid graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  9.72759848E-047  9.61447527E-047  1.13123211E-048
  9.226000E-02  1.31834597E-046  1.30141784E-046  1.69281313E-048
  9.332000E-02  1.94061156E-040  1.94061137E-040  1.91156341E-047
  9.441000E-02  2.79495688E-040  2.79495652E-040  3.55104136E-047
  9.550000E-02  3.98670788E-040  3.98670723E-040  6.54234760E-047
  9.661000E-02  5.66277765E-040  5.66277645E-040  1.20727617E-046
  9.772000E-02  1.26408295E-039  1.26408273E-039  2.20460262E-046
  9.886000E-02  1.78860505E-039  1.78860453E-039  5.19460150E-046
  1.000000E-01  2.50796078E-039  2.50795983E-039  9.49242979E-046
  1.012000E-01  4.11655270E-039  4.11655095E-039  1.74387086E-045
  1.023000E-01  5.60520243E-039  5.60519941E-039  3.02033669E-045
  1.035000E-01  7.72148751E-039  7.72148180E-039  5.71600874E-045
  1.047000E-01  1.05270258E-038  1.05270157E-038  1.01409642E-044
  1.059000E-01  1.52219851E-038  1.52219673E-038  1.77428665E-044
  1.072000E-01  2.12170388E-038  2.12170068E-038  3.20317895E-044
  1.084000E-01  2.86548310E-038  2.86547758E-038  5.51608561E-044
  1.097000E-01  4.03484478E-038  4.03483510E-038  9.67902105E-044
  1.109000E-01  5.38184765E-038  5.38183159E-038  1.60566155E-043
  1.122000E-01  7.31908020E-038  7.31905279E-038  2.74124788E-043
  1.135000E-01  9.87369750E-038  9.87365132E-038  4.61739795E-043
  1.148000E-01  1.33353998E-037  1.33353228E-037  7.70057412E-043
  1.161000E-01  1.77635975E-037  1.77634710E-037  1.26495036E-042
  1.175000E-01  2.39877016E-037  2.39874886E-037  2.13016895E-042
  1.189000E-01  3.22835732E-037  3.22832193E-037  3.53984122E-042
  1.202000E-01  4.21278476E-037  4.21272864E-037  5.61230475E-042
  1.216000E-01  5.56919878E-037  5.56910773E-037  9.10458645E-042
  1.230000E-01  7.31725934E-037  7.31711337E-037  1.45971321E-041
  1.244000E-01  9.55913421E-037  9.55890280E-037  2.31405354E-041
  1.259000E-01  1.26200474E-036  1.26196728E-036  3.74598613E-041
  1.274000E-01  1.65404650E-036  1.65398656E-036  5.99375995E-041
  1.288000E-01  2.11504345E-036  2.11495147E-036  9.19849694E-041
  1.303000E-01  2.73527665E-036  2.73513450E-036  1.42154825E-040
  1.318000E-01  3.51212435E-036  3.51190287E-036  2.21483952E-040
  1.333000E-01  4.47947614E-036  4.47913414E-036  3.41997074E-040
  1.349000E-01  5.76350491E-036  5.76296648E-036  5.38424438E-040
  1.365000E-01  7.35919507E-036  7.35835532E-036  8.39747609E-040
  1.380000E-01  9.18875824E-036  9.18749476E-036  1.26347783E-039
  1.396000E-01  1.15589775E-035  1.15570402E-035  1.93732005E-039
  1.412000E-01  1.44110685E-035  1.44081222E-035  2.94627433E-039
  1.429000E-01  1.79396784E-035  1.79351182E-035  4.56014091E-039
  1.445000E-01  2.16615025E-035  2.16546767E-035  6.82586469E-039
  1.462000E-01  2.60356283E-035  2.60252324E-035  1.03959405E-038
  1.479000E-01  3.09358362E-035  3.09201254E-035  1.57107620E-038
  1.496000E-01  3.64576345E-035  3.64340678E-035  2.35666460E-038
  1.514000E-01  4.30328733E-035  4.29969492E-035  3.59240986E-038
  1.531000E-01  4.97167158E-035  4.96635965E-035  5.31193420E-038
  1.549000E-01  5.71210928E-035  5.70412899E-035  7.98029275E-038
  1.567000E-01  6.63638159E-035  6.62447639E-035  1.19052044E-037
  1.585000E-01  7.61609556E-035  7.59845412E-035  1.76414384E-037
  1.603000E-01  8.65166756E-035  8.62569391E-035  2.59736456E-037
  1.622000E-01  9.99178269E-035  9.95297141E-035  3.88112806E-037
  1.641000E-01  1.13733644E-034  1.13157505E-034  5.76139165E-037
  1.660000E-01  1.28831517E-034  1.27981615E-034  8.49902070E-037
  1.679000E-01  1.46825920E-034  1.45579670E-034  1.24624994E-036
  1.698000E-01  1.65139519E-034  1.63322529E-034  1.81699014E-036
  1.718000E-01  1.90464743E-034  1.87779926E-034  2.68481670E-036
  1.738000E-01  2.18192412E-034  2.14251017E-034  3.94139553E-036
  1.758000E-01  2.47232004E-034  2.41480876E-034  5.75112840E-036
  1.778000E-01  2.76872476E-034  2.68527772E-034  8.34470471E-036
  1.799000E-01  3.07579790E-034  2.95313385E-034  1.22664049E-035
  1.820000E-01  3.53602678E-034  3.35666866E-034  1.79358117E-035
  1.841000E-01  4.04628962E-034  3.78531563E-034  2.60973994E-035
  1.862000E-01  4.59987822E-034  4.22187306E-034  3.78005153E-035
  1.884000E-01  5.22713244E-034  4.67241684E-034  5.54715601E-035
  1.905000E-01  5.92084802E-034  5.12423274E-034  7.96615278E-035
  1.928000E-01  6.95758508E-034  5.77895569E-034  1.17862939E-034
  1.950000E-01  8.12490102E-034  6.41855770E-034  1.70634332E-034
  1.972000E-01  9.51184803E-034  7.05382345E-034  2.45802458E-034
  1.995000E-01  1.12672859E-033  7.68905551E-034  3.57823037E-034
  2.018000E-01  1.37355248E-033  8.56482583E-034  5.17069894E-034
  2.042000E-01  1.71191005E-033  9.59893868E-034  7.52016180E-034
  2.065000E-01  2.12662043E-033  1.06183305E-033  1.06478737E-033
  2.089000E-01  2.67813118E-033  1.16898616E-033  1.50914502E-033
  2.113000E-01  3.39839925E-033  1.29546324E-033  2.10293601E-033
  2.138000E-01  4.36273185E-033  1.45190830E-033  2.91082355E-033
  2.163000E-01  5.57815879E-033  1.63945678E-033  3.93870201E-033
  2.188000E-01  7.05647737E-033  1.84952775E-033  5.20694962E-033
  2.213000E-01  8.82822491E-033  2.09787783E-033  6.73034708E-033
  2.239000E-01  1.10084133E-032  2.40838674E-033  8.60002658E-033
  2.265000E-01  1.35500869E-032  2.76863222E-033  1.07814547E-032
  2.291000E-01  1.65015484E-032  3.19375199E-033  1.33077964E-032
  2.317000E-01  1.99102830E-032  3.68180851E-033  1.62284745E-032
  2.344000E-01  2.40137943E-032  4.26221230E-033  1.97515820E-032
  2.371000E-01  2.88045060E-032  4.93433196E-033  2.38701741E-032
  2.399000E-01  3.46261552E-032  5.72821530E-033  2.88979399E-032
  2.427000E-01  4.15045730E-032  6.65103154E-033  3.48535414E-032
  2.455000E-01  4.96207906E-032  7.69642477E-033  4.19243658E-032
  2.483000E-01  5.92053754E-032  8.87617596E-033  5.03291995E-032
  2.512000E-01  7.09367540E-032  1.02249054E-032  6.07118486E-032
  2.541000E-01  8.48166196E-032  1.16914451E-032  7.31251745E-032
  2.570000E-01  1.01274020E-031  1.33258936E-032  8.79481263E-032
  2.600000E-01  1.21483986E-031  1.51995398E-032  1.06284446E-031
  2.630000E-01  1.45501881E-031  1.72742054E-032  1.28227676E-031
  2.661000E-01  1.75030869E-031  1.96529259E-032  1.55377943E-031
  2.691000E-01  2.08948313E-031  2.21999019E-032  1.86748411E-031
  2.723000E-01  2.51911757E-031  2.52026778E-032  2.26709079E-031
  2.754000E-01  3.01319271E-031  2.84015693E-032  2.72917702E-031
  2.786000E-01  3.61700410E-031  3.20179245E-032  3.29682485E-031
  2.818000E-01  4.33186879E-031  3.59906477E-032  3.97196232E-031
